,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000402,163.6199316800,174.1328945800,148.3283492800,152.4379620500,19016502,322282709.2200,1,2.916890,-5.341246
1,2007-01-12,sz.000402,151.4822381500,168.2074064000,147.9460597200,154.3494098500,94278204,1540762481.9300,1,14.461081,1.253918
2,2007-01-19,sz.000402,154.3494098500,169.6409922500,142.4028611000,152.0556724900,113740583,1830978641.1700,1,17.446363,-1.486068
3,2007-01-26,sz.000402,154.3494098500,167.2516825000,138.5799655000,166.7738205500,112215520,1790264789.2800,1,17.212438,9.679447
4,2007-02-02,sz.000402,168.6852683500,171.5524400500,126.1555548000,127.1112787000,84431590,1337816669.4600,1,12.950735,-23.782235
5,2007-02-09,sz.000402,126.1555548000,131.6987534200,114.7824403900,123.1928107100,101177899,1304964148.5700,1,15.519407,-3.082707
6,2007-02-16,sz.000402,127.1112787000,155.8785680900,127.1112787000,146.8947634300,81648344,1230275729.3800,1,12.523821,19.239721
7,2007-03-02,sz.000402,146.8947634300,146.8947634300,124.2441070000,136.6685177000,105980825,1497103639.8700,1,16.256115,-6.961614
8,2007-03-09,sz.000402,136.6685177000,146.9903358200,136.6685177000,140.3958409100,57493234,857135015.3800,1,8.818733,2.727273
9,2007-03-16,sz.000402,140.3958409100,145.2700328000,133.8969183900,141.9249991500,59180807,874544908.8200,1,9.077585,1.089176
10,2007-03-23,sz.000402,138.3888207200,152.9158240000,137.5286692100,141.8294267600,81542085,1231790314.3700,1,12.507522,-0.067340
11,2007-03-30,sz.000402,143.3585850000,149.4752179600,139.9179789600,147.5637701600,106274500,1610878998.6500,1,16.301161,4.043127
12,2007-04-06,sz.000402,150.3353694700,176.6177767200,147.7549149400,176.6177767200,147133369,2514164324.2400,1,22.568393,19.689119
13,2007-04-13,sz.000402,181.3963962200,187.1307396200,172.1258743900,173.1771706800,131929661,2459179103.3900,1,20.236337,-1.948052
14,2007-04-20,sz.000402,173.9417498000,188.4291298500,163.3375387800,168.1814752800,121199364,2200155819.7400,1,18.590446,-2.884723
15,2007-04-27,sz.000402,169.6346562300,179.9038016100,167.6002029000,172.9285330500,108764128,1954507760.8500,1,16.683038,2.822581
16,2007-04-30,sz.000402,176.1255311400,184.0695870000,173.1222905100,182.7132847800,34470359,633483628.4800,1,5.287316,5.658263
17,2007-05-11,sz.000402,189.4947958800,211.1956314000,185.0383743000,190.3667044500,109177404,2204915369.3800,1,16.746429,4.188759
18,2007-05-18,sz.000402,188.4291298500,218.9459298000,185.5227679500,213.1332060000,144754839,3073069328.6400,1,22.203557,11.959288
19,2007-05-25,sz.000402,203.4453330000,261.5725710000,202.2827882400,246.6532465800,141826331,3484738431.5500,1,21.754361,15.727273
20,2007-06-01,sz.000402,247.8157913400,326.0938051800,245.2000656300,279.0107424000,196166141,5738519533.5700,1,30.089399,13.118617
21,2007-06-08,sz.000402,277.9450763700,319.6998090000,238.3216758000,309.4306636200,156105144,4566439350.2000,1,23.944550,10.902778
22,2007-06-15,sz.000402,309.7212998100,341.0131296000,305.1679995000,310.4963296500,103155809,3405386717.4800,1,15.822793,0.344396
23,2007-06-22,sz.000402,311.5619956800,344.7914000700,307.8806039400,318.1497493200,91494448,3086839332.9800,1,14.034088,2.464899
24,2007-06-29,sz.000402,317.7622344000,324.5437455000,278.0419551000,280.9483170000,61563188,1901013724.9600,1,9.443012,-11.693057
25,2007-07-06,sz.000402,279.7857722400,295.2863690400,254.8879386300,280.2701658900,40062185,1160570815.4500,1,6.145031,-0.241379
26,2007-07-13,sz.000402,281.4327106500,295.6738839600,278.1388338300,285.4047385800,40241799,1190983292.2600,1,6.172582,1.832008
27,2007-07-20,sz.000402,285.4047385800,332.2940439000,268.3540821000,329.3876820000,63674296,2006605500.3200,1,9.766830,15.410726
28,2007-07-27,sz.000402,334.7160121500,358.1606648100,329.4845607300,338.5911613500,73481118,2589885159.4900,1,11.271072,2.794118
29,2007-08-03,sz.000402,330.3564693000,407.8594533000,330.3564693000,406.5031510800,122831715,4607312425.7500,1,18.840828,20.057225
30,2007-08-10,sz.000402,419.3880221700,437.6981021400,385.5773454000,393.1338863400,122404288,5086600348.5800,1,18.775266,-3.288847
31,2007-08-17,sz.000402,394.1026736400,404.5655764800,358.4513010000,362.2295714700,81994728,3225894160.0600,1,12.576952,-7.861015
32,2007-08-24,sz.000402,370.0767486000,407.8594533000,370.0767486000,395.7496120500,57304218,2306713437.6800,1,8.789740,9.253811
