,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000408,5.5000540800,5.5382489000,5.3090799800,5.4236644400,2705900,7662567.6300,1,4.089727,-1.388889
1,2007-01-12,sz.000408,5.4618592600,6.1111712000,5.4045670300,5.6910281800,23787372,72058743.2100,1,35.952497,4.929577
2,2007-01-19,sz.000408,5.6146385400,6.1111712000,5.6146385400,6.0347815600,15324813,46931181.5300,1,23.162092,6.040268
3,2007-01-26,sz.000408,6.0347815600,6.6840935000,5.9201971000,6.2257556600,22177673,73597802.3200,1,33.519580,3.164557
4,2007-02-02,sz.000408,6.2066582500,6.6268012700,6.2066582500,6.2257556600,13751389,46099325.2100,1,20.784001,0.000000
5,2007-02-09,sz.000408,6.1875608400,7.0469442900,6.1875608400,6.8559701900,11767111,41003781.8500,1,17.784942,10.122699
6,2007-02-16,sz.000408,6.8559701900,7.7726458700,6.8177753700,7.6007691800,14006011,54671729.3900,1,21.168840,10.863510
7,2007-03-02,sz.000408,7.6771588200,8.8039060100,7.5434769500,8.7848086000,18092331,77279006.8000,1,27.344949,15.577889
8,2007-03-09,sz.000408,8.7466137800,8.8230034200,8.2118863000,8.4028604000,14293986,63124444.1600,1,21.604088,-4.347826
9,2007-03-16,sz.000408,8.3646655800,9.7014842800,8.3646655800,9.2622438500,21059877,101515888.9400,1,31.830131,10.227273
10,2007-03-23,sz.000408,9.0330749300,11.1528874400,8.9757827000,10.8473288800,22360736,119871292.2400,1,33.796263,17.113402
11,2007-03-30,sz.000408,10.8473288800,11.3629589500,10.5035755000,10.6372573700,18403740,104064770.5700,1,27.815616,-1.936620
12,2007-04-06,sz.000408,10.6181599600,11.3629589500,10.4653806800,11.3629589500,14415732,82489878.0600,1,21.788097,6.822262
13,2007-04-13,sz.000408,11.5157382300,12.5851931900,10.8855237000,12.1268553500,18242056,111548209.2800,1,27.571245,6.722689
14,2007-04-20,sz.000408,12.1268553500,13.8456222500,12.1268553500,13.7501352000,24965582,172162369.5700,1,37.733256,13.385827
