,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000568,272.7069801600,277.3200408000,240.3082752000,250.1780793600,22603139,534043154.8000,1,6.788656,-7.971586
1,2007-01-12,sz.000568,245.3504577600,295.5577224000,238.6990680000,291.2665032000,38149557,937893916.5200,1,11.266396,16.423671
2,2007-01-19,sz.000568,289.8718569600,337.5043900800,284.2932720000,333.4277318400,44996574,1285515132.9800,1,11.999075,14.475138
3,2007-01-26,sz.000568,332.5694880000,348.4469990400,261.8716516800,289.2281740800,47040577,1302331162.4500,1,12.544142,-13.256113
4,2007-02-02,sz.000568,289.7645764800,295.0213200000,252.3236889600,272.4924192000,51793547,1329213452.3900,1,13.811600,-5.786350
5,2007-02-09,sz.000568,272.0632972800,279.0365284800,239.2354704000,274.8525897600,50462476,1217121648.6900,1,13.456648,0.866142
6,2007-02-16,sz.000568,273.5652240000,309.8260262400,268.2012000000,298.0251734400,35015944,934777168.1800,1,9.337577,8.430913
7,2007-03-02,sz.000568,300.3853440000,300.3853440000,250.4999208000,274.6380288000,41857267,1074160710.3100,1,11.161928,-7.847372
8,2007-03-09,sz.000568,273.5652240000,300.3853440000,256.1857862400,293.9485152000,19054433,500732864.9500,1,5.081177,7.031250
9,2007-03-16,sz.000568,295.1286004800,331.4966832000,278.9292480000,313.2590016000,27345504,779763199.2200,1,7.292128,6.569343
10,2007-03-23,sz.000568,307.0367337600,321.7341595200,290.4082593600,297.2742100800,21874361,617685956.7600,1,5.833158,-5.102740
11,2007-03-30,sz.000568,298.0251734400,305.7493680000,289.6572960000,291.8029056000,22290114,613981507.4000,1,5.944025,-1.840491
12,2007-04-06,sz.000568,292.8757104000,319.9103913600,290.3009788800,313.4735625600,31773847,909411220.9800,1,8.473018,7.426471
13,2007-04-13,sz.000568,311.1133920000,374.1943142400,311.1133920000,360.5696932800,57188170,1785592366.6200,1,15.250165,15.023956
14,2007-04-20,sz.000568,360.5696932800,436.3097121600,360.5696932800,381.3821064000,37425688,1379698152.2000,1,9.980174,5.772092
15,2007-04-27,sz.000568,384.0641184000,419.5739572800,384.0641184000,419.5739572800,15357234,594663436.8800,1,4.095259,10.014065
16,2007-04-30,sz.000568,419.5739572800,419.5739572800,419.5739572800,419.5739572800,0,0.0000,1,0.000000,0.000000
17,2007-05-11,sz.000568,419.5739572800,419.5739572800,419.5739572800,419.5739572800,0,0.0000,1,0.000000,0.000000
18,2007-05-18,sz.000568,419.5739572800,419.5739572800,419.5739572800,419.5739572800,0,0.0000,1,0.000000,0.000000
19,2007-05-25,sz.000568,419.5739572800,419.5739572800,419.5739572800,419.5739572800,0,0.0000,1,0.000000,0.000000
20,2007-06-01,sz.000568,419.5739572800,419.5739572800,419.5739572800,419.5739572800,0,0.0000,1,0.000000,0.000000
21,2007-06-08,sz.000568,419.5739572800,419.5739572800,419.5739572800,419.5739572800,0,0.0000,1,0.000000,0.000000
22,2007-06-15,sz.000568,419.5739572800,419.5739572800,419.5739572800,419.5739572800,0,0.0000,1,0.000000,0.000000
23,2007-06-22,sz.000568,419.5739572800,558.3948984000,419.5739572800,558.3948984000,25478290,1323484399.4000,1,6.794204,33.086167
24,2007-06-29,sz.000568,536.4024000000,556.5711302400,429.1219200000,451.6508208000,49997870,2284278213.1400,1,13.332753,-19.116234
25,2007-07-06,sz.000568,451.6508208000,488.1261840000,421.6122864000,454.8692352000,14140502,599317225.4900,1,3.770797,0.712589
26,2007-07-13,sz.000568,462.3788688000,498.8542320000,461.3060640000,492.9538056000,15593044,703336175.0600,1,4.158141,8.372642
27,2007-07-20,sz.000568,496.7086224000,541.5518630400,473.1069168000,528.8927664000,13592948,647749812.0600,1,3.624783,7.290533
28,2007-07-27,sz.000568,535.1150342400,569.6593488000,524.3869862400,560.5405080000,16553389,845240369.8900,1,4.414233,5.983773
29,2007-08-03,sz.000568,560.5405080000,641.8591118400,554.4255206400,631.3456248000,12785743,711795428.3800,1,3.409528,12.631579
30,2007-08-10,sz.000568,639.3916608000,692.4954984000,586.9315060800,600.7706880000,30828059,1813068830.7400,1,8.220808,-4.842821
31,2007-08-17,sz.000568,600.7706880000,632.9548320000,577.1689824000,595.9430664000,20757934,1167359977.9300,1,5.535444,-0.803571
32,2007-08-24,sz.000568,600.7706880000,685.2964450000,600.7706880000,683.0301103000,24857150,1469609179.3100,1,6.628567,14.613303
33,2007-08-31,sz.000568,683.4617931000,695.8726736000,623.7816460000,636.5162886000,16150606,965654955.6200,1,4.306824,-6.809923
34,2007-09-07,sz.000568,636.7321300000,658.3162700000,589.0311806000,592.2688016000,23891131,1373123993.5400,1,6.370962,-6.951509
