,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000596,8.0575110000,8.2767630000,7.5751566000,8.0575110000,4102253,29871477.4800,1,14.667037,2.225313
1,2007-01-12,sz.000596,7.9917354000,9.9211530000,7.9807728000,9.9211530000,6401355,52629011.9000,1,22.887158,23.129252
2,2007-01-19,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
3,2007-01-26,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
4,2007-02-02,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
5,2007-02-09,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
6,2007-02-16,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
7,2007-03-02,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
8,2007-03-09,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
9,2007-03-16,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
10,2007-03-23,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
11,2007-03-30,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
12,2007-04-06,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
13,2007-04-13,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
14,2007-04-20,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
15,2007-04-27,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
16,2007-04-30,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
17,2007-05-11,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
18,2007-05-18,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
19,2007-05-25,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
20,2007-06-01,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
21,2007-06-08,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
22,2007-06-15,sz.000596,9.9211530000,9.9211530000,9.9211530000,9.9211530000,0,0.0000,1,0.000000,0.000000
23,2007-06-22,sz.000596,9.9211530000,12.0150096000,9.9211530000,12.0150096000,10623,110727.0800,1,0.037981,21.104972
24,2007-06-29,sz.000596,13.2208956000,19.3709142000,13.2208956000,19.3709142000,9696325,167599423.9800,1,24.929297,61.222628
25,2007-07-06,sz.000596,19.6011288000,31.1995596000,18.1979160000,31.1995596000,32233049,688733501.1800,1,81.089431,61.063950
26,2007-07-13,sz.000596,34.3239006000,37.7551944000,25.0933914000,30.6623922000,37355990,1049537954.9400,1,93.977333,-1.721715
27,2007-07-20,sz.000596,28.9851144000,30.1471500000,22.9995348000,24.3040842000,34978975,821811935.8000,1,87.997421,-20.736503
28,2007-07-27,sz.000596,24.0848322000,28.8206754000,23.8546176000,27.5709390000,35336068,872893894.8800,1,88.895769,13.441588
29,2007-08-03,sz.000596,27.5709390000,32.4492960000,27.3516870000,29.3139924000,33000829,890497934.5000,1,83.020953,6.322068
30,2007-08-10,sz.000596,28.6671990000,29.5990200000,25.5428580000,26.5623798000,20759049,530864823.2000,1,52.224023,-9.386687
31,2007-08-17,sz.000596,25.7621100000,26.6281554000,24.6658500000,25.3345686000,9699400,224945966.9200,1,24.401006,-4.622369
32,2007-08-24,sz.000596,25.7621100000,26.8583700000,24.9947280000,25.9813620000,11354965,270391830.3600,1,28.565950,2.553007
33,2007-08-31,sz.000596,25.9813620000,26.2006140000,24.3369720000,25.0385784000,7903806,180401108.8300,1,19.883789,-3.628692
34,2007-09-07,sz.000596,25.0385784000,32.9974260000,24.6987378000,31.2434100000,29006091,771061008.7800,1,72.971298,24.781086
35,2007-09-14,sz.000596,31.3530360000,31.3530360000,24.5562240000,27.6586398000,20191945,501456096.3600,1,50.797346,-11.473684
36,2007-09-21,sz.000596,26.9570334000,28.5027600000,25.4332320000,25.7511474000,9453918,228880227.4600,1,23.783442,-6.896552
37,2007-09-28,sz.000596,26.2006140000,26.7487440000,25.1043540000,25.6195962000,7301727,171300288.5300,1,18.369125,-0.510856
38,2007-10-12,sz.000596,26.1458010000,30.4650654000,25.2249426000,27.8450040000,18255313,460433765.1400,1,45.925316,8.686350
39,2007-10-19,sz.000596,27.4174626000,29.7086460000,25.2249426000,25.6086336000,11772130,297124891.8000,1,29.615421,-8.031496
40,2007-10-26,sz.000596,25.6524840000,25.8388482000,20.3904360000,21.7936488000,5547973,120418080.7500,1,13.957165,-14.897260
41,2007-11-02,sz.000596,21.7936488000,22.8899088000,20.5000620000,20.8179774000,4991265,98000507.1400,1,12.556642,-4.476861
42,2007-11-09,sz.000596,20.5987254000,20.7193140000,17.0797308000,17.3099454000,3995335,70212226.7100,1,10.051157,-16.850974
43,2007-11-16,sz.000596,17.1126186000,18.8227842000,15.7751814000,18.8227842000,5332428,83895912.0700,1,13.414913,8.739709
