,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000623,153.1316259000,165.1419495000,142.6225927500,150.0380577000,12361126,418018039.2400,1,6.970101,-0.362538
1,2007-01-12,sz.000623,149.9015767500,165.8243542500,135.0251532000,163.6861527000,43458832,1405464282.6400,1,24.505245,9.096422
2,2007-01-19,sz.000623,165.7333669500,193.2570252000,161.6389384500,181.0192333500,38017131,1489151660.0900,1,21.436819,10.589216
3,2007-01-26,sz.000623,186.5694586500,202.4467425000,172.8758700000,201.0819330000,29305713,1220582658.1800,1,16.524689,11.083187
4,2007-02-02,sz.000623,202.9016790000,204.4939567500,163.7771400000,172.7848827000,22726778,922223077.2500,1,12.815008,-14.072398
5,2007-02-09,sz.000623,170.8286557500,180.3823222500,156.1342068000,170.7831621000,16927402,631799457.2500,1,9.544899,-1.158504
6,2007-02-16,sz.000623,170.7376684500,231.8811340500,168.5084796000,218.3240263500,18419417,798218305.6600,1,10.386205,27.836974
7,2007-03-02,sz.000623,218.1420517500,218.3240263500,179.7454111500,191.3007982500,14785902,626587057.2900,1,8.337365,-12.377579
8,2007-03-09,sz.000623,187.8887745000,226.6948579500,180.6552841500,215.0939772000,17657114,790696315.2200,1,9.956363,12.437574
9,2007-03-16,sz.000623,213.8201550000,214.7300280000,197.8973775000,204.2664885000,16350162,746092541.9900,1,9.219409,-5.033841
10,2007-03-23,sz.000623,196.5325680000,216.0948375000,184.7042190000,186.7514332500,23237767,1015509741.9600,1,13.103141,-8.574610
11,2007-03-30,sz.000623,195.6226950000,227.4682500000,186.5239650000,223.0098723000,31880638,1419173097.0400,1,17.976619,19.415347
12,2007-04-06,sz.000623,227.6047309500,321.5491182000,227.6047309500,311.6315025000,44476130,2628937762.0500,1,25.078872,39.738882
13,2007-04-13,sz.000623,317.4091960500,382.1011663500,313.9516786500,358.4444683500,32922556,2526631785.2400,1,18.564128,15.021898
14,2007-04-20,sz.000623,365.3140095000,385.3312155000,336.6530100000,385.3312155000,48443382,3877056576.7300,1,27.315897,7.500952
15,2007-04-27,sz.000623,395.7492613500,450.3871350000,379.9629648000,436.2386098500,35751621,3212205825.2800,1,20.159360,13.211334
16,2007-04-30,sz.000623,436.2386098500,479.8670202000,432.2806623000,454.9365000000,12531314,1272479629.5300,1,7.066065,4.286161
17,2007-05-11,sz.000623,486.7820550000,530.9563891500,458.5759920000,530.9563891500,41460876,4508731784.3600,1,23.378653,16.710000
18,2007-05-18,sz.000623,531.8207685000,592.2818293500,491.4679009500,510.8936333500,103398131,9137233583.9400,1,43.630298,-3.778597
19,2007-05-25,sz.000623,483.6884336400,616.8028389100,483.6884336400,616.8028389100,127727802,7580205297.8800,1,36.011105,20.730187
20,2007-06-01,sz.000623,650.5591235000,668.7565815000,535.0962524900,535.0962524900,93334198,6208750207.6200,1,26.314299,-13.246792
21,2007-06-08,sz.000623,501.7949043500,594.2379909900,433.4634495600,581.4087831000,161250846,8992910757.2300,1,45.462469,8.654991
22,2007-06-15,sz.000623,581.4087831000,611.4345888000,556.8422148000,595.0568766000,101263937,6571550485.2500,1,28.549981,2.347418
23,2007-06-22,sz.000623,609.6148430000,650.5591235000,563.0293505200,581.3177958100,98617838,6536434602.6100,1,27.803949,-2.308869
24,2007-06-29,sz.000623,586.8680205000,590.4165248100,446.6566066100,452.6617677500,85272490,4711468560.1400,1,24.041411,-22.131789
25,2007-07-06,sz.000623,461.1235857200,478.9570945600,408.0779956500,478.9570945600,80067141,3894702055.3900,1,22.573834,5.809045
26,2007-07-13,sz.000623,491.3313660000,535.0052652000,480.4128912000,498.2464000400,65246720,3613286421.9400,1,18.395419,4.027356
27,2007-07-20,sz.000623,509.5288240000,512.2584427000,428.1861867400,486.8729887900,61630917,3163192862.7800,1,17.375993,-2.282688
28,2007-07-27,sz.000623,491.3313660000,584.1384018000,491.3313660000,566.8508167000,81375715,4820254800.0300,1,22.942769,16.426836
29,2007-08-03,sz.000623,566.6688421200,580.3169356200,500.7940441600,548.6533587000,102520220,6090634629.2500,1,28.904173,-3.210273
30,2007-08-10,sz.000623,550.4731045000,573.9478253200,525.9065362000,539.0996932500,99083866,6035784037.3400,1,24.832256,-1.741294
31,2007-08-17,sz.000623,536.8250110000,654.5625642600,529.5460278000,615.8929660100,127677935,8471191308.9400,1,31.998460,14.244726
32,2007-08-24,sz.000623,640.5505216000,740.4545660200,624.4457712700,713.2493663100,92231295,7056791413.8000,1,23.114874,15.807357
33,2007-08-31,sz.000623,727.8983200000,741.4554262100,658.7479796000,674.3977934800,71591133,5384254719.4000,1,17.942067,-5.447123
34,2007-09-07,sz.000623,674.9437172200,691.5034040000,632.4526527900,633.7264748500,46430991,3387337056.6200,1,11.636468,-6.030761
35,2007-09-14,sz.000623,635.0912842000,650.4681362100,579.5890373000,604.2465928900,57057664,3826830931.4200,1,14.299710,-4.651831
36,2007-09-21,sz.000623,598.4234063300,661.8415474600,592.4182451900,638.7307758000,61432925,4268027142.8600,1,15.396231,5.706972
37,2007-09-28,sz.000623,640.3685470200,710.6107349000,624.1728094000,665.1170899000,52701371,3896700673.5500,1,13.207942,4.131054
38,2007-10-12,sz.000623,697.5085651400,718.6176164200,650.5591235000,684.6793572500,59591780,4534222329.7300,1,14.934806,2.941176
39,2007-10-19,sz.000623,704.6055737600,846.1817970000,691.5034040000,811.6066268000,105129442,8906420755.0500,1,26.347390,18.538206
40,2007-10-26,sz.000623,791.5894230000,822.3431270200,717.7077435200,782.4906940000,59084712,4967917606.8400,1,14.807726,-3.587444
41,2007-11-02,sz.000623,795.6838510500,844.3620512000,764.2932360000,773.3919650000,59739874,5292193380.7600,1,14.971921,-1.162791
42,2007-11-09,sz.000623,760.9267062700,769.7524734000,621.5341779900,643.7350767500,45099179,3462365391.9600,1,11.302691,-16.764706
43,2007-11-16,sz.000623,622.7170127600,702.4218788000,595.0568766000,689.9566200700,53768879,3873697736.9100,1,13.475479,7.180212
44,2007-11-23,sz.000623,682.4046750000,691.3214294200,589.5976392000,607.7950972000,28252126,1985905470.9500,1,7.080507,-11.908216
45,2007-11-30,sz.000623,622.7170127600,625.9015679100,535.7331635200,546.1057145800,50979757,3170054727.1200,1,12.776473,-10.149701
46,2007-12-07,sz.000623,541.8293119500,584.4113636700,536.8250110000,582.1366814200,30967473,1929060090.6700,1,7.761024,6.597801
47,2007-12-14,sz.000623,568.6705625000,622.0801017300,562.3014522000,580.4989102000,45768070,2962508750.1900,1,11.470328,-0.281338
48,2007-12-21,sz.000623,580.4989102000,582.8645797400,539.6456169900,580.8628593600,31245974,1922650245.0900,1,7.830821,0.062696
49,2007-12-28,sz.000623,592.3272579000,638.6397885100,592.3272579000,612.7993981500,61927991,4226141808.0700,1,15.520304,5.498120
50,2008-01-04,sz.000623,613.2543346000,641.3694072100,576.6774440200,631.4517926000,42528794,2838407445.1600,1,10.658505,3.043801
51,2008-01-11,sz.000623,631.4517926000,664.3891915800,618.7135720000,662.4784584900,49156808,3486682077.3200,1,12.319609,4.913545
52,2008-01-18,sz.000623,667.4827594400,700.6021330000,629.6320468000,686.0441666000,67477056,4975330246.0900,1,16.911003,3.557204
53,2008-01-25,sz.000623,685.0433064100,685.3162682800,544.8318925200,589.8706010700,66999166,4320970170.1200,1,16.791235,-14.018568
54,2008-02-01,sz.000623,584.6843255400,584.6843255400,483.1425099000,496.3356669500,54765043,3163575341.7300,1,13.725136,-15.856856
55,2008-02-05,sz.000623,512.9863410200,542.3752356900,501.3399679000,529.0910913500,21670731,1258183111.4800,1,5.431087,6.599450
56,2008-02-15,sz.000623,525.9065362000,547.5615112200,507.7090782000,527.7262820000,19530214,1130062730.2200,1,4.894634,-0.257954
57,2008-02-22,sz.000623,541.1924009200,574.5847363500,500.2481204200,505.8893324000,52246194,3115138852.5700,1,13.093866,-4.137931
58,2008-02-29,sz.000623,501.3399679000,514.8060868200,471.3141622000,493.1511118000,37337738,2011972562.3400,1,9.357530,-2.517986
