,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000683,8.6867053000,8.7913644000,8.3727280000,8.7704325800,8680914,35657165.3000,1,3.951749,0.963855
1,2007-01-12,sz.000683,8.7913644000,10.5705691000,8.6867053000,9.3565235400,47235937,217536607.2500,1,21.502871,6.682578
2,2007-01-19,sz.000683,9.3565235400,12.5172283600,9.2937280800,12.3497738000,81543628,438136607.4700,1,37.120511,31.991051
3,2007-01-26,sz.000683,12.3707056200,12.6637511000,10.5287054600,11.3450464400,47339244,269516412.3300,1,21.549899,-8.135593
4,2007-02-02,sz.000683,11.3450464400,13.6056830000,11.3450464400,13.0823875000,65935514,399147784.2500,1,30.015343,15.313653
5,2007-02-09,sz.000683,13.2707738800,14.7778649200,12.9567965800,13.8150012000,48838799,321542739.7700,1,22.232530,5.600000
6,2007-02-16,sz.000683,13.8150012000,15.7407286400,13.2917057000,15.2592967800,42585158,297030073.5500,1,19.385731,10.454545
7,2007-03-02,sz.000683,15.6360695400,16.5989332600,14.0661830400,14.2964330600,48930218,356434345.2900,1,22.274146,-6.310014
8,2007-03-09,sz.000683,14.4848194400,15.4058195200,14.2336376000,14.9243876600,39759689,282406743.6600,1,18.099513,4.392387
9,2007-03-16,sz.000683,14.9662513000,16.7035923600,14.5476149000,15.6988650000,76976828,581056743.4200,1,35.041600,5.189341
10,2007-03-23,sz.000683,15.0709104000,16.8710469200,14.6522740000,16.7454560000,51389779,398742799.4200,1,23.393794,6.666667
11,2007-03-30,sz.000683,16.9966378400,17.6455242600,16.0756377600,16.7663878200,67565043,546116171.6300,1,30.757141,0.125000
12,2007-04-06,sz.000683,16.7873196400,18.1897515800,16.4524105200,17.8339106400,70121310,572031151.9100,1,31.920812,6.367041
13,2007-04-13,sz.000683,18.3990697800,20.6806381600,18.1269561200,19.3200698600,102432150,946799213.1000,1,46.629440,8.333333
14,2007-04-20,sz.000683,19.2572744000,21.2667291200,18.8386380000,20.1364108400,80580635,769106688.3600,1,36.682134,4.225352
15,2007-04-27,sz.000683,20.3247972200,21.8528200800,19.8852290000,20.6387745200,97166827,979430341.2700,1,44.232546,2.494802
16,2007-04-30,sz.000683,20.3038654000,20.7225018000,19.8015017200,20.3666608600,16454929,158432055.6100,1,7.490657,-1.318458
17,2007-05-11,sz.000683,20.9318200000,23.0250020000,20.4713199600,22.0202746400,98848501,1037575863.3500,1,44.998082,8.119219
18,2007-05-18,sz.000683,21.5597746000,22.7738201600,20.5131836000,22.0830701000,78778769,824178890.1100,1,35.861884,0.285171
19,2007-05-25,sz.000683,21.1411382000,27.0020478000,20.9527518200,26.1857068200,147355853,1749164016.8100,1,67.079730,18.578199
20,2007-06-01,sz.000683,26.7717977800,28.2579570000,22.8156838000,26.0601159000,100771930,1272468077.6800,1,45.873670,-0.479616
21,2007-06-08,sz.000683,23.4645702200,24.8042067000,20.9318200000,23.6110929600,52664945,568785749.2700,1,23.974279,-9.397590
22,2007-06-15,sz.000683,23.6110929600,28.2579570000,23.1296611000,26.2066386400,106612057,1341578397.8600,1,48.532229,10.992908
23,2007-06-22,sz.000683,26.6043432200,27.9439797000,22.9831383600,23.9460020800,61845464,782594705.5200,1,28.153459,-8.626198
24,2007-06-29,sz.000683,23.9460020800,24.4065021200,18.9642289200,18.9642289200,49599812,518320911.0200,1,22.578960,-20.804196
25,2007-07-06,sz.000683,18.2106834000,19.3619335000,15.1965013200,17.1431605800,32774511,276223760.5400,1,14.919701,-9.602649
26,2007-07-13,sz.000683,17.3106151400,19.6340471600,17.1222287600,18.5246607000,24792321,218671668.1400,1,11.286027,8.058608
27,2007-07-20,sz.000683,18.5665243400,20.5131836000,18.4618652400,20.2829335800,38625229,361328116.6000,1,17.583081,9.491525
28,2007-07-27,sz.000683,20.4085245000,24.8042067000,20.4085245000,24.4902294000,45714042,499190565.8200,1,20.810070,20.743034
29,2007-08-03,sz.000683,24.4902294000,25.9135931600,22.9831383600,24.3227748400,47627356,556956750.6500,1,21.681054,-0.683761
30,2007-08-10,sz.000683,24.4692975800,27.2113660000,24.1971839200,24.6576839600,50234589,618761402.9000,1,22.867925,1.376936
