,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000738,3.9287280000,4.0203983200,3.8108661600,3.9942068000,6986098,20813290.9800,1,3.805327,2.348993
1,2007-01-12,sz.000738,4.0073025600,4.5180372000,3.9156322400,4.2561220000,31374661,101196384.6600,1,17.089777,6.557377
2,2007-01-19,sz.000738,4.2299304800,4.9109100000,4.1906432000,4.9109100000,48344004,169420673.8500,1,26.332977,15.384615
3,2007-01-26,sz.000738,5.0942506400,5.4871234400,4.8323354400,4.8585269600,45731508,177402823.5600,1,24.909950,-1.066667
4,2007-02-02,sz.000738,4.8454312000,5.2775912800,4.6751863200,5.0418676000,32251027,123080065.6700,1,17.567133,3.773585
5,2007-02-09,sz.000738,5.0418676000,5.6835598400,5.0025803200,5.4740276800,30628994,126666825.1000,1,16.683612,8.571429
6,2007-02-16,sz.000738,5.4347404000,6.3252520800,5.4216446400,6.2728690400,24724237,110487680.7600,1,13.467291,14.593301
7,2007-03-02,sz.000738,6.2859648000,6.9145612800,5.9847623200,6.2204860000,41077731,199981508.2500,1,22.375038,-0.835073
8,2007-03-09,sz.000738,6.4169224000,7.6086365600,6.1550072000,7.6086365600,53734181,286674404.7100,1,29.269006,22.315789
9,2007-03-16,sz.000738,7.8312644800,8.4467652000,7.5693492800,7.7657856800,60910672,370545039.0500,1,33.178040,2.065404
10,2007-03-23,sz.000738,7.3860086400,9.5206175200,7.3729128800,9.5206175200,40903476,260340623.8500,1,22.280122,22.596965
11,2007-03-30,sz.000738,9.9920648800,10.8432892800,9.0622659200,9.8218200000,95929874,729944352.2800,1,52.252998,3.163686
12,2007-04-06,sz.000738,9.8218200000,10.4373207200,9.3765641600,10.0706394400,42523239,320698490.8900,1,23.162406,2.533333
13,2007-04-13,sz.000738,10.2146928000,10.5682783200,9.7825327200,10.3587461600,49049764,382244473.2300,1,26.717404,2.860858
14,2007-04-20,sz.000738,10.4242249600,11.6552264000,10.0575436800,10.9742468800,92772083,759773472.2300,1,50.532950,5.941846
15,2007-04-27,sz.000738,10.9480553600,11.6159391200,10.4111292000,10.4897037600,76592350,643258325.8900,1,41.719850,-4.415274
16,2007-04-30,sz.000738,10.4766080000,10.7254274400,10.4504164800,10.5944698400,10558762,85413007.6000,1,5.751357,0.998752
17,2007-05-11,sz.000738,10.6992359200,12.0611949600,10.5420868000,11.5373645600,70148350,611500053.8700,1,38.209803,8.899876
18,2007-05-18,sz.000738,11.0004384000,14.2612826400,11.0004384000,14.2612826400,56226574,532881869.2100,1,30.626612,23.609535
19,2007-05-25,sz.000738,14.3922402400,15.4399010400,13.4493455200,14.8374960800,111299558,1235893075.2200,1,60.624865,4.040404
20,2007-06-01,sz.000738,15.2303688800,15.2696561600,12.2445356000,12.2445356000,49997387,529703289.6000,1,27.233575,-17.475728
21,2007-06-08,sz.000738,11.6290348800,11.6290348800,9.9920648800,11.0397256800,66292401,537988257.2300,1,36.109468,-9.839572
22,2007-06-15,sz.000738,11.5242688000,11.5242688000,9.7956284800,10.2801716000,79108773,631508500.3900,1,43.090545,-6.880190
23,2007-06-22,sz.000738,10.3194588800,10.8694808000,9.1932235200,9.1932235200,59151149,460022374.8800,1,32.219628,-10.573248
24,2007-06-29,sz.000738,8.7348719200,9.3372768800,7.7526899200,7.7526899200,41249965,258344827.7100,1,22.468854,-15.669516
25,2007-07-06,sz.000738,7.3598171200,7.4383916800,6.4562096800,6.9538485600,51690620,275527731.5300,1,28.155879,-10.304054
26,2007-07-13,sz.000738,7.0324231200,7.3074340800,6.6002630400,6.9276570400,38999713,207786970.0600,1,21.243142,-0.376648
27,2007-07-20,sz.000738,6.9407528000,7.1764764800,6.2597732800,7.1764764800,29899504,153609903.4400,1,16.286259,3.591682
28,2007-07-27,sz.000738,7.5169662400,8.1324669600,7.0455188800,8.1324669600,56807349,329990121.4500,1,30.942961,13.321168
29,2007-08-03,sz.000738,8.1455627200,8.4860524800,7.4776789600,7.6741153600,51420523,312872945.0600,1,28.008757,-5.636071
30,2007-08-10,sz.000738,7.6610196000,8.2241372800,7.5562535200,7.8574560000,37695441,226002796.6600,1,20.532705,2.389078
31,2007-08-17,sz.000738,7.8967432800,9.1015532000,7.6741153600,8.1848500000,64372296,415960730.5500,1,35.063587,4.166667
32,2007-08-24,sz.000738,8.3289033600,9.9920648800,8.2503288000,9.9920648800,61496301,426500271.3700,1,33.497033,22.080000
33,2007-08-31,sz.000738,10.4897037600,10.4897037600,9.1670320000,10.2146928000,70070907,530580309.8700,1,38.167620,2.228047
34,2007-09-07,sz.000738,10.4111292000,10.8040020000,9.8218200000,9.8872988000,45244455,356844570.9600,1,24.644653,-3.205128
35,2007-09-14,sz.000738,9.5337132800,10.3194588800,9.3503726400,9.9003945600,54218565,407445694.3300,1,29.532850,0.132450
36,2007-09-21,sz.000738,9.7170539200,10.5420868000,9.7170539200,10.4635122400,45423588,353480732.3500,1,24.742226,5.687831
37,2007-09-28,sz.000738,10.4504164800,10.4504164800,9.2717980800,9.6384793600,29783181,222003157.9800,1,16.222897,-7.884856
38,2007-10-12,sz.000738,9.7170539200,9.7432454400,8.6039143200,8.7217761600,26530424,186746521.1200,1,14.451121,-9.510870
39,2007-10-19,sz.000738,8.6432016000,9.5206175200,8.1455627200,8.9051168000,31852212,217188943.3000,1,17.349899,2.102102
40,2007-10-26,sz.000738,8.8920210400,8.8920210400,7.3467213600,7.3467213600,20292932,124311640.3900,1,11.053559,-17.500000
41,2007-11-02,sz.000738,7.0979019200,7.8181687200,6.9800400800,7.0717104000,20638995,116357685.5500,1,11.242060,-3.743316
42,2007-11-09,sz.000738,7.0062316000,7.7134026400,6.7443164000,7.0324231200,15257387,85428259.5200,1,8.310698,-0.555556
43,2007-11-16,sz.000738,6.9538485600,7.8443602400,6.8228909600,7.7134026400,14472140,82349450.6100,1,7.882974,9.683426
