,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000876,38.9838943800,41.0653481400,36.4254408000,36.8157133800,52442929,464956324.9900,1,19.436363,-2.637615
1,2007-01-12,sz.000876,36.8590770000,42.1928022600,36.8590770000,38.0732583600,90935512,844693217.6500,1,33.702457,3.415783
2,2007-01-19,sz.000876,38.0298947400,43.7538925800,37.7263494000,42.5830748400,95699825,915066179.0000,1,35.468204,11.845103
3,2007-01-26,sz.000876,43.6238017200,48.0035273400,41.1954390000,45.9220735800,98458169,1025264613.2800,1,36.490499,7.841141
4,2007-02-02,sz.000876,46.8327096000,48.1336182000,39.5042578200,39.7644395400,76725301,788659700.8600,1,28.435879,-13.408876
5,2007-02-09,sz.000876,39.5042578200,46.3123461600,36.9458042400,45.1848920400,77706776,753639667.1800,1,26.809141,13.631407
6,2007-02-16,sz.000876,45.2282556600,55.0717974000,45.2282556600,53.0337072600,71616980,828408902.7600,1,23.484905,17.370441
7,2007-03-02,sz.000876,53.0337072600,53.8576160400,45.9654372000,47.6132547600,64884925,747033186.7300,1,21.277305,-10.220769
8,2007-03-09,sz.000876,49.0876178400,51.9062531400,46.3990734000,51.1690716000,54109214,618065428.4800,1,17.743694,7.468124
9,2007-03-16,sz.000876,51.2991624600,53.6841615600,48.5672544000,49.3911631800,49457878,584310122.8000,1,16.218410,-3.474576
10,2007-03-23,sz.000876,47.6999820000,52.9036164000,47.1796185600,50.7354354000,57815463,682503413.2000,1,18.959060,2.721686
11,2007-03-30,sz.000876,50.7354354000,57.0231603000,49.9115266200,57.0231603000,97855485,1218736320.0000,1,32.089132,12.393162
12,2007-04-06,sz.000876,57.1098875400,58.8444323400,54.6381612000,55.8089789400,75781036,983514593.9500,1,24.850398,-2.129278
13,2007-04-13,sz.000876,56.3727060000,62.7905217600,56.3293423800,61.2727950600,104288835,1463349164.1800,1,34.198780,9.790210
14,2007-04-20,sz.000876,61.0126133400,73.5013359000,60.9258861000,72.4172454000,126152969,2006151244.3700,1,41.368548,18.188252
15,2007-04-27,sz.000876,71.1163368000,82.3475143800,69.2517011400,80.4828787200,110534856,1948908012.8700,1,36.246999,11.137725
16,2007-04-30,sz.000876,80.3527878600,88.5051484200,79.6589699400,88.1148758400,27327883,539789411.5700,1,8.961460,9.482759
17,2007-05-11,sz.000876,93.0149649000,95.3132367600,77.6642434200,81.3935147400,85186061,1665505393.8900,1,27.934528,-7.627953
18,2007-05-18,sz.000876,80.3961514800,83.4749685000,73.7181540000,79.8757880400,67881206,1238660443.0000,1,22.259856,-1.864678
19,2007-05-25,sz.000876,75.8863350000,87.3776943000,75.0190626000,86.4670582800,112435198,2149996616.4700,1,36.870166,8.251900
20,2007-06-01,sz.000876,88.8954210000,93.2317830000,71.3331549000,71.3331549000,132047097,2536392922.5200,1,43.301372,-17.502508
21,2007-06-08,sz.000876,71.2030640400,73.7181540000,57.8037054600,71.8968819600,103723661,1581060973.6700,1,34.013446,0.790274
22,2007-06-15,sz.000876,74.0650629600,80.1793333800,71.3765185200,73.9349721000,84825000,1471998440.2900,1,27.816128,2.834741
23,2007-06-22,sz.000876,76.3199712000,86.5104219000,74.1084265800,77.4907889400,119843609,2204092193.6800,1,39.299559,4.809384
24,2007-06-29,sz.000876,78.2713341000,79.3987882200,65.9560660200,65.9560660200,63942064,1037776120.6300,1,20.968118,-14.885283
25,2007-07-06,sz.000876,64.6985210400,67.8640653000,57.8037054600,62.7471581400,44407243,647395422.9700,1,14.562187,-4.865220
26,2007-07-13,sz.000876,64.6117938000,67.4352920000,62.8772490000,65.2599600000,35305115,532607868.1700,1,11.577384,4.004646
27,2007-07-20,sz.000876,65.1729467200,69.5671173600,61.1268292000,68.8710111200,35720837,539093499.7300,1,11.713709,5.533333
28,2007-07-27,sz.000876,70.6982900000,78.6600051200,70.6982900000,78.6600051200,59432918,1018390079.5600,1,19.489462,14.213519
29,2007-08-03,sz.000876,79.3996180000,85.3165210400,78.3119520000,85.2295077600,76789783,1453651826.4200,1,25.181190,8.351770
30,2007-08-10,sz.000876,86.1431472000,90.4067979200,78.3554586400,79.8346844000,58732774,1140588930.3300,1,19.259868,-6.329760
31,2007-08-17,sz.000876,79.8346844000,85.4905476000,78.3554586400,78.8340316800,43624911,827568171.7700,1,14.305642,-1.253406
32,2007-08-24,sz.000876,80.8353371200,93.1042096000,80.7918304800,92.6691432000,62881928,1266382902.1400,1,20.620474,17.549669
33,2007-08-31,sz.000876,95.7146080000,104.6334692000,93.6697959200,101.5444977600,99642595,2305162675.7900,1,32.675168,9.577465
34,2007-09-07,sz.000876,104.1984028000,105.2425621600,92.6691432000,97.2808470400,60479552,1369053802.0600,1,19.832678,-4.198800
35,2007-09-14,sz.000876,97.6724068000,102.2406040000,88.6665323200,91.8860236800,50868698,1109203575.2300,1,16.681052,-5.545617
36,2007-09-21,sz.000876,91.5814772000,97.5418868800,86.1431472000,87.4483464000,53107708,1120658412.6500,1,17.415276,-4.829545
37,2007-09-28,sz.000876,87.3613331200,91.1029041600,83.3152156000,89.9282248800,31124266,619249646.7900,1,10.206384,2.835821
38,2007-10-12,sz.000876,91.7555037600,95.0620084000,83.3152156000,89.8412116000,38621107,801025257.2900,1,12.664776,-0.096759
39,2007-10-19,sz.000876,90.1022514400,90.1892647200,81.2704035200,82.3580695200,30770383,606953738.1500,1,10.090338,-8.329298
40,2007-10-26,sz.000876,80.6613105600,82.2275496000,71.2638763200,71.8294626400,17741575,318767994.0100,1,5.817883,-12.783941
41,2007-11-02,sz.000876,75.6145403200,84.7074280800,74.0483012800,76.6151930400,26246807,476249926.8400,1,8.606950,6.662629
42,2007-11-09,sz.000876,75.6580469600,81.2268968800,74.1788212000,78.4424719200,18357781,331341601.1900,1,6.019951,2.385009
43,2007-11-16,sz.000876,77.4418192000,82.4450828000,76.1366200000,77.6158457600,25971476,476010596.1100,1,8.516662,-1.053799
44,2007-11-23,sz.000876,77.6158457600,81.7054699200,72.5690755200,74.9184340800,8706433,153329661.3800,1,2.855046,-3.475336
45,2007-11-30,sz.000876,76.0496067200,76.5716864000,69.6106240000,70.6547833600,11821308,196896291.6100,1,3.876487,-5.691057
46,2007-12-07,sz.000876,70.4807568000,76.8762328800,70.4807568000,76.4846731200,10218398,173461751.3300,1,3.350855,8.251232
47,2007-12-14,sz.000876,74.7444075200,82.1405363200,74.1788212000,80.3132574400,21100035,383423743.5900,1,6.919201,5.005688
48,2007-12-21,sz.000876,80.9223504000,84.8379480000,77.5288324800,83.7937886400,22558643,423864427.2500,1,7.397514,4.333694
49,2007-12-28,sz.000876,84.1853484000,88.5360124000,81.7924832000,86.9262667200,34353879,673782888.4000,1,11.265451,3.738318
50,2008-01-04,sz.000876,87.4918530400,99.8042321600,87.4918530400,97.4983802400,35135701,771223802.2200,1,11.516340,12.162162
51,2008-01-11,sz.000876,97.4548736000,105.7211352000,95.0620084000,99.8477388000,46315612,1066784427.7600,1,15.180752,2.409639
52,2008-01-18,sz.000876,100.0652720000,110.9419320000,96.0191544800,97.4548736000,66744904,1604293086.3700,1,21.876809,-2.396514
53,2008-01-25,sz.000876,98.3685130400,101.2834579200,83.5327488000,92.1470635200,63159335,1319742061.4000,1,20.701576,-5.446429
54,2008-02-01,sz.000876,91.7555037600,91.7555037600,74.8749274400,78.1814320800,28075595,538220138.8000,1,9.202267,-15.155807
55,2008-02-05,sz.000876,81.3574168000,87.7963995200,80.4872840000,86.3171737600,9384316,184114384.7100,1,3.075874,10.406233
56,2008-02-15,sz.000876,85.7080808000,89.1886120000,83.0541757600,88.3184792000,11184072,223163550.0400,1,3.492710,2.318548
57,2008-02-22,sz.000876,90.0587448000,98.6730595200,86.4912003200,88.5795190400,36832876,786780915.0300,1,11.290658,0.295567
58,2008-02-29,sz.000876,88.3184792000,92.0165436000,80.0957242400,89.8412116000,21850583,433432311.1700,1,6.698023,1.424361
59,2008-03-07,sz.000876,89.8847182400,96.8022740000,88.0139327200,90.0587448000,29017943,616116659.0200,1,8.895088,0.242131
60,2008-03-14,sz.000876,88.6665323200,89.5801717600,77.4418192000,78.7470184000,18033492,344730059.8000,1,5.527942,-12.560386
61,2008-03-21,sz.000876,78.3119520000,79.1385781600,65.6950264000,76.3541532000,24447092,414150712.4800,1,7.493951,-3.038674
62,2008-03-28,sz.000876,77.4418192000,78.3119520000,64.8248936000,70.7853032800,17597389,292543466.2600,1,5.321417,-7.293447
63,2008-04-03,sz.000876,69.1755576000,70.2632236000,56.5586320000,60.5612428800,19351045,274261640.3800,1,5.658186,-14.443762
64,2008-04-11,sz.000876,60.0391632000,65.9560662400,57.6898046400,62.4320284000,22562688,323356394.2900,1,6.597260,3.089080
65,2008-04-18,sz.000876,60.9092960000,61.7794288000,52.9910875200,53.1216074400,15524223,208237332.1400,1,4.539235,-14.912892
66,2008-04-25,sz.000876,57.3417515200,61.5618956000,45.9865184800,59.6040968000,46708141,593122966.7300,1,13.657316,12.203112
67,2008-04-30,sz.000876,58.2553909600,62.6495616000,57.6027913600,62.2144952000,34649702,481718925.8600,1,10.131466,4.379562
68,2008-05-09,sz.000876,63.0411213600,64.2593072800,56.7761652000,59.9086432800,39287510,552913165.5300,1,11.487546,-3.706294
69,2008-05-16,sz.000876,58.9514972000,68.9145177600,58.2553909600,65.2599600000,43428775,646343204.2000,1,12.698440,8.932462
70,2008-05-23,sz.000876,65.2599600000,67.1307455200,53.5566738400,60.9963092800,72446370,1038757786.3200,1,21.183095,-6.533333
71,2008-05-30,sz.000876,60.3437096800,60.3437096800,55.1229128800,55.7755124800,25941407,339196596.6600,1,7.585187,-8.559201
72,2008-06-06,sz.000876,54.6443398400,56.2105788800,50.5982223200,51.6858883200,17403777,213872847.6600,1,5.088811,-7.332293
73,2008-06-13,sz.000876,48.2053571200,49.1625032000,41.3313080000,41.3313080000,17531099,180955657.1100,1,5.126039,-20.033670
74,2008-06-20,sz.000876,41.7663744000,42.4624806400,33.1955663200,34.8053120000,30096196,258344121.2900,1,8.800035,-15.789474
75,2008-06-27,sz.000876,34.7182987200,43.2891068000,33.8481659200,37.4157104000,44423110,398810946.0100,1,12.989180,7.500000
76,2008-07-04,sz.000876,37.1111639200,44.6311929000,36.6325908800,43.6382272500,42660616,377391448.3300,1,11.727013,16.630760
77,2008-07-11,sz.000876,44.8924996500,59.8392457500,43.8995340000,50.9025549000,141327346,1430589498.1300,1,34.436399,16.646707
78,2008-07-18,sz.000876,50.9548162500,60.2050752000,50.0141119500,53.8291905000,140410269,1500719551.2600,1,34.212940,5.749487
79,2008-07-25,sz.000876,53.3065770000,63.3407562000,51.7909978500,59.8392457500,158617887,1822088077.1700,1,38.649483,11.165049
80,2008-08-01,sz.000876,60.3095979000,61.1980408500,53.4110997000,57.4352236500,69302741,769813772.7100,1,16.886589,-4.017467
81,2008-08-08,sz.000876,56.9648715000,59.4734163000,49.6482825000,50.9548162500,58608844,605254359.0300,1,14.280871,-11.282985
82,2008-08-15,sz.000876,50.1708960000,50.1708960000,40.0321941000,42.6452616000,54697080,455394616.6500,1,13.327714,-16.307692
83,2008-08-22,sz.000876,42.6452616000,44.9447610000,36.0603315000,40.7638530000,59859857,473485151.0100,1,14.585698,-4.411765
84,2008-08-29,sz.000876,41.0251597500,43.0110910500,36.6352063500,42.8020456500,47296384,364132900.3300,1,11.524430,5.000000
85,2008-09-05,sz.000876,42.3316935000,42.3316935000,37.5236493000,37.7326947000,40597873,313094574.7500,1,9.892244,-11.843712
86,2008-09-12,sz.000876,37.8894787500,38.1507855000,34.7537977500,36.0603315000,26138504,181788828.4900,1,6.369015,-4.432133
87,2008-09-19,sz.000876,35.9558088000,37.6804333500,31.8271621500,37.6804333500,28151434,189698101.3100,1,6.859494,4.492754
88,2008-09-26,sz.000876,41.2864665000,44.2653634500,37.0010358000,41.7045573000,92947797,724305930.2500,1,22.648040,10.679612
89,2008-10-10,sz.000876,42.2794321500,44.6834542500,37.5759106500,37.5759106500,65971405,528321646.8400,1,16.074862,-9.899749
90,2008-10-17,sz.000876,36.8965131000,41.9658640500,33.7085707500,34.0744002000,51672952,370357922.3900,1,12.590843,-9.318498
91,2008-10-24,sz.000876,34.4924910000,37.3668652500,32.9246505000,34.2311842500,35135515,237828334.3700,1,8.561263,0.460123
92,2008-10-31,sz.000876,33.0291732000,33.4472640000,29.3186173500,29.7889695000,33013385,195940043.4900,1,8.044176,-12.977099
93,2008-11-07,sz.000876,29.4231400500,31.2000259500,28.6392198000,30.8341965000,22530900,128980044.0000,1,5.489971,3.508772
94,2008-11-14,sz.000876,31.9316848500,37.0532971500,31.6181167500,36.3216382500,57863332,378971294.8700,1,14.099216,17.796610
95,2008-11-21,sz.000876,36.4261609500,38.6733990000,34.2834456000,36.8965131000,93032974,659231145.7700,1,22.668795,1.582734
96,2008-11-28,sz.000876,37.1578198500,37.9417401000,32.5588210500,33.0814345500,47439539,322069407.4700,1,11.559312,-10.339943
97,2008-12-05,sz.000876,32.7156051000,39.5618419500,32.5588210500,39.3005352000,89088112,632317469.5100,1,21.707574,18.799368
98,2008-12-12,sz.000876,40.1889781500,40.6593303000,36.0603315000,37.4191266000,84376327,634124432.9200,1,20.559481,-4.787234
99,2008-12-19,sz.000876,37.9940014500,40.3980235500,36.2693769000,39.3005352000,51638388,381805958.6400,1,12.582421,5.027933
100,2008-12-26,sz.000876,39.4573192500,40.5025462500,34.5447523500,34.9105818000,46655391,333994425.2000,1,11.368243,-11.170213
101,2008-12-31,sz.000876,34.9628431500,35.2764112500,33.1336959000,33.1859572500,15599056,101721584.4500,1,3.800930,-4.940120
102,2009-01-09,sz.000876,33.6040480500,38.6733990000,33.4472640000,36.9487744500,44032192,307334482.4300,1,10.729064,11.338583
103,2009-01-16,sz.000876,37.0010358000,38.8824444000,35.1196272000,37.7849560500,46578098,332528856.1400,1,11.349410,2.263083
104,2009-01-23,sz.000876,38.1507855000,39.6141033000,36.6352063500,39.0392284500,54649273,400481410.8400,1,13.316065,3.319502
105,2009-02-06,sz.000876,40.3980235500,45.7809426000,39.3005352000,45.2060677500,119835547,976268967.0400,1,29.199620,15.796519
106,2009-02-13,sz.000876,45.9377266500,48.2372260500,43.6382272500,47.6100898500,104733329,929663946.8900,1,14.137214,5.317919
107,2009-02-20,sz.000876,48.3940101000,49.3869757500,44.0040567000,45.9899880000,85559719,759739539.9000,1,11.549103,-3.402854
108,2009-02-27,sz.000876,45.5196358500,52.1568273000,42.4362162000,43.1156137500,136222994,1258620017.3100,1,18.387782,-6.250000
109,2009-03-06,sz.000876,42.5930002500,49.2824530500,42.4362162000,47.2965217500,79912699,716941831.4600,1,10.786852,9.696970
110,2009-03-13,sz.000876,47.1919990500,48.3417487500,44.3176248000,44.4221475000,55255973,493559387.6600,1,7.458614,-6.077348
111,2009-03-20,sz.000876,44.2131021000,47.5055671500,42.8543070000,46.3035561000,51248621,449158049.9100,1,6.917690,4.235294
112,2009-03-27,sz.000876,46.0422493500,50.9025549000,46.0422493500,48.1327033500,72936134,680263444.3300,1,9.845135,3.950339
113,2009-04-03,sz.000876,48.0804420000,53.0452702500,46.7216469000,51.8432592000,66049853,628660725.1800,1,8.915604,7.709012
114,2009-04-10,sz.000876,51.7387365000,52.7839635000,48.2372260500,49.2301917000,39539208,380853163.1600,1,5.337119,-5.040323
115,2009-04-17,sz.000876,51.2161230000,52.8362248500,49.3869757500,50.6412481500,68870370,673456429.7000,1,9.296326,2.866242
116,2009-04-24,sz.000876,50.6935095000,52.7839635000,48.6553168500,49.2824530500,54335152,527862096.8000,1,7.334319,-2.683179
