,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000959,5.1032450000,5.9051835000,5.0449222000,5.8468607000,85967973,328356820.9300,1,19.773351,17.595308
1,2007-01-12,sz.000959,5.7739572000,6.4884115000,5.5406660000,5.5698274000,166912294,682930412.6600,1,38.391220,-4.738155
2,2007-01-19,sz.000959,5.5406660000,6.2988624000,5.4386011000,6.1967975000,210629085,854050604.7500,1,48.446447,11.256545
3,2007-01-26,sz.000959,6.1530554000,7.6840289000,6.1093133000,6.8091869000,570724617,2722621182.1800,1,89.435383,9.882353
4,2007-02-02,sz.000959,6.9258325000,7.1008009000,5.9197642000,6.0072484000,211266620,957930237.8600,1,30.722726,-11.777302
5,2007-02-09,sz.000959,5.9780870000,6.7946062000,5.9197642000,6.5904764000,201969334,896780406.0500,1,29.370700,9.708738
6,2007-02-16,sz.000959,6.5467343000,7.2611886000,6.5029922000,7.1008009000,233237477,1100585263.3400,1,33.917762,7.743363
7,2007-03-02,sz.000959,7.1445430000,7.7569324000,6.6487992000,7.0278974000,379451308,1884332262.3800,1,41.837135,-1.026694
8,2007-03-09,sz.000959,7.0133167000,7.9173201000,6.6633799000,7.6257061000,452020168,2316824707.8500,1,49.838355,8.506224
9,2007-03-16,sz.000959,7.6548675000,8.3839025000,7.5382219000,7.8298359000,467110023,2561039608.3900,1,51.502116,2.676864
10,2007-03-23,sz.000959,7.5090605000,8.3401604000,7.4361570000,8.2089341000,301658095,1667264152.1700,1,33.259894,4.841713
11,2007-03-30,sz.000959,8.2526762000,9.0254533000,8.2089341000,8.7484200000,387194452,2295472485.5700,1,41.918847,6.571936
12,2007-04-06,sz.000959,8.9088077000,9.5795199000,8.8213235000,9.5211971000,391945826,2464630846.1700,1,37.025578,8.833333
13,2007-04-13,sz.000959,9.7253269000,10.6439110000,9.6670041000,9.9440374000,474131358,3294908536.5000,1,43.473214,4.441041
14,2007-04-20,sz.000959,9.9148760000,11.0959127000,9.7253269000,10.6876531000,543646067,3889810733.3600,1,49.847033,7.478006
15,2007-04-27,sz.000959,10.7605566000,12.5539827000,10.7459759000,11.9853354000,536884452,4374209415.3800,1,49.227059,12.141883
16,2007-04-30,sz.000959,11.9124319000,12.1019810000,11.7374635000,11.9270126000,52912759,432197623.5000,1,4.851583,-0.486618
17,2007-05-11,sz.000959,12.1311424000,13.1226300000,11.6791407000,12.5977248000,332268965,2833078949.8100,1,30.465818,5.623472
18,2007-05-18,sz.000959,12.6706283000,13.4725668000,11.9707547000,13.1955335000,363414319,3238632675.1200,1,33.321543,4.745370
19,2007-05-25,sz.000959,12.6852090000,13.4725668000,12.5539827000,12.9039195000,396689153,3552814993.1000,1,36.372520,-2.209945
20,2007-06-01,sz.000959,12.9768230000,13.3996633000,10.1773286000,10.1919093000,440407683,3646965434.5200,1,40.381082,-21.016949
21,2007-06-08,sz.000959,10.1335865000,10.4252005000,8.2526762000,10.2064900000,354037827,2313116292.6000,1,32.461810,0.143062
22,2007-06-15,sz.000959,10.2064900000,11.0084285000,9.7107462000,10.4397812000,261961482,1873119392.6100,1,24.019309,2.285714
23,2007-06-22,sz.000959,10.5590907600,10.9617679500,9.4405430100,9.6344246200,234709371,1644579152.8900,1,21.520556,-7.714286
24,2007-06-29,sz.000959,9.6642525600,10.1414996000,8.6799305400,9.2019194900,174108774,1093877556.4200,1,15.964074,-4.489164
25,2007-07-06,sz.000959,9.1870055200,9.8432202000,8.9334680300,9.4852849200,93841593,592335849.5600,1,8.604357,3.079417
26,2007-07-13,sz.000959,9.4703709500,9.6940805000,9.1273496400,9.3659731600,55656675,352619590.7300,1,5.103173,-1.257862
27,2007-07-20,sz.000959,9.3361452200,9.3958011000,8.9632959700,9.3659731600,49650117,305553133.1200,1,4.552431,0.000000
28,2007-07-27,sz.000959,9.3510591900,10.7231444300,9.3510591900,10.6336606100,208098533,1441206591.4800,1,19.080603,13.535032
29,2007-08-03,sz.000959,10.6634885500,11.3197032300,10.2906393000,10.6038326700,181506211,1323442021.2200,1,16.642346,-0.280505
30,2007-08-10,sz.000959,10.7082304600,11.7074664500,10.6634885500,10.9468539800,200729853,1513446140.9000,1,18.404967,3.234880
31,2007-08-17,sz.000959,10.9617679500,11.0214238300,10.4546929700,10.6336606100,80325835,579932684.4600,1,7.365094,-2.861035
32,2007-08-24,sz.000959,10.7828003100,11.4091870500,10.7828003100,11.2003914700,143498310,1071844866.4900,1,13.157393,5.329593
33,2007-08-31,sz.000959,11.3793591100,14.3174112000,11.1854775000,13.8699921000,498041715,4325156531.2000,1,45.665560,23.834887
34,2007-09-07,sz.000959,14.0191318000,14.7200883900,13.1242936000,13.2883472700,272026032,2516888718.3900,1,24.942130,-4.193548
35,2007-09-14,sz.000959,12.9304119900,14.0489597400,12.3487671600,13.6313685800,244179023,2174094932.0600,1,22.388831,2.581369
36,2007-09-21,sz.000959,13.6313685800,15.5105288000,13.4225730000,13.8103362200,375719219,3637264406.0300,1,34.449782,1.312910
37,2007-09-28,sz.000959,13.7954222500,14.1682715000,13.0795516900,13.8849060700,130760694,1191684460.1300,1,11.989478,0.539957
38,2007-10-12,sz.000959,14.0937016500,14.6156906000,12.8707561100,13.4822288800,195330791,1812894496.8000,1,17.909925,-2.900107
39,2007-10-19,sz.000959,13.4822288800,13.9445619500,12.9453259600,12.9751539000,118809771,1064537694.6900,1,10.893695,-3.761062
40,2007-10-26,sz.000959,12.9751539000,12.9751539000,10.7380584000,11.1556495600,97904296,775616810.3700,1,8.976868,-14.022989
41,2007-11-02,sz.000959,11.1854775000,12.1548855500,11.0214238300,11.0363378000,98546134,758494792.0200,1,9.035718,-1.069519
42,2007-11-09,sz.000959,11.0363378000,11.5583267500,10.3801231200,10.5292628200,53410592,393959849.5300,1,4.897230,-4.594595
43,2007-11-16,sz.000959,10.4248650300,11.2003914700,9.8581341700,10.6336606100,54140089,385017934.8700,1,4.964117,0.991501
44,2007-11-23,sz.000959,10.6336606100,11.2898752900,10.5143488500,10.8871981000,49985547,366204104.3500,1,4.424885,2.384292
45,2007-11-30,sz.000959,11.0810797100,11.1109076500,10.6634885500,10.7380584000,41102127,300629530.1200,1,3.407726,-1.369863
46,2007-12-07,sz.000959,10.7828003100,11.9311760000,10.7828003100,11.8566061500,84642603,652414561.2600,1,7.017613,10.416667
47,2007-12-14,sz.000959,11.9162620300,12.9005840500,11.6328966000,12.1548855500,109437960,904317658.9500,1,9.073365,2.515723
48,2007-12-21,sz.000959,12.1548855500,12.6172186200,11.4837569000,12.5128208300,77579206,628320522.2600,1,6.431995,2.944785
49,2007-12-28,sz.000959,12.5128208300,13.2585193300,12.5128208300,12.9602399300,120569269,1035995630.8700,1,9.996248,3.575685
50,2008-01-04,sz.000959,12.9304119900,13.8699921000,12.6917884700,13.5269707900,78001393,705020725.4800,1,6.466998,4.372842
51,2008-01-11,sz.000959,13.3778310900,13.5567987300,12.8260142000,12.9900678700,147565333,1306630959.9500,1,12.234458,-3.969129
52,2008-01-18,sz.000959,13.0049818400,13.4971428500,12.0803157000,12.5277348000,101946008,883271961.6400,1,8.452216,-3.559127
53,2008-01-25,sz.000959,12.6768745000,12.6917884700,10.6784025200,11.6179826300,73910335,570181902.3100,1,6.127814,-7.261905
54,2008-02-01,sz.000959,11.4837569000,11.6627245400,10.6784025200,10.9617679500,48813348,364334932.1700,1,4.047054,-5.648267
55,2008-02-05,sz.000959,11.2153054400,12.0654017300,11.2153054400,11.8715201200,21969910,173117508.7600,1,1.821498,8.299320
56,2008-02-15,sz.000959,11.7820363000,12.0057458500,11.6030686600,11.9610039400,18115083,143659753.4400,1,1.501899,0.753769
57,2008-02-22,sz.000959,12.0057458500,12.4979068600,11.4837569000,11.6179826300,52137177,422239203.3500,1,4.322628,-2.867830
58,2008-02-29,sz.000959,11.6179826300,11.9311760000,11.3346172000,11.7074664500,27250679,212771247.5300,1,2.259320,0.770218
59,2008-03-07,sz.000959,11.7074664500,12.0504877600,11.2153054400,11.8416921800,51107996,401861708.5500,1,4.237300,1.146497
60,2008-03-14,sz.000959,11.8267782100,11.8416921800,10.6784025200,10.8424561900,25742909,193702266.2800,1,2.134312,-8.438287
61,2008-03-21,sz.000959,10.8126282500,11.0512517700,8.9782099400,10.7678863400,54899805,372634037.6400,1,4.551674,-0.687758
62,2008-03-28,sz.000959,10.7977142800,10.9319400100,9.5300268300,10.1414996000,45286694,314012874.4900,1,3.754663,-5.817175
63,2008-04-03,sz.000959,9.9923599000,10.2160694500,8.8738121500,9.2914033100,27437531,172329395.3600,1,2.274811,-8.382353
64,2008-04-11,sz.000959,9.2019194900,9.9028760800,8.9483820000,9.4256290400,35176167,224433239.9700,1,2.916412,1.444623
65,2008-04-18,sz.000959,9.3659731600,9.3659731600,7.8745761600,8.0088018900,29870047,174376980.3500,1,2.476488,-15.031646
66,2008-04-25,sz.000959,8.6501026000,9.7984782900,7.6210386700,9.4405430100,62891323,381902479.1900,1,5.214241,17.877095
67,2008-04-30,sz.000959,9.4405430100,9.8283062300,9.2615753700,9.7686503500,27425451,176511371.2100,1,2.273810,3.475513
68,2008-05-09,sz.000959,9.7984782900,9.9476179900,9.0080378800,9.3808871300,58685777,374635699.7300,1,4.865565,-3.969466
69,2008-05-16,sz.000959,9.3808871300,10.1414996000,9.2764893400,9.6940805000,70249725,463112532.0500,1,5.824317,3.338633
70,2008-05-23,sz.000959,9.6940805000,9.7537363800,8.8738121500,9.0527797900,41858772,260036401.1700,1,3.470459,-6.615385
71,2008-05-30,sz.000959,9.0378658200,9.0378658200,8.5606187800,8.5904467200,34053210,199493395.3200,1,2.823309,-5.107084
72,2008-06-06,sz.000959,8.6202746600,8.8887261200,8.5009629000,8.6501026000,35452315,206728854.2500,1,2.939307,0.694444
73,2008-06-13,sz.000959,8.4644092800,8.4644092800,7.5823776000,7.6906972800,28481252,144800316.3400,1,2.361345,-11.091234
74,2008-06-20,sz.000959,7.6906972800,7.8299654400,6.6539232000,6.9788822400,32645051,154493487.8800,1,2.706560,-9.255533
75,2008-06-27,sz.000959,6.9324595200,7.3502640000,6.7467686400,6.8396140800,26395537,120489191.0200,1,2.188421,-1.995565
76,2008-07-04,sz.000959,6.8396140800,6.9324595200,6.3753868800,6.6075004800,23009511,99069351.7200,1,1.907690,-3.393665
77,2008-07-11,sz.000959,6.6693974400,8.4489350400,6.6229747200,8.0620790400,164446726,851181365.6400,1,13.634073,22.014052
78,2008-07-18,sz.000959,7.9073366400,8.7738940800,7.2264700800,7.6133260800,81629462,417958190.5200,1,6.767797,-5.566219
79,2008-07-25,sz.000959,7.6442745600,8.0466048000,7.5050064000,7.7680684800,43746827,220455944.5500,1,3.626995,2.032520
80,2008-08-01,sz.000959,7.7680684800,7.8918624000,7.1026761600,7.3657382400,27732934,135032238.8000,1,2.299303,-5.179283
81,2008-08-08,sz.000959,7.3657382400,7.3812124800,6.3289641600,6.3289641600,21389078,94827648.6600,1,1.773342,-14.075630
82,2008-08-15,sz.000959,6.3444384000,6.4527580800,5.8802112000,6.1896960000,21673191,85707807.1900,1,1.796897,-2.200489
83,2008-08-22,sz.000959,6.1587475200,6.3444384000,5.7409430400,6.1123248000,17670677,69471425.9400,1,1.465054,-1.250000
84,2008-08-29,sz.000959,6.1587475200,6.1896960000,5.7873657600,6.0349536000,10148822,39167645.8600,1,0.841426,-1.265823
85,2008-09-05,sz.000959,5.9885308800,6.0504278400,5.8183142400,5.8337884800,10324652,39590230.7100,1,0.856004,-3.333333
86,2008-09-12,sz.000959,5.7718915200,5.8802112000,5.4469324800,5.5243036800,10545955,38518154.4000,1,0.874352,-5.305040
87,2008-09-19,sz.000959,5.5243036800,5.5243036800,4.6267977600,5.2457673600,16319391,53603268.6400,1,1.353020,-5.042017
88,2008-09-26,sz.000959,5.7099945600,5.7718915200,5.1683961600,5.5397779200,31196389,111274560.2500,1,2.586454,5.604720
89,2008-10-10,sz.000959,5.4624067200,5.4624067200,4.9517568000,4.9827052800,16838810,56884954.5800,1,1.396085,-10.055866
90,2008-10-17,sz.000959,4.9827052800,5.1374476800,4.4875296000,4.5958492800,27730275,84939633.0200,1,2.299082,-7.763975
91,2008-10-24,sz.000959,4.5958492800,4.7041689600,4.4875296000,4.4875296000,16403401,48615917.8400,1,1.359986,-2.356902
92,2008-10-31,sz.000959,4.4256326400,4.4875296000,4.0697251200,4.2089932800,14867782,41073865.3900,1,1.232669,-6.206897
93,2008-11-07,sz.000959,4.1780448000,4.4720553600,4.1161478400,4.3327872000,16823804,46435338.4400,1,1.394841,2.941176
94,2008-11-14,sz.000959,4.3792099200,5.0136537600,4.3792099200,4.9981795200,62142737,193828331.1200,1,5.152177,15.357143
95,2008-11-21,sz.000959,4.9981795200,5.0910249600,4.6113235200,4.7660659200,69776520,218445166.6500,1,5.785084,-4.643963
96,2008-11-28,sz.000959,4.7815401600,5.1529219200,4.5958492800,4.7196432000,38301673,119020206.0900,1,3.175544,-0.974026
97,2008-12-05,sz.000959,4.6886947200,5.3231385600,4.6422720000,5.0755507200,75615427,244731326.8500,1,6.269181,7.540984
98,2008-12-12,sz.000959,5.1064992000,5.3231385600,4.7196432000,4.7815401600,72228350,237316693.2200,1,5.988362,-5.792683
99,2008-12-19,sz.000959,4.8898598400,5.0910249600,4.7196432000,5.0291280000,37321564,119337897.2900,1,3.094284,5.177994
100,2008-12-26,sz.000959,5.0291280000,5.0291280000,4.5958492800,4.6113235200,25863257,79491815.4000,1,2.144290,-8.307692
101,2008-12-31,sz.000959,4.6422720000,4.6577462400,4.4101584000,4.4565811200,12369915,35807637.2400,1,1.025574,-3.355705
102,2009-01-09,sz.000959,4.5339523200,4.8279628800,4.4875296000,4.6886947200,30584320,92363140.1400,1,2.535708,5.208333
103,2009-01-16,sz.000959,4.6886947200,4.9981795200,4.6267977600,4.8279628800,34654187,107360911.9600,1,2.873135,2.970297
104,2009-01-23,sz.000959,4.8589113600,5.1064992000,4.8434371200,4.9672310400,51330992,164807409.0700,1,4.255788,2.884615
105,2009-02-06,sz.000959,4.9981795200,5.3850355200,4.9053340800,5.3386128000,95209856,319850803.7600,1,7.893730,7.476636
106,2009-02-13,sz.000959,5.4469324800,5.7254688000,5.3540870400,5.7099945600,123699549,441407824.4700,1,10.255775,6.956522
107,2009-02-20,sz.000959,5.7873657600,6.7312944000,5.7718915200,6.4837065600,250495277,1026473455.5700,1,20.768251,13.550136
108,2009-02-27,sz.000959,6.4991808000,6.4991808000,5.3540870400,5.4314582400,112740736,442945316.3500,1,9.347194,-16.229117
109,2009-03-06,sz.000959,5.4159840000,6.0968505600,5.3386128000,5.7409430400,71728904,268035447.6800,1,5.946954,5.698006
110,2009-03-13,sz.000959,5.7718915200,5.9730566400,5.4314582400,5.8337884800,58522538,218727825.8600,1,4.852031,1.617251
