,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.000977,5.3817614400,5.4021469000,5.2186777600,5.3511832500,3375843,17536362.2400,1,3.905507,1.547389
1,2007-01-12,sz.000977,5.3409905200,6.3194926000,5.3206050600,6.1156380000,27562493,160231594.8900,1,31.886998,14.285714
2,2007-01-19,sz.000977,5.9117834000,6.5743108500,5.7588924500,6.4112271700,33001950,198516280.3400,1,38.179896,4.833333
3,2007-01-26,sz.000977,6.4418053600,6.9820200500,6.0442888900,6.4010344400,26339764,170299998.7000,1,30.472425,-0.158983
4,2007-02-02,sz.000977,6.7883581800,7.6241620400,6.4418053600,6.5131544700,36274136,250475384.5800,1,41.965482,1.751592
5,2007-02-09,sz.000977,6.5946963100,7.0737546200,6.5131544700,6.8087436400,14993062,100908583.5300,1,17.345446,4.538341
6,2007-02-16,sz.000977,6.8597072900,7.5426202000,6.8597072900,7.3591510600,20047401,141778906.4100,1,23.192802,8.083832
7,2007-03-02,sz.000977,7.3897292500,7.9299439400,6.8291291000,7.6343547700,27830566,203132150.3200,1,32.197131,3.739612
8,2007-03-09,sz.000977,7.6445475000,7.9503294000,7.1960673800,7.8280166400,33430455,251660715.1800,1,33.513947,2.536716
9,2007-03-16,sz.000977,7.7872457200,8.8676751000,7.6445475000,8.1439912700,36901593,299683674.8800,1,35.175654,4.036458
10,2007-03-23,sz.000977,7.8993657500,8.5517004700,7.7566675300,8.1847621900,26246341,212541740.9900,1,25.018763,0.500626
11,2007-03-30,sz.000977,8.2968822200,8.9696024000,8.2051476500,8.5517004700,40927986,344457280.3400,1,39.013727,4.483188
12,2007-04-06,sz.000977,8.5720859300,9.2244206500,8.4701586300,9.0613369700,31431448,271710005.6300,1,29.961355,5.959476
13,2007-04-13,sz.000977,9.1021078900,9.7340571500,8.5924713900,9.2957697600,38838972,351776608.7400,1,37.022419,2.587177
14,2007-04-20,sz.000977,9.2549988400,10.3965846000,9.1326860800,10.0500317800,36531889,351503736.1200,1,34.823241,8.114035
15,2007-04-27,sz.000977,10.3965846000,10.8246792600,9.8869481000,10.5596682800,37160286,381435038.0300,1,35.422247,5.070994
16,2007-04-30,sz.000977,10.4985119000,11.3241230300,10.4475482500,11.0693047800,9659903,104158164.3800,1,9.208096,4.826255
17,2007-05-11,sz.000977,11.4056648700,12.0274214000,10.8144865300,11.2221957300,30815756,346436017.5800,1,29.374460,1.381215
18,2007-05-18,sz.000977,10.9469920200,12.4657087900,10.8144865300,11.9764577500,44606475,517623970.8400,1,42.520168,6.721163
19,2007-05-25,sz.000977,11.5993267400,12.8734179900,11.4158576000,12.3943596800,40760293,495260623.4400,1,38.853877,3.489362
20,2007-06-01,sz.000977,12.4045524100,12.9855380200,9.4384679800,9.4384679800,46604358,526802032.7300,1,44.424607,-23.848684
21,2007-06-08,sz.000977,9.4894316300,9.6830935000,7.6445475000,9.2142279200,41574581,357613465.4400,1,39.630080,-2.375810
22,2007-06-15,sz.000977,9.2753843000,9.8155989900,8.2663040300,9.4078897900,39850139,362352500.4400,1,37.986292,2.101770
23,2007-06-22,sz.000977,9.6627080400,11.5177849000,9.4894316300,9.5302025500,69070461,706990654.1400,1,65.839939,1.300108
24,2007-06-29,sz.000977,9.2448061100,9.4690461700,7.1756819200,7.5222347400,31242993,253800352.7700,1,29.781714,-21.069519
25,2007-07-06,sz.000977,7.5120420100,8.1032203500,7.3081874100,7.8484021000,16734522,127017466.4500,1,15.951825,4.336043
26,2007-07-13,sz.000977,7.8687875600,8.1541840000,7.5935838500,7.6649329600,12280160,95200809.8500,1,11.705800,-2.337662
27,2007-07-20,sz.000977,7.7464748000,8.2255331100,7.4406929000,8.1439912700,11433031,88444709.0300,1,10.898292,6.250000
28,2007-07-27,sz.000977,8.0828348900,9.1123006200,8.0828348900,8.9696024000,23937876,204733204.7700,1,22.818268,10.137672
29,2007-08-03,sz.000977,8.9288314800,9.2549988400,8.2561113000,8.7351696100,18615814,161599738.6000,1,17.745126,-2.613636
30,2007-08-10,sz.000977,8.7963259900,9.7850208000,8.3580386000,8.6332423100,26079378,234230265.5800,1,24.859609,-1.166861
31,2007-08-17,sz.000977,8.6638205000,9.4690461700,8.3988095200,9.0817224300,17845155,156998089.8700,1,17.010512,5.194805
32,2007-08-24,sz.000977,9.2549988400,9.7646353400,9.2549988400,9.3773116000,19966449,185410324.5700,1,19.032590,3.254770
33,2007-08-31,sz.000977,9.5709734700,10.0704172400,9.0409515100,9.8869481000,24040873,226266878.2000,1,22.916448,5.434783
34,2007-09-07,sz.000977,9.9990681300,10.3354282200,9.5811662000,9.6321298500,22021695,215383615.3600,1,20.991709,-2.577320
35,2007-09-14,sz.000977,9.5403952800,10.1723445400,8.8982532900,10.0500317800,20984354,198303410.3500,1,20.002886,4.338624
36,2007-09-21,sz.000977,9.9888754000,10.4985119000,9.4996243600,10.0806099700,22316097,221182205.5500,1,21.272342,0.304260
37,2007-09-28,sz.000977,10.0806099700,10.7023665000,9.8971408300,10.3048500300,23199490,234563524.8300,1,22.114417,2.224469
38,2007-10-12,sz.000977,10.4577409800,10.7635228800,8.7861332600,9.2346133800,18584656,183934978.9400,1,17.715426,-10.385757
39,2007-10-19,sz.000977,9.1734570000,9.4588534400,8.6842059600,8.8574823700,9226483,82889560.5000,1,8.794947,-4.083885
40,2007-10-26,sz.000977,8.8676751000,8.8676751000,7.5222347400,7.6955111500,9759264,77910921.1500,1,9.302810,-13.118527
41,2007-11-02,sz.000977,7.6955111500,8.3274604100,7.5324274700,8.0420639700,9429543,73468971.3900,1,8.988510,4.503311
42,2007-11-09,sz.000977,7.9503294000,8.4905440900,7.8484021000,8.2153403800,8719942,70587740.0100,1,8.312098,2.154626
43,2007-11-16,sz.000977,8.1643767300,8.6128568500,8.0726421600,8.3172676800,8699931,71767669.2800,1,8.293023,1.240695
44,2007-11-23,sz.000977,8.3580386000,8.9186387500,7.9401366700,8.2051476500,8562980,71041924.5500,1,8.162477,-1.348039
45,2007-11-30,sz.000977,8.2764967600,8.4191949800,8.0216785100,8.1541840000,4941154,40012851.5400,1,4.710049,-0.621118
46,2007-12-07,sz.000977,8.1337985400,8.5924713900,8.1337985400,8.5415077400,5582798,46314462.2700,1,5.321683,4.750000
47,2007-12-14,sz.000977,8.4905440900,9.6627080400,8.4395804400,9.1224933500,17113717,152729137.8400,1,16.313284,6.801909
48,2007-12-21,sz.000977,9.1530715400,9.4690461700,9.0511442400,9.3671188700,8156302,74320708.4500,1,7.774820,2.681564
49,2007-12-28,sz.000977,9.4588534400,10.0092608600,9.3569261400,9.7646353400,12319009,117037026.2400,1,11.742832,4.243743
50,2008-01-04,sz.000977,9.8869481000,10.4067773300,9.7340571500,10.3456209500,8547243,85361526.4300,1,8.147476,5.949896
