,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2021-05-14,sz.001203,10.7800000000,18.9200000000,10.7800000000,18.9200000000,6375403,101559496.4200,1,2.911900,110.690400
1,2021-05-21,sz.001203,20.8100000000,29.4400000000,20.8100000000,26.5100000000,287261805,7585561952.7100,1,131.205800,40.116300
2,2021-05-28,sz.001203,25.2500000000,27.2800000000,24.2500000000,24.7200000000,358784677,9228232624.7600,1,163.873500,-6.752200
3,2021-06-04,sz.001203,24.9000000000,26.1600000000,22.0500000000,22.0600000000,264903653,6408605482.7000,1,120.993700,-10.760500
4,2021-06-11,sz.001203,21.9900000000,22.7400000000,21.0300000000,22.3500000000,162307873,3557365817.4700,1,74.133500,1.314600
5,2021-06-18,sz.001203,22.0100000000,22.3100000000,19.2800000000,20.1000000000,93878238,1916060706.2800,1,42.878400,-10.067100
6,2021-06-25,sz.001203,19.6600000000,21.7700000000,19.6100000000,21.2200000000,130352660,2700827196.4100,1,59.538100,5.572100
7,2021-07-02,sz.001203,20.8000000000,21.0500000000,19.0200000000,19.0800000000,97132799,1961232464.2000,1,44.365200,-10.084800
8,2021-07-09,sz.001203,19.0800000000,21.8000000000,19.0400000000,20.7500000000,151351590,3158102317.6400,1,69.129300,8.752600
9,2021-07-16,sz.001203,21.0800000000,23.3200000000,20.2800000000,22.8400000000,178030408,3873091880.2300,1,81.314600,10.072300
10,2021-07-23,sz.001203,22.8400000000,22.8400000000,19.9100000000,20.4000000000,115982932,2425724563.2100,1,52.974800,-10.683000
11,2021-07-30,sz.001203,20.4000000000,20.4000000000,17.1700000000,17.3100000000,85434154,1575571843.1000,1,39.021700,-15.147100
12,2021-08-06,sz.001203,17.1100000000,18.0700000000,16.6900000000,17.3900000000,67978035,1187663034.6900,1,31.048600,0.462200
13,2021-08-13,sz.001203,17.4300000000,18.6500000000,17.4000000000,18.4400000000,68244480,1228909025.9200,1,31.170500,6.038000
14,2021-08-20,sz.001203,18.5600000000,19.3400000000,18.1100000000,18.2300000000,76562322,1423864324.3600,1,34.969700,-1.138800
15,2021-08-27,sz.001203,18.0000000000,19.7800000000,17.9100000000,19.2800000000,100704514,1903891298.5900,1,45.996300,5.759700
16,2021-09-03,sz.001203,20.8000000000,22.6500000000,19.5400000000,19.7400000000,173400681,3639771903.6000,1,79.200000,2.385900
17,2021-09-10,sz.001203,19.9700000000,20.8000000000,18.6800000000,20.1400000000,114869591,2287267555.7700,1,52.466200,2.026300
18,2021-09-17,sz.001203,20.1400000000,20.3500000000,17.6300000000,17.9600000000,79860102,1514715669.3500,1,36.475700,-10.824200
19,2021-09-24,sz.001203,17.4800000000,18.8400000000,17.3200000000,17.9300000000,34177104,615168153.8400,1,15.610300,-0.167000
20,2021-09-30,sz.001203,18.0100000000,18.1000000000,16.9900000000,17.3177170100,25970581,446476371.7800,1,11.861900,-3.414900
21,2021-10-08,sz.001203,17.3381992300,17.5635036500,17.3074759000,17.5635036500,5495233,93415138.1600,1,2.509900,1.419300
22,2021-10-15,sz.001203,17.6351914200,18.0038713800,17.2050648000,17.7478436300,29243741,502758850.9400,1,13.357000,1.049600
23,2021-10-22,sz.001203,17.7990491800,18.0038713800,17.0309659300,17.1128948100,27621065,474172975.6200,1,12.615900,-3.577600
24,2021-10-29,sz.001203,17.1436181400,17.4918158800,15.3923883300,15.5460049800,32098604,513714911.8300,1,14.660800,-9.156200
25,2021-11-05,sz.001203,15.4947994300,15.7917916200,14.8188861700,14.8598506100,29337956,435441321.9000,1,13.400000,-4.413700
26,2021-11-12,sz.001203,14.9008150500,15.4128705500,14.5730995300,15.3207005600,32691773,480916606.1600,1,14.931900,3.101300
27,2021-11-19,sz.001203,15.2592539000,15.5460049800,15.0851550300,15.4538349900,30822710,461294499.6100,1,14.078200,0.869000
28,2021-11-26,sz.001203,15.5664872000,17.1026537000,15.3923883300,16.0887838100,61549378,978423986.1400,1,28.112500,4.108700
29,2021-12-03,sz.001203,15.7917916200,16.3652937800,15.5664872000,16.0170960400,30174724,475257408.6100,1,13.782100,-0.445600
30,2021-12-10,sz.001203,16.0785427000,17.2869936800,15.7201038500,16.4062582200,56584684,907052383.5600,1,25.844900,2.429700
31,2021-12-17,sz.001203,16.5393926500,16.6315626400,16.1399893600,16.3448115600,32109998,512601874.7200,1,14.666200,-0.374500
32,2021-12-24,sz.001203,16.2424004600,16.2526415700,15.3002183400,15.3207005600,26114663,403911697.9300,1,11.927900,-6.265700
33,2021-12-31,sz.001203,15.2080483500,15.5562460900,15.0032261500,15.4435938800,15831450,238014416.4100,1,7.231000,0.802100
34,2022-01-07,sz.001203,15.4435938800,15.7508271800,15.3719061100,15.6074516400,17406009,264256759.0700,1,7.950100,1.061000
35,2022-01-14,sz.001203,15.6074516400,16.1195071400,15.4435938800,15.5152816500,28157533,434533484.2400,1,12.860800,-0.590600
36,2022-01-21,sz.001203,15.5050405400,16.4062582200,15.3821472200,16.0170960400,36765583,572475159.1500,1,16.792500,3.234300
37,2022-01-28,sz.001203,16.0478193700,16.1297482500,14.2453840100,14.8496095000,25224205,370146404.0000,1,11.521000,-7.289000
38,2022-02-11,sz.001203,15.0441905900,16.3960171100,14.9315383800,16.0580604800,52415315,819602289.0400,1,23.940500,8.137900
39,2022-02-18,sz.001203,15.6484160800,15.8634793900,15.3616650000,15.6893805200,24121095,367687451.8000,1,11.017200,-2.295900
40,2022-02-25,sz.001203,15.6279338600,16.2116771300,15.2387716800,15.7508271800,36460479,560832193.3700,1,16.653200,0.391600
41,2022-03-04,sz.001203,15.8942027200,16.8773492800,15.6484160800,15.9146849400,61273483,974799592.0000,1,27.986400,1.040300
42,2022-03-11,sz.001203,16.1707126900,16.2731237900,13.9279096000,14.5730995300,41625316,609711379.0000,1,19.012200,-8.429900
43,2022-03-18,sz.001203,14.3682773300,14.4911706500,12.6068064100,13.5285063100,29728302,391434966.5100,1,13.578400,-7.168000
44,2022-03-25,sz.001203,13.5489885300,13.6001940800,13.1700674600,13.1803085700,18796411,245866568.4000,1,8.585200,-2.573800
