,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2018-12-28,sz.001872,58.5042700200,61.8896889000,52.8971700000,52.9676995600,8079794,131247754.4600,1,1.738116,-8.748481
1,2019-01-04,sz.001872,53.3203473600,53.4614064800,47.6074530000,49.8291341400,6439175,92118717.7100,1,1.385188,-5.925433
2,2019-01-11,sz.001872,50.0759876000,53.5319360400,50.0054580400,51.2397253400,9265241,136510404.3100,1,1.993128,2.830856
3,2019-01-18,sz.001872,50.8165479800,52.6150517600,50.7812832000,51.5571083600,6161622,89993258.3000,1,1.325481,0.619408
4,2019-01-25,sz.001872,51.5571083600,53.6024656000,51.5218435800,52.7208461000,6091110,90450203.6600,1,1.310313,2.257182
5,2019-02-01,sz.001872,52.8266404400,54.6604090000,49.5470159000,51.4865788000,9396978,139254023.7800,1,2.021467,-2.341137
6,2019-02-15,sz.001872,50.9928718800,56.2473241000,50.9928718800,56.0357354200,15230318,236086387.5300,1,3.276329,8.835616
7,2019-02-22,sz.001872,57.1289436000,65.8746090400,56.7410310200,59.9501260000,43550787,755262171.5100,1,9.368595,6.985525
8,2019-03-01,sz.001872,59.9853907800,62.3128662600,59.1037712800,60.5496272600,26937404,464125897.0300,1,5.794743,1.000000
9,2019-03-08,sz.001872,60.7259511600,64.4992826200,59.5974782000,59.9501260000,30490383,536992330.8900,1,6.559056,-0.990099
10,2019-03-15,sz.001872,59.9501260000,63.4413392200,59.9501260000,62.8065731800,19774891,347612338.3100,1,4.253952,4.764706
11,2019-03-22,sz.001872,62.9828970800,67.3557298000,62.7007788400,66.9678172200,30586790,572547666.8100,1,6.579795,6.625491
12,2019-03-29,sz.001872,65.7688147000,66.6151694200,61.7486297800,64.6756065200,20989655,382434804.7200,1,4.515271,-3.422854
13,2019-04-04,sz.001872,63.4060744400,69.2952927000,63.1592209800,66.0509329400,27710239,516953482.9800,1,5.961046,2.126499
14,2019-04-12,sz.001872,66.1214625000,67.7083776000,64.3229587200,64.8871952000,18693102,349525634.2500,1,4.021273,-1.761879
15,2019-04-19,sz.001872,67.0030820000,72.2575342200,66.3330511800,70.8822078000,40487962,804356689.7500,1,8.709798,9.239130
16,2019-04-26,sz.001872,70.9527373600,71.5169738400,63.7587222400,63.8292518000,16752826,321717254.2900,1,3.603880,-9.950249
17,2019-04-30,sz.001872,63.8645165800,65.0282543200,61.0080694000,63.8997813600,4537221,81747298.7600,1,0.976050,0.110497
18,2019-05-10,sz.001872,60.6554216000,61.5370411000,55.2246454800,57.9400335400,11517269,189157991.8600,1,2.477603,-9.326711
19,2019-05-17,sz.001872,57.6579153000,59.1037712800,56.1062649800,57.4815914000,9666509,157877380.7400,1,2.079466,-0.791236
20,2019-05-24,sz.001872,57.3052675000,58.0105631000,55.4362341600,56.3178536600,6173964,99391327.5600,1,1.328147,-2.024540
21,2019-05-31,sz.001872,56.4236480000,57.9752983200,56.2473241000,56.7410310200,5022104,81530218.6500,1,1.080358,0.751409
