,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.002065,28.0200000000,29.3600000000,26.8600000000,28.9800000000,3100227,86369318.9400,1,14.352903,5.305233
1,2007-01-12,sz.002065,28.9000000000,31.8000000000,28.4800000000,28.5500000000,6388888,191569000.2800,1,29.578185,-1.483782
2,2007-01-19,sz.002065,28.4100000000,34.2200000000,28.4000000000,33.8000000000,6754173,212596405.5200,1,31.269319,18.388792
3,2007-01-26,sz.002065,33.9500000000,34.8500000000,30.0000000000,31.2200000000,5657484,185428694.4500,1,26.192056,-7.633136
4,2007-02-02,sz.002065,31.4000000000,32.4500000000,29.0000000000,29.7300000000,4563391,140227719.0900,1,21.126810,-4.772582
5,2007-02-09,sz.002065,29.8000000000,31.1300000000,29.8000000000,30.9000000000,3611947,110233825.3400,1,16.721977,3.935419
6,2007-02-16,sz.002065,30.8500000000,33.8000000000,30.4800000000,33.0600000000,3496768,112953394.5800,1,16.188741,6.990291
7,2007-03-02,sz.002065,33.1500000000,33.8200000000,29.3300000000,30.2000000000,4914145,153008491.8700,1,22.750671,-8.650938
8,2007-03-09,sz.002065,29.9900000000,31.8800000000,29.2800000000,31.4100000000,3724255,114147012.2800,1,17.241921,4.006623
9,2007-03-16,sz.002065,31.3000000000,33.7800000000,31.0000000000,32.0000000000,5943498,194083747.3800,1,27.516194,1.878383
10,2007-03-23,sz.002065,31.0200000000,33.6800000000,30.8000000000,32.7600000000,3746292,122445537.2700,1,17.343944,2.375000
11,2007-03-30,sz.002065,32.7600000000,35.5800000000,32.6800000000,34.2200000000,5332479,182044600.3100,1,24.687403,4.456654
12,2007-04-06,sz.002065,34.5000000000,36.5500000000,34.3000000000,36.2200000000,4128920,146850481.8700,1,19.115370,5.844535
13,2007-04-13,sz.002065,36.3000000000,42.9000000000,35.2000000000,41.6000000000,6208577,242153377.2100,1,28.743412,14.853672
14,2007-04-20,sz.002065,41.4100000000,44.9800000000,37.6200000000,39.9800000000,7094477,293874685.7100,1,32.844801,-3.894231
15,2007-04-27,sz.002065,39.9800000000,40.6800000000,38.5100000000,39.4100000000,5250689,207902268.0400,1,24.308745,-1.425713
16,2007-04-30,sz.002065,39.1000000000,39.4500000000,38.0200000000,39.1500000000,904309,35033447.1400,1,4.186616,-0.659731
17,2007-05-11,sz.002065,39.2600000000,40.6300000000,38.5000000000,39.2600000000,3548757,140209284.3900,1,16.429431,0.280971
18,2007-05-18,sz.002065,38.7500000000,41.6000000000,37.8100000000,41.3500000000,4176645,166101377.1200,1,19.336319,5.323484
19,2007-05-25,sz.002065,40.0200000000,43.7500000000,39.8100000000,43.7500000000,6020932,253927062.1200,1,27.874685,5.804111
20,2007-06-01,sz.002065,44.3200000000,44.5000000000,36.5935887000,37.3164250200,7726873,273892518.0900,1,30.851683,-14.705299
