,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-01-05,sz.002081,23.7600000000,25.7000000000,23.5100000000,25.3000000000,1297116,31979915.9500,1,6.755813,5.416667
1,2007-01-12,sz.002081,24.9200000000,27.6800000000,24.9200000000,26.9000000000,2797377,72969972.3500,1,14.569672,6.324111
2,2007-01-19,sz.002081,26.0500000000,32.4700000000,25.0000000000,31.6000000000,7264646,219155005.5200,1,37.836698,17.472119
3,2007-01-26,sz.002081,32.6000000000,34.4500000000,29.1100000000,30.5000000000,5174359,166344593.7700,1,26.949786,-3.481013
4,2007-02-02,sz.002081,30.6000000000,33.2000000000,28.7000000000,28.8000000000,3063562,94872057.6600,1,15.956052,-5.573770
5,2007-02-09,sz.002081,28.8600000000,32.8000000000,28.8600000000,32.0100000000,2912564,89313283.9000,1,15.169604,11.145833
6,2007-02-16,sz.002081,31.8900000000,33.8500000000,31.1200000000,33.0000000000,3251163,105325799.2000,1,16.933141,3.092784
7,2007-03-02,sz.002081,32.8000000000,33.0000000000,28.0100000000,29.5000000000,4901992,150427357.7200,1,20.424967,-10.606061
8,2007-03-09,sz.002081,29.3000000000,30.4300000000,28.3100000000,30.0000000000,1788738,52669288.3300,1,7.453075,1.694915
9,2007-03-16,sz.002081,30.1500000000,32.0000000000,29.5200000000,31.6900000000,3331366,102553548.6200,1,13.880692,5.633333
10,2007-03-23,sz.002081,31.0000000000,32.7000000000,30.2200000000,31.6000000000,2190465,69542973.4900,1,9.126938,-0.284001
11,2007-03-30,sz.002081,31.5000000000,36.2800000000,31.3000000000,34.8700000000,6068031,208819801.8800,1,25.283462,10.348101
12,2007-04-06,sz.002081,34.8700000000,37.8000000000,34.0000000000,34.7800000000,3890139,138402806.3800,1,16.208913,-0.258102
13,2007-04-13,sz.002081,34.8000000000,36.5000000000,33.5100000000,35.1200000000,4924445,171625854.3800,1,20.518521,0.977573
14,2007-04-20,sz.002081,35.3200000000,36.4400000000,33.8000000000,36.1900000000,4235996,148839730.0000,1,17.649983,3.046697
15,2007-04-27,sz.002081,36.3800000000,37.2200000000,34.4000000000,34.6500000000,3166228,113845526.0000,1,13.192617,-4.255319
16,2007-04-30,sz.002081,34.4700000000,35.1000000000,34.0100000000,34.4300000000,512256,17689652.8000,1,2.134400,-0.634921
17,2007-05-11,sz.002081,35.2100000000,35.6500000000,33.5000000000,34.2100000000,2778765,96023515.9900,1,11.578187,-0.638978
18,2007-05-18,sz.002081,34.0000000000,36.1810359900,33.3400000000,35.6881611600,3474197,120081254.5900,1,14.475821,4.320827
19,2007-05-25,sz.002081,33.7166618400,40.2045039900,33.7166618400,39.4400450700,5536068,202893188.5600,1,23.066950,10.512965
20,2007-06-01,sz.002081,39.3293997000,40.2045039900,34.3201820400,36.4325027400,5613797,209294658.3700,1,23.390821,-7.625606
21,2007-06-08,sz.002081,37.0963749600,44.1374439600,33.1936110000,42.0452406000,6691568,259887461.6900,1,27.881533,15.405853
22,2007-06-15,sz.002081,41.5221897600,48.0603252600,41.5221897600,45.7669485000,4383707,201051776.9900,1,18.265446,8.851675
23,2007-06-22,sz.002081,46.2698820000,49.2874830000,41.7434805000,43.1617529700,2983182,135043438.2000,1,12.429925,-5.692308
