,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-04-06,sz.002124,26.0000000000,26.0000000000,22.3100000000,22.8000000000,16425525,383720860.4300,1,110.983277,122.439024
1,2007-04-13,sz.002124,22.8000000000,24.0500000000,22.6300000000,23.5000000000,8872339,206706791.7500,1,59.948236,3.070175
2,2007-04-20,sz.002124,23.5500000000,24.0200000000,22.5000000000,23.4900000000,5924907,138325697.8500,1,40.033155,-0.042553
3,2007-04-27,sz.002124,23.8000000000,28.8800000000,23.3000000000,24.9200000000,17057869,445581498.2300,1,115.255872,6.087697
4,2007-04-30,sz.002124,24.6000000000,25.2800000000,24.5200000000,24.7000000000,1353706,33617829.1100,1,9.146662,-0.882825
5,2007-05-11,sz.002124,24.9200000000,25.2700000000,23.0000000000,23.6000000000,3906004,94230465.6800,1,26.391919,-4.453441
6,2007-05-18,sz.002124,23.5500000000,24.0800000000,22.7700000000,23.7600000000,3350915,79268409.1200,1,22.641318,0.677966
7,2007-05-25,sz.002124,23.3300000000,25.3000000000,23.0700000000,25.0800000000,4663704,114087003.6400,1,31.511514,5.555556
8,2007-06-01,sz.002124,25.2500000000,25.5600000000,21.0500000000,21.7600000000,5564369,131736356.4400,1,37.597088,-13.237640
9,2007-06-08,sz.002124,21.8000000000,23.0000000000,19.0100000000,22.9900000000,5268837,113623900.3300,1,35.600250,5.652574
10,2007-06-15,sz.002124,24.9800000000,26.8000000000,23.1400000000,26.4700000000,6650332,168033660.3800,1,44.934676,15.137016
11,2007-06-22,sz.002124,26.4100000000,27.3900000000,24.3000000000,24.9100000000,4728506,123214854.7400,1,31.949365,-5.893464
12,2007-06-29,sz.002124,24.5000000000,25.1700000000,20.1200000000,20.8800000000,2078071,47379317.6300,1,14.041020,-16.178242
13,2007-07-06,sz.002124,20.8500000000,23.3400000000,19.7000000000,21.5900000000,5855098,124795599.1700,1,32.062045,3.400383
14,2007-07-13,sz.002124,21.5000000000,22.2500000000,20.4000000000,21.6900000000,2248970,47953509.7300,1,12.156595,0.463177
15,2007-07-20,sz.002124,21.3100000000,23.7900000000,20.6600000000,23.6500000000,3413779,77225683.9900,1,18.452859,9.036422
16,2007-07-27,sz.002124,23.4500000000,27.6800000000,23.4000000000,25.7000000000,6845066,177254571.1700,1,37.000357,8.668076
17,2007-08-03,sz.002124,25.6000000000,31.0000000000,25.1900000000,29.7000000000,7339657,206504356.6300,1,39.673822,15.564202
18,2007-08-10,sz.002124,30.0000000000,34.4800000000,27.0900000000,33.9500000000,5001503,155347343.1800,1,27.035151,14.309764
19,2007-08-17,sz.002124,33.8900000000,39.9900000000,33.3000000000,35.4900000000,5114314,183695983.8600,1,27.644941,4.536082
20,2007-08-24,sz.002124,35.9800000000,41.0000000000,34.5100000000,38.2400000000,4203794,157617711.0200,1,22.723211,7.748662
21,2007-08-31,sz.002124,38.6000000000,39.8700000000,34.6000000000,37.6900000000,2672343,98273133.0200,1,14.445097,-1.438285
22,2007-09-07,sz.002124,37.7500000000,39.6900000000,34.1000000000,35.1800000000,2057735,74118805.1200,1,11.122892,-6.659591
23,2007-09-14,sz.002124,35.1500000000,37.9800000000,31.7200000000,37.1400000000,2752970,96882635.7800,1,14.880919,5.571347
24,2007-09-21,sz.002124,37.0000000000,37.1300000000,33.9000000000,36.0000000000,2240443,80001678.6900,1,12.110503,-3.069467
25,2007-09-28,sz.002124,36.0800000000,36.0800000000,33.9000000000,35.0700000000,1024799,35427067.4300,1,5.539454,-2.583333
26,2007-10-12,sz.002124,35.3000000000,36.0000000000,30.3000000000,31.4900000000,1541940,51810677.7000,1,8.334811,-10.208155
27,2007-10-19,sz.002124,31.0000000000,31.5700000000,27.6900000000,28.3000000000,2983715,86890438.5400,1,16.128189,-10.130200
28,2007-10-26,sz.002124,28.0000000000,29.0800000000,24.1200000000,24.9900000000,2026697,54565636.0000,1,10.955119,-11.696113
29,2007-11-02,sz.002124,24.9900000000,27.7800000000,24.8800000000,26.6800000000,2237374,58380412.7400,1,12.093914,6.762705
30,2007-11-09,sz.002124,27.1900000000,27.6600000000,23.5000000000,23.7800000000,1495679,38587498.8200,1,8.084751,-10.869565
31,2007-11-16,sz.002124,23.3000000000,25.4600000000,22.1000000000,25.3800000000,1672384,39863420.2100,1,9.039914,6.728343
32,2007-11-23,sz.002124,25.3800000000,27.2100000000,24.5100000000,25.9500000000,1480685,38573643.9100,1,8.003703,2.245863
33,2007-11-30,sz.002124,26.5000000000,27.1900000000,25.6000000000,26.3500000000,1480266,39340391.9900,1,8.001438,1.541426
34,2007-12-07,sz.002124,26.1500000000,28.6800000000,24.6300000000,28.5900000000,1517898,40729999.3500,1,8.204854,8.500949
35,2007-12-14,sz.002124,28.1700000000,30.1500000000,27.5000000000,29.1000000000,3358124,96877350.4200,1,18.152022,1.783841
36,2007-12-21,sz.002124,29.2000000000,31.4900000000,29.0000000000,30.3500000000,2412480,72266953.7700,1,13.040432,4.295533
37,2007-12-28,sz.002124,30.6000000000,32.4500000000,29.7100000000,31.2700000000,3514136,109328835.3300,1,18.995330,3.031301
38,2008-01-04,sz.002124,31.2700000000,33.8800000000,31.0000000000,33.2700000000,1804305,58935251.5800,1,9.753000,6.395907
39,2008-01-11,sz.002124,33.1800000000,34.3000000000,31.3500000000,32.1900000000,3132068,103222506.6300,1,16.930097,-3.246168
40,2008-01-18,sz.002124,32.1000000000,35.8800000000,31.0500000000,32.9800000000,5380804,179852356.6800,1,29.085427,2.454178
41,2008-01-25,sz.002124,33.0000000000,34.6500000000,29.1000000000,33.2800000000,5047169,161351176.7000,1,27.281995,0.909642
42,2008-02-01,sz.002124,33.5000000000,33.5000000000,24.1200000000,25.9900000000,3023001,84672101.9600,1,16.340546,-21.905048
