,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-07-20,sz.002142,20.3800000000,24.3400000000,19.4900000000,24.3400000000,292212333,6274445130.9400,1,99.901652,164.565217
1,2007-07-27,sz.002142,24.7900000000,30.3900000000,24.5400000000,28.7500000000,308879725,8327510202.1900,1,105.599906,18.118324
2,2007-08-03,sz.002142,28.5000000000,32.1600000000,27.0000000000,31.4500000000,193790378,5668896058.5100,1,66.253121,9.391304
3,2007-08-10,sz.002142,31.0000000000,31.1800000000,27.0000000000,28.0000000000,131032692,3872503871.9300,1,44.797502,-10.969793
4,2007-08-17,sz.002142,27.4000000000,28.9000000000,26.2000000000,26.3000000000,89339495,2460367747.1100,1,30.543417,-6.071429
5,2007-08-24,sz.002142,27.1100000000,28.5000000000,26.6000000000,27.8800000000,91309942,2520174236.8000,1,31.217074,6.007605
6,2007-08-31,sz.002142,27.9000000000,29.4700000000,26.5500000000,26.9000000000,73950563,2046703483.1300,1,25.282244,-3.515065
7,2007-09-07,sz.002142,26.8800000000,27.7500000000,26.2000000000,26.6300000000,64812028,1739599301.9500,1,22.157958,-1.003717
8,2007-09-14,sz.002142,26.0000000000,26.8000000000,23.7000000000,24.3100000000,57862106,1443429241.4800,1,19.781917,-8.711979
9,2007-09-21,sz.002142,24.5100000000,25.4100000000,22.5800000000,23.0900000000,50244151,1211017034.3400,1,17.177488,-5.018511
10,2007-09-28,sz.002142,23.0800000000,23.0800000000,21.7800000000,22.9000000000,39625831,892181815.3400,1,13.547293,-0.822867
11,2007-10-12,sz.002142,23.0600000000,24.0000000000,21.0000000000,22.1400000000,55926411,1284950807.6000,1,19.120141,-3.318777
12,2007-10-19,sz.002142,22.3500000000,24.3800000000,20.8800000000,21.1200000000,112179817,2506711767.6300,1,32.410871,-4.607046
13,2007-10-26,sz.002142,21.0800000000,21.0800000000,19.0000000000,19.5500000000,100122086,2019250284.6700,1,22.249352,-7.433712
14,2007-11-02,sz.002142,19.9700000000,21.2500000000,19.3100000000,19.5800000000,75356344,1536991503.5500,1,16.745854,0.153453
15,2007-11-09,sz.002142,19.5000000000,20.5800000000,18.6000000000,18.8000000000,44660923,878185981.4300,1,9.924650,-3.983657
16,2007-11-16,sz.002142,18.2800000000,18.6500000000,17.4500000000,18.3000000000,45050611,814078033.3900,1,10.011247,-2.659574
17,2007-11-23,sz.002142,18.4000000000,19.3300000000,17.5500000000,18.0400000000,49350952,922611927.9400,1,10.966878,-1.420765
18,2007-11-30,sz.002142,18.3800000000,20.6100000000,17.6000000000,20.0800000000,132963081,2588345790.5800,1,29.547351,11.308204
19,2007-12-07,sz.002142,20.1300000000,20.7900000000,19.5600000000,20.0000000000,64529325,1297553619.5500,1,14.339850,-0.398406
20,2007-12-14,sz.002142,19.6000000000,21.5000000000,19.4800000000,21.1500000000,108885978,2219617602.8800,1,24.196884,5.750000
21,2007-12-21,sz.002142,21.0000000000,22.1200000000,20.7300000000,21.5500000000,84275785,1810414374.7800,1,18.727952,1.891253
22,2007-12-28,sz.002142,21.6100000000,22.8000000000,21.2100000000,21.9300000000,69650313,1536566112.3300,1,15.477847,1.763341
23,2008-01-04,sz.002142,21.9900000000,22.2000000000,21.1600000000,22.0900000000,49321814,1068743251.3500,1,10.960403,0.729594
24,2008-01-11,sz.002142,22.0000000000,22.9300000000,21.4000000000,22.5200000000,84539632,1867878655.9800,1,18.786585,1.946582
25,2008-01-18,sz.002142,22.5200000000,22.7000000000,19.9000000000,20.3800000000,57225689,1211573134.2200,1,12.716820,-9.502664
26,2008-01-25,sz.002142,20.3000000000,20.3600000000,16.7900000000,18.1500000000,65640892,1178417929.9000,1,14.586865,-10.942100
27,2008-02-01,sz.002142,17.9400000000,17.9800000000,16.4800000000,17.8000000000,38004317,653370695.3500,1,8.445404,-1.928375
28,2008-02-05,sz.002142,18.7000000000,19.2500000000,18.2600000000,18.5500000000,24482953,458540446.3500,1,5.440656,4.213483
29,2008-02-15,sz.002142,18.0300000000,18.4600000000,17.4900000000,17.6500000000,11517173,207277520.0200,1,2.559372,-4.851752
30,2008-02-22,sz.002142,18.0500000000,19.0400000000,17.0000000000,17.3500000000,35524104,641289202.7100,1,7.894245,-1.699717
31,2008-02-29,sz.002142,17.2000000000,18.7500000000,17.0100000000,18.2400000000,28765662,518983991.1600,1,6.392369,5.129683
32,2008-03-07,sz.002142,18.1800000000,18.5500000000,17.2800000000,17.5800000000,29338640,524854862.3500,1,6.519698,-3.618421
33,2008-03-14,sz.002142,17.4900000000,17.6900000000,16.0000000000,16.1000000000,23583604,395691474.0300,1,5.240801,-8.418658
34,2008-03-21,sz.002142,16.1000000000,16.2900000000,13.6900000000,14.9000000000,29387570,437869619.2400,1,6.530571,-7.453416
35,2008-03-28,sz.002142,15.0100000000,15.4800000000,13.8800000000,15.0000000000,30184753,444595824.7100,1,6.707723,0.671141
36,2008-04-03,sz.002142,14.4100000000,14.9900000000,13.7400000000,14.8200000000,26506508,384742457.8000,1,5.890335,-1.200000
37,2008-04-11,sz.002142,14.7800000000,15.6200000000,14.3000000000,14.9800000000,31278769,473974897.7500,1,6.950838,1.079622
38,2008-04-18,sz.002142,14.6000000000,14.7700000000,12.2500000000,12.3000000000,22994122,309770652.3700,1,5.109805,-17.890521
39,2008-04-25,sz.002142,13.2800000000,14.9900000000,11.4800000000,14.4700000000,64692316,900500830.7900,1,14.376070,17.642276
40,2008-04-30,sz.002142,14.2500000000,15.1900000000,14.0600000000,14.9100000000,27365465,397953963.1900,1,6.081214,3.040774
41,2008-05-09,sz.002142,14.9600000000,15.0700000000,13.7000000000,13.8700000000,43955591,635242401.5100,1,9.767909,-6.975184
42,2008-05-16,sz.002142,13.6600000000,14.6400000000,13.2000000000,14.2800000000,34612796,483149105.9800,1,7.691732,2.956020
43,2008-05-23,sz.002142,14.1900000000,14.3100000000,12.7500000000,13.1600000000,26580879,358680662.1900,1,5.906862,-7.843137
44,2008-05-30,sz.002142,13.0600000000,13.4400000000,12.6700000000,13.1674163700,14917705,193710528.3200,1,3.315046,0.056326
45,2008-06-06,sz.002142,13.0151332200,13.3400039400,12.6902625000,12.9745243800,11890442,152278972.0600,1,2.642320,-1.464919
46,2008-06-13,sz.002142,12.3856962000,12.4060006200,10.6902771300,11.3603229900,19832242,223671171.0500,1,4.407165,-12.441315
47,2008-06-20,sz.002142,11.4009318300,11.9389989600,10.6699727100,11.3501707800,28764478,325043464.4500,1,6.392106,-0.089366
48,2008-06-27,sz.002142,11.0456044800,12.2334130500,11.0456044800,11.1978876300,27102930,313630529.4700,1,6.022873,-1.341682
49,2008-07-04,sz.002142,10.9643868000,11.6547370800,10.7613426000,11.3806274100,14429881,159022464.1100,1,3.206640,1.631913
50,2008-07-11,sz.002142,11.4516928800,12.9339155400,11.4212362500,12.3856962000,42527735,519814370.9600,1,9.450608,8.831401
51,2008-07-18,sz.002142,12.2841741000,12.5684359800,9.8577959100,10.3552542000,44105495,476343666.3400,1,9.801221,-16.393443
52,2008-07-25,sz.002142,9.4517075100,10.9034735400,9.4517075100,10.6902771300,113961112,1161901480.2900,1,10.817570,3.235294
53,2008-08-01,sz.002142,10.7207337600,10.9643868000,9.9897746400,10.4466240900,43195639,444343419.8400,1,4.100275,-2.279202
54,2008-08-08,sz.002142,10.2943409400,10.6598205000,9.6039906600,9.6039906600,37091372,373625677.9000,1,3.520837,-8.066084
55,2008-08-15,sz.002142,9.6547517100,9.6852083400,8.3146599900,8.5583130300,34745300,301639850.9600,1,3.298140,-10.887949
56,2008-08-22,sz.002142,8.5278564000,8.9339448000,7.9187238000,8.1217680000,61731524,512625898.4200,1,5.859763,-5.100830
57,2008-08-29,sz.002142,8.1522246300,8.4770953500,7.8679627500,8.3349644100,40513932,327138954.4500,1,3.845718,2.625000
58,2008-09-05,sz.002142,8.3248122000,8.3248122000,7.7968972800,7.8070494900,26409870,209795423.8600,1,2.506913,-6.333739
59,2008-09-12,sz.002142,7.9085715900,7.9187238000,7.1065470000,7.1573080500,35785574,259620213.6700,1,3.396887,-8.322497
60,2008-09-19,sz.002142,7.0557859500,7.6547663400,6.2233047300,7.6547663400,72794613,498278880.8800,1,6.909908,6.950355
61,2008-09-26,sz.002142,8.4161820900,8.4161820900,7.1979168900,7.5633964500,152070493,1195171208.0600,1,14.435040,-1.193634
62,2008-10-10,sz.002142,7.4517221400,7.6040052900,6.5989365000,6.8121329100,64369111,445771559.2000,1,6.110132,-9.932886
63,2008-10-17,sz.002142,6.7613718600,7.6344619200,6.7106108100,6.9035028000,70779776,497765154.8500,1,6.718653,1.341282
64,2008-10-24,sz.002142,6.8730461700,7.2182213100,6.7004586000,6.7004586000,43468520,297518237.9300,1,4.126177,-2.941176
65,2008-10-31,sz.002142,6.5786320800,6.6903063900,5.8882818000,6.2131525200,53445158,333631456.0300,1,5.073193,-7.272727
66,2008-11-07,sz.002142,6.1623914700,6.5481754500,6.0608693700,6.3552834600,50638280,314286268.1700,1,4.806755,2.287582
67,2008-11-14,sz.002142,6.4771099800,7.1979168900,6.4568055600,7.1979168900,112263232,753760219.4200,1,10.656402,13.258786
68,2008-11-21,sz.002142,7.2486779400,7.8172017000,6.9339594300,7.2689823600,157293596,1141415523.5500,1,14.930835,0.987306
69,2008-11-28,sz.002142,7.2283735200,7.6852229700,6.8222851200,6.8628939600,75134368,531210619.8900,1,7.132006,-5.586592
70,2008-12-05,sz.002142,6.8222851200,7.7664406500,6.7512196500,7.4720265600,139730789,1014817188.2300,1,13.263714,8.875740
71,2008-12-12,sz.002142,7.5633964500,7.9187238000,7.1573080500,7.2892867800,174813311,1317577647.3000,1,16.593865,-2.445652
72,2008-12-19,sz.002142,7.4618743500,7.6750707600,7.0862425800,7.5024831900,87746810,641174855.1300,1,8.329221,2.924791
73,2008-12-26,sz.002142,7.5126354000,7.5532442400,6.9035028000,7.0354815300,65241542,462818075.8800,1,6.192946,-6.224628
74,2008-12-31,sz.002142,6.9847204800,7.1065470000,6.8933505900,6.9035028000,20371075,140280283.0700,1,1.933691,-1.875902
