,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-08-17,sz.002156,28.0300000000,35.9700000000,28.0100000000,28.5000000000,47639663,1471159480.6800,1,88.879968,223.129252
1,2007-08-24,sz.002156,28.6100000000,28.9000000000,24.1800000000,25.1900000000,29342584,764898464.3800,1,54.743627,-11.614035
2,2007-08-31,sz.002156,25.2500000000,25.3700000000,23.3200000000,24.6300000000,18151705,443532988.7300,1,33.865121,-2.223104
3,2007-09-07,sz.002156,24.7000000000,25.5500000000,23.8100000000,23.8100000000,15241790,375868654.4300,1,28.436175,-3.329273
4,2007-09-14,sz.002156,23.5600000000,23.7000000000,21.3800000000,22.2400000000,10635054,239935925.3100,1,19.841519,-6.593868
5,2007-09-21,sz.002156,21.9400000000,22.2700000000,20.2500000000,20.6100000000,9115451,196413853.2500,1,17.006438,-7.329137
6,2007-09-28,sz.002156,20.5000000000,20.5000000000,18.4200000000,19.3800000000,9832500,189691569.3300,1,18.344216,-5.967977
7,2007-10-12,sz.002156,19.7800000000,20.7100000000,18.6100000000,20.5800000000,11534845,228639968.8300,1,21.520233,6.191950
8,2007-10-19,sz.002156,20.5000000000,21.8500000000,19.2000000000,19.2800000000,9778989,201835941.6800,1,18.244382,-6.316812
9,2007-10-26,sz.002156,19.2000000000,19.2000000000,15.6300000000,15.9600000000,5844257,103432652.0000,1,10.903465,-17.219917
10,2007-11-02,sz.002156,15.9200000000,17.1500000000,15.4000000000,15.9400000000,5542195,90150897.9900,1,10.339916,-0.125313
11,2007-11-09,sz.002156,15.9400000000,17.2500000000,15.7500000000,16.2500000000,4867257,80862953.1400,1,9.080703,1.944793
12,2007-11-16,sz.002156,16.0000000000,18.6000000000,15.7000000000,18.6000000000,19917972,342136617.6300,1,32.094819,14.461538
13,2007-11-23,sz.002156,18.2000000000,20.9700000000,17.8200000000,19.5100000000,39838963,782957391.7800,1,59.461139,4.892473
14,2007-11-30,sz.002156,19.5100000000,20.3900000000,16.9100000000,16.9800000000,19255126,360663137.3700,1,28.738994,-12.967709
15,2007-12-07,sz.002156,16.7800000000,20.0000000000,16.5200000000,19.5500000000,18255536,339122935.1600,1,27.247069,15.135453
16,2007-12-14,sz.002156,19.0000000000,21.6800000000,18.8800000000,21.6800000000,31405995,648830151.3200,1,46.874619,10.895141
17,2007-12-21,sz.002156,22.1000000000,22.8000000000,20.6800000000,22.3200000000,23035878,503071779.6400,1,34.381907,2.952030
18,2007-12-28,sz.002156,22.4800000000,23.3600000000,21.5000000000,21.6100000000,21510528,482785258.1700,1,32.105266,-3.181004
19,2008-01-04,sz.002156,21.5000000000,22.9600000000,21.5000000000,22.0100000000,10966898,243040077.0500,1,16.368504,1.850995
20,2008-01-11,sz.002156,21.8000000000,22.7600000000,20.8000000000,22.6600000000,18855772,411785470.9500,1,28.142943,2.953203
21,2008-01-18,sz.002156,22.7800000000,23.5900000000,21.1000000000,21.8200000000,17335536,391688884.3900,1,25.873934,-3.706973
22,2008-01-25,sz.002156,21.8000000000,22.0000000000,17.0800000000,18.5700000000,12013179,227742349.4100,1,17.930118,-14.894592
23,2008-02-01,sz.002156,18.5800000000,18.5800000000,15.8000000000,16.7200000000,7487519,129480997.4300,1,11.175401,-9.962305
24,2008-02-05,sz.002156,17.1800000000,18.4900000000,17.1800000000,18.2000000000,2491522,44936930.6600,1,3.718690,8.851675
25,2008-02-15,sz.002156,18.0500000000,18.4300000000,17.1000000000,17.5700000000,2408975,42834027.9500,1,3.595485,-3.461538
26,2008-02-22,sz.002156,17.9500000000,18.9500000000,17.0500000000,17.1000000000,6753826,122277658.9900,1,10.080337,-2.675014
27,2008-02-29,sz.002156,17.2000000000,17.9800000000,16.6600000000,17.9500000000,4511659,78487452.0800,1,6.733819,4.970760
28,2008-03-07,sz.002156,17.9500000000,18.4800000000,17.2100000000,17.8300000000,5815017,104315052.4600,1,8.679130,-0.668524
29,2008-03-14,sz.002156,17.8100000000,19.2900000000,16.8000000000,17.3500000000,12630438,231088844.1300,1,18.851400,-2.692092
30,2008-03-21,sz.002156,16.9800000000,17.0300000000,13.2100000000,14.7000000000,8532693,126260347.9800,1,12.735363,-15.273775
31,2008-03-28,sz.002156,15.0000000000,15.0900000000,12.6700000000,13.7600000000,4710666,66253605.4600,1,7.030845,-6.394558
32,2008-04-03,sz.002156,13.2500000000,13.4800000000,10.9600000000,11.6100000000,3651292,44218020.6000,1,5.449690,-15.625000
33,2008-04-11,sz.002156,11.6000000000,12.7600000000,11.2100000000,12.7600000000,4650599,57306482.8600,1,6.941193,9.905254
34,2008-04-18,sz.002156,12.6800000000,12.9800000000,10.5000000000,10.5300000000,6114151,73254681.2700,1,9.125599,-17.476489
35,2008-04-25,sz.002156,11.2700000000,12.4300000000,9.9300000000,11.9000000000,8071291,91577392.9200,1,12.046703,13.010446
36,2008-04-30,sz.002156,11.8600000000,12.3700000000,11.4100000000,12.3200000000,4439247,53460265.8400,1,6.625742,3.529412
37,2008-05-09,sz.002156,12.4700000000,12.7400000000,11.8000000000,12.0200000000,7002481,86313380.2800,1,10.451464,-2.435065
38,2008-05-16,sz.002156,11.9800000000,13.2000000000,11.6600000000,12.3200000000,9126891,114701135.4000,1,13.622225,2.495840
39,2008-05-23,sz.002156,12.1100000000,12.3600000000,10.7300000000,11.7800000000,6593268,75587217.2900,1,9.840699,-4.383117
40,2008-05-30,sz.002156,11.5500000000,12.0800000000,11.1000000000,11.2871403900,6153739,71744913.3800,1,9.184685,-4.183910
41,2008-06-06,sz.002156,11.2064459100,12.0940851900,10.6314977400,12.0940851900,8243152,95220099.8000,1,12.303212,7.149240
42,2008-06-13,sz.002156,11.6300919300,12.6992937900,10.2078517200,12.0133907100,21538057,252363461.2600,1,32.146354,-0.667223
43,2008-06-20,sz.002156,11.9427830400,13.7180616000,10.5810636900,10.8332339400,37309576,461127475.1700,1,55.685934,-9.823678
44,2008-06-27,sz.002156,10.2986330100,10.7323658400,8.9772609000,9.4009069200,16494553,161356491.8900,1,24.618736,-13.221601
45,2008-07-04,sz.002156,9.1285630500,9.9657682800,9.1285630500,9.6631639800,5572213,52616913.4900,1,8.316736,2.789700
46,2008-07-11,sz.002156,9.4412541600,10.6314977400,9.4412541600,10.0061155200,9235855,93128019.6600,1,13.784858,3.549061
47,2008-07-18,sz.002156,9.8850738000,10.3995011100,9.0276949500,9.4513409700,5345672,51104642.0800,1,7.978615,-5.544355
