,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2007-12-07,sz.002191,29.0000000000,32.8700000000,29.0000000000,29.9500000000,66159809,2029736931.3400,1,122.518165,68.447694
1,2007-12-14,sz.002191,29.3000000000,32.2900000000,29.0800000000,31.2000000000,30746283,945092583.0100,1,56.937561,4.173623
2,2007-12-21,sz.002191,31.3900000000,32.3000000000,30.0000000000,31.4500000000,20493436,639241365.9900,1,37.950807,0.801282
3,2007-12-28,sz.002191,31.6300000000,35.0000000000,31.3500000000,33.2000000000,26969460,894014566.9000,1,49.943444,5.564388
4,2008-01-04,sz.002191,33.3800000000,34.2500000000,32.5000000000,33.6100000000,7478637,250055373.1300,1,13.849328,1.234940
5,2008-01-11,sz.002191,33.5800000000,33.5800000000,32.0000000000,32.5000000000,15898824,519489662.8400,1,29.442267,-3.302589
6,2008-01-18,sz.002191,32.5200000000,34.9200000000,31.3000000000,34.4600000000,16704044,557848990.2000,1,30.933415,6.030769
7,2008-01-25,sz.002191,34.6500000000,35.3900000000,29.5100000000,30.8100000000,17213637,551710543.3300,1,31.877106,-10.591991
8,2008-02-01,sz.002191,30.6900000000,30.7000000000,25.0000000000,25.8700000000,8419737,237306628.9400,1,15.592106,-16.033755
9,2008-02-05,sz.002191,26.6600000000,28.5000000000,26.0600000000,27.9800000000,2023266,55885120.3300,1,3.746789,8.156165
10,2008-02-15,sz.002191,27.1100000000,27.9600000000,26.5000000000,27.0000000000,2089657,56979467.6600,1,3.869735,-3.502502
11,2008-02-22,sz.002191,27.1000000000,28.9700000000,26.5200000000,26.7000000000,5712323,159546364.8500,1,10.578376,-1.111111
12,2008-02-29,sz.002191,26.5000000000,28.4200000000,25.6900000000,28.0600000000,5164268,142343493.2500,1,9.563459,5.093633
13,2008-03-07,sz.002191,27.8700000000,29.6300000000,26.1300000000,26.6300000000,13984110,386009774.4700,1,22.321341,-5.096222
14,2008-03-14,sz.002191,26.7400000000,27.3900000000,25.1100000000,25.7500000000,6410668,168043306.5700,1,9.497286,-3.304544
15,2008-03-21,sz.002191,25.7500000000,25.8000000000,21.9600000000,23.8200000000,8032712,188297991.3700,1,11.900314,-7.495146
16,2008-03-28,sz.002191,24.0300000000,25.2800000000,22.1100000000,24.1500000000,8070718,194851720.3300,1,11.956619,1.385390
17,2008-04-03,sz.002191,24.1500000000,24.8000000000,19.7000000000,20.6300000000,5832223,127467947.0900,1,8.640330,-14.575569
18,2008-04-11,sz.002191,20.3900000000,22.1500000000,20.0100000000,21.6800000000,6491720,138513312.1300,1,9.617363,5.089675
19,2008-04-18,sz.002191,21.3000000000,21.3000000000,18.4900000000,18.5400000000,4165955,83415526.8600,1,6.171785,-14.483395
20,2008-04-25,sz.002191,18.5400000000,21.9500000000,17.4000000000,21.2000000000,8149698,164865277.7200,1,12.073627,14.347357
21,2008-04-30,sz.002191,21.0500000000,21.7700000000,20.5700000000,21.7500000000,4118412,87180202.9500,1,6.101351,2.594340
22,2008-05-09,sz.002191,21.8500000000,22.5700000000,20.7700000000,22.4000000000,10167235,222818702.4100,1,15.062570,2.988506
23,2008-05-16,sz.002191,22.0000000000,23.5900000000,21.6900000000,22.5000000000,9834156,224230692.3900,1,14.569120,0.446429
24,2008-05-23,sz.002191,22.4000000000,22.6000000000,19.8900000000,20.4500000000,7387419,153225366.8700,1,10.944324,-9.111111
25,2008-05-30,sz.002191,20.5000000000,21.2500000000,19.9100000000,20.3200000000,6934596,143413590.8100,1,10.273476,-0.635697
26,2008-06-06,sz.002191,19.9020261000,21.4131654000,18.8088615000,20.1110134500,11489562,142107879.3600,1,10.638483,-1.028481
27,2008-06-13,sz.002191,19.0500007500,19.6287349500,16.8315196500,16.8475956000,6605984,74383284.3000,1,6.116652,-16.227018
28,2008-06-20,sz.002191,16.7993677500,17.5870893000,14.9667094500,16.1081019000,9097163,93730420.8700,1,8.423299,-4.389313
29,2008-06-27,sz.002191,15.8669626500,16.8797475000,15.3043044000,15.7544310000,6563088,65953663.8100,1,6.076933,-2.195609
30,2008-07-04,sz.002191,15.5936715000,16.4456968500,15.2239246500,15.6258234000,4773449,47112363.8400,1,4.419860,-0.816327
31,2008-07-11,sz.002191,15.7544310000,20.1913932000,15.5454436500,19.2268362000,52711096,605059771.0400,1,48.806570,23.045267
32,2008-07-18,sz.002191,18.9696210000,20.4164565000,16.7350639500,18.0050640000,23773795,276556338.2400,1,22.012773,-6.354515
33,2008-07-25,sz.002191,18.0050640000,19.2911400000,17.8443045000,18.5998741500,15794132,184453622.9400,1,14.624196,3.303571
34,2008-08-01,sz.002191,18.5998741500,18.7606336500,17.1851905500,17.9086083000,6797710,76641306.9100,1,6.294176,-3.716508
35,2008-08-08,sz.002191,17.6996209500,17.7639247500,15.5936715000,15.8348107500,7090994,74097786.8800,1,6.565735,-11.579892
36,2008-08-15,sz.002191,15.5936715000,16.0277221500,13.1983549500,14.8702537500,9596651,87345703.1400,1,8.885788,-6.091371
37,2008-08-22,sz.002191,14.6451904500,16.7189880000,14.1629119500,15.5293677000,9572787,92180253.7400,1,8.863692,4.432432
38,2008-08-29,sz.002191,15.6418993500,16.3653171000,14.2754436000,15.7705069500,4556694,43241418.2600,1,4.219161,1.552795
39,2008-09-05,sz.002191,15.7544310000,16.0437981000,14.3236714500,14.6291145000,2976559,27924658.7300,1,2.756073,-7.237513
40,2008-09-12,sz.002191,14.2754436000,15.0792411000,13.4234182500,14.5487347500,3330926,29609194.5700,1,3.084191,-0.549451
41,2008-09-19,sz.002191,14.4683550000,15.7383550500,13.1179752000,15.7383550500,8070340,75018466.9800,1,7.472537,8.176796
42,2008-09-26,sz.002191,16.2367095000,16.9601272500,13.9217727000,15.4007601000,10110807,97732752.6600,1,9.361858,-2.145046
43,2008-10-10,sz.002191,15.3846841500,15.3846841500,12.7000005000,12.7000005000,3915942,33647224.1400,1,3.625872,-17.536534
44,2008-10-17,sz.002191,12.5392410000,13.4716461000,11.0281017000,11.7675954000,4733838,35474168.1700,1,4.383183,-7.341772
45,2008-10-24,sz.002191,11.4621523500,13.1018992500,11.4460764000,12.8768359500,4641988,36300945.7300,1,4.298137,9.426230
46,2008-10-31,sz.002191,12.6517726500,13.3430385000,11.6389878000,12.9411397500,5202449,40752148.8600,1,4.817082,0.499376
47,2008-11-07,sz.002191,13.0215195000,13.0215195000,12.0891144000,12.4267093500,2182714,17067102.9100,1,2.021031,-3.975155
48,2008-11-14,sz.002191,12.8286081000,14.7094942500,12.6678486000,14.5005069000,8604220,72895187.4300,1,7.966870,16.688228
49,2008-11-21,sz.002191,15.0792411000,17.0083551000,14.3397474000,16.5100006500,21454354,209375176.4300,1,19.865143,13.858093
50,2008-11-28,sz.002191,16.2688614000,17.0726589000,15.0310132500,15.2400006000,16059576,158206830.3700,1,14.869978,-7.692308
51,2008-12-05,sz.002191,15.2560765500,18.8410134000,15.1113930000,18.6159501000,26979886,291745828.2600,1,24.251993,22.151899
52,2008-12-12,sz.002191,18.8249374500,19.0982286000,17.3137981500,17.6835450000,18288917,208013437.9400,1,15.001618,-5.008636
53,2008-12-19,sz.002191,17.6996209500,20.4646843500,17.6996209500,20.3360767500,14219365,171461619.7000,1,11.663538,15.000000
54,2008-12-26,sz.002191,20.1913932000,20.8665831000,19.3393678500,20.7701274000,18957062,237510467.7000,1,15.549669,2.134387
55,2008-12-31,sz.002191,20.7379755000,22.0079755500,20.1592413000,20.8987350000,12156790,160962938.7100,1,9.971696,0.619195
56,2009-01-09,sz.002191,21.2202540000,21.9597477000,20.4164565000,21.3167097000,13565102,177798736.1600,1,11.126874,2.000000
57,2009-01-16,sz.002191,21.3167097000,22.2651907500,19.8216463500,20.0949375000,16941604,221454254.9100,1,13.896475,-5.731523
58,2009-01-23,sz.002191,20.0788615500,21.5096211000,19.1625324000,20.8665831000,16169617,201509212.1400,1,13.263247,3.840000
59,2009-02-06,sz.002191,20.9469628500,21.4613932500,20.1592413000,20.9148109500,15578202,202876249.9900,1,12.778134,0.231125
60,2009-02-13,sz.002191,21.1398742500,23.2779756000,20.8826590500,22.5063300000,22023349,303601853.9700,1,18.064814,7.609531
61,2009-02-20,sz.002191,22.6349376000,23.1332920500,20.7701274000,21.7025325000,14367559,195190608.4900,1,11.785096,-3.571429
62,2009-02-27,sz.002191,21.5900008500,23.6316465000,20.0949375000,21.0273426000,23962909,328548701.9200,1,19.655752,-3.111111
63,2009-03-06,sz.002191,20.4968362500,24.6444313500,20.4968362500,24.1139250000,18462143,262536979.4200,1,15.143708,14.678899
64,2009-03-13,sz.002191,24.1139250000,24.2746845000,21.0273426000,22.0401274500,13459404,188946244.8300,1,11.040175,-8.600000
65,2009-03-20,sz.002191,21.7346844000,23.5994946000,21.0594945000,23.3262034500,26836419,371281514.3400,1,22.012770,5.835157
66,2009-03-27,sz.002191,23.3422794000,26.0430390000,23.0368363500,24.8534187000,35027934,536598154.1600,1,28.731920,6.547209
67,2009-04-03,sz.002191,24.7569630000,26.6860770000,24.2425326000,26.0108871000,19326283,306888711.2000,1,15.852525,4.657180
68,2009-04-10,sz.002191,25.7536719000,26.4931656000,24.2103807000,25.8340516500,17892345,280194748.1100,1,14.676327,-0.679852
69,2009-04-17,sz.002191,26.7664567500,29.2582290000,26.3324061000,27.9721530000,41273836,716317444.0800,1,33.855167,8.276291
70,2009-04-24,sz.002191,27.9400011000,29.2582290000,26.0108871000,27.4416466500,28467319,491053743.1900,1,23.350527,-1.896552
71,2009-04-30,sz.002191,27.4898745000,27.7631656500,25.7215200000,27.5220264000,14771487,246345780.0900,1,12.116421,0.292912
72,2009-05-08,sz.002191,27.7310137500,29.3386087500,27.4577226000,27.9882289500,19378713,341654386.2100,1,15.895532,1.693925
73,2009-05-15,sz.002191,28.2293682000,30.0137986500,26.2198744500,29.5475961000,28712836,509367569.7800,1,23.551914,5.571511
74,2009-05-22,sz.002191,29.6601277500,29.8208872500,27.2537856000,27.3518208000,24250729,344059294.9600,1,15.859702,-7.431330
75,2009-05-27,sz.002191,26.9106624000,27.3273120000,26.0283456000,26.4695040000,14707260,160624115.7900,1,8.042492,-3.225806
76,2009-06-05,sz.002191,26.8126272000,29.8517184000,26.7636096000,27.9890496000,50138005,583766479.5300,1,27.417378,5.740741
77,2009-06-12,sz.002191,28.0625760000,28.7488224000,27.0086976000,27.2292768000,19963217,228151644.7000,1,10.916650,-2.714536
78,2009-06-19,sz.002191,27.2537856000,28.1361024000,27.0332064000,27.9890496000,11911046,133937956.6600,1,6.513415,2.790279
79,2009-06-26,sz.002191,27.8419968000,27.8665056000,26.2244160000,27.5478912000,33299135,366297217.8500,1,18.209240,-1.576182
80,2009-07-03,sz.002191,27.3763296000,27.5969088000,26.3714688000,26.6655744000,20975942,231171392.7300,1,11.470447,-3.202847
81,2009-07-10,sz.002191,26.7881184000,30.8565792000,26.5675392000,29.5331040000,49719239,579602178.9600,1,27.188380,10.753676
82,2009-07-17,sz.002191,29.3860512000,30.8810880000,28.9694016000,29.3860512000,43083225,527686111.5100,1,23.559554,-0.497925
83,2009-07-24,sz.002191,29.4840864000,30.8320704000,29.0429280000,29.8762272000,39781776,483687804.4700,1,21.754196,1.668057
84,2009-07-31,sz.002191,30.1458240000,32.1065280000,28.5282432000,31.6898784000,68683789,856434262.0700,1,37.558921,6.070550
85,2009-08-07,sz.002191,31.7388960000,32.9888448000,30.3909120000,30.8565792000,53854122,699355480.6300,1,29.449492,-2.629544
86,2009-08-14,sz.002191,30.9791232000,31.3222464000,27.5724000000,27.5724000000,27049878,328121386.8800,1,14.791907,-10.643368
87,2009-08-21,sz.002191,27.4988736000,27.4988736000,25.3911168000,27.0332064000,17113449,184795550.8100,1,9.358288,-1.955556
88,2009-08-28,sz.002191,27.2537856000,30.4889472000,26.6655744000,29.3860512000,32074948,376103373.0200,1,17.539808,8.703536
89,2009-09-04,sz.002191,29.3615424000,30.2928768000,26.9596800000,29.8762272000,29346256,347378115.9800,1,16.047655,1.668057
90,2009-09-11,sz.002191,30.0477888000,31.0281408000,29.4350688000,30.1213152000,28856868,355413212.5000,1,15.780038,0.820345
