,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2008-01-18,sz.002203,27.0000000000,32.8800000000,27.0000000000,29.6200000000,57918805,1728159804.2700,1,131.633648,165.174575
1,2008-01-25,sz.002203,29.3500000000,30.9900000000,23.9800000000,25.4300000000,26820275,719291624.5700,1,60.955170,-14.145847
2,2008-02-01,sz.002203,24.9700000000,24.9700000000,19.6600000000,19.6600000000,14370918,315906409.6800,1,32.661177,-22.689737
3,2008-02-05,sz.002203,20.1500000000,23.5900000000,19.9700000000,22.9500000000,5648953,122645555.4000,1,12.838530,16.734486
4,2008-02-15,sz.002203,22.6000000000,23.2000000000,21.8000000000,22.0100000000,4179670,93466255.2600,1,9.499250,-4.095861
5,2008-02-22,sz.002203,22.4500000000,25.0000000000,22.0900000000,23.4000000000,14303305,345668960.2900,1,32.507511,6.315311
6,2008-02-29,sz.002203,23.3900000000,23.7000000000,20.8000000000,22.3500000000,7611977,167778249.5800,1,17.299948,-4.487179
7,2008-03-07,sz.002203,22.2000000000,23.8000000000,21.6500000000,21.9000000000,8684238,195180579.4100,1,19.736905,-2.013423
8,2008-03-14,sz.002203,21.7000000000,21.7000000000,18.0700000000,18.6800000000,5735937,112885845.8600,1,13.036220,-14.703196
9,2008-03-21,sz.002203,18.5600000000,18.5600000000,15.4500000000,17.0800000000,7329476,123081920.9200,1,16.657900,-8.565310
10,2008-03-28,sz.002203,17.3500000000,18.4800000000,15.7300000000,17.3000000000,10928904,189730506.8100,1,24.838418,1.288056
11,2008-04-03,sz.002203,16.9000000000,16.9000000000,13.1800000000,14.1000000000,5081342,75948714.9200,1,11.548505,-18.497110
12,2008-04-11,sz.002203,13.8200000000,15.8000000000,13.6000000000,14.7300000000,6131354,90353286.8700,1,13.934895,4.468085
13,2008-04-18,sz.002203,14.2800000000,14.7300000000,11.6500000000,11.7300000000,15476182,205505360.5300,1,28.968100,-20.366599
14,2008-04-25,sz.002203,11.7300000000,14.3400000000,10.8000000000,13.6800000000,16669759,215531468.5900,1,30.308653,16.624041
15,2008-04-30,sz.002203,13.2300000000,14.2500000000,13.0500000000,14.0800000000,7616755,103976456.7600,1,13.848645,2.923977
16,2008-05-09,sz.002203,14.1800000000,14.7000000000,12.9100000000,13.5000000000,13631313,189791776.0200,1,24.784205,-4.119318
17,2008-05-16,sz.002203,13.4800000000,15.9129035200,13.0500000000,14.4892237000,21845484,323158199.9500,1,39.719062,7.327632
18,2008-05-23,sz.002203,14.3983505200,14.8931045000,12.6616630800,13.0251558000,9443433,127381809.3100,1,17.169878,-10.104530
19,2008-05-30,sz.002203,12.9241856000,13.4290366000,12.4597226800,12.7626332800,4965850,63337652.8800,1,9.028818,-2.015504
20,2008-06-06,sz.002203,12.7020511600,13.7319472000,12.2981703600,13.2169991800,6946010,89597395.5900,1,12.629109,3.560127
21,2008-06-13,sz.002203,12.5707899000,12.7020511600,11.1572071000,11.7226402200,6875707,80516117.1100,1,12.501285,-11.306341
22,2008-06-20,sz.002203,11.7832223400,14.1055369400,11.4096326000,13.5905889200,37840662,489450675.4000,1,68.801204,15.934539
23,2008-06-27,sz.002203,13.2270962000,14.0550518400,11.1471100800,13.0554468600,29965673,380022932.9800,1,54.483042,-3.937593
24,2008-07-04,sz.002203,12.8131183800,15.3474704000,12.1164240000,14.7416492000,36328133,511639039.4500,1,66.051151,12.915700
25,2008-07-11,sz.002203,14.7517462200,15.6503810000,14.1358280000,14.4387386000,26912611,399945832.1800,1,48.932020,-2.054795
26,2008-07-18,sz.002203,14.3377684000,15.9129035200,12.2173942000,14.0853429000,18268166,260573658.9600,1,33.214847,-2.447552
27,2008-07-25,sz.002203,13.9338876000,14.9032015200,13.6309770000,14.6709700600,12691086,181082373.9800,1,23.074702,4.157706
28,2008-08-01,sz.002203,14.7517462200,15.0243657600,13.2270962000,13.8228203800,10012892,140655891.8400,1,18.205258,-5.781142
29,2008-08-08,sz.002203,13.9136935600,13.9136935600,11.5206998200,11.6115730000,5613013,70426476.2700,1,10.205478,-15.997078
30,2008-08-15,sz.002203,11.3894385600,11.7630283000,9.0974150200,10.0162438400,6324020,63907238.8700,1,11.498218,-13.739130
31,2008-08-22,sz.002203,10.0263408600,10.1878931800,8.5925640200,9.0570269400,6862113,63999103.9000,1,12.476569,-9.576613
32,2008-08-29,sz.002203,9.0166388600,9.2892584000,7.8756756000,8.4209146800,4397883,36892763.5200,1,7.996151,-7.023411
33,2008-09-05,sz.002203,8.3805266000,8.7238252800,7.9261607000,7.9665487800,4267544,35192004.4300,1,7.759171,-5.395683
34,2008-09-12,sz.002203,8.0877130200,8.0877130200,7.0780110200,7.2496603600,3151555,23028103.5800,1,5.730100,-8.998733
35,2008-09-19,sz.002203,7.2698544000,7.3607275800,6.2399583600,7.3203395000,4602706,31735661.8300,1,8.368556,0.974930
36,2008-09-26,sz.002203,7.8756756000,8.0473249400,6.7448093600,7.2698544000,8324698,60745469.4200,1,15.135815,-0.689655
37,2008-10-10,sz.002203,7.0578169800,7.0780110200,5.9774358400,6.1288911400,3774226,24969333.4700,1,6.862229,-15.694444
38,2008-10-17,sz.002203,6.0582120000,6.4116077000,5.2302563600,5.3110325200,3362496,19255087.8100,1,6.113629,-13.344316
39,2008-10-24,sz.002203,5.3817116600,5.8562716000,5.1999653000,5.5735550400,3761338,20674593.7200,1,6.838796,4.942966
40,2008-10-31,sz.002203,5.4019057000,5.4624878200,4.8667636400,5.1999653000,3648625,18779693.8900,1,6.633864,-6.702899
41,2008-11-07,sz.002203,5.2908384800,5.7351073600,4.9374427800,5.7351073600,5506940,29606105.1700,1,10.012618,10.291262
42,2008-11-14,sz.002203,5.9067567000,6.7347123400,5.7553014000,6.6741302200,16798807,103075364.8100,1,30.543285,16.373239
43,2008-11-21,sz.002203,6.5933540600,7.0578169800,6.1086971000,6.3813166400,14741855,96454031.8800,1,26.803373,-4.387292
44,2008-11-28,sz.002203,6.4217047200,6.8154885000,6.0784060400,6.1995702800,5833602,36937313.8000,1,10.606549,-2.848101
45,2008-12-05,sz.002203,6.2601524000,7.9564517600,6.1389881600,7.5424739400,25605301,185139388.6800,1,46.555093,21.661238
46,2008-12-12,sz.002203,7.5828620200,8.2795564000,6.7952944600,6.9568467800,18128726,139000427.7800,1,32.961320,-7.764391
47,2008-12-19,sz.002203,7.1183991000,7.6939292400,6.8356825400,7.5727650000,10186839,74180451.7000,1,18.521525,8.853411
48,2008-12-26,sz.002203,7.6232501000,8.0776160000,6.7650034000,6.9568467800,12839239,94788209.9100,1,23.344071,-8.133333
49,2008-12-31,sz.002203,6.9770408200,7.1587871800,6.5731600200,6.9568467800,3922430,26834623.1700,1,7.131691,0.000000
50,2009-01-09,sz.002203,7.0679140000,8.6430491200,7.0679140000,8.4713997800,25161792,196263197.8000,1,45.748713,21.770682
51,2009-01-16,sz.002203,8.3906236200,9.0368329000,7.8756756000,8.3300415000,25319778,213675500.4000,1,42.083301,-1.668653
52,2009-01-23,sz.002203,8.3401385200,8.6834372000,8.1079070600,8.5521759400,10619759,87926442.9900,1,8.291382,2.666667
53,2009-02-06,sz.002203,8.6834372000,9.4609077400,8.5521759400,9.3397435000,17200158,153589889.9000,1,13.429031,9.208973
54,2009-02-13,sz.002203,9.5214898600,10.7028412000,9.3397435000,10.2787663600,27136854,269043136.0300,1,21.187111,10.054054
55,2009-02-20,sz.002203,10.2989604000,10.9350726600,9.8042064200,10.9047816000,19362601,199648199.1100,1,15.117359,6.090373
56,2009-02-27,sz.002203,10.9249756400,11.3793415400,8.6935342200,8.9358627000,24679079,255385594.3300,1,19.268202,-18.055556
57,2009-03-06,sz.002203,8.7339223000,10.1979902000,8.6935342200,9.6729451600,15029608,141618453.6000,1,11.734373,8.248588
58,2009-03-13,sz.002203,9.7840123800,9.8344974800,8.7844074000,9.0469299200,8115258,73955288.3100,1,6.335991,-6.471816
59,2009-03-20,sz.002203,8.9863478000,10.6826471600,8.8752805800,10.2989604000,16142667,160589228.8200,1,12.603394,13.839286
