,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2008-05-23,sz.002241,32.0000000000,34.2000000000,30.6500000000,31.3500000000,30581377,993111457.4500,1,127.422404,66.932907
1,2008-05-30,sz.002241,30.0000000000,33.5800000000,28.8800000000,31.8100000000,23054589,714985972.0200,1,96.060788,1.467305
2,2008-06-06,sz.002241,31.4000000000,34.9800000000,30.3100000000,33.0100000000,11139144,361691942.9700,1,46.413100,3.772399
3,2008-06-13,sz.002241,31.7100000000,32.7800000000,26.9800000000,27.2300000000,9879830,292245249.3600,1,41.165958,-17.509846
4,2008-06-20,sz.002241,27.2200000000,29.3800000000,25.8000000000,27.9000000000,5591678,152578086.4800,1,23.298658,2.460521
5,2008-06-27,sz.002241,27.1900000000,28.2000000000,25.1100000000,28.0000000000,4192900,112257888.8900,1,17.470417,0.358423
6,2008-07-04,sz.002241,26.1100000000,29.2200000000,25.7000000000,28.1600000000,2809893,77591998.7800,1,11.707888,0.571429
7,2008-07-11,sz.002241,27.8800000000,30.1800000000,27.1000000000,29.8500000000,4079148,117329947.6600,1,16.996450,6.001420
8,2008-07-18,sz.002241,29.5800000000,30.4000000000,27.2200000000,28.7100000000,2123267,61526748.8800,1,8.846946,-3.819095
9,2008-07-25,sz.002241,28.4000000000,29.5000000000,27.6000000000,28.0100000000,1928178,55071726.1600,1,8.034075,-2.438175
10,2008-08-01,sz.002241,28.0500000000,31.3700000000,28.0500000000,30.2100000000,3622344,109064170.6000,1,15.093100,7.854338
11,2008-08-08,sz.002241,29.6000000000,33.0000000000,29.4000000000,30.7100000000,2930372,91547090.9200,1,12.209883,1.655081
12,2008-08-15,sz.002241,30.1000000000,34.2800000000,28.8500000000,33.8800000000,2008260,63465377.8800,1,8.367750,10.322371
13,2008-08-22,sz.002241,33.9000000000,34.0000000000,28.5000000000,29.8800000000,6784592,206364024.6900,1,25.441737,-11.806375
14,2008-08-29,sz.002241,29.4000000000,29.7700000000,26.8000000000,27.6300000000,3118108,87036401.4200,1,10.393693,-7.530120
15,2008-09-05,sz.002241,27.0400000000,27.4700000000,24.2500000000,25.5200000000,1643826,42217429.7300,1,5.479420,-7.636627
16,2008-09-12,sz.002241,25.5000000000,25.8000000000,24.6000000000,25.0700000000,882624,22115161.0800,1,2.942080,-1.763323
17,2008-09-19,sz.002241,25.5100000000,27.4300000000,22.6700000000,27.4300000000,1561197,40749254.7100,1,5.203990,9.413642
18,2008-09-26,sz.002241,27.1000000000,29.0500000000,24.3300000000,25.1600000000,2379913,62743833.2700,1,7.933043,-8.275611
19,2008-10-10,sz.002241,24.9200000000,24.9600000000,20.0000000000,20.0600000000,1748501,38653822.1600,1,5.828337,-20.270270
20,2008-10-17,sz.002241,20.0000000000,20.9800000000,16.0000000000,17.1700000000,1381961,24766824.7700,1,4.606537,-14.406780
21,2008-10-24,sz.002241,16.6600000000,19.9000000000,16.4000000000,19.2000000000,1502995,27322892.4800,1,5.009983,11.822947
22,2008-10-31,sz.002241,19.0000000000,19.3500000000,17.6000000000,18.5400000000,2450464,45814856.9900,1,8.168213,-3.437500
23,2008-11-07,sz.002241,18.4500000000,18.6100000000,16.5200000000,17.1900000000,3040703,53665120.1100,1,10.135677,-7.281553
24,2008-11-14,sz.002241,17.3500000000,20.3400000000,17.2500000000,20.1700000000,8648766,162093100.5500,1,28.829220,17.335660
25,2008-11-21,sz.002241,20.1700000000,20.9700000000,18.0100000000,19.2800000000,6908842,134659492.0100,1,23.029473,-4.412494
26,2008-11-28,sz.002241,19.1000000000,20.5700000000,19.0000000000,19.7100000000,3196861,63235045.4000,1,10.656203,2.230290
27,2008-12-05,sz.002241,19.8300000000,24.6400000000,19.8300000000,23.9700000000,6735065,150995245.9300,1,22.450217,21.613394
28,2008-12-12,sz.002241,23.9800000000,25.4500000000,22.0200000000,22.6800000000,4707773,111976172.0700,1,15.692577,-5.381727
29,2008-12-19,sz.002241,22.7300000000,25.2200000000,21.6000000000,24.7600000000,3873437,90909837.7400,1,12.911457,9.171076
30,2008-12-26,sz.002241,24.7000000000,26.3600000000,23.1500000000,24.0000000000,4639056,114428606.3800,1,15.463520,-3.069467
31,2008-12-31,sz.002241,23.7000000000,24.4500000000,22.1800000000,23.8900000000,2159215,50695235.1300,1,7.197383,-0.458333
32,2009-01-09,sz.002241,24.5000000000,26.7000000000,24.2000000000,26.5000000000,6830516,172969150.2700,1,22.768387,10.925073
33,2009-01-16,sz.002241,26.5000000000,27.0000000000,24.0200000000,24.9000000000,6537624,165568705.4300,1,21.792080,-6.037736
34,2009-01-23,sz.002241,24.9500000000,25.5000000000,24.0000000000,24.4400000000,3931470,97199791.8900,1,13.104900,-1.847390
35,2009-02-06,sz.002241,24.6100000000,26.6000000000,24.3000000000,26.2400000000,5775785,148318741.4900,1,19.252617,7.364975
36,2009-02-13,sz.002241,26.7200000000,28.6500000000,25.8500000000,28.6500000000,8809325,239843461.3100,1,29.364417,9.184451
37,2009-02-20,sz.002241,28.9000000000,29.5000000000,26.3100000000,29.3400000000,14195948,396561532.7500,1,47.319827,2.408377
38,2009-02-27,sz.002241,29.0800000000,29.5900000000,24.2800000000,24.5500000000,10824601,300301448.3600,1,36.082003,-16.325835
39,2009-03-06,sz.002241,24.3100000000,27.3000000000,23.7600000000,26.4100000000,6705527,173717911.0500,1,22.351757,7.576375
40,2009-03-13,sz.002241,26.4700000000,29.2800000000,26.2800000000,27.2500000000,9286296,258864968.9200,1,30.954320,3.180613
41,2009-03-20,sz.002241,27.1000000000,30.5700000000,27.1000000000,29.4900000000,19115891,566581490.8500,1,63.719637,8.220183
42,2009-03-27,sz.002241,29.6400000000,32.2500000000,29.3000000000,30.9000000000,12091977,370030263.2300,1,40.306590,4.781282
43,2009-04-03,sz.002241,31.0000000000,35.2700000000,29.5900000000,35.0000000000,10898924,354342475.2100,1,36.329747,13.268608
44,2009-04-10,sz.002241,35.3200000000,37.0500000000,33.4600000000,35.4800000000,14205692,498178819.9000,1,47.352307,1.371429
45,2009-04-17,sz.002241,35.1000000000,37.8800000000,34.8500000000,36.8000000000,16084617,583116563.9300,1,53.615390,3.720406
46,2009-04-24,sz.002241,35.0900000000,35.8500000000,29.5000000000,30.6400000000,15106875,489118105.2500,1,50.356250,-16.739130
47,2009-04-30,sz.002241,30.7000000000,31.5800000000,29.9000000000,31.1000000000,5070993,155089459.9900,1,16.903310,1.501305
48,2009-05-08,sz.002241,31.0000000000,34.9800000000,30.8000000000,33.7500000000,11947264,401271818.8500,1,39.824346,8.520900
49,2009-05-15,sz.002241,33.4877444000,34.0525979200,28.9285695600,29.9170632200,19096194,286927392.8700,1,31.827096,-11.356844
50,2009-05-22,sz.002241,29.8565432000,29.9170632200,29.0697829400,29.3723830400,13684094,200053375.1400,1,22.806899,-1.820634
51,2009-05-27,sz.002241,28.2426760000,30.1389699600,27.8392092000,29.0697829400,9998636,143055309.7700,1,16.664449,-1.030220
52,2009-06-05,sz.002241,29.0697829400,29.4530764000,28.0409426000,28.2225026600,10444636,149322417.6600,1,17.407785,-2.914643
