,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2008-08-15,sz.002268,26.6000000000,28.2000000000,22.4700000000,23.8000000000,26173063,665918590.6900,1,192.448993,96.369637
1,2008-08-22,sz.002268,23.3500000000,23.4900000000,18.7200000000,19.0000000000,7114062,149025707.8600,1,52.309279,-20.168067
2,2008-08-29,sz.002268,18.8300000000,19.9500000000,17.6500000000,18.4800000000,3203318,60226444.0900,1,23.553809,-2.736842
3,2008-09-05,sz.002268,18.4300000000,18.4300000000,17.0500000000,17.2000000000,1545993,27513137.7400,1,11.367596,-6.926407
4,2008-09-12,sz.002268,17.0000000000,17.2000000000,15.5300000000,15.8500000000,1394115,22392684.2400,1,10.250846,-7.848837
5,2008-09-19,sz.002268,15.9000000000,16.4800000000,14.4200000000,16.4800000000,1423959,22400345.3300,1,10.470287,3.974763
6,2008-09-26,sz.002268,16.9900000000,18.0000000000,14.5800000000,15.1600000000,3283215,53552520.5400,1,24.141287,-8.009709
7,2008-10-10,sz.002268,14.9200000000,14.9200000000,13.5500000000,13.9100000000,1650920,23146820.6200,1,12.139118,-8.245383
8,2008-10-17,sz.002268,13.8100000000,14.9500000000,12.2600000000,12.5500000000,1086130,14699718.2400,1,7.986250,-9.777139
9,2008-10-24,sz.002268,12.6000000000,13.9700000000,12.5900000000,13.5900000000,884172,11631996.3500,1,6.501265,8.286853
10,2008-10-31,sz.002268,13.1000000000,14.6000000000,12.8000000000,13.3100000000,1229220,16918983.7400,1,9.038382,-2.060338
11,2008-11-07,sz.002268,13.5000000000,13.6700000000,12.6200000000,13.1500000000,1711978,22395503.3700,1,12.588074,-1.202104
12,2008-11-14,sz.002268,13.3000000000,16.0200000000,13.1300000000,15.9800000000,8037315,119820011.2300,1,48.141628,21.520913
13,2008-11-21,sz.002268,15.9500000000,16.9000000000,14.7500000000,15.5200000000,5124503,81279706.4600,1,30.144135,-2.878598
14,2008-11-28,sz.002268,15.5200000000,17.4000000000,14.7700000000,16.6000000000,3817120,61452000.4500,1,22.453647,6.958763
15,2008-12-05,sz.002268,16.7000000000,18.3700000000,16.4900000000,17.7000000000,5590751,97919788.6800,1,32.886771,6.626506
16,2008-12-12,sz.002268,18.0300000000,20.4800000000,17.3800000000,18.5400000000,7137446,134241176.9100,1,41.984976,4.745763
