,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2009-11-06,sz.002304,98.0000000000,98.0000000000,87.6600000000,87.9100000000,24992000,2282198593.4600,1,69.422222,46.516667
1,2009-11-13,sz.002304,88.5100000000,95.6600000000,88.1500000000,94.2900000000,31071767,2844291019.9200,1,86.310464,7.257422
2,2009-11-20,sz.002304,95.9000000000,107.8000000000,94.8000000000,105.1100000000,17350946,1711398815.0500,1,48.197072,11.475236
3,2009-11-27,sz.002304,105.1300000000,115.9900000000,103.8000000000,109.9900000000,20642653,2262127104.0500,1,57.340703,4.642755
4,2009-12-04,sz.002304,111.4800000000,121.7300000000,109.0100000000,112.8900000000,15445318,1776094219.0500,1,42.903661,2.636603
5,2009-12-11,sz.002304,115.0000000000,116.3000000000,110.0000000000,111.3900000000,6743882,760943982.0600,1,18.733006,-1.328727
6,2009-12-18,sz.002304,111.0800000000,114.1000000000,100.2300000000,103.4900000000,7614998,824692023.2500,1,21.152772,-7.092199
7,2009-12-25,sz.002304,103.4900000000,113.6600000000,103.4900000000,113.5000000000,6525631,712362899.8800,1,18.126753,9.672432
8,2009-12-31,sz.002304,112.2200000000,115.0000000000,111.3000000000,113.9900000000,3829075,432679391.6800,1,10.636368,0.431718
9,2010-01-08,sz.002304,115.1500000000,115.1500000000,106.0400000000,107.2100000000,5164605,569818341.9400,1,14.346404,-5.947890
10,2010-01-15,sz.002304,107.2000000000,116.9500000000,106.3000000000,113.8100000000,7051872,796701999.5500,1,19.588914,6.156142
11,2010-01-22,sz.002304,113.8300000000,114.5000000000,104.5100000000,105.7200000000,5185847,568241741.5600,1,14.405411,-7.108338
12,2010-01-29,sz.002304,104.7600000000,110.5800000000,104.7600000000,108.0300000000,4082513,440564373.2700,1,11.340534,2.185017
13,2010-02-05,sz.002304,107.4800000000,110.0500000000,102.0000000000,103.0000000000,4125198,434712131.9600,1,11.459106,-4.656114
14,2010-02-12,sz.002304,101.9900000000,109.6800000000,100.2000000000,109.6000000000,9591281,1000861403.4200,1,21.314289,6.407767
15,2010-02-26,sz.002304,108.8000000000,113.0000000000,104.7100000000,112.2800000000,5574032,606525798.7400,1,12.386930,2.445255
16,2010-03-05,sz.002304,112.2800000000,117.3300000000,104.5000000000,108.9200000000,14103078,1571387980.5500,1,31.340661,-2.992519
17,2010-03-12,sz.002304,107.5900000000,110.8800000000,105.0000000000,106.0100000000,8896907,956710039.6700,1,19.771212,-2.671686
18,2010-03-19,sz.002304,106.0700000000,107.4600000000,105.0000000000,106.4000000000,3246549,345170663.7300,1,7.214666,0.367890
19,2010-03-26,sz.002304,106.4000000000,109.9200000000,106.0000000000,108.1000000000,4803129,517899913.1100,1,10.673786,1.597744
20,2010-04-02,sz.002304,108.5000000000,114.2000000000,107.5600000000,112.6000000000,5590469,622935294.8500,1,12.423458,4.162812
21,2010-04-09,sz.002304,114.1800000000,126.9600000000,111.9000000000,123.5700000000,10369955,1241391008.3200,1,23.044703,9.742451
22,2010-04-16,sz.002304,124.0000000000,136.8800000000,118.0000000000,136.0000000000,11371836,1441652700.9800,1,25.271140,10.059076
