,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2009-11-27,sz.002311,36.0000000000,39.9900000000,36.0000000000,38.0500000000,32949685,1248020709.6900,1,73.548404,35.892857
1,2009-12-04,sz.002311,39.1000000000,47.2500000000,37.8800000000,45.8500000000,72032854,2997770469.2300,1,160.787621,20.499343
2,2009-12-11,sz.002311,45.5900000000,46.8600000000,40.3300000000,40.4700000000,39117651,1683751848.1700,1,87.316185,-11.733915
3,2009-12-18,sz.002311,40.6300000000,40.9200000000,36.5100000000,37.0000000000,26187825,1018984404.8300,1,58.454967,-8.574253
4,2009-12-25,sz.002311,37.0100000000,37.6500000000,34.2100000000,35.9800000000,18585137,667502988.1300,1,41.484681,-2.756757
5,2009-12-31,sz.002311,36.0200000000,38.4800000000,35.7200000000,37.5400000000,10863785,404011521.5300,1,24.249520,4.335742
6,2010-01-08,sz.002311,37.9900000000,38.9700000000,34.8300000000,35.7400000000,17681128,657680678.7700,1,39.466804,-4.794885
7,2010-01-15,sz.002311,35.7800000000,38.8800000000,35.0100000000,38.3300000000,18965024,716046002.4900,1,42.332643,7.246782
8,2010-01-22,sz.002311,38.3500000000,38.9600000000,34.7000000000,35.1600000000,13605550,504285891.6700,1,30.369531,-8.270284
9,2010-01-29,sz.002311,35.1900000000,35.5000000000,32.5800000000,33.2000000000,7840035,265370968.4800,1,17.500078,-5.574516
10,2010-02-05,sz.002311,33.6700000000,34.8800000000,32.5000000000,32.9700000000,9948459,336240475.3100,1,22.206382,-0.692771
11,2010-02-12,sz.002311,32.8800000000,34.5000000000,32.5800000000,34.1000000000,4371886,145978732.0700,1,9.758674,3.427358
12,2010-02-26,sz.002311,34.0100000000,35.3400000000,32.7800000000,35.0100000000,6983087,238659086.5900,1,15.587248,2.668622
13,2010-03-05,sz.002311,34.6000000000,36.4800000000,34.0300000000,35.7300000000,22416951,788975934.6200,1,40.030270,2.056555
14,2010-03-12,sz.002311,35.8000000000,36.9800000000,34.7500000000,34.9200000000,11905683,429119395.5200,1,21.260148,-2.267003
15,2010-03-19,sz.002311,34.8000000000,35.3600000000,34.0000000000,35.1200000000,5936111,206379096.5100,1,10.600198,0.572738
16,2010-03-26,sz.002311,35.0800000000,36.5000000000,34.7100000000,36.1000000000,9847003,352316277.9700,1,17.583934,2.790433
17,2010-04-02,sz.002311,36.2100000000,36.9400000000,35.2800000000,36.8000000000,16592182,601558597.5800,1,29.628896,1.939058
18,2010-04-09,sz.002311,36.8200000000,38.5000000000,36.7500000000,38.1300000000,13037089,491124357.2300,1,23.280516,3.614130
19,2010-04-16,sz.002311,38.1000000000,38.9300000000,35.6800000000,35.9700000000,17119377,636383479.6300,1,30.570316,-5.664831
20,2010-04-23,sz.002311,35.5200000000,36.6500000000,34.6000000000,35.2000000000,12525073,447649488.0900,1,22.366202,-2.140673
