,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2009-12-25,sz.002326,29.8000000000,32.2000000000,26.3300000000,32.2000000000,54087231,1572796713.0000,1,201.818026,61.000000
1,2009-12-31,sz.002326,32.6900000000,33.3000000000,30.8000000000,31.2700000000,27288130,874711528.0700,1,101.821381,-2.888199
2,2010-01-08,sz.002326,31.6600000000,36.5000000000,31.6600000000,35.2800000000,29021725,998683678.5900,1,108.290019,12.823793
3,2010-01-15,sz.002326,35.2900000000,42.1200000000,34.1100000000,41.3800000000,21218369,809171573.7000,1,79.173019,17.290249
4,2010-01-22,sz.002326,40.7000000000,42.9900000000,38.2000000000,38.8200000000,17389607,706236500.8700,1,64.886593,-6.186564
5,2010-01-29,sz.002326,38.5100000000,40.1900000000,35.2800000000,38.2700000000,11858135,449329709.0200,1,44.246772,-1.416795
6,2010-02-05,sz.002326,37.8000000000,42.3000000000,37.6600000000,40.4500000000,9312607,377271007.5100,1,34.748534,5.696368
7,2010-02-12,sz.002326,40.0600000000,41.1500000000,37.3000000000,39.3000000000,4283819,165259916.7300,1,15.984399,-2.843016
8,2010-02-26,sz.002326,39.3000000000,41.1000000000,38.0800000000,38.9700000000,5654130,223644935.5800,1,21.097500,-0.839695
9,2010-03-05,sz.002326,39.1700000000,43.6000000000,38.5100000000,42.9500000000,8906828,364571418.7900,1,33.234433,10.212984
10,2010-03-12,sz.002326,42.9500000000,44.5500000000,40.5100000000,40.5600000000,8343142,356725256.7800,1,31.131127,-5.564610
11,2010-03-19,sz.002326,40.4000000000,40.4800000000,38.6200000000,39.5700000000,7777038,306421226.9300,1,29.018799,-2.440828
12,2010-03-26,sz.002326,39.4200000000,41.6500000000,38.7800000000,40.0100000000,12651398,506475292.9600,1,37.765367,1.111954
13,2010-04-02,sz.002326,40.4000000000,46.0200000000,38.6300000000,43.2600000000,13033744,557345812.9400,1,38.906699,8.122969
14,2010-04-09,sz.002326,43.1400000000,44.9400000000,42.6400000000,43.5900000000,7947212,347046616.3900,1,23.723021,0.762829
15,2010-04-16,sz.002326,43.5900000000,45.5900000000,39.5000000000,40.5300000000,9401393,398102875.0000,1,28.063860,-7.019959
16,2010-04-23,sz.002326,40.5800000000,47.9100000000,40.0000000000,46.3900000000,9214235,412990785.0700,1,27.505179,14.458426
17,2010-04-30,sz.002326,47.6000000000,55.4700000000,43.6000000000,45.6000000000,12657607,635208684.8600,1,37.783901,-1.702953
18,2010-05-07,sz.002326,44.1400000000,53.3300000000,43.9000000000,52.7300000000,8918656,444256641.6800,1,26.622854,15.635965
19,2010-05-14,sz.002326,52.8000000000,53.9900000000,43.4000000000,47.0000000000,11667725,555688326.1600,1,34.829030,-10.866679
20,2010-05-21,sz.002326,47.0000000000,50.5100000000,42.8100000000,50.0000000000,8135318,380253487.2500,1,24.284531,6.382979
21,2010-05-28,sz.002326,50.9800000000,55.5900000000,50.6500000000,52.6400000000,12355628,659201404.6900,1,36.882472,5.280000
22,2010-06-04,sz.002326,51.5000000000,53.9800000000,49.7200000000,52.8900000000,8347562,434376591.9800,1,24.918096,0.474924
23,2010-06-11,sz.002326,51.9800000000,57.1800000000,51.5000000000,53.3000000000,9256366,507128917.6500,1,27.630943,0.775194
24,2010-06-18,sz.002326,52.8000000000,54.2500000000,48.6000000000,49.3800000000,3316374,171247735.4900,1,9.899624,-7.354597
25,2010-06-25,sz.002326,49.0000000000,52.0000000000,48.1100000000,49.6100000000,4426970,224884686.2800,1,13.214836,0.465776
26,2010-07-02,sz.002326,49.2500000000,49.7900000000,42.5100000000,45.8000000000,4619271,215959590.5200,1,13.788869,-7.679903
27,2010-07-09,sz.002326,45.0000000000,49.8887842400,44.0000000000,49.5567290000,3417115,162975005.7900,1,10.200343,8.202459
28,2010-07-16,sz.002326,49.2548606000,49.7982237200,46.1959274800,47.9266396400,1936330,92597735.0000,1,5.780090,-3.289340
29,2010-07-23,sz.002326,46.8399134000,50.9151368000,46.7996642800,49.8183482800,2617631,129635291.4800,1,7.813824,3.947092
30,2010-07-30,sz.002326,49.9089088000,51.6094341200,49.2045492000,49.6171026800,3583431,179520010.9600,1,10.696809,-0.403959
31,2010-08-06,sz.002326,49.3957325200,51.6194964000,47.8058922800,49.6070404000,3903777,193140023.7600,1,11.653066,-0.020280
32,2010-08-13,sz.002326,49.5969781200,52.1226104000,48.6008124000,51.1365069600,5108605,256174107.3900,1,15.249567,3.083164
33,2010-08-20,sz.002326,51.0962578400,54.8394260000,50.8145140000,51.7201192000,7056647,371054805.0400,1,21.064618,1.141283
34,2010-08-27,sz.002326,51.7201192000,58.3511617200,51.5188736000,57.9587328000,7639420,428146519.9300,1,22.804239,12.062257
35,2010-09-03,sz.002326,57.8581100000,61.3799080000,57.2241863600,58.0593556000,5312568,313002690.1900,1,15.858412,0.173611
36,2010-09-10,sz.002326,58.6630924000,61.1484755600,54.8796751200,59.3473274400,5122503,295942609.0200,1,15.291054,2.218371
37,2010-09-17,sz.002326,59.1360195600,60.3434931600,54.1451286800,55.9060276800,3540301,202058329.8200,1,10.568063,-5.798576
38,2010-09-21,sz.002326,56.8015706000,59.3573897200,55.9462768000,57.0531276000,1461034,83716307.7400,1,4.361296,2.051836
39,2010-09-30,sz.002326,57.0531276000,59.0555213200,56.0468996000,56.7110100800,1197137,68639738.5500,1,3.573543,-0.599647
40,2010-10-08,sz.002326,57.0330030400,58.8542757200,57.0330030400,57.9386082400,370850,21438114.3800,1,1.107015,2.164656
41,2010-10-15,sz.002326,58.3612240000,58.3612240000,48.3090062800,50.2610886000,5709978,301742125.1000,1,17.044710,-13.251129
42,2010-10-22,sz.002326,49.8988465200,52.0622367200,47.7958300000,51.6194964000,3989886,198513554.0200,1,11.910107,2.702703
43,2010-10-29,sz.002326,51.1163824000,55.3224154400,51.1163824000,53.5816410000,3770838,201724252.8300,1,11.256233,3.801170
44,2010-11-05,sz.002326,53.6420146800,60.3434931600,53.6420146800,56.7713837600,4627912,264116087.8800,1,13.814663,5.953052
45,2010-11-12,sz.002326,55.7550934800,58.3410994400,54.0344436000,55.3425400000,5521068,308878443.0700,1,16.480800,-2.516838
46,2010-11-19,sz.002326,55.0406716000,67.9606391200,52.8269700000,65.6664392800,10701723,643819508.9300,1,31.945442,18.654545
47,2010-11-26,sz.002326,64.6602112800,73.8370106400,63.4728622400,67.4172760000,5161709,344611491.4400,1,15.408087,2.666258
48,2010-12-03,sz.002326,67.1556567200,71.1201950400,60.2730572000,61.0176659200,4799692,304261825.1000,1,14.327439,-9.492537
49,2010-12-10,sz.002326,61.3295966000,63.5936096000,59.3775142800,62.1848904000,2082637,127788652.9700,1,6.216827,1.912929
50,2010-12-17,sz.002326,62.3861360000,64.9017060000,61.8930842800,62.8087517600,2009144,127444965.2900,1,5.997445,1.003236
51,2010-12-24,sz.002326,62.5471324800,62.9697482400,58.3612240000,58.5825941600,1934899,115120065.3000,1,5.108486,-6.728613
52,2010-12-31,sz.002326,58.7637152000,60.3334308800,55.2217926400,57.3549960000,1635578,93180139.6100,1,3.786060,-2.095500
53,2011-01-07,sz.002326,57.9386082400,61.6817764000,56.5500136000,59.9410019600,1794340,105866055.8000,1,4.153565,4.508772
54,2011-01-14,sz.002326,59.0454590400,61.8327106000,54.8595505600,54.8897374000,1491179,85776310.4300,1,3.451803,-8.427061
55,2011-01-21,sz.002326,54.7388032000,56.3487680000,51.8006174400,53.6319524000,1213642,65657473.7000,1,2.809356,-2.291476
56,2011-01-28,sz.002326,53.6319524000,54.4168102400,46.7896020000,47.9769510400,3030453,145616313.8600,1,7.014938,-10.544090
57,2011-02-01,sz.002326,47.9769510400,50.2812131600,47.9467642000,49.6573518000,738352,36208707.1800,1,1.709148,3.502517
58,2011-02-11,sz.002326,49.2850474400,54.8394260000,47.9065150800,52.5351638800,1153903,58095402.1300,1,2.671072,5.795339
59,2011-02-18,sz.002326,52.5351638800,54.9199242400,51.8207420000,53.8331980000,4646547,247043712.9200,1,10.755896,2.470791
60,2011-02-25,sz.002326,53.8030111600,57.8581100000,53.0282156000,55.4632873600,6413031,357207262.8800,1,14.844979,3.028037
61,2011-03-04,sz.002326,55.3324777200,56.6305118400,52.1226104000,52.7162849200,3031676,163888440.9600,1,7.017769,-4.952830
62,2011-03-11,sz.002326,52.7062226400,55.4431628000,52.1226104000,52.1829840800,2636001,140049646.3500,1,6.101854,-1.011643
63,2011-03-18,sz.002326,51.7201192000,53.1489629600,51.4886867600,51.7201192000,1880576,97706635.6200,1,4.353185,-0.887003
64,2011-03-25,sz.002326,50.9654482000,51.9213648000,49.6573518000,50.7541403200,1471027,74192578.0900,1,3.405155,-1.867704
65,2011-04-01,sz.002326,50.7541403200,53.1288384000,48.1983212000,49.3051720000,3475363,174145955.5800,1,8.044822,-2.854877
66,2011-04-08,sz.002326,49.2951097200,49.2951097200,46.7896020000,47.7958300000,1929066,90932543.8400,1,4.465431,-3.061224
67,2011-04-15,sz.002326,47.8562036800,49.8082860000,45.3003845600,47.7757054400,3338165,157331452.1900,1,7.727234,-0.042105
68,2011-04-22,sz.002326,47.8763282400,58.3612240000,47.8763282400,55.3123531600,9597673,518962529.7700,1,22.216836,15.775063
69,2011-04-29,sz.002326,54.5174330400,58.1599784000,46.2864880000,49.1039264000,5274891,270422811.7900,1,12.210396,-11.224304
70,2011-05-06,sz.002326,48.9127430800,51.8207420000,48.9026808000,51.2673166000,2864918,144054233.5400,1,6.631755,4.405738
71,2011-05-13,sz.002326,51.2773788800,52.8269700000,47.1920932000,48.2989440000,3085881,153157905.2500,1,7.143243,-5.789990
72,2011-05-20,sz.002326,48.5001896000,50.4120228000,47.5945844000,48.6008124000,1795055,87731468.2100,1,4.155220,0.625000
73,2011-05-27,sz.002326,48.6008124000,48.6008124000,44.7771460000,44.8073328400,1796849,82804060.5100,1,4.159373,-7.805383
74,2011-06-03,sz.002326,44.7771460000,48.5001896000,43.7910425600,47.8562036800,1896020,87272854.7800,1,4.370951,6.804402
75,2011-06-10,sz.002326,47.7857677200,48.8020580000,45.4173970800,46.5401557000,1543591,65406261.9200,1,3.178123,-2.749978
76,2011-06-17,sz.002326,46.7031367900,46.9566629300,42.0129032000,42.1034482500,5030054,124557032.7900,1,6.431472,-9.533074
77,2011-06-24,sz.002326,41.6869410200,44.1497663800,40.5641824000,43.7875861800,3894478,90451372.7200,1,4.979514,4.000000
