,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2010-02-05,sz.002353,65.0000000000,68.6800000000,62.0800000000,67.1800000000,17667198,1165910483.3700,1,76.151716,12.907563
1,2010-02-12,sz.002353,69.5800000000,77.9900000000,69.0100000000,76.3300000000,21044107,1545903551.0800,1,90.707358,13.620125
2,2010-02-26,sz.002353,75.8200000000,88.4900000000,73.5000000000,86.1800000000,12013864,972070493.4700,1,51.783897,12.904494
3,2010-03-05,sz.002353,85.9000000000,90.4500000000,80.5000000000,82.7000000000,8787319,758030391.4600,1,37.876375,-4.038060
4,2010-03-12,sz.002353,82.9900000000,88.9500000000,81.2300000000,85.3900000000,6452958,547223204.4200,1,27.814474,3.252721
5,2010-03-19,sz.002353,84.9000000000,93.4500000000,83.5000000000,88.3000000000,7864069,703413934.2200,1,33.896849,3.407893
6,2010-03-26,sz.002353,87.5200000000,91.8800000000,86.2800000000,88.3300000000,8387156,741115800.1900,1,36.151534,0.033975
7,2010-04-02,sz.002353,90.0000000000,97.7500000000,85.5100000000,91.3800000000,9318584,862200666.5500,1,40.166310,3.452960
8,2010-04-09,sz.002353,91.5000000000,102.8800000000,91.5000000000,101.5300000000,6616046,643148318.0300,1,28.517440,11.107463
9,2010-04-16,sz.002353,101.8000000000,104.6800000000,88.2000000000,90.2400000000,9489266,910752901.0300,1,40.902009,-11.119866
10,2010-04-23,sz.002353,89.4800000000,97.2000000000,84.5100000000,92.8000000000,6367468,585291858.9000,1,27.445983,2.836879
11,2010-04-30,sz.002353,92.0000000000,96.6000000000,77.7700000000,80.7000000000,7439348,635875159.8900,1,32.066155,-13.038793
12,2010-05-07,sz.002353,78.2000000000,86.5000000000,77.7700000000,84.2000000000,8388033,695604327.3400,1,29.698016,4.337051
13,2010-05-14,sz.002353,83.9100000000,84.0000000000,74.6100000000,82.8800000000,5798831,462771248.7800,1,19.995969,-1.567696
14,2010-05-21,sz.002353,81.5000000000,86.8800000000,78.8000000000,82.7100000000,4350913,363240573.0300,1,15.003148,-0.205116
15,2010-05-28,sz.002353,86.8000000000,89.2000000000,81.4200000000,84.7000000000,6363128,547969789.2600,1,21.941821,2.405997
16,2010-06-04,sz.002353,84.3000000000,84.8000000000,78.3000000000,82.5600000000,4006546,324910732.0600,1,13.815676,-2.526564
17,2010-06-11,sz.002353,81.0000000000,87.5564762500,80.6100000000,86.4488037500,5906101,500536956.1100,1,20.365866,4.710289
18,2010-06-18,sz.002353,86.3178970000,87.3752207500,76.5301000000,77.0235177500,2167794,175964321.5600,1,7.475152,-10.902737
19,2010-06-25,sz.002353,77.0335875000,83.5789250000,76.1071705000,81.1118362500,3197014,256590858.4100,1,11.024186,5.307883
20,2010-07-02,sz.002353,80.5580000000,84.4348537500,74.0025927500,76.5301000000,5417679,430399076.2100,1,18.681652,-5.648665
21,2010-07-09,sz.002353,74.5161500000,82.7532055000,72.5022000000,82.7431357500,3673120,285258896.8600,1,12.665931,8.118421
22,2010-07-16,sz.002353,82.4712525000,84.4348537500,77.8391675000,79.7423502500,3866659,312169820.2100,1,13.333307,-3.626628
23,2010-07-23,sz.002353,78.5440500000,90.2048205000,78.1412600000,89.4193800000,6265986,540052067.5600,1,21.606848,12.135371
24,2010-07-30,sz.002353,89.3186825000,91.8159805000,85.4619682500,90.4767037500,7728027,682604153.6700,1,26.648369,1.182432
25,2010-08-06,sz.002353,90.4464945000,92.5208630000,87.7075225000,91.6347250000,4770482,427301670.5300,1,16.449938,1.279911
26,2010-08-13,sz.002353,92.1080032500,94.0514650000,88.6238697500,93.9104885000,3651469,332370620.5800,1,12.591272,2.483516
27,2010-08-20,sz.002353,94.1521625000,100.6874302500,93.4674195000,95.2094862500,3822963,368556387.1000,1,13.182631,1.383230
28,2010-08-27,sz.002353,95.2094862500,98.1599230000,92.9941412500,97.7672027500,3077857,290441092.0000,1,10.613300,2.686409
29,2010-09-03,sz.002353,98.1095742500,101.2009875000,94.6355105000,96.7199487500,3996518,387310384.2900,1,13.781097,-1.071171
