,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2010-03-12,sz.002368,62.0000000000,65.0000000000,59.0000000000,60.2100000000,16878503,1018042611.3600,1,84.392515,107.620690
1,2010-03-19,sz.002368,56.3000000000,56.7000000000,51.6000000000,51.9500000000,23455260,1259482974.6200,1,117.276300,-13.718651
2,2010-03-26,sz.002368,52.0200000000,56.7800000000,51.8000000000,53.6000000000,15491102,836387174.6500,1,77.455510,3.176131
3,2010-04-02,sz.002368,53.5000000000,57.3500000000,52.4000000000,55.2000000000,14330472,791693824.6400,1,71.652360,2.985075
4,2010-04-09,sz.002368,55.5000000000,59.3500000000,54.8100000000,57.4900000000,10740795,616861186.6100,1,53.703975,4.148551
5,2010-04-16,sz.002368,57.7300000000,59.4900000000,51.8200000000,53.0500000000,14244264,807758164.1400,1,71.221320,-7.723082
6,2010-04-23,sz.002368,52.9800000000,54.8200000000,51.8600000000,51.8900000000,5986795,319224709.4200,1,29.933975,-2.186616
7,2010-04-30,sz.002368,51.8000000000,52.4900000000,42.0100000000,42.8000000000,6239695,294130595.7000,1,31.198475,-17.517826
8,2010-05-07,sz.002368,42.3000000000,44.7200000000,40.0000000000,40.4100000000,3412955,146080374.6100,1,17.064775,-5.584112
9,2010-05-14,sz.002368,40.3800000000,41.7000000000,35.2200000000,37.3200000000,4501596,168375175.4800,1,22.507980,-7.646622
10,2010-05-21,sz.002368,36.5000000000,37.0500000000,33.6800000000,36.9600000000,4970007,177701299.5500,1,24.850035,-0.964630
11,2010-05-28,sz.002368,37.0800000000,40.9800000000,37.0800000000,39.8200000000,6324147,245960077.7400,1,31.620735,7.738095
12,2010-06-04,sz.002368,39.7700000000,39.9900000000,35.0000000000,38.1900000000,4153054,156438669.0200,1,20.765270,-4.093420
13,2010-06-11,sz.002368,37.6600000000,44.6500000000,37.2100000000,43.2800000000,9984411,416511528.2800,1,49.922055,13.328096
14,2010-06-18,sz.002368,42.5000000000,43.2900000000,36.8000000000,37.1300000000,4532315,183622284.7300,1,18.129260,-14.209797
15,2010-06-25,sz.002368,36.7300000000,40.1000000000,35.9900000000,38.1000000000,7938300,305708041.3600,1,31.753200,2.612443
16,2010-07-02,sz.002368,37.7900000000,38.5000000000,33.6400000000,34.7900000000,5891847,210063875.4500,1,23.567388,-8.687664
17,2010-07-09,sz.002368,33.9800000000,37.6400000000,33.5900000000,37.4900000000,4797374,174011334.3100,1,19.189496,7.760851
18,2010-07-16,sz.002368,37.6100000000,38.5000000000,34.6600000000,35.7300000000,4638002,170033072.8900,1,18.552008,-4.694585
19,2010-07-23,sz.002368,35.1300000000,40.6600000000,35.1300000000,40.3800000000,6577600,252031856.5500,1,26.310400,13.014274
20,2010-07-30,sz.002368,40.5000000000,42.6000000000,39.4000000000,42.1700000000,10836418,439746004.6100,1,43.345672,4.432888
21,2010-08-06,sz.002368,41.8100000000,42.7500000000,40.3000000000,41.9000000000,7967750,331491758.3100,1,31.871000,-0.640266
22,2010-08-13,sz.002368,41.9000000000,47.9500000000,41.6600000000,46.5300000000,12691964,563345866.1700,1,50.767856,11.050119
23,2010-08-20,sz.002368,45.3000000000,46.5200000000,42.8700000000,42.9500000000,11211085,505910875.1400,1,44.844340,-7.693961
24,2010-08-27,sz.002368,43.0000000000,44.0000000000,41.6000000000,43.0000000000,6262814,268232145.3100,1,25.051256,0.116414
25,2010-09-03,sz.002368,43.1000000000,45.5100000000,42.7500000000,43.9300000000,7990662,352224639.5100,1,31.962648,2.162791
26,2010-09-10,sz.002368,44.1000000000,46.8300000000,43.3800000000,44.9900000000,8107666,364074922.2800,1,32.430664,2.412930
27,2010-09-17,sz.002368,45.3000000000,48.2000000000,44.0100000000,44.8200000000,8976659,418101898.2800,1,35.906636,-0.377862
28,2010-09-21,sz.002368,44.8200000000,45.1700000000,42.8300000000,42.9500000000,1497779,65643041.7600,1,5.991116,-4.172245
29,2010-09-30,sz.002368,43.2900000000,44.4500000000,42.8000000000,43.0200000000,3002154,130447509.5700,1,12.008616,0.162980
30,2010-10-08,sz.002368,43.2000000000,44.6800000000,43.1800000000,44.2000000000,837170,36859877.1600,1,3.348680,2.742910
31,2010-10-15,sz.002368,44.0200000000,45.5000000000,40.1900000000,40.1900000000,6444000,276878494.3400,1,25.776000,-9.072398
32,2010-10-22,sz.002368,40.0000000000,42.8800000000,38.3100000000,42.1300000000,7326096,301452160.5100,1,29.304384,4.827071
33,2010-10-29,sz.002368,45.0100000000,48.9900000000,44.1300000000,45.9700000000,12018798,557754052.8100,1,48.075192,9.114645
34,2010-11-05,sz.002368,46.1000000000,48.0000000000,44.3500000000,47.0100000000,7410234,344655918.6700,1,29.640936,2.262345
35,2010-11-12,sz.002368,46.9600000000,51.5700000000,45.8000000000,46.6600000000,9359363,462991445.7000,1,37.437452,-0.744522
36,2010-11-19,sz.002368,46.7000000000,50.5900000000,45.9000000000,49.3400000000,6817842,327594449.6000,1,27.271368,5.743678
37,2010-11-26,sz.002368,49.7000000000,52.4900000000,48.9100000000,49.9200000000,8659514,437699950.0200,1,34.638056,1.175517
38,2010-12-03,sz.002368,50.3500000000,51.9800000000,47.8800000000,48.2900000000,4985980,248613004.9500,1,19.943920,-3.265224
39,2010-12-10,sz.002368,48.4000000000,49.4500000000,46.7800000000,49.3000000000,2811648,134827979.6600,1,11.246592,2.091530
40,2010-12-17,sz.002368,49.5000000000,52.5600000000,49.2500000000,51.2200000000,5777170,296030646.5500,1,23.108680,3.894523
41,2010-12-24,sz.002368,51.5000000000,57.4000000000,51.2000000000,53.5900000000,13224891,726280623.7000,1,52.899564,4.627099
42,2010-12-31,sz.002368,53.0000000000,54.9500000000,51.3000000000,54.2000000000,4077073,215777228.2300,1,16.308292,1.138272
43,2011-01-07,sz.002368,54.0000000000,56.3000000000,53.4100000000,53.9100000000,4130170,226010626.6300,1,16.520680,-0.535055
44,2011-01-14,sz.002368,53.6000000000,54.9600000000,51.0100000000,51.6300000000,3410822,180465735.5000,1,13.643288,-4.229271
45,2011-01-21,sz.002368,51.5900000000,51.5900000000,47.7600000000,48.6100000000,2140515,105429103.0600,1,8.562060,-5.849312
46,2011-01-28,sz.002368,49.4800000000,49.4900000000,43.0000000000,45.6300000000,2087769,94842111.8600,1,8.351076,-6.130426
47,2011-02-01,sz.002368,45.6300000000,47.4800000000,45.6300000000,47.1800000000,281683,13204876.1800,1,1.126732,3.396888
48,2011-02-11,sz.002368,47.0000000000,48.5000000000,46.1500000000,48.2100000000,1015862,48271155.3200,1,4.063448,2.183128
49,2011-02-18,sz.002368,48.8500000000,50.3400000000,48.2100000000,48.8300000000,2279874,112173142.8100,1,9.119496,1.286040
50,2011-02-25,sz.002368,48.4500000000,50.7000000000,47.4800000000,47.9900000000,3176384,155582146.8200,1,12.705536,-1.720254
51,2011-03-04,sz.002368,47.9100000000,48.5000000000,46.2800000000,46.7000000000,2063054,98182180.7600,1,8.252216,-2.688060
52,2011-03-11,sz.002368,46.7100000000,50.8500000000,46.6900000000,50.3800000000,3556811,175772944.9500,1,14.227244,7.880086
53,2011-03-18,sz.002368,50.9800000000,54.8000000000,50.5100000000,52.6600000000,6950551,369351947.3600,1,14.602765,4.525605
54,2011-03-25,sz.002368,52.6600000000,53.4700000000,50.8100000000,53.0200000000,3004158,156647884.9900,1,6.311588,0.683631
55,2011-04-01,sz.002368,52.8100000000,53.1900000000,49.2600000000,51.0700000000,2045676,104186145.4200,1,4.297864,-3.677857
56,2011-04-08,sz.002368,50.7000000000,50.9000000000,49.4300000000,50.0100000000,664970,33195217.8600,1,1.397069,-2.075583
57,2011-04-15,sz.002368,50.6600000000,50.6600000000,49.0000000000,49.7200000000,1598259,79475964.9200,1,3.357863,-0.579884
58,2011-04-22,sz.002368,49.0400000000,49.5000000000,46.2300000000,48.0000000000,2152715,102425053.9500,1,4.522748,-3.459372
59,2011-04-29,sz.002368,47.5000000000,48.2000000000,43.0000000000,43.9000000000,1229697,55973646.5300,1,2.583533,-8.541667
60,2011-05-06,sz.002368,43.5000000000,44.8800000000,42.3800000000,43.7200000000,880130,38332229.2600,1,1.849110,-0.410023
