,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2010-03-19,sz.002372,23.2000000000,25.8200000000,23.2000000000,25.2600000000,68716464,1667837958.4600,1,135.481987,40.567613
1,2010-03-26,sz.002372,26.8000000000,28.4700000000,26.0200000000,26.6000000000,77391583,2088566063.5100,1,152.585929,5.304830
2,2010-04-02,sz.002372,26.5800000000,29.9800000000,26.0800000000,28.7800000000,48642257,1358529699.3800,1,95.903504,8.195489
3,2010-04-09,sz.002372,28.8800000000,30.3000000000,27.6100000000,28.4600000000,36164811,1052876882.2800,1,71.302861,-1.111883
4,2010-04-16,sz.002372,28.3900000000,28.3900000000,24.8500000000,25.4100000000,27475436,729334314.5700,1,54.170812,-10.716796
5,2010-04-23,sz.002372,25.2000000000,26.5900000000,24.4600000000,25.5200000000,19209278,494318942.3400,1,37.873182,0.432900
6,2010-04-30,sz.002372,25.3800000000,25.6500000000,20.4000000000,21.2000000000,12774304,297181613.1400,1,25.185931,-16.927900
7,2010-05-07,sz.002372,20.7000000000,21.7000000000,19.8700000000,20.0000000000,9335550,195283199.9700,1,18.406053,-5.660377
8,2010-05-14,sz.002372,20.0500000000,20.5000000000,18.7000000000,19.7800000000,9717225,190761595.7400,1,19.158567,-1.100000
9,2010-05-21,sz.002372,19.4200000000,19.5500000000,17.3300000000,19.1100000000,13046488,239720496.9800,1,25.722571,-3.387260
10,2010-05-28,sz.002372,19.1200000000,21.1500000000,19.1200000000,21.0000000000,17379128,351346971.2100,1,34.264842,9.890110
11,2010-06-04,sz.002372,20.8600000000,20.9200000000,18.5000000000,19.1600000000,9543568,185762918.9200,1,18.816183,-8.761905
12,2010-06-11,sz.002372,18.7200000000,20.7800000000,18.5900000000,20.2900000000,11286108,227423987.5000,1,22.251790,5.897704
13,2010-06-18,sz.002372,20.4600000000,20.5000000000,17.6900000000,17.8800000000,9755208,179551755.0900,1,15.908314,-11.877772
14,2010-06-25,sz.002372,17.8000000000,18.7200000000,17.5000000000,18.0500000000,13101177,238315567.8200,1,20.664317,0.950783
15,2010-07-02,sz.002372,17.9200000000,18.2800000000,15.6200000000,16.5100000000,10341098,173602618.2900,1,16.310880,-8.531856
16,2010-07-09,sz.002372,16.1900000000,17.9800000000,15.8500000000,17.6100000000,16105226,277167790.5400,1,25.402565,6.662629
17,2010-07-16,sz.002372,17.6100000000,17.8600000000,16.3100000000,16.8000000000,9974304,171743232.2400,1,15.732341,-4.599659
18,2010-07-23,sz.002372,16.5500000000,18.8000000000,16.5500000000,18.3900000000,19814803,360060098.8700,1,31.253632,9.464286
19,2010-07-30,sz.002372,18.5000000000,20.3000000000,18.3100000000,19.9600000000,22738995,444886822.8600,1,35.865923,8.537249
