,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2010-05-28,sz.002415,78.0000000000,83.0000000000,76.8800000000,81.9300000000,34098354,2723697239.0000,1,85.245885,20.485294
1,2010-06-04,sz.002415,85.8800000000,88.0000000000,80.0300000000,81.0500000000,50367111,4265832825.9200,1,125.917777,-1.074088
2,2010-06-11,sz.002415,78.4100000000,84.9000000000,77.4300000000,84.1800000000,22091254,1794991266.4600,1,55.228135,3.861814
3,2010-06-18,sz.002415,84.2000000000,84.7200000000,78.5200000000,79.5900000000,5225353,422558067.4100,1,13.063382,-5.452602
4,2010-06-25,sz.002415,79.0000000000,79.3800000000,74.0000000000,78.6000000000,6024606,468097428.2900,1,15.061515,-1.243875
5,2010-07-02,sz.002415,78.4800000000,78.4800000000,63.6000000000,66.6600000000,7909230,559019932.2000,1,19.773075,-15.190840
6,2010-07-09,sz.002415,65.0000000000,72.5081892400,64.2000000000,71.5512181400,4736338,324249148.9800,1,11.840845,7.337543
7,2010-07-16,sz.002415,71.9239332000,71.9239332000,65.2755024000,66.0209325200,4422772,301568837.0600,1,11.056930,-7.729129
8,2010-07-23,sz.002415,65.4769700000,72.0851072800,65.2150621200,70.3323391600,4597142,317102976.8000,1,11.492855,6.530363
9,2010-07-30,sz.002415,70.5741002800,73.3140596400,69.5163953800,72.0548871400,6098046,432075620.4400,1,15.245115,2.449155
10,2010-08-06,sz.002415,72.0246670000,80.8388745000,71.8534195400,80.0833710000,6473925,491351614.6300,1,16.184812,11.142178
11,2010-08-13,sz.002415,79.9826372000,82.3700282600,75.9734319600,77.9679612000,3690798,288998878.2100,1,9.226995,-2.641509
12,2010-08-20,sz.002415,78.5522172400,82.6420095200,76.1648261800,76.5375412400,4240874,331948502.0600,1,10.602185,-1.834625
13,2010-08-27,sz.002415,76.5274678600,79.8315365000,74.5430120000,78.3708964000,4289567,329943645.2100,1,10.723917,2.395367
14,2010-09-03,sz.002415,78.3708964000,81.2619564600,72.3671619200,74.4523515800,14615041,1107215171.2700,1,29.230082,-5.000000
15,2010-09-10,sz.002415,74.6941127000,74.9963141000,70.2316053600,70.8158614000,8436109,607320539.8200,1,16.872218,-4.884319
16,2010-09-17,sz.002415,71.1180628000,75.7518176000,69.0026530000,70.3121924000,8234258,592518977.2000,1,16.468516,-0.711238
17,2010-09-21,sz.002415,70.2920456400,71.2893102600,69.5063220000,70.9568887200,2069426,144630990.1900,1,4.138852,0.916905
18,2010-09-30,sz.002415,71.2993836400,73.5356740000,70.9568887200,72.8204640200,4157876,298992819.1000,1,8.315752,2.626349
19,2010-10-08,sz.002415,73.5356740000,74.2911775000,72.5283360000,74.0393430000,1677721,122686321.1900,1,3.355442,1.673814
20,2010-10-15,sz.002415,73.5356740000,75.4093226800,68.4083235800,70.5035866200,7853156,559209171.5000,1,15.706312,-4.775510
21,2010-10-22,sz.002415,70.3121924000,73.0420783800,66.6857756000,71.3799706800,7769496,543536896.2200,1,15.538992,1.243035
22,2010-10-29,sz.002415,71.7224656000,87.6283326200,71.5512181400,84.3141906000,15645176,1225695215.3900,1,31.290352,18.120237
23,2010-11-05,sz.002415,84.1127230000,91.4562170200,81.5943780000,89.7840359400,11592950,999707868.6200,1,23.185900,6.487455
24,2010-11-12,sz.002415,90.6503466200,104.7127851000,88.3334692200,94.8005791800,8765193,826925636.6800,1,17.530386,5.587344
25,2010-11-19,sz.002415,96.7145213800,105.7503432400,92.2520140400,100.9151208400,6831310,661389672.7000,1,13.662620,6.449899
26,2010-11-26,sz.002415,100.9151208400,107.7851660000,95.7172567600,97.3088508000,10610798,1070888301.6300,1,21.221596,-3.573568
27,2010-12-03,sz.002415,96.7044480000,101.7109178600,93.7932411800,94.1055159600,6717753,646705190.1700,1,13.435506,-3.291925
28,2010-12-10,sz.002415,94.6696252400,95.1934410000,88.4442764000,92.0203263000,5500620,501791290.6700,1,11.001240,-2.215800
29,2010-12-17,sz.002415,92.0203263000,103.6550802000,92.0203263000,100.4315986000,6304018,624560123.9100,1,12.608036,9.140668
30,2010-12-24,sz.002415,100.0588835400,102.8290630400,92.6348024800,93.3802326000,4447409,435968637.8800,1,8.894818,-7.021063
31,2010-12-31,sz.002415,93.3802326000,96.7044480000,88.2428088000,94.9919734000,4903292,447754675.0700,1,9.806584,1.725998
32,2011-01-07,sz.002415,95.2941748000,95.6971100000,90.7712271800,91.4662904000,3230721,298685427.3000,1,6.461442,-3.711559
33,2011-01-14,sz.002415,91.4662904000,93.1586182400,88.1622217600,89.7638891800,2167700,194398918.9200,1,4.335400,-1.861233
34,2011-01-21,sz.002415,89.6430086200,91.1640890000,80.5870400000,84.4149244000,3747242,314912844.5300,1,7.494484,-5.958927
35,2011-01-28,sz.002415,81.8059189800,84.2537503200,78.4011165400,81.1813694200,1834679,146531392.9900,1,3.669358,-3.830549
36,2011-02-01,sz.002415,81.4936442000,82.4002484000,80.3855724000,80.4963795800,573930,46184044.8100,1,1.147860,-0.843777
37,2011-02-11,sz.002415,80.4963795800,83.8306683600,79.8315365000,83.1053850000,1325670,107814884.5900,1,2.651340,3.241146
38,2011-02-18,sz.002415,83.1053850000,86.3389399800,81.5943780000,82.0980470000,3967642,331165949.1200,1,7.935284,-1.212121
39,2011-02-25,sz.002415,83.4277331600,90.6604200000,83.2564857000,88.6457440000,9295661,799851634.9200,1,18.591322,7.975460
