,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2010-09-10,sz.002468,30.0000000000,44.9800000000,30.0000000000,36.0000000000,65294912,2388957268.9400,1,204.046600,188.000000
1,2010-09-17,sz.002468,34.0000000000,34.0100000000,28.6000000000,28.6900000000,38176180,1208770641.9900,1,119.300562,-20.305556
2,2010-09-21,sz.002468,28.7600000000,29.4900000000,27.5000000000,28.1000000000,8166645,230881119.2800,1,25.520766,-2.056466
3,2010-09-30,sz.002468,28.0900000000,28.4800000000,25.1100000000,26.4900000000,17753151,474860527.1200,1,55.478597,-5.729537
4,2010-10-08,sz.002468,26.6000000000,27.2500000000,26.1700000000,26.9000000000,3338201,89764543.8400,1,10.431878,1.547754
5,2010-10-15,sz.002468,27.0000000000,29.5000000000,25.3800000000,27.0700000000,21159695,586429388.3800,1,66.124047,0.631970
6,2010-10-22,sz.002468,27.0700000000,28.2000000000,26.0100000000,27.9500000000,12290221,335294985.6200,1,38.406941,3.250831
7,2010-10-29,sz.002468,27.8500000000,30.8300000000,27.4700000000,30.8300000000,24024305,692060679.6000,1,75.075953,10.304114
8,2010-11-05,sz.002468,30.3000000000,32.3400000000,28.5800000000,29.3900000000,20292306,615525722.1600,1,63.413456,-4.670775
9,2010-11-12,sz.002468,29.4800000000,31.5000000000,26.9400000000,26.9500000000,16709976,499469199.6700,1,52.218675,-8.302144
10,2010-11-19,sz.002468,27.0500000000,28.2900000000,25.8000000000,27.4300000000,9089549,244989241.7000,1,28.404841,1.781076
11,2010-11-26,sz.002468,27.4300000000,28.4900000000,26.0100000000,27.9100000000,9331509,258166642.5100,1,29.160966,1.749909
12,2010-12-03,sz.002468,27.8000000000,30.7800000000,26.0600000000,29.9000000000,14712759,420269262.3800,1,45.977372,7.130061
13,2010-12-10,sz.002468,29.3900000000,29.4300000000,25.9200000000,26.5900000000,14432039,393096139.2300,1,39.743586,-11.070234
14,2010-12-17,sz.002468,26.6000000000,28.2000000000,26.5300000000,28.1300000000,13433927,367779883.4400,1,33.584817,5.791651
15,2010-12-24,sz.002468,28.1300000000,28.3600000000,26.3700000000,26.5500000000,11666585,321674843.9800,1,29.166462,-5.616779
16,2010-12-31,sz.002468,26.3000000000,27.1800000000,24.5000000000,25.5500000000,7051380,180096444.6400,1,17.628450,-3.766478
17,2011-01-07,sz.002468,25.5500000000,26.4600000000,25.1500000000,25.5400000000,6650028,171972113.5400,1,16.625070,-0.039139
18,2011-01-14,sz.002468,25.5100000000,25.6600000000,23.3800000000,23.4200000000,5204583,126901258.5700,1,13.011458,-8.300705
19,2011-01-21,sz.002468,23.3500000000,23.3500000000,21.1800000000,21.4900000000,4411034,96441432.9600,1,11.027585,-8.240820
20,2011-01-28,sz.002468,21.5900000000,22.1200000000,20.5000000000,21.9800000000,4106967,88204107.6100,1,10.267418,2.280130
21,2011-02-01,sz.002468,21.9800000000,22.1300000000,21.4500000000,21.7100000000,1340442,29299497.4400,1,3.351105,-1.228389
