,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2011-03-11,sz.002563,61.1800000000,64.5800000000,60.6600000000,62.1100000000,12138818,761285200.1100,1,21.676461,-7.298507
1,2011-03-18,sz.002563,62.4000000000,62.9200000000,60.8200000000,61.1400000000,12633166,779214626.0300,1,22.559225,-1.561745
2,2011-03-25,sz.002563,61.1500000000,61.8800000000,60.7600000000,61.0000000000,6469586,395589545.0200,1,11.552832,-0.228983
3,2011-04-01,sz.002563,60.8500000000,61.0000000000,57.0100000000,58.5000000000,6277246,368776671.0200,1,11.209368,-4.098361
4,2011-04-08,sz.002563,58.5100000000,58.5100000000,57.0100000000,57.5800000000,1825153,104759598.5800,1,3.259202,-1.572650
5,2011-04-15,sz.002563,57.7900000000,57.9800000000,57.0500000000,57.6000000000,2414666,138883084.3000,1,4.311904,0.034734
6,2011-04-22,sz.002563,57.7000000000,58.2000000000,57.1200000000,57.2800000000,2050486,117934834.7600,1,3.661582,-0.555556
7,2011-04-29,sz.002563,57.3000000000,57.3200000000,52.9200000000,53.8400000000,4094341,224777887.7200,1,7.311323,-6.005587
8,2011-05-06,sz.002563,53.8500000000,55.1500000000,53.4500000000,53.9000000000,1629157,88386206.8200,1,2.909209,0.111441
9,2011-05-13,sz.002563,53.9400000000,54.4000000000,53.1000000000,54.0000000000,1311807,70323751.1600,1,2.342512,0.185529
10,2011-05-20,sz.002563,54.0100000000,55.3800000000,53.8600000000,54.7000000000,1538587,83880441.7600,1,2.747477,1.296296
11,2011-05-27,sz.002563,54.4100000000,54.5000000000,50.1600000000,51.4000000000,2246732,116349144.4500,1,4.012021,-6.032907
12,2011-06-03,sz.002563,50.8100000000,53.2000000000,50.6600000000,53.1500000000,1738818,90419152.1200,1,3.105032,3.404669
13,2011-06-10,sz.002563,53.0000000000,53.2700000000,51.1100000000,51.2200000000,973904,51052325.8800,1,1.739114,-3.631232
14,2011-06-17,sz.002563,51.2200000000,51.2200000000,46.9000000000,47.2500000000,7374181,353128718.5100,1,10.534544,-7.750879
15,2011-06-24,sz.002563,47.2500000000,49.1800000000,46.8000000000,48.9400000000,1599147,76835178.3100,1,2.284496,3.576720
16,2011-07-01,sz.002563,48.9800000000,49.3000000000,47.4000000000,48.8400000000,2480162,120498596.5000,1,3.543089,-0.204332
17,2011-07-08,sz.002563,48.8500000000,51.7500000000,48.8500000000,50.9000000000,3268514,165710168.1800,1,4.669306,4.217854
18,2011-07-15,sz.002563,50.7300000000,54.4900000000,49.8100000000,53.8500000000,4339481,225758589.6900,1,6.199259,5.795678
19,2011-07-22,sz.002563,53.8500000000,55.8300000000,53.5600000000,54.1000000000,4936084,270286933.8200,1,7.051549,0.464253
