,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2011-07-29,sz.002602,24.5000000000,27.5000000000,24.5000000000,25.9000000000,42648137,1101722335.9500,1,118.467047,12.608696
1,2011-08-05,sz.002602,25.5500000000,27.4500000000,24.0100000000,24.7000000000,49034808,1267684116.5200,1,136.207800,-4.633205
2,2011-08-12,sz.002602,24.2200000000,24.5800000000,20.0500000000,22.2600000000,28674413,630232669.2900,1,79.651147,-9.878543
3,2011-08-19,sz.002602,22.1500000000,22.9000000000,21.1100000000,22.0400000000,19872552,441541284.0700,1,55.201533,-0.988320
4,2011-08-26,sz.002602,21.8500000000,23.6500000000,21.8500000000,23.3100000000,19468225,443978492.8800,1,54.078403,5.762250
5,2011-09-02,sz.002602,23.3900000000,23.4900000000,21.3300000000,21.5000000000,12728111,286563181.5600,1,35.355864,-7.764908
6,2011-09-09,sz.002602,21.1500000000,21.3600000000,20.2200000000,20.7200000000,8381099,173802576.2600,1,23.280831,-3.627907
7,2011-09-16,sz.002602,20.4400000000,20.5900000000,19.7400000000,20.0500000000,5114959,103312759.0900,1,14.208219,-3.233591
8,2011-09-23,sz.002602,20.1000000000,20.1000000000,18.8400000000,19.1900000000,6068028,118629013.9800,1,16.855633,-4.289277
9,2011-09-30,sz.002602,19.1900000000,19.6900000000,18.1700000000,18.3500000000,4660910,88724405.5200,1,12.946972,-4.377280
10,2011-10-14,sz.002602,18.6000000000,19.2800000000,18.0600000000,18.9500000000,4578981,85996912.6700,1,12.719392,3.269755
11,2011-10-21,sz.002602,19.0000000000,19.9200000000,18.1800000000,18.1900000000,8159728,156783422.5800,1,22.665911,-4.010554
12,2011-10-28,sz.002602,18.2100000000,19.3600000000,17.8100000000,19.3400000000,14449981,273088561.5300,1,37.173327,6.322155
13,2011-11-04,sz.002602,19.3000000000,20.4600000000,19.0000000000,19.8100000000,22316522,439995781.0000,1,49.592271,2.430196
14,2011-11-11,sz.002602,19.6900000000,20.0200000000,19.3700000000,19.6000000000,9478883,186988257.8400,1,21.064184,-1.060071
15,2011-11-18,sz.002602,19.7600000000,20.1900000000,18.2900000000,18.3900000000,11884608,231481979.0100,1,26.410240,-6.173469
16,2011-11-25,sz.002602,18.4800000000,18.9200000000,18.1200000000,18.1800000000,7181109,133136424.2800,1,15.958020,-1.141925
17,2011-12-02,sz.002602,18.1800000000,18.5000000000,16.6800000000,16.8100000000,8164153,144840870.7800,1,18.142562,-7.535754
18,2011-12-09,sz.002602,16.7100000000,16.8000000000,15.8900000000,16.5700000000,5387655,88211227.9000,1,11.972567,-1.427722
19,2011-12-16,sz.002602,16.5400000000,16.6800000000,14.8000000000,15.2100000000,4888455,75871411.3900,1,10.863233,-8.207604
20,2011-12-23,sz.002602,15.1900000000,15.6100000000,13.9100000000,14.3900000000,5731613,85281846.2100,1,12.736918,-5.391190
21,2011-12-30,sz.002602,14.3900000000,14.7200000000,13.7100000000,14.4200000000,10763288,153130594.2900,1,23.918418,0.208478
22,2012-01-06,sz.002602,14.5500000000,14.6500000000,12.9000000000,13.2600000000,4142788,56359421.9000,1,9.206196,-8.044383
23,2012-01-13,sz.002602,13.2600000000,14.7300000000,13.1400000000,13.5400000000,9429848,133310077.3300,1,20.955218,2.111614
24,2012-01-20,sz.002602,13.3300000000,14.2500000000,13.1100000000,14.1400000000,6763617,93799075.8300,1,15.030260,4.431315
25,2012-02-03,sz.002602,14.0800000000,14.4400000000,13.7500000000,14.3600000000,6102060,85851435.5300,1,13.560133,1.555870
26,2012-02-10,sz.002602,14.4000000000,14.8100000000,14.0600000000,14.6900000000,8768607,127068932.5200,1,19.485793,2.298050
27,2012-02-17,sz.002602,14.6700000000,15.3200000000,14.5500000000,15.0400000000,9670743,144491919.5800,1,21.490540,2.382573
28,2012-02-24,sz.002602,15.2500000000,16.0900000000,14.7800000000,15.8800000000,11628595,180217141.2400,1,25.841322,5.585106
29,2012-03-02,sz.002602,15.9300000000,16.2000000000,15.2200000000,15.8500000000,10792101,169239176.9600,1,23.982447,-0.188917
30,2012-03-09,sz.002602,15.8600000000,16.3500000000,15.2900000000,16.3000000000,12251866,194652185.6800,1,27.226369,2.839117
31,2012-03-16,sz.002602,16.2800000000,17.0500000000,15.4900000000,16.0300000000,13156152,213757451.3200,1,29.235893,-1.656442
32,2012-03-23,sz.002602,16.0200000000,17.1800000000,15.9000000000,16.0200000000,14144404,234195501.8400,1,31.432009,-0.062383
33,2012-03-30,sz.002602,16.0000000000,16.2000000000,14.0100000000,14.1700000000,6277366,96047723.8900,1,13.949702,-11.548065
34,2012-04-06,sz.002602,14.1700000000,15.0900000000,14.1100000000,14.9300000000,2088122,30680628.0400,1,4.640271,5.363444
35,2012-04-13,sz.002602,14.7500000000,15.7500000000,14.2000000000,15.6600000000,4691595,71732111.8900,1,10.425767,4.889484
36,2012-04-20,sz.002602,15.6200000000,15.8200000000,14.9600000000,15.6800000000,4552718,70501434.7600,1,10.117151,0.127714
37,2012-04-27,sz.002602,15.6800000000,15.8000000000,14.2100000000,14.6500000000,6388126,95233115.5100,1,14.195836,-6.568878
38,2012-05-04,sz.002602,14.8000000000,14.9500000000,14.7100000000,14.9300000000,2533073,37608443.9600,1,5.629051,1.911263
39,2012-05-11,sz.002602,14.8900000000,16.7100000000,14.6500000000,15.4200000000,16424178,259446371.4600,1,36.498173,3.281983
40,2012-05-18,sz.002602,15.4200000000,15.4200000000,14.8000000000,14.9100000000,3751019,56096153.0400,1,8.335598,-3.307393
41,2012-05-25,sz.002602,14.8800000000,15.2100000000,14.3200000000,14.5000000000,3881892,57618300.8100,1,8.626427,-2.749832
42,2012-06-01,sz.002602,14.4700000000,15.1200000000,14.1700000000,15.0500000000,4501313,66482151.4800,1,10.002918,3.793103
43,2012-06-08,sz.002602,14.8900000000,14.8900000000,13.6507615200,13.6814029600,4245818,49349581.2900,1,7.678561,-9.093697
44,2012-06-15,sz.002602,13.7120444000,14.0337795200,13.6201200800,13.9112137600,3985037,35980997.2300,1,5.903759,1.679731
45,2012-06-21,sz.002602,13.9112137600,14.1257038400,13.7120444000,13.7733272800,2586093,23591030.6900,1,3.831249,-0.991189
46,2012-06-29,sz.002602,13.7426858400,13.7886480000,12.8540840800,13.2524228000,2750566,24060343.6800,1,4.074913,-3.781980
47,2012-07-06,sz.002602,13.3137056800,13.3137056800,12.1493309600,12.5017075200,4394552,36727613.7300,1,6.510447,-5.664740
48,2012-07-13,sz.002602,12.3485003200,12.5476696800,11.5211814400,11.5211814400,5269483,40725242.9800,1,7.806641,-7.843137
49,2012-07-20,sz.002602,11.5211814400,11.5211814400,10.5406553600,11.0002769600,6106760,43371621.9200,1,9.047052,-4.521277
50,2012-07-27,sz.002602,10.8777112000,10.9543148000,10.6785418400,10.7704661600,3906939,27567456.9700,1,5.788058,-2.089136
51,2012-08-03,sz.002602,10.8164283200,10.9236733600,10.1576373600,10.5406553600,4909641,33516775.7800,1,6.624324,-2.133713
52,2012-08-10,sz.002602,10.5100139200,11.4752192800,10.4487310400,11.3373328000,7663284,55045862.5400,1,6.081971,7.558140
53,2012-08-17,sz.002602,11.3066913600,11.4139364000,10.7704661600,10.9389940800,4330420,30999861.4000,1,3.436841,-3.513514
54,2012-08-24,sz.002602,10.9083526400,11.6131057600,10.7704661600,11.1534841600,6064451,44393435.7600,1,4.813056,1.960784
55,2012-08-31,sz.002602,11.0155976800,11.0155976800,10.3261652800,10.5406553600,4002870,28026263.8800,1,3.176881,-5.494505
56,2012-09-07,sz.002602,10.5406553600,11.7663129600,10.3414860000,11.5824643200,9651901,70709575.7000,1,7.660239,9.883721
57,2012-09-14,sz.002602,11.5671436000,12.0267652000,11.3679742400,11.5058607200,7946530,60830133.7500,1,6.306770,-0.661376
58,2012-09-21,sz.002602,11.5365021600,12.5783111200,10.7551454400,10.7704661600,11940990,90937142.0900,1,9.476976,-6.391478
59,2012-09-28,sz.002602,10.6325796800,11.0768805600,10.5100139200,11.0462391200,2838184,20008727.3700,1,2.252527,2.560455
60,2012-10-12,sz.002602,11.0462391200,13.2677435200,10.8623904800,11.7969544000,21367996,171833109.7800,1,16.958727,6.796117
61,2012-10-19,sz.002602,11.7356715200,11.9501616000,11.4139364000,11.6897093600,10480570,80006068.7800,1,8.317913,-0.909091
62,2012-10-26,sz.002602,11.6284264800,11.8582372800,10.8164283200,10.8623904800,7590959,56715083.7800,1,6.024571,-7.077326
63,2012-11-02,sz.002602,10.9696355200,11.3066913600,10.8011076000,11.1841256000,4407883,31665610.6400,1,3.498320,2.961918
64,2012-11-09,sz.002602,11.1841256000,11.2454084800,10.6785418400,10.7091832800,4295059,30814168.8000,1,3.408777,-4.246575
65,2012-11-16,sz.002602,10.8623904800,10.8623904800,10.2648824000,10.3721274400,2422954,16760141.5800,1,1.922979,-3.147353
66,2012-11-23,sz.002602,10.3874481600,10.6325796800,10.2035995200,10.5253346400,2525408,17212497.2400,1,2.004292,1.477105
67,2012-11-30,sz.002602,10.5406553600,10.5866175200,9.4069220800,9.6367328800,2845565,18162437.9100,1,2.258385,-8.442504
68,2012-12-07,sz.002602,9.5601292800,10.0350716000,9.2690356000,10.0044301600,3421691,21738055.3800,1,2.715628,3.815580
69,2012-12-14,sz.002602,10.0197508800,10.3261652800,9.8665436800,10.2955238400,4634915,30563681.1500,1,3.678504,2.909648
70,2012-12-21,sz.002602,10.2955238400,10.5406553600,10.1882788000,10.4946932000,5228519,35458964.4500,1,4.149618,1.934524
71,2012-12-28,sz.002602,10.4487310400,11.4445778400,10.4180896000,11.0768805600,8683806,62002880.0700,1,6.891910,5.547445
72,2013-01-04,sz.002602,11.1075220000,11.1841256000,10.9389940800,11.0309184000,1865490,13471591.5300,1,1.480548,-0.414938
73,2013-01-11,sz.002602,11.0155976800,13.4515921600,10.7857868800,12.7315183200,23386941,186580665.6800,1,18.561064,15.416667
74,2013-01-18,sz.002602,12.7008768800,13.0992156000,11.9041994400,12.2412552800,28765570,236373910.6100,1,22.829817,-3.850782
75,2013-01-25,sz.002602,12.2565760000,12.3331796000,11.5365021600,11.6897093600,9462096,74245252.8100,1,7.509600,-4.505632
76,2013-02-01,sz.002602,11.7050300800,12.2259345600,11.6590679200,11.9961237600,6623723,51926739.3800,1,5.256923,2.621232
77,2013-02-08,sz.002602,11.9961237600,12.3638210400,11.7969544000,12.3331796000,5499174,43419112.4600,1,4.364424,2.809706
78,2013-02-22,sz.002602,12.3638210400,12.4404246400,11.7203508000,11.7816336800,6232563,49309278.5200,1,4.946479,-4.472050
79,2013-03-01,sz.002602,11.8582372800,12.2872174400,11.5365021600,12.2259345600,6476252,50360100.3000,1,5.139883,3.771131
80,2013-03-08,sz.002602,12.1186895200,12.3791417600,11.7203508000,12.2259345600,8218304,64977035.6800,1,6.522463,0.000000
81,2013-03-15,sz.002602,12.3331796000,12.3791417600,11.2607292000,11.5977850400,5401668,41313172.3100,1,4.287038,-5.137845
82,2013-03-22,sz.002602,11.6437472000,11.9808030400,11.3373328000,11.8275958400,5846654,34814855.0000,1,4.640202,1.981506
83,2013-03-29,sz.002602,11.8275958400,11.8582372800,10.8011076000,10.8930319200,5037394,37169910.0000,1,3.997932,-7.901554
84,2013-04-03,sz.002602,10.9389940800,11.0615598400,10.7704661600,10.7857868800,1439435,10256276.0000,1,1.142409,-0.984529
85,2013-04-12,sz.002602,10.7245040000,11.1228427200,10.4640517600,11.0615598400,3890147,27503957.0000,1,3.087418,2.556818
86,2013-04-19,sz.002602,10.9543148000,11.2454084800,10.6479004000,11.1688048800,4935339,35612471.0000,1,3.916936,0.969529
87,2013-04-26,sz.002602,11.1841256000,11.2300877600,10.3721274400,10.4180896000,4997718,35210185.0000,1,3.966443,-6.721536
88,2013-05-03,sz.002602,10.6785418400,10.7704661600,10.3414860000,10.6785418400,1821384,4744650.0000,1,1.445543,2.500000
89,2013-05-10,sz.002602,10.6785418400,10.9849562400,10.6172589600,10.9849562400,4837777,34007024.0000,1,3.839506,2.869440
90,2013-05-17,sz.002602,10.9696355200,11.2454084800,10.7551454400,11.2300877600,6171686,44455726.0000,1,4.898163,2.231520
91,2013-05-24,sz.002602,11.2607292000,12.2259345600,11.1381634400,11.7203508000,14763405,113050426.0000,1,11.716988,4.365621
92,2013-05-31,sz.002602,11.7203508000,12.0267652000,11.5824643200,11.5977850400,8649124,66840173.0000,1,6.864384,-1.045752
93,2013-06-07,sz.002602,11.5824643200,11.7050300800,10.9020670200,10.9175970300,4529815,33325450.0000,1,3.595091,-5.864752
94,2013-06-14,sz.002602,10.8554769900,10.8554769900,10.4827567500,10.6535868600,1400980,9550338.0000,1,1.111889,-2.418208
95,2013-06-21,sz.002602,10.6535868600,10.7778269400,10.1721565500,10.7157069000,3130934,21323845.0000,1,2.484868,0.583090
96,2013-06-28,sz.002602,10.7933569500,10.7933569500,9.3956560500,10.1721565500,6625094,43846656.0000,1,5.258011,-5.072464
97,2013-07-05,sz.002602,10.0945065000,10.5604068000,9.9857964300,10.1255665200,4867466,32232577.0000,1,3.863068,-0.458015
98,2013-07-12,sz.002602,10.0634464800,10.3119266400,9.5509561500,10.0168564500,3866704,24868282.0000,1,3.068813,-1.073620
99,2013-07-19,sz.002602,10.0168564500,10.4516967300,9.9081463800,9.9081463800,4913248,32253649.0000,1,3.899403,-1.085271
100,2013-07-26,sz.002602,9.8615563500,10.3585166700,9.7217862600,10.2032165700,4152041,27121780.0000,1,3.295271,2.978056
101,2013-08-02,sz.002602,10.2187465800,10.5914668200,9.9236763900,10.4516967300,5418514,35876406.0000,1,4.300408,2.435312
102,2013-08-09,sz.002602,10.5138167700,10.7312369100,10.3429866600,10.6225268400,6678227,45405945.0000,1,5.300180,1.634473
103,2013-08-16,sz.002602,10.7001768900,11.0263071000,10.3740466800,10.4516967300,5415317,37398595.0000,1,4.297871,-1.608187
104,2013-08-23,sz.002602,10.3895766900,11.2592572500,10.3740466800,10.9797170700,8646421,60679416.0000,1,6.862239,5.052006
105,2013-08-30,sz.002602,10.9797170700,11.3990273400,10.8710070000,10.9331270400,8635556,61802777.0000,1,6.853616,-0.424328
106,2013-09-06,sz.002602,10.9175970300,11.2903172700,10.5759368100,11.0573671200,9344791,66102632.0000,1,7.416501,1.136364
107,2013-09-13,sz.002602,11.0573671200,11.4611473800,10.9175970300,11.0263071000,21261239,152015841.0000,1,16.873999,-0.280899
108,2013-09-18,sz.002602,11.0263071000,11.0728971300,10.5914668200,10.7467669200,4795397,33600713.0000,1,3.805871,-2.535211
109,2013-09-27,sz.002602,10.7622969300,11.0263071000,10.7157069000,10.7467669200,5788265,40570162.0000,1,4.593861,0.000000
110,2013-09-30,sz.002602,10.7467669200,10.8554769900,10.7467669200,10.8244169700,582179,4047293.0000,1,0.462047,0.722543
