,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-01-20,sz.002653,17.5000000000,19.9800000000,16.6000000000,16.9200000000,19623762,349613571.9500,1,61.133215,-15.400000
1,2012-02-03,sz.002653,17.1100000000,17.5000000000,16.9100000000,17.4800000000,8062576,139240777.1500,1,25.117059,3.309693
2,2012-02-10,sz.002653,17.5800000000,18.6700000000,17.4000000000,18.4700000000,15216069,276542669.7900,1,47.402084,5.663616
3,2012-02-17,sz.002653,18.3300000000,18.8500000000,18.0100000000,18.2100000000,8866505,163370777.8900,1,27.621511,-1.407688
4,2012-02-24,sz.002653,18.3800000000,19.1700000000,18.0600000000,18.9500000000,9623620,179994727.0900,1,29.980125,4.063701
5,2012-03-02,sz.002653,18.9400000000,19.9700000000,18.5800000000,19.8600000000,11334499,218772584.7000,1,35.309966,4.802111
6,2012-03-09,sz.002653,20.0000000000,20.4000000000,19.4621081600,19.9672158400,16719712,331296453.2600,1,52.086330,0.539905
7,2012-03-16,sz.002653,19.8950576000,20.4929401600,18.0498683200,19.2765584000,13594395,258642767.8400,1,42.350140,-3.458957
8,2012-03-23,sz.002653,19.2971750400,19.4002582400,18.1014099200,18.5549760000,6368913,116128850.3300,1,19.840850,-3.743316
9,2012-03-30,sz.002653,18.5343593600,18.8023756800,17.2252027200,18.0189433600,6383978,111284591.9200,1,19.887782,-2.888889
10,2012-04-06,sz.002653,18.0189433600,18.4415844800,17.8333936000,18.2766513600,1987638,35123305.2100,1,6.192019,1.430206
11,2012-04-13,sz.002653,18.1838764800,18.8642256000,18.0807932800,18.6889841600,5154181,92904909.8400,1,16.056639,2.256063
12,2012-04-20,sz.002653,18.4518928000,19.1219336000,18.4003512000,19.0085420800,5956144,108874004.5300,1,15.376261,1.709873
13,2012-04-27,sz.002653,19.0497753600,19.0497753600,17.5550689600,18.1632598400,4882159,86519080.1900,1,12.174960,-4.446855
14,2012-05-04,sz.002653,18.4003512000,19.6579662400,18.2251097600,19.5754996800,5908932,109667186.1300,1,14.735491,7.775255
15,2012-05-11,sz.002653,19.5445747200,19.6373496000,18.9260755200,19.5136497600,7849532,147075939.2000,1,19.574893,-0.315956
16,2012-05-18,sz.002653,19.5858080000,19.8538243200,18.5859009600,18.6271342400,5022981,93517044.3500,1,12.526137,-4.543053
17,2012-05-25,sz.002653,18.6477508800,20.9052729600,18.4828177600,20.0290657600,12033203,232442160.6700,1,30.007988,7.526287
18,2012-06-01,sz.002653,20.1836905600,21.1939059200,19.9259825600,20.8537313600,14096724,283095070.7200,1,35.153925,4.117344
19,2012-06-08,sz.002653,20.4620152000,22.0185715200,19.9465992000,21.8536384000,14768984,304565675.5000,1,36.830384,4.794859
20,2012-06-15,sz.002653,21.6680886400,27.3479729600,21.3485307200,26.0388163200,26608856,650177796.1100,1,66.356249,19.150943
21,2012-06-21,sz.002653,26.1831328000,27.1521148800,25.6264835200,26.5542323200,14749702,377217167.3000,1,36.782299,1.979414
22,2012-06-29,sz.002653,26.2037494400,30.5950937600,24.1214688000,29.7910448000,19881593,523428621.6500,1,49.580032,12.189441
23,2012-07-06,sz.002653,29.2859371200,30.6878686400,28.5643547200,30.1002944000,10814785,312383819.3900,1,26.969539,1.038062
24,2012-07-13,sz.002653,29.6879616000,32.3475081600,27.8427723200,31.4094510400,11846210,345741349.7300,1,29.541671,4.349315
25,2012-07-20,sz.002653,31.4300676800,33.4298817600,27.2139648000,29.3890203200,11956026,336568953.7100,1,29.815526,-6.432557
26,2012-07-27,sz.002653,29.3890203200,29.9765945600,25.7708000000,27.1933481600,9499202,256064625.4400,1,23.688783,-7.471063
27,2012-08-03,sz.002653,26.8531736000,29.7395032000,25.5646336000,29.6570366400,7786168,211400791.9700,1,19.416878,9.059894
28,2012-08-10,sz.002653,29.1725456000,33.4504984000,28.5540464000,32.8629241600,10536531,310901667.7200,1,26.275638,10.809871
29,2012-08-17,sz.002653,32.6567577600,33.9968393600,29.6879616000,30.5950937600,6620994,203146915.4700,1,16.511207,-6.900878
30,2012-08-24,sz.002653,30.3580024000,32.7289160000,29.9250529600,30.1621443200,6387400,194782339.2600,1,15.928678,-1.415094
31,2012-08-31,sz.002653,29.9044363200,32.4712080000,28.7086712000,30.0796777600,7546969,225979739.8600,1,18.820372,-0.273411
32,2012-09-07,sz.002653,30.0796777600,33.4401900800,29.5642617600,31.8939420800,6311682,191406776.7100,1,15.739855,6.031528
33,2012-09-14,sz.002653,31.8011672000,34.8215049600,31.1929763200,34.2236224000,9598008,311987269.0800,1,23.935182,7.304460
34,2012-09-21,sz.002653,34.3267056000,35.3369209600,30.4095440000,30.6981769600,5884963,186024928.6500,1,14.675718,-10.301205
35,2012-09-28,sz.002653,30.4610856000,31.8011672000,29.4405619200,31.7290089600,4797946,143009417.7200,1,11.964953,3.357958
36,2012-10-12,sz.002653,31.6465424000,33.5638899200,31.6259257600,32.2547332800,5288612,167832579.2400,1,13.188559,1.656920
