,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-04-20,sz.002670,9.5500000000,9.8100000000,8.7100000000,9.4200000000,101075784,946498365.3200,1,252.689460,29.041096
1,2012-04-27,sz.002670,9.2900000000,9.3100000000,8.2300000000,8.5300000000,37862630,328789201.5700,1,94.656575,-9.447983
2,2012-05-04,sz.002670,8.5900000000,8.8300000000,8.5200000000,8.7800000000,13806326,120501035.3200,1,34.515815,2.930832
3,2012-05-11,sz.002670,8.7800000000,9.0900000000,8.5100000000,8.5100000000,19795388,172871321.0300,1,49.488470,-3.075171
4,2012-05-18,sz.002670,8.5900000000,8.6900000000,8.3500000000,8.5000000000,11635824,99559009.1100,1,29.089560,-0.117509
5,2012-05-25,sz.002670,8.5200000000,8.6800000000,8.1100000000,8.1300000000,11565847,98136318.0900,1,28.914617,-4.352941
6,2012-06-01,sz.002670,8.1000000000,8.3500000000,7.8200000000,8.2600000000,11589576,94310055.6500,1,28.973940,1.599016
7,2012-06-08,sz.002670,8.1400000000,8.1400000000,7.7800000000,7.8500000000,6489860,51456285.8400,1,16.224650,-4.963680
8,2012-06-15,sz.002670,7.8500000000,8.1600000000,7.8400000000,8.0400000000,6481701,51944544.7900,1,16.204252,2.420382
9,2012-06-21,sz.002670,8.0800000000,8.1600000000,8.0300000000,8.0600000000,3558390,28814001.8700,1,8.895975,0.248756
10,2012-06-29,sz.002670,7.9000000000,7.9500000000,7.6500000000,7.9000000000,5882753,46040217.3700,1,14.706882,-1.985112
11,2012-07-06,sz.002670,7.9000000000,8.1200000000,7.8200000000,8.0300000000,8437992,67334988.0200,1,21.094980,1.645570
12,2012-07-13,sz.002670,7.9600000000,8.0800000000,7.5131382000,7.5336659000,6657870,51222862.9500,1,16.644675,-6.180977
13,2012-07-20,sz.002670,7.5028743500,7.5028743500,6.7844048500,7.0615288000,12396446,84656544.4000,1,24.792892,-6.267030
14,2012-07-27,sz.002670,6.9794180000,7.3283889000,6.9075710500,7.1436396000,8304386,57882314.8000,1,16.608772,1.162791
15,2012-08-03,sz.002670,7.1744311500,7.1744311500,6.6612386500,6.8870433500,7904602,52486154.7700,1,15.809204,-3.591954
16,2012-08-10,sz.002670,6.8459879500,7.2770696500,6.8151964000,7.1846950000,13645144,94532611.4200,1,27.290288,4.321908
17,2012-08-17,sz.002670,7.1846950000,7.1949588500,6.9486264500,7.0102095500,6507558,44898279.4900,1,13.015116,-2.428571
18,2012-08-24,sz.002670,6.9691541500,7.4720828000,6.8973072000,7.0923203500,15364822,108403650.9700,1,30.729644,1.171303
19,2012-08-31,sz.002670,7.1231119000,7.3181250500,6.8767795000,7.0923203500,13439462,93296958.9900,1,26.878924,0.000000
20,2012-09-07,sz.002670,7.0512649500,7.7902621500,7.0307372500,7.6363044000,21910282,159704365.7100,1,43.820564,7.670043
21,2012-09-14,sz.002670,7.6157767000,7.7697344500,7.4104997000,7.4515551000,16390315,121141417.1800,1,32.780630,-2.419355
22,2012-09-21,sz.002670,7.4823466500,7.6260405500,7.1231119000,7.1231119000,8901488,63633399.8400,1,17.802976,-4.407713
23,2012-09-28,sz.002670,7.0923203500,7.2462781000,6.8973072000,7.1744311500,5017951,34645345.5000,1,10.035902,0.720461
24,2012-10-12,sz.002670,7.1846950000,7.4618189500,7.1025842000,7.2975973500,7465323,53289039.3100,1,14.930646,1.716738
25,2012-10-19,sz.002670,7.2462781000,7.3591804500,6.9999457000,7.2154865500,7609651,52903289.9100,1,15.219302,-1.125176
