,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2015-01-09,sz.002738,9.0800000000,19.3200000000,9.0800000000,19.3200000000,589700,10776170.0000,1,1.965667,61.134279
1,2015-01-16,sz.002738,21.2000000000,31.1200000000,20.0200000000,31.1200000000,55030137,1335052864.0000,1,183.433790,61.076605
2,2015-01-23,sz.002738,33.3300000000,41.4200000000,30.5000000000,37.3700000000,72479781,2717266302.0000,1,241.599270,20.083548
3,2015-01-30,sz.002738,36.9800000000,44.4900000000,36.0100000000,36.0100000000,67177802,2652543358.0000,1,223.926007,-3.639283
4,2015-02-06,sz.002738,35.0000000000,36.6800000000,31.2500000000,31.4700000000,44311944,1518611872.0000,1,147.706480,-12.607609
5,2015-02-13,sz.002738,31.3000000000,34.9600000000,31.0000000000,33.8000000000,30362360,990404616.0000,1,101.207867,7.403877
6,2015-02-17,sz.002738,32.9900000000,34.1200000000,32.3000000000,32.5100000000,10398734,342785776.0000,1,34.662447,-3.816568
7,2015-02-27,sz.002738,32.6500000000,34.6900000000,32.1600000000,33.5400000000,18143682,604696912.0000,1,60.478940,3.168256
8,2015-03-06,sz.002738,33.7400000000,37.3800000000,32.3800000000,32.3900000000,30920599,1065340552.0000,1,103.068663,-3.428742
9,2015-03-13,sz.002738,31.8800000000,32.9000000000,30.0000000000,31.5900000000,11877451,377722480.0000,1,39.591503,-2.469898
10,2015-03-20,sz.002738,31.8800000000,38.2000000000,31.6700000000,35.8000000000,28344974,987447192.0000,1,94.483247,13.327002
11,2015-03-27,sz.002738,36.0200000000,38.0000000000,34.5000000000,35.5600000000,25906979,927772096.0000,1,86.356597,-0.670391
12,2015-04-03,sz.002738,35.6500000000,36.5600000000,34.8000000000,36.3200000000,17454384,622653216.0000,1,58.181280,2.137233
13,2015-04-10,sz.002738,36.3200000000,38.5800000000,34.3100000000,35.8000000000,19064826,699419304.0000,1,63.549420,-1.431718
14,2015-04-17,sz.002738,35.8300000000,40.9500000000,35.3300000000,39.8400000000,30173616,1160480512.0000,1,100.578720,11.284916
15,2015-04-24,sz.002738,39.6000000000,47.9000000000,36.8500000000,43.9800000000,33295355,1391039248.0000,1,110.984517,10.391566
16,2015-04-30,sz.002738,42.8200000000,44.5800000000,38.2000000000,38.8300000000,16844059,689623136.0000,1,56.146863,-11.709868
17,2015-05-08,sz.002738,38.8300000000,40.2600000000,33.5000000000,35.7300000000,12895574,477383784.0000,1,42.985247,-7.983518
18,2015-05-15,sz.002738,36.3900000000,43.6400000000,35.7000000000,42.4600000000,35429114,1414115696.0000,1,118.097047,18.835712
19,2015-05-22,sz.002738,41.7000000000,47.8500000000,41.7000000000,44.9000000000,37582254,1673797888.0000,1,125.274180,5.746585
20,2015-05-29,sz.002738,43.9000000000,65.7400000000,43.5500000000,54.9900000000,46337252,2698072940.0000,1,154.457507,22.472160
21,2015-06-05,sz.002738,54.3000000000,62.0000000000,51.3800000000,53.5200000000,30073617,1674244176.0000,1,100.245390,-2.673213
22,2015-06-12,sz.002738,53.9500000000,55.0800000000,49.8000000000,55.0800000000,18978080,1008099776.0000,1,63.260267,2.914798
23,2015-06-19,sz.002738,55.1800000000,58.1700000000,41.1549968200,41.1549968200,15406145,762771496.0000,1,51.353817,-25.281421
24,2015-06-26,sz.002738,41.1549968200,42.8405257000,34.7640331500,34.7640331500,9825555,389687968.0000,1,32.751850,-15.529010
25,2015-07-03,sz.002738,35.8275216100,36.0984101800,27.0988899100,31.2324488300,16599772,512577816.0000,1,55.332573,-10.158730
26,2015-07-10,sz.002738,34.3526838400,34.3526838400,24.7010244200,33.2089321000,20826196,640669264.0000,1,69.420653,6.328301
27,2015-07-17,sz.002738,34.7640331500,38.6066376800,29.0954390000,34.9947900800,23065318,796376584.0000,1,76.884393,5.377644
28,2015-07-24,sz.002738,35.0148559000,39.3791717500,33.1086030000,36.6803189600,16567205,604066440.0000,1,55.224017,4.816514
29,2015-07-31,sz.002738,34.6235724100,36.0181469000,29.7074465100,31.1020210000,12559235,407896732.0000,1,41.864117,-15.207877
30,2015-08-07,sz.002738,30.3896843900,32.5567929500,28.2025100100,32.1755423700,7495027,229185816.0000,1,24.983423,3.451613
31,2015-08-14,sz.002738,32.8577802500,37.1017011800,32.2156740100,34.7038356900,12934500,444511736.0000,1,43.115000,7.857811
