,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2016-11-18,sz.002821,36.6400000000,43.9600000000,36.6400000000,43.9600000000,8400,368166.0000,1,0.036740,43.989519
1,2016-11-25,sz.002821,48.3600000000,70.8100000000,48.3600000000,70.8100000000,26198,1605731.0000,1,0.114584,61.078253
2,2016-12-02,sz.002821,77.8900000000,114.0500000000,77.8900000000,114.0500000000,125383,12694682.0000,1,0.548398,61.064821
3,2016-12-09,sz.002821,125.4600000000,143.6000000000,125.0000000000,126.1300000000,33011123,4515685360.0000,1,144.383506,10.591846
4,2016-12-16,sz.002821,127.3600000000,132.8800000000,120.1100000000,128.2000000000,20955775,2660017986.0000,1,91.656024,1.641164
5,2016-12-23,sz.002821,127.5000000000,134.8000000000,126.2600000000,128.5000000000,14443407,1887224928.0000,1,63.172336,0.234009
6,2016-12-30,sz.002821,125.0300000000,146.8000000000,124.2000000000,143.4900000000,15765596,2156624224.0000,1,68.955304,11.665370
7,2017-01-06,sz.002821,143.4900000000,145.4700000000,125.1000000000,125.6000000000,13575945,1867282402.0000,1,59.378245,-12.467768
8,2017-01-13,sz.002821,122.0000000000,124.9200000000,116.6600000000,120.0600000000,9680526,1171933344.0000,1,42.340525,-4.410828
9,2017-01-20,sz.002821,117.3300000000,126.1600000000,112.0000000000,123.6500000000,10670290,1289096048.0000,1,46.669539,2.990172
10,2017-01-26,sz.002821,124.0000000000,133.9000000000,123.1000000000,131.1200000000,7521870,966607952.0000,1,32.899031,6.041245
11,2017-02-03,sz.002821,129.0000000000,129.3000000000,120.1800000000,120.3700000000,2724589,340561216.0000,1,11.916763,-8.198597
12,2017-02-10,sz.002821,120.2400000000,123.9700000000,117.7300000000,120.2300000000,8076869,976916112.0000,1,35.326477,-0.116308
13,2017-02-17,sz.002821,119.6000000000,124.5000000000,118.1000000000,119.9900000000,6879392,836164384.0000,1,30.088972,-0.199617
14,2017-02-24,sz.002821,120.1300000000,129.2000000000,117.0000000000,126.2500000000,8241842,1013902464.0000,1,36.048033,5.217101
15,2017-03-03,sz.002821,126.3600000000,131.8000000000,125.0100000000,128.9700000000,8934504,1147574672.0000,1,39.077587,2.154455
16,2017-03-10,sz.002821,129.3500000000,136.8200000000,129.3300000000,135.6200000000,8415911,1122118336.0000,1,36.809373,5.156238
17,2017-03-17,sz.002821,135.6900000000,140.1700000000,134.6400000000,134.9700000000,7759922,1066623664.0000,1,33.940219,-0.479280
18,2017-03-24,sz.002821,134.6000000000,147.6100000000,134.0000000000,144.0100000000,9274924,1317955104.0000,1,40.566510,6.697785
19,2017-03-31,sz.002821,145.1900000000,149.9700000000,129.3700000000,130.7800000000,10582642,1494567120.0000,1,46.286185,-9.186862
20,2017-04-07,sz.002821,130.0500000000,134.8000000000,129.8700000000,131.4600000000,3159886,419638808.0000,1,13.820657,0.519957
21,2017-04-14,sz.002821,130.5000000000,131.7800000000,122.0000000000,129.6500000000,5217058,666774584.0000,1,22.818282,-1.376845
22,2017-04-21,sz.002821,126.1500000000,133.9000000000,126.0000000000,130.4300000000,3758013,489100512.0000,1,16.436735,0.601620
23,2017-04-28,sz.002821,134.0000000000,141.1500000000,133.6600000000,138.2600000000,6653315,916170556.0000,1,29.100160,6.003220
24,2017-05-05,sz.002821,138.0100000000,138.4500000000,132.0000000000,133.3000000000,2958767,401404209.0000,1,12.941006,-3.587444
25,2017-05-12,sz.002821,132.4000000000,136.9800000000,131.5100000000,135.7400000000,3607291,485803643.0000,1,15.777510,1.830458
26,2017-05-19,sz.002821,135.9200000000,143.5000000000,133.5600000000,140.9700000000,4137015,576135110.0000,1,18.094408,3.852954
27,2017-05-26,sz.002821,140.0000000000,140.9000000000,130.2000000000,134.9800000000,4647084,628379317.0000,1,20.325340,-4.249131
28,2017-06-02,sz.002821,137.2800000000,139.3000000000,131.1100000000,133.6600000000,2235806,301260011.0000,1,9.778931,-0.977923
29,2017-06-09,sz.002821,135.0200000000,152.5000000000,134.2200000000,150.8800000000,7064575,1023700782.0000,1,30.898922,12.883436
30,2017-06-16,sz.002821,149.4700000000,154.2704832000,145.2004704000,145.8626616000,9270306,901272199.0000,1,26.540079,-3.325361
31,2017-06-23,sz.002821,145.8425952000,147.2472432000,136.4515200000,140.6253312000,9814839,701117726.0000,1,21.463991,-3.590590
32,2017-06-30,sz.002821,140.4648000000,149.8759416000,139.8226752000,146.4245208000,7427039,535975728.0000,1,16.242130,4.123858
33,2017-07-07,sz.002821,146.4847200000,148.6318248000,140.2240032000,146.2840560000,6432322,462889854.0000,1,14.066792,-0.095930
34,2017-07-14,sz.002821,145.9830600000,148.0900320000,136.2709224000,137.2341096000,6551083,464823348.0000,1,14.326510,-6.186557
35,2017-07-21,sz.002821,126.4183200000,136.8528480000,123.0070320000,126.2577888000,10178573,653782171.0000,1,22.259438,-7.998245
36,2017-07-28,sz.002821,125.1742032000,133.7826888000,123.8698872000,131.7559824000,4680998,300468628.0000,1,10.236836,4.354736
37,2017-08-04,sz.002821,130.8730608000,132.2375760000,126.6591168000,126.9801792000,3062257,196557533.0000,1,6.696825,-3.624733
38,2017-08-11,sz.002821,126.9199800000,134.0435520000,113.7363552000,119.3348808000,7997982,487531784.0000,1,17.490721,-6.020860
39,2017-08-18,sz.002821,118.7930880000,121.4017200000,116.9068464000,117.2881080000,4371621,259387032.0000,1,9.560262,-1.715150
40,2017-08-25,sz.002821,117.2881080000,119.2546152000,113.7965544000,115.5423312000,2964329,172310383.0000,1,6.482667,-1.488452
41,2017-09-01,sz.002821,114.5791440000,121.6023840000,114.5791440000,121.3816536000,4717358,277939853.0000,1,10.316351,5.053838
42,2017-09-08,sz.002821,121.0003920000,128.4249600000,119.6158104000,125.0538048000,4936503,301364939.0000,1,10.795598,3.025293
43,2017-09-15,sz.002821,124.2310824000,126.1574568000,120.0974040000,120.5990640000,3369508,205529959.2500,1,7.368749,-3.562259
44,2017-09-22,sz.002821,120.3984000000,125.3748672000,119.9770056000,120.6592632000,3217388,196020229.9900,1,7.036079,0.049917
45,2017-09-29,sz.002821,120.9602592000,124.1106840000,120.2178024000,120.8197944000,2864160,174147757.4200,1,6.263608,0.133045
