,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2016-12-16,sz.002831,44.1200000000,52.9500000000,44.1200000000,52.9500000000,30208,1592888.0000,1,0.075501,44.003264
1,2016-12-23,sz.002831,58.2500000000,85.2900000000,58.2500000000,80.7300000000,16307537,1347589207.0000,1,40.758653,52.464589
2,2016-12-30,sz.002831,77.0000000000,77.0000000000,67.0900000000,69.2000000000,34812970,2500709632.0000,1,87.010672,-14.282175
3,2017-01-06,sz.002831,69.2000000000,70.2800000000,63.8000000000,63.9000000000,19732234,1336773344.0000,1,48.997524,-7.658960
4,2017-01-13,sz.002831,63.5600000000,65.8400000000,59.1300000000,59.2300000000,16508347,1035282272.0000,1,40.992223,-7.308294
5,2017-01-20,sz.002831,58.6500000000,61.9900000000,54.3000000000,60.8500000000,18463134,1109041936.0000,1,45.846195,2.735100
6,2017-01-26,sz.002831,60.9500000000,62.6800000000,58.6800000000,59.9500000000,10032790,606677192.0000,1,24.912631,-1.479047
7,2017-02-03,sz.002831,59.7700000000,60.1500000000,58.8100000000,59.5500000000,1358601,80843312.0000,1,3.373571,-0.667223
8,2017-02-10,sz.002831,60.2000000000,65.5000000000,60.0100000000,62.7200000000,18705977,1183188784.0000,1,46.449204,5.323258
9,2017-02-17,sz.002831,62.6000000000,66.7000000000,62.5600000000,64.1500000000,17452070,1127001056.0000,1,43.335601,2.279974
10,2017-02-24,sz.002831,63.5000000000,69.1000000000,61.0000000000,67.0600000000,22326972,1439952516.0000,1,55.440573,4.536243
11,2017-03-03,sz.002831,69.1100000000,74.4900000000,66.8900000000,72.3100000000,33195376,2332408128.0000,1,82.428135,7.828810
12,2017-03-10,sz.002831,72.3000000000,74.2200000000,69.3000000000,70.0200000000,19323816,1390346016.0000,1,47.983373,-3.166920
13,2017-03-17,sz.002831,69.7800000000,81.2000000000,69.0300000000,77.7000000000,30247434,2328000988.0000,1,75.108038,10.968295
14,2017-03-24,sz.002831,77.8900000000,80.5000000000,75.2000000000,76.1000000000,20305053,1577453648.0000,1,50.419903,-2.059202
15,2017-03-31,sz.002831,76.5000000000,77.7000000000,68.0300000000,69.3100000000,17927104,1302583776.0000,1,44.515168,-8.922470
16,2017-04-07,sz.002831,69.3500000000,72.3900000000,68.1000000000,70.6700000000,6349010,450613288.0000,1,15.765360,1.962199
17,2017-04-14,sz.002831,69.8900000000,70.2800000000,65.9000000000,68.2000000000,8619487,585250712.0000,1,21.403229,-3.495118
18,2017-04-21,sz.002831,66.9800000000,71.6200000000,66.0100000000,68.2100000000,8363465,582648184.0000,1,20.767495,0.014663
19,2017-04-28,sz.002831,68.2000000000,73.9800000000,66.0100000000,72.8600000000,9558204,679813952.0000,1,23.734177,6.817182
20,2017-05-05,sz.002831,72.8800000000,73.5500000000,67.9300000000,70.1000000000,5309344,376288104.0000,1,13.183744,-3.788087
21,2017-05-12,sz.002831,69.9000000000,72.3000000000,67.3500000000,69.9100000000,5665399,398385049.0000,1,14.067871,-0.271041
22,2017-05-19,sz.002831,69.4600000000,73.2700000000,68.4200000000,69.3300000000,5769174,411485723.0000,1,14.325557,-0.829638
23,2017-05-26,sz.002831,69.3300000000,69.6800000000,66.5100000000,68.8500000000,3625959,247108673.0000,1,9.003695,-0.692341
24,2017-06-02,sz.002831,69.8900000000,71.5500000000,66.0800000000,68.3300000000,2867721,197048383.0000,1,7.120898,-0.755265
25,2017-06-09,sz.002831,68.7000000000,71.3000000000,68.5700000000,71.2800000000,5987333,421181557.0000,1,14.867272,4.317284
26,2017-06-16,sz.002831,71.0200000000,72.0000000000,69.8000000000,71.1900000000,3868980,275141030.0000,1,9.607145,-0.126263
27,2017-06-23,sz.002831,71.5100000000,75.8000000000,70.9100000000,73.5500000000,5457426,403321671.0000,1,13.551449,3.315072
28,2017-06-30,sz.002831,73.5800000000,75.4600000000,72.2100000000,75.0000000000,5318003,392927033.0000,1,13.220083,1.971448
29,2017-07-07,sz.002831,75.1006406000,76.5503044400,73.6006412100,74.3959429000,4336520,322163855.0000,1,10.838590,-0.805369
30,2017-07-14,sz.002831,74.3959429000,75.4932578900,70.4697700000,71.4764810000,4337166,313364451.0000,1,10.840205,-3.924222
31,2017-07-21,sz.002831,71.4563467800,71.4563467800,66.4630602200,68.0536636000,4786189,324949312.0000,1,11.962482,-4.788732
32,2017-07-28,sz.002831,68.4462808900,72.0805076000,66.9966170500,71.0234610500,4238318,292139051.0000,1,10.593147,4.363905
33,2017-08-04,sz.002831,70.4697700000,71.4060112300,67.1174223700,67.4093685600,2059438,142139686.0000,1,5.147308,-5.088590
34,2017-08-11,sz.002831,67.3187645700,68.2550058000,62.8791690600,62.9999743800,4551173,294658367.0000,1,11.375089,-6.541219
35,2017-08-18,sz.002831,62.7180953000,69.9664145000,62.7180953000,67.9429253900,5035489,338898483.0000,1,12.585576,7.845957
36,2017-08-25,sz.002831,68.2550058000,70.5704411000,67.8523214000,69.6442669800,2810524,194021266.0000,1,7.024554,2.504075
37,2017-09-01,sz.002831,69.0201061600,72.4127222300,68.9597035000,72.0301720500,3168840,221009048.0000,1,7.920120,3.425846
38,2017-09-08,sz.002831,71.9798365000,72.0301720500,69.4227905600,69.4529918900,2468893,172839775.0000,1,6.170690,-3.577918
39,2017-09-15,sz.002831,69.2617168000,70.7415819700,65.2348728000,65.6274900900,3989613,266661834.4400,1,9.971540,-5.508045
40,2017-09-22,sz.002831,65.6375572000,67.1375565900,64.1778262500,64.4295040000,5551889,362866876.3600,1,13.876253,-1.825433
41,2017-09-29,sz.002831,64.4899066600,64.9127252800,63.2214508000,64.4899066600,2382294,151531675.7600,1,5.954246,0.093750
42,2017-10-13,sz.002831,65.2449399100,66.4227917800,64.5201079900,65.4261478900,3549776,230954287.1600,1,8.872222,1.451764
43,2017-10-20,sz.002831,64.8019870700,64.9328595000,63.1006454800,64.4093697800,3358489,213634225.6100,1,8.394124,-1.554085
44,2017-10-27,sz.002831,64.4295040000,69.2818510200,64.0066853800,67.9529925000,5525631,369277887.7500,1,13.810625,5.501719
45,2017-11-03,sz.002831,69.2617168000,70.8523201800,68.1543347000,69.3019852400,5199738,358275713.0700,1,12.996096,1.985185
46,2017-11-10,sz.002831,70.0368842700,71.8388969600,67.7415831900,70.2684278000,5140336,357674967.1900,1,12.847628,1.394538
47,2017-11-17,sz.002831,69.4630590000,70.3690989000,65.1342017000,65.9395705000,4609163,311971170.2500,1,11.520027,-6.160458
48,2017-11-24,sz.002831,65.7281611900,66.9966170500,63.0100414900,65.3556781200,3691556,239300248.4400,1,9.226583,-0.885496
49,2017-12-01,sz.002831,66.3422549000,66.3422549000,62.9194375000,63.1912494700,1782050,114094001.2100,1,4.454011,-3.311768
50,2017-12-08,sz.002831,62.7684308500,63.4127258900,58.7113855200,60.4831968800,2893773,173446841.6100,1,7.232624,-4.285487
51,2017-12-15,sz.002831,60.4831968800,60.4831968800,57.5939363100,58.1073589200,1967666,115406997.1200,1,4.917936,-3.928096
52,2017-12-22,sz.002831,58.8925935000,59.3959490000,56.5972924200,58.5402446500,4693300,269706966.1200,1,3.927632,0.744976
53,2017-12-29,sz.002831,58.7214526300,59.6778280800,56.0134000400,56.2550106800,4076279,233596816.8600,1,3.411272,-3.903697
54,2018-01-05,sz.002831,56.3053462300,59.2248081300,56.0335342600,58.5905802000,3069259,177448594.5600,1,2.568538,4.151754
55,2018-01-12,sz.002831,58.8120566200,60.7248075200,57.8456140600,60.6744719700,7868336,464260080.7400,1,6.584690,3.556701
56,2018-01-19,sz.002831,60.6845390800,60.9664181600,58.3590366700,59.3456134500,4859908,288915541.6600,1,4.067059,-2.190144
57,2018-01-26,sz.002831,59.2449423500,60.2818546800,57.8858825000,58.8623921700,4168069,243479523.7200,1,3.488087,-0.814249
58,2018-02-02,sz.002831,58.2382313500,59.3959490000,53.3556830000,55.3691050000,3314995,189775628.3700,1,2.774184,-5.934667
59,2018-02-09,sz.002831,53.8691056100,54.8053468400,48.1308529100,52.2080324600,6967618,353836763.5800,1,5.830916,-5.709091
60,2018-02-14,sz.002831,52.8724617200,53.3355487800,51.8657507200,53.2348776800,834663,43871930.0800,1,0.698495,1.966834
61,2018-02-23,sz.002831,53.3355487800,53.7080318500,51.5436032000,52.8221261700,1398100,73079409.9400,1,1.170013,-0.775340
62,2018-03-02,sz.002831,52.8221261700,58.5402446500,51.8959520500,57.0805137000,3718223,205724398.2300,1,3.111629,8.061750
63,2018-03-09,sz.002831,57.2617216800,59.5771569800,56.4764871000,57.6845403000,3578332,205617325.8500,1,2.994560,1.058201
64,2018-03-16,sz.002831,59.8993045000,59.8993045000,55.5603800900,56.1744738000,4837632,274819538.0400,1,4.048417,-2.617801
65,2018-03-23,sz.002831,55.8724605000,56.5570239800,51.3019925600,52.8221261700,3869576,209613895.0200,1,3.238291,-5.967742
66,2018-03-30,sz.002831,52.5503142000,53.9395753800,50.2147446800,53.7583674000,4436818,231524922.5400,1,3.712992,1.772441
67,2018-04-04,sz.002831,53.4865554300,53.9496424900,51.2919254500,53.1040052500,2584679,135508412.5400,1,2.163013,-1.217228
68,2018-04-13,sz.002831,52.4597102100,52.9529986000,51.5637374200,52.3691062200,2695180,139318260.8500,1,2.255486,-1.383886
69,2018-04-20,sz.002831,52.3993075500,52.4194417700,46.0066927000,46.0872295800,4510956,217157762.1000,1,3.775035,-11.995386
70,2018-04-27,sz.002831,46.0872295800,47.2046787900,44.2852168900,46.1778335700,7191749,329063022.1800,1,6.018482,0.196592
71,2018-05-04,sz.002831,46.2281691200,48.4227991000,45.5234714200,47.6274974100,2149184,100090587.7200,1,1.798565,3.139307
72,2018-05-11,sz.002831,47.6274974100,48.1107186900,45.9060216000,46.5100482000,3258834,152906146.6700,1,2.727186,-2.346227
73,2018-05-18,sz.002831,46.9127326000,47.5771618600,46.0167598100,47.2449472300,2462325,114618641.7100,1,2.060620,1.580087
74,2018-05-25,sz.002831,47.2551686600,49.2334817200,46.7045042000,46.8472690600,4509700,211717380.0000,1,3.773984,-0.841787
75,2018-06-01,sz.002831,46.8370715700,51.4667320300,43.8594044900,50.3756006000,7874019,376142897.6700,1,6.589446,7.531563
76,2018-06-08,sz.002831,50.7835002000,53.1595153700,50.7631052200,51.7318667700,6639447,339459988.6600,1,5.556283,2.692308
77,2018-06-15,sz.002831,51.0792274100,53.3022802300,50.3756006000,53.0167505100,4344147,222732688.4200,1,3.635440,2.483737
78,2018-06-22,sz.002831,52.0071990000,52.6802333400,49.4578265000,51.5177194800,4049719,204764209.9700,1,3.389045,-2.827467
79,2018-06-29,sz.002831,51.5279169700,52.6598383600,49.4578265000,50.9874500000,3807523,192298160.7900,1,3.186361,-1.029295
80,2018-07-06,sz.002831,51.4973245000,57.4322636800,48.4074850300,54.5463740100,6978561,360466133.0800,1,5.840074,6.980000
81,2018-07-13,sz.002831,54.0466970000,56.9019942000,52.4354935800,56.5144895800,4834249,262214868.2000,1,4.045586,3.608151
82,2018-07-20,sz.002831,56.1065899800,57.0243640800,53.1595153700,55.0664460000,3395141,181950505.4800,1,2.841255,-2.562252
83,2018-07-27,sz.002831,54.2506468000,56.3615272300,51.8542366500,54.3526217000,3411369,183066602.0200,1,2.854836,-1.296296
84,2018-08-03,sz.002831,54.6483489100,54.6585464000,45.8275200600,49.0499269000,3867455,186507802.2000,1,3.237141,-9.756098
85,2018-08-10,sz.002831,48.4380775000,49.1519018000,46.3985795000,48.5910398500,2628335,123236861.1000,1,2.199972,-0.935551
86,2018-08-17,sz.002831,48.3259051100,49.8351336300,46.3781845200,48.0811653500,1272204,59888959.8000,1,1.064862,-1.049318
87,2018-08-24,sz.002831,48.4278800100,50.0594784100,47.5712908500,49.1722967800,1284178,61526039.4000,1,1.074884,2.269353
88,2018-08-31,sz.002831,49.1824942700,50.4673780100,48.9683469800,49.5598014000,920289,44940873.8900,1,0.770301,0.788055
89,2018-09-07,sz.002831,49.6617763000,50.4367855400,47.5712908500,47.9689929600,1660287,80174299.8000,1,1.389695,-3.209877
90,2018-09-14,sz.002831,48.0709678600,48.3666950700,44.9199434500,47.1022063100,1666497,75964770.2600,1,1.394893,-1.806973
91,2018-09-21,sz.002831,46.9084540000,48.3361026000,45.3788305000,48.1321528000,1413789,65691275.9700,1,1.183371,2.186620
92,2018-09-28,sz.002831,47.9282030000,50.7733027100,47.5203034000,50.4877729900,1353797,65119335.8700,1,1.133157,4.894068
93,2018-10-12,sz.002831,50.4265880500,50.9262650600,46.4393694600,47.8874130400,1889513,91018540.1300,1,1.581562,-5.150475
94,2018-10-19,sz.002831,48.4992624400,48.8867670600,41.3406244600,44.8791534900,4263838,182923100.5800,1,3.568922,-6.281942
95,2018-10-26,sz.002831,44.0327618200,47.8874130400,44.0327618200,45.3278430500,2593332,118218342.9000,1,2.170254,0.999773
96,2018-11-02,sz.002831,44.6344137300,51.8848291200,42.3501759700,49.9677010000,3179441,147631877.4000,1,2.660745,10.236220
97,2018-11-09,sz.002831,49.5598014000,50.7631052200,46.3985795000,48.0301779000,3038430,141914383.8800,1,2.542738,-3.877551
