,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2017-01-20,sz.002841,22.8700000000,30.2000000000,22.8700000000,30.2000000000,31426,883387.0000,1,0.077595,58.447009
1,2017-01-26,sz.002841,33.2200000000,44.2100000000,33.2200000000,44.2100000000,140219,5856384.0000,1,0.346220,46.390728
2,2017-02-03,sz.002841,48.6300000000,48.6300000000,48.6300000000,48.6300000000,95418,4640177.0000,1,0.235600,9.997738
3,2017-02-10,sz.002841,53.4900000000,73.4400000000,53.4900000000,72.0800000000,62043477,4083470884.0000,1,153.193770,48.221263
4,2017-02-17,sz.002841,71.1900000000,75.5800000000,65.0000000000,66.3900000000,54613139,3898425800.0000,1,134.847257,-7.894007
5,2017-02-24,sz.002841,66.5000000000,80.1000000000,62.9800000000,76.8000000000,44964510,3241992766.0000,1,111.023481,15.680072
6,2017-03-03,sz.002841,77.1800000000,96.0000000000,76.4800000000,93.3000000000,40583015,3484949560.0000,1,100.204975,21.484375
7,2017-03-10,sz.002841,93.5000000000,96.7000000000,87.7300000000,90.0500000000,25190360,2310164988.0000,1,62.198420,-3.483387
8,2017-03-17,sz.002841,89.0800000000,99.3100000000,89.0000000000,90.0000000000,29923357,2830197750.0000,1,73.884832,-0.055525
9,2017-03-24,sz.002841,90.0700000000,101.6000000000,90.0400000000,95.9800000000,21755762,2069537084.0000,1,53.717931,6.644444
10,2017-03-31,sz.002841,96.9900000000,105.0000000000,91.5000000000,95.8000000000,25877747,2562557504.0000,1,63.895672,-0.187539
11,2017-04-07,sz.002841,97.0000000000,97.9800000000,87.5000000000,87.5000000000,12932175,1193655040.0000,1,31.931296,-8.663883
12,2017-04-14,sz.002841,86.0100000000,88.9700000000,82.7000000000,84.5800000000,14120794,1208902760.0000,1,34.866158,-3.337143
13,2017-04-21,sz.002841,83.0200000000,88.3600000000,82.5100000000,86.1500000000,8801835,755627952.0000,1,21.732926,1.856231
14,2017-04-28,sz.002841,85.0300000000,85.3600000000,71.0700000000,72.7900000000,16957275,1274134836.0000,1,41.869815,-15.507835
15,2017-05-05,sz.002841,72.0200000000,72.7500000000,68.2000000000,68.5000000000,6999097,490983324.0000,1,17.281721,-5.893667
16,2017-05-12,sz.002841,67.5000000000,70.5313954000,66.9000000000,69.9478260800,6933771,477278495.0000,1,17.120422,2.113599
17,2017-05-19,sz.002841,70.0182568600,73.3083804400,68.0864411800,69.9277030000,7181133,504828078.0000,1,17.731193,-0.028769
18,2017-05-26,sz.002841,69.7164106600,69.7164106600,60.6710862000,63.8304097600,8316538,523500108.0000,1,20.534662,-8.719424
19,2017-06-02,sz.002841,65.8024716000,69.4849952400,64.5950868000,69.3240106000,6765621,454351547.0000,1,16.705237,8.606557
20,2017-06-09,sz.002841,71.1853955000,75.3408115200,69.9277030000,73.7108420400,10047693,731277552.0000,1,24.809119,6.328012
21,2017-06-16,sz.002841,73.6504728000,76.9707810000,72.4933957000,75.2100115000,6068278,454997172.0000,1,14.983402,2.033852
22,2017-06-23,sz.002841,75.1597038000,75.8137039000,69.5252414000,72.6241957200,5160526,376584931.0000,1,12.742040,-3.438127
23,2017-06-30,sz.002841,72.3827187600,77.2726272000,71.6381648000,74.6767498800,4013623,294323546.0000,1,9.910180,2.826268
24,2017-07-07,sz.002841,74.1334267200,81.8305048200,73.2480112000,78.9830890000,5246984,402907585.0000,1,12.955516,5.766640
25,2017-07-14,sz.002841,78.7717966600,80.4520738400,73.9523190000,73.9623805400,4861486,374225709.0000,1,12.003669,-6.356688
26,2017-07-21,sz.002841,66.5973332600,69.9277030000,66.0137639400,66.2049332000,7152441,481558192.0000,1,17.660348,-10.488369
27,2017-07-28,sz.002841,66.2049332000,68.1669335000,64.3938560000,67.8751488400,3411384,225191431.0000,1,8.423170,2.522796
28,2017-08-04,sz.002841,67.8751488400,69.0422874800,66.6174563400,67.1406564200,2898806,195750384.0000,1,7.157546,-1.082123
29,2017-08-11,sz.002841,67.4123180000,67.9153950000,63.9008405400,64.2127482800,2115189,138851374.0000,1,5.222689,-4.360857
30,2017-08-18,sz.002841,64.3435483000,68.9014259200,64.2932406000,67.1507179600,2477218,165554593.0000,1,6.116588,4.575368
31,2017-08-25,sz.002841,67.4123180000,72.2418572000,67.4123180000,70.4307800000,3630157,254987754.0000,1,8.963351,4.884627
32,2017-09-01,sz.002841,70.2496722800,74.3245959800,70.2496722800,73.5699804800,3151038,227509631.0000,1,7.780341,4.457143
33,2017-09-08,sz.002841,73.5699804800,76.2664732000,72.1412418000,72.6443188000,2673894,197265627.0000,1,6.602207,-1.258206
34,2017-09-15,sz.002841,72.4430880000,73.8517036000,70.9338570000,73.1172111800,1923587,139000241.1100,1,4.749598,0.650970
35,2017-09-22,sz.002841,73.1272727200,75.2301345800,72.4531495400,74.3849652200,2510578,184611403.2200,1,6.198958,1.733865
36,2017-09-29,sz.002841,74.4252113800,77.4134887600,70.9539800800,75.4112423000,2236774,162427733.1800,1,5.522899,1.379683
37,2017-10-13,sz.002841,75.3810576800,80.2307199600,74.1535498000,78.3492119800,4333646,334035973.1000,1,10.700360,3.895931
38,2017-10-20,sz.002841,78.9327813000,79.9791814600,74.7974883600,75.5621654000,3786084,291073171.9600,1,9.348356,-3.557211
39,2017-10-27,sz.002841,75.5118577000,79.4157352200,75.0490268600,78.2787812000,3341848,257650930.8700,1,8.251477,3.595206
40,2017-11-03,sz.002841,77.4537349200,77.4637964600,72.4430880000,74.5459498600,4164608,311836790.4900,1,10.282983,-4.768638
41,2017-11-10,sz.002841,74.6163806400,78.8623505200,74.1133036400,78.4297043000,4440478,335958449.8400,1,10.964143,5.209880
42,2017-11-17,sz.002841,78.4800120000,88.0284134600,77.6449041800,80.3212738200,11268050,940395381.0100,1,27.822346,2.411802
43,2017-11-24,sz.002841,80.6029969400,84.9596437600,72.5437034000,76.0551808600,5423152,427766382.3200,1,13.390499,-5.311286
44,2017-12-01,sz.002841,76.3670886000,76.3670886000,72.1915495000,73.8315805200,3193421,234904543.7000,1,7.884990,-2.923667
45,2017-12-08,sz.002841,73.9221343800,74.7673037400,71.5476109400,73.0669034800,2523156,183113003.7300,1,6.230015,-1.035705
46,2017-12-15,sz.002841,73.0669034800,75.2502576600,72.6443188000,72.7248111200,2387179,175875050.1600,1,5.894269,-0.468191
47,2017-12-22,sz.002841,72.4430880000,73.5699804800,70.4509030800,73.2379496600,1703093,122155863.6100,1,4.205168,0.705589
48,2017-12-29,sz.002841,73.2580727400,74.1133036400,71.3363186000,72.9461650000,1930250,139493653.3300,1,4.766049,-0.398406
49,2018-01-05,sz.002841,72.8354880600,74.4654575400,72.0607494800,72.6845649600,1769241,129053071.0800,1,4.368496,-0.358621
50,2018-01-12,sz.002841,72.8053034400,72.9361034600,70.5817031000,71.4872417000,2130960,151895239.0200,1,5.261630,-1.647287
51,2018-01-19,sz.002841,71.4973032400,72.0406264000,67.0098564000,67.9153950000,2674565,181945857.0400,1,6.603864,-4.996481
52,2018-01-26,sz.002841,67.9254565400,71.3161955200,67.0098564000,69.3340721400,2129354,147185336.8500,1,5.257664,2.088889
53,2018-02-02,sz.002841,69.4246260000,70.4106569200,61.3955170800,64.2529944400,2640478,171671766.4200,1,6.519699,-7.328399
54,2018-02-09,sz.002841,63.8907790000,65.3497023000,60.8723170000,63.2870866000,2171409,135623301.9500,1,5.361504,-1.503288
55,2018-02-14,sz.002841,63.2870866000,67.3821333800,63.2870866000,66.7583179000,934337,61378997.8200,1,2.307005,5.484897
56,2018-02-23,sz.002841,66.8589333000,67.5531795600,65.5308100200,65.6012408000,417845,27545795.4800,1,1.031716,-1.733233
57,2018-03-02,sz.002841,66.3357332200,74.4352729200,65.8427177600,72.9763496200,3483236,246999661.4900,1,8.600583,11.242331
58,2018-03-09,sz.002841,74.3044729000,80.2910892000,72.5537649400,79.0535197800,3792311,287584830.9500,1,9.363731,8.327589
59,2018-03-16,sz.002841,79.3453044400,81.6997048000,77.2323810400,79.1440736400,3083603,244746516.4000,1,7.613835,0.114548
60,2018-03-23,sz.002841,78.4800120000,81.7801971200,73.7510882000,79.6572121800,2685318,210474094.2400,1,6.630415,0.648360
61,2018-03-30,sz.002841,79.3956121400,86.3280132000,76.9707810000,85.2212438000,2865811,237169719.0500,1,7.076077,6.984969
62,2018-04-04,sz.002841,85.9154900600,90.0507830000,84.1144744000,85.8148746600,1915640,166451851.1200,1,4.729975,0.696576
63,2018-04-13,sz.002841,85.5633361600,89.6483214000,82.8064742000,87.4045979800,2922514,250300956.8000,1,7.216084,1.852503
64,2018-04-20,sz.002841,87.9781057600,88.0183519200,81.8003202000,83.5107820000,2790534,235159493.9300,1,6.890207,-4.454933
65,2018-04-27,sz.002841,83.6617051000,89.4269675200,78.9931505400,86.1267824000,4430500,377420888.0500,1,10.939506,3.132530
66,2018-05-04,sz.002841,86.1167208600,86.9618902200,82.1826587200,85.1709361000,1729797,145966833.0100,1,4.271104,-1.109813
67,2018-05-11,sz.002841,85.5230900000,94.1760144000,84.2050282600,90.5639215400,3222082,288329217.0200,1,7.955758,6.331955
68,2018-05-18,sz.002841,90.6947215600,95.5846300000,88.5415520000,95.4840146000,2692802,246243477.3300,1,6.648894,5.432730
69,2018-05-25,sz.002841,94.2851640000,100.0686354000,91.5473302000,95.2409758000,4519022,268158115.0800,1,6.973799,-0.254496
