,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2017-04-28,sz.002867,23.9000000000,31.5500000000,23.9000000000,31.5500000000,35129,1035192.0000,1,0.045711,58.383534
1,2017-05-05,sz.002867,34.7100000000,46.0900000000,34.7100000000,44.6100000000,32423309,1452772625.0000,1,42.190383,41.394612
2,2017-05-12,sz.002867,43.0000000000,43.0000000000,35.6800000000,36.9500000000,70117610,2748767808.0000,1,91.239571,-17.171038
3,2017-05-19,sz.002867,36.8200000000,40.5600000000,35.5200000000,35.7300000000,58344341,2227693760.0000,1,75.919767,-3.301759
4,2017-05-26,sz.002867,35.6300000000,35.6300000000,31.4200000000,33.2900000000,35043414,1164561084.0000,1,45.599758,-6.828995
5,2017-06-02,sz.002867,34.6000000000,34.6700000000,30.0100000000,31.1700000000,19743812,635737455.0000,1,25.691362,-6.368279
6,2017-06-09,sz.002867,31.7000000000,32.4200000000,31.0100000000,31.5100000000,21907022,694397285.0000,1,28.506209,1.090792
7,2017-06-16,sz.002867,31.1400000000,31.7800000000,30.2400000000,31.1200000000,20112765,624295876.0000,1,26.171457,-1.237702
8,2017-06-23,sz.002867,31.1000000000,31.9600000000,30.0100000000,30.4100000000,16546675,516018117.0000,1,21.531132,-2.281491
9,2017-06-30,sz.002867,30.2500000000,30.9600000000,30.2000000000,30.8800000000,13056404,398978042.0000,1,16.989465,1.545544
10,2017-07-07,sz.002867,30.8800000000,31.9700000000,30.6600000000,31.8100000000,20191822,632675607.0000,1,26.274329,3.011658
11,2017-07-14,sz.002867,31.5400000000,31.5500000000,30.1400000000,30.7200000000,14346070,441999730.0000,1,18.667625,-3.426595
12,2017-07-21,sz.002867,30.5100000000,30.6400000000,27.8000000000,28.4383869500,15599603,445141974.0000,1,20.298768,-7.427148
13,2017-07-28,sz.002867,28.2852179000,28.7447250500,27.8971896400,28.4179644100,12395535,343681067.0000,1,16.129519,-0.071813
14,2017-08-04,sz.002867,28.3975418700,28.7957814000,28.0605699600,28.1728939300,11266254,313352309.0000,1,14.660057,-0.862379
15,2017-08-11,sz.002867,28.0912037700,29.2654998200,28.0197248800,28.6221898100,13385648,373462416.0000,1,17.417889,1.594781
16,2017-08-18,sz.002867,28.4077531400,29.0306406100,28.3566967900,28.6936687000,13982051,393849084.0000,1,18.193951,0.249732
17,2017-08-25,sz.002867,28.8366264800,29.2654998200,28.4588094900,28.8876828300,12623133,356695491.0000,1,16.425677,0.676157
