,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2019-01-18,sz.002945,4.3400000000,5.7300000000,4.3400000000,5.7300000000,567412,3081946.2400,1,0.210153,58.287293
1,2019-01-25,sz.002945,6.3000000000,9.2200000000,6.3000000000,9.2200000000,8045347,65181226.3100,1,2.979758,60.907504
2,2019-02-01,sz.002945,10.1400000000,10.1400000000,8.6600000000,9.3000000000,577227678,5500970354.0200,1,213.788029,0.867679
3,2019-02-15,sz.002945,9.1900000000,10.8900000000,9.0700000000,10.5100000000,583594722,5959853878.7400,1,216.146193,13.010753
4,2019-02-22,sz.002945,10.7900000000,11.4800000000,10.2000000000,11.4800000000,498155374,5364637521.9400,1,184.501990,9.229305
5,2019-03-01,sz.002945,12.6300000000,15.2800000000,12.1000000000,14.6000000000,453303839,6409110525.6000,1,167.890311,27.177700
6,2019-03-08,sz.002945,14.7000000000,18.3500000000,14.0400000000,15.9300000000,600567879,9549791954.2500,1,222.432548,9.109589
7,2019-03-15,sz.002945,15.0800000000,16.0800000000,14.0200000000,14.5100000000,255731212,3861269556.6500,1,94.715264,-8.913999
8,2019-03-22,sz.002945,14.5300000000,16.5000000000,13.8800000000,15.1100000000,273158147,4188272960.0400,1,101.169684,4.135079
9,2019-03-29,sz.002945,14.6200000000,15.2500000000,13.6700000000,15.1500000000,184624807,2657878898.5000,1,68.379558,0.264725
10,2019-04-04,sz.002945,15.0100000000,15.7900000000,14.5900000000,14.9800000000,208757449,3154601513.7000,1,77.317574,-1.122112
11,2019-04-12,sz.002945,15.1000000000,15.2500000000,14.0700000000,14.2300000000,129998522,1899833663.7700,1,48.147601,-5.006676
12,2019-04-19,sz.002945,14.5500000000,14.6500000000,13.8000000000,13.9700000000,86008285,1217486008.6500,1,31.854920,-1.827126
13,2019-04-26,sz.002945,14.1000000000,14.4900000000,12.1600000000,12.1700000000,105830754,1435014280.7500,1,39.196576,-12.884753
14,2019-04-30,sz.002945,12.1500000000,12.2500000000,10.9500000000,11.2100000000,42053072,477096469.7500,1,15.575212,-7.888250
15,2019-05-10,sz.002945,10.4500000000,11.9100000000,10.0200000000,11.4400000000,153770923,1674398610.3600,1,56.952194,2.051740
16,2019-05-17,sz.002945,11.1500000000,11.5000000000,10.5600000000,10.7500000000,90283950,1011961003.9800,1,33.438500,-6.031469
17,2019-05-24,sz.002945,10.1500000000,11.0100000000,9.9000000000,10.5200000000,91936183,962537754.7900,1,34.050438,-2.139535
18,2019-05-31,sz.002945,10.5700000000,12.2900000000,10.4400000000,11.8000000000,234802806,2721705615.8700,1,86.964002,12.167300
19,2019-06-06,sz.002945,12.3800000000,13.9700000000,11.8000000000,13.7700000000,331988763,4341160612.8400,1,122.958801,16.694915
20,2019-06-14,sz.002945,13.6000000000,16.6539998900,12.6800000000,14.0070065300,504037453,7642369654.3700,1,186.680538,1.721181
21,2019-06-21,sz.002945,14.0070065300,18.9300131200,13.6460528900,18.9300131200,322411201,5062878085.1600,1,119.411556,35.146743
22,2019-06-28,sz.002945,20.2535098000,21.5068210500,17.9073111400,18.5490065000,574864652,11250029617.1600,1,212.912834,-2.012712
23,2019-07-05,sz.002945,19.3110197400,19.3110197400,16.9949005500,17.1452979000,300313480,5353378204.7900,1,111.227215,-7.567568
24,2019-07-12,sz.002945,17.1553243900,18.3986091500,15.6613773800,15.8017482400,257855369,4361330786.1400,1,95.501989,-7.836257
25,2019-07-19,sz.002945,15.8318277100,18.3685296800,15.6513508900,18.2983442500,263584582,4506327686.9100,1,97.623919,15.799492
26,2019-07-26,sz.002945,18.5490065000,18.7294833200,16.5537349900,16.6038674400,242512014,4263280692.6600,1,89.819300,-9.260274
27,2019-08-02,sz.002945,16.6439734000,17.2255098200,15.6413244000,16.3431787000,146271378,2407019212.0800,1,54.174700,-1.570048
28,2019-08-09,sz.002945,16.1426489000,17.8170727300,15.8518806900,16.2830197600,219929188,3663251992.4500,1,81.455300,-0.368098
29,2019-08-16,sz.002945,16.5838144600,17.9574435900,16.1927813500,17.3157482300,239419605,4082157661.7800,1,88.674000,6.342365
30,2019-08-23,sz.002945,17.5964899500,18.9500661000,17.0650859800,17.1352714100,231827746,4122498627.0400,1,85.862200,-1.042270
31,2019-08-30,sz.002945,16.6439734000,17.3959601500,16.1627018800,16.2529402900,134154016,2239951505.4800,1,49.686700,-5.149210
32,2019-09-06,sz.002945,16.1927813500,18.1278939200,16.1927813500,16.9347416100,214750686,3639825836.7600,1,79.537300,4.194941
33,2019-09-12,sz.002945,17.2956952500,18.5490065000,16.8645561800,18.2682647800,245573368,4354858866.4700,1,90.953200,7.874482
34,2019-09-20,sz.002945,18.3284237200,18.8498012000,17.3859336600,17.5062515400,216683735,3887091525.1700,1,80.253300,-4.171240
35,2019-09-27,sz.002945,17.2054568400,17.8070462400,15.6814303600,16.0323575100,147690743,2505575081.8500,1,54.700200,-8.419244
36,2019-09-30,sz.002945,16.0423840000,16.4033376400,15.9421191000,15.9621720800,18747692,303073748.5800,1,6.943600,-0.437800
37,2019-10-11,sz.002945,15.7917217500,16.6840793600,15.6914568500,16.2729932700,71190922,1143910970.0200,1,26.367100,1.947236
38,2019-10-18,sz.002945,16.5537349900,16.7743177700,14.8793111600,15.0798409600,77493205,1240679973.0200,1,28.701200,-7.332101
39,2019-10-25,sz.002945,14.8993641400,14.9194171200,13.4354966000,14.0571389800,81111432,1133641548.1600,1,30.041300,-6.781915
40,2019-11-01,sz.002945,13.9267946100,14.4080661300,13.4354966000,13.6661058700,56482946,785205983.1900,1,20.919500,-2.781740
41,2019-11-08,sz.002945,13.7964502400,14.5484369900,13.7463177900,13.8866886500,85149766,1202062819.1700,1,31.537000,1.614087
42,2019-11-15,sz.002945,13.6460528900,13.8365562000,12.6434038900,12.6734833600,63868745,840208464.8500,1,23.655000,-8.736462
43,2019-11-22,sz.002945,12.6835098500,13.3753376600,12.6333774000,13.0444634900,63445831,827746698.7000,1,23.498500,2.927215
44,2019-11-29,sz.002945,13.0845694500,13.1046224300,12.4629270700,12.6133244200,41855127,532070113.3200,1,15.501900,-3.305150
45,2019-12-06,sz.002945,12.8940661400,13.7262648100,12.7035628300,13.3953906400,94996525,1253422298.9300,1,35.184000,6.200318
46,2019-12-13,sz.002945,13.4354966000,14.3880131500,13.0645164700,14.0771919600,106858764,1443086725.3100,1,39.577400,5.089820
47,2019-12-20,sz.002945,14.0972449400,15.8017482400,13.7763972600,15.1199469200,218561782,3250313674.9600,1,80.948800,7.407407
48,2019-12-27,sz.002945,15.0397350000,15.4407946000,14.0571389800,14.6888078500,199158744,2962495039.9800,1,73.762400,-2.851459
49,2020-01-03,sz.002945,14.3980396400,15.5210065200,14.2576687800,14.8291787100,129780734,1947156640.0800,1,48.067000,0.955631
50,2020-01-10,sz.002945,13.4154436200,14.4281191100,13.4154436200,13.8064767300,120058207,1666780017.5600,1,44.466100,-6.896552
51,2020-01-17,sz.002945,13.7362913000,15.2502912900,13.4655760700,14.9494965900,138441305,1998328899.2000,1,51.274600,8.278867
52,2020-01-23,sz.002945,14.7289138100,15.7115098300,14.3378807000,14.6386754000,178795158,2640594646.8500,1,35.682600,-2.079142
53,2020-02-07,sz.002945,13.1748078600,13.4054171300,11.8713641600,13.1146489200,127071117,1638844940.6000,1,16.835300,-10.410959
54,2020-02-14,sz.002945,13.1447283900,13.6560793800,13.0143840200,13.2349668000,114644892,1519368182.8700,1,15.189100,0.917431
55,2020-02-21,sz.002945,13.4354966000,15.6413244000,13.2951257400,14.9294436100,218793090,3124431946.1500,1,28.987400,12.803030
56,2020-02-28,sz.002945,14.6186224200,15.5009535400,13.3552846800,13.4756025600,207569364,3068813717.3600,1,27.500300,-9.738079
57,2020-03-06,sz.002945,13.6360264000,16.0223310200,13.4655760700,14.7690197700,195541445,2867822663.3400,1,25.906800,9.598214
58,2020-03-13,sz.002945,14.5183575200,18.5189270300,14.3779866600,18.2682647800,430859536,7096957209.5100,1,57.083400,23.693143
59,2020-03-20,sz.002945,17.3458277000,17.6265694200,14.6286489100,15.2001588400,316666826,5078221795.1600,1,41.954400,-16.794731
60,2020-03-27,sz.002945,14.5384105000,15.2603177800,13.3352317000,14.6186224200,188493570,2692308161.1400,1,24.973000,-3.825858
61,2020-04-03,sz.002945,14.0370860000,15.0096555300,13.9568740800,14.2476422900,159341473,2309014851.4000,1,21.110800,-2.537723
62,2020-04-10,sz.002945,14.6487018900,15.1299734100,14.3980396400,14.4281191100,125722320,1844256441.6600,1,16.656600,1.266714
63,2020-04-17,sz.002945,14.2877482500,15.1299734100,14.2376158000,14.6286489100,130739811,1925970732.4100,1,17.321300,1.389854
64,2020-04-24,sz.002945,14.6386754000,14.7188873200,13.7463177900,13.8265297100,85924197,1222053581.1600,1,11.383800,-5.483208
65,2020-04-30,sz.002945,13.8766621600,14.2376158000,13.4354966000,14.1273244100,61198166,848267870.5300,1,8.108100,2.175489
66,2020-05-08,sz.002945,13.8766621600,14.9394701000,13.8165032200,14.6085959300,71858509,1030055103.3500,1,9.520300,3.406671
67,2020-05-15,sz.002945,14.6888078500,14.7088608300,14.1975098400,14.2175628200,72645289,1046881880.0100,1,9.624600,-2.676733
68,2020-05-22,sz.002945,14.1674303700,14.2877482500,13.5558144800,13.5758674600,56774104,793309798.9500,1,7.521900,-4.513399
69,2020-05-29,sz.002945,13.5056820300,14.0070065300,13.4154436200,13.6360264000,46459171,634089985.5500,1,6.155200,0.443131
70,2020-06-05,sz.002945,14.0170330200,14.3880131500,13.7463177900,14.0070065300,82802256,1161386879.3100,1,10.970200,2.720588
71,2020-06-12,sz.002945,14.0070065300,14.0771919600,13.4555495800,13.7062118300,50435053,696038966.1700,1,6.681900,-2.147459
72,2020-06-19,sz.002945,13.7964502400,14.2275893100,13.5959204400,14.0370860000,67193245,927751059.9000,1,8.902200,2.414045
73,2020-06-24,sz.002945,14.0471124900,14.7389403000,13.9368211000,14.0270595100,67312359,956568940.6600,1,8.918000,-0.071429
74,2020-07-03,sz.002945,13.7864237500,16.0365167000,13.4856290500,15.7347002000,179033205,2612829878.7200,1,23.719700,11.794139
75,2020-07-10,sz.002945,16.0767589000,18.3705643000,15.7648818500,17.3041460000,335164577,5579629101.7800,1,44.405100,9.974425
76,2020-07-17,sz.002945,17.6059625000,18.7025624500,15.6944580000,15.9057295500,239515444,4149114010.7800,1,31.732900,-8.081395
77,2020-07-24,sz.002945,16.2880304500,16.7508157500,15.0908250000,15.2316727000,127646516,2050301247.0800,1,16.911600,-4.237824
78,2020-07-31,sz.002945,15.3222176500,17.1230561000,14.9097351000,17.1230561000,96467248,1530586787.7700,1,12.780600,12.417437
79,2020-08-07,sz.002945,18.2900799000,18.2900799000,15.7950635000,16.2276671500,206176322,3501146260.1500,1,27.315800,-5.229142
80,2020-08-14,sz.002945,16.0868194500,16.4993020000,15.3725204000,16.0968800000,86868172,1377740018.9700,1,11.509000,-0.805952
81,2020-08-21,sz.002945,16.2779699000,16.9922689500,15.7045185500,15.8654873500,94921541,1539525851.7400,1,12.575900,-1.437500
82,2020-08-28,sz.002945,16.0767589000,16.0767589000,15.0002800500,15.5636708500,59846279,922302053.1300,1,7.928900,-1.902346
83,2020-09-04,sz.002945,15.6944580000,15.8353057000,14.9902195000,15.2115516000,53175311,815509849.0700,1,7.045100,-2.262443
84,2020-09-11,sz.002945,15.2014910500,15.2819754500,13.7829535000,14.0948305500,50439827,727643737.9500,1,6.682600,-7.341270
85,2020-09-18,sz.002945,14.1853755000,14.7789479500,13.9741039500,14.7085241000,35964044,510612111.5300,1,4.764900,4.354033
86,2020-09-25,sz.002945,15.0505828000,15.1713094000,14.2457388000,14.5073131000,48182153,701530659.4400,1,6.383600,-1.367989
87,2020-09-30,sz.002945,14.4368892500,14.6783424500,14.0847700000,14.1350727500,17214400,246924748.0000,1,2.280800,-2.565881
88,2020-10-09,sz.002945,14.3262232000,14.4268287000,14.2557993500,14.3865865000,5355700,76394081.0000,1,0.709600,1.779400
89,2020-10-16,sz.002945,14.4972525500,15.6441552500,14.4871920000,15.2618543500,80570626,1203899910.2900,1,10.674600,6.083916
90,2020-10-23,sz.002945,15.4530048000,15.8755479000,14.7890085000,14.8292507000,91712668,1404089734.0300,1,12.150700,-2.834542
91,2020-10-30,sz.002945,14.7890085000,14.8191901500,14.0042856000,14.0042856000,42594380,609469946.9400,1,5.643300,-5.563094
92,2020-11-06,sz.002945,14.0847700000,14.6179791500,13.9036801000,14.3966470500,37948585,540596162.0100,1,5.027700,2.801724
93,2020-11-13,sz.002945,14.5073131000,14.9801589500,14.1350727500,14.1853755000,40823264,589820555.0900,1,5.408600,-1.467505
94,2020-11-20,sz.002945,14.3061021000,14.6481608000,14.1652544000,14.5576158500,34522370,494824112.7700,1,4.573800,2.624113
95,2020-11-27,sz.002945,14.4670709000,15.0304617000,14.3262232000,14.6884030000,47295747,688483788.6900,1,6.266100,0.898411
