,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2019-03-29,sz.002958,4.7500000000,7.5900000000,4.7500000000,7.5900000000,3616337,25321730.1800,1,0.650941,91.666667
1,2019-04-04,sz.002958,8.3500000000,10.9700000000,8.3500000000,10.4500000000,663519434,6688232205.8300,1,119.433498,37.681159
2,2019-04-12,sz.002958,10.1100000000,10.4300000000,9.3000000000,9.7100000000,702923544,6895437030.2600,1,126.526238,-7.081340
3,2019-04-19,sz.002958,10.1500000000,10.2500000000,8.8900000000,9.1300000000,434877895,4087998713.3700,1,78.278021,-5.973223
4,2019-04-26,sz.002958,9.1800000000,9.2100000000,8.2600000000,8.2700000000,291553083,2581386482.7200,1,52.479555,-9.419496
5,2019-04-30,sz.002958,8.2700000000,8.3400000000,7.6000000000,7.7600000000,90477996,710389374.6900,1,16.286039,-6.166868
6,2019-05-10,sz.002958,7.3700000000,9.4400000000,7.3700000000,8.7100000000,771633380,6679784653.3800,1,138.894008,12.242268
7,2019-05-17,sz.002958,8.3500000000,9.1800000000,8.0500000000,8.4500000000,631126153,5532870230.7100,1,113.602707,-2.985075
8,2019-05-24,sz.002958,8.1800000000,8.3500000000,7.6700000000,7.8900000000,285714119,2298856221.0300,1,51.428541,-6.627219
9,2019-05-31,sz.002958,7.6500000000,8.5900000000,7.5500000000,8.2000000000,298261731,2389298759.2300,1,53.687112,3.929024
10,2019-06-06,sz.002958,8.1100000000,8.3500000000,7.4200000000,7.4500000000,193511160,1523005133.0200,1,34.832009,-9.146341
11,2019-06-14,sz.002958,7.4700000000,7.9800000000,7.4000000000,7.4300000000,183711352,1408117505.9800,1,33.068043,-0.268456
12,2019-06-21,sz.002958,7.5000000000,8.0400000000,7.3600000000,7.8000000000,212931930,1639164609.5200,1,38.327747,4.979812
13,2019-06-28,sz.002958,7.7900000000,7.8400000000,7.4254034400,7.4866018200,124488962,938475083.6800,1,22.408013,-4.017891
14,2019-07-05,sz.002958,7.6089985800,7.6803966900,7.4458029000,7.5070012800,104709593,776338852.0000,1,18.847727,0.272480
15,2019-07-12,sz.002958,7.4968015500,7.4968015500,6.8950174800,7.1194115400,100047579,701402171.9200,1,18.008564,-5.163043
16,2019-07-19,sz.002958,7.0378137000,7.1500107300,6.8440188300,6.8950174800,72590454,496784448.2300,1,13.066282,-3.151862
17,2019-07-26,sz.002958,6.8746180200,6.8746180200,6.4768285500,6.5278272000,77804221,501463182.0000,1,14.004700,-5.325444
18,2019-08-02,sz.002958,6.5278272000,6.5686261200,6.1402374600,6.1912361100,77686016,487298845.5400,1,13.983500,-5.156250
