,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2010-04-23,sz.300070,145.0000000000,166.9900000000,140.1200000000,166.9900000000,40811970,6132116593.8700,1,137.878277,142.014493
1,2010-04-30,sz.300070,172.5000000000,175.5800000000,145.0500000000,150.5000000000,26287674,4236749066.9700,1,88.809709,-9.874843
2,2010-05-07,sz.300070,135.4500000000,150.4900000000,124.8400000000,124.8400000000,15252805,2100333792.3900,1,51.529747,-17.049834
3,2010-05-14,sz.300070,126.1800000000,127.2000000000,109.0000000000,119.1900000000,12229819,1441912855.6600,1,41.316956,-4.525793
4,2010-05-21,sz.300070,118.0000000000,121.5000000000,106.0100000000,119.0000000000,9630019,1108665878.7200,1,32.533848,-0.159409
5,2010-05-28,sz.300070,120.1800000000,123.7800000000,112.0000000000,118.0900000000,8591164,1024545491.0100,1,29.024203,-0.764706
6,2010-06-04,sz.300070,117.4000000000,120.0000000000,112.0000000000,115.8000000000,5152094,595747541.3900,1,17.405723,-1.939199
7,2010-06-11,sz.300070,113.5000000000,137.1000000000,112.5000000000,131.5000000000,6331684,803694607.6900,1,21.390824,13.557858
8,2010-06-18,sz.300070,131.3000000000,132.4800000000,113.8000000000,116.0000000000,2343121,287756757.8200,1,7.915949,-11.787072
9,2010-06-25,sz.300070,115.4900000000,121.8900000000,112.0100000000,112.9000000000,3028656,352806884.5700,1,10.231946,-2.672414
10,2010-07-02,sz.300070,112.0000000000,113.4700000000,82.3700000000,85.2400000000,5399789,513941328.5500,1,18.242530,-24.499557
11,2010-07-09,sz.300070,84.1700000000,89.9000000000,81.0000000000,88.6900000000,5359666,460120033.9900,1,18.106980,4.047396
12,2010-07-16,sz.300070,88.0500000000,90.9900000000,77.1300000000,78.8300000000,7955006,669201928.1800,1,26.875020,-11.117375
13,2010-07-23,sz.300070,77.2000000000,92.1100000000,77.0100000000,90.2100000000,12754789,1111324413.1000,1,36.216069,14.436128
14,2010-07-30,sz.300070,90.5500000000,93.0000000000,88.1300000000,89.9000000000,10751183,972962964.5700,1,29.057251,-0.343643
15,2010-08-06,sz.300070,90.0100000000,103.8500000000,89.0000000000,102.9800000000,16590947,1590191275.9400,1,44.840397,14.549499
16,2010-08-13,sz.300070,102.6700000000,110.2200000000,101.0100000000,104.2800000000,11022292,1156012780.1300,1,29.789978,1.262381
17,2010-08-20,sz.300070,104.0000000000,107.6000000000,98.8800000000,99.9300000000,6534081,673809334.3600,1,17.659678,-4.171461
