,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2010-09-30,sz.300122,42.8800000000,43.6000000000,38.0800000000,40.3600000000,32223179,1282242566.9400,1,100.697434,6.266456
1,2010-10-08,sz.300122,40.6700000000,40.8800000000,39.4000000000,40.4900000000,6039982,243142178.3300,1,18.874944,0.322101
2,2010-10-15,sz.300122,40.2000000000,40.3000000000,37.0200000000,37.0800000000,16689369,645340930.1300,1,52.154278,-8.421833
3,2010-10-22,sz.300122,36.9900000000,40.5000000000,35.7000000000,39.0800000000,14495764,557155652.2600,1,45.299262,5.393743
4,2010-10-29,sz.300122,39.1000000000,41.8600000000,38.0000000000,40.9900000000,14870248,590190246.6200,1,46.469525,4.887410
5,2010-11-05,sz.300122,42.2500000000,42.7700000000,38.5500000000,39.4600000000,12273212,498131525.3300,1,38.353788,-3.732618
6,2010-11-12,sz.300122,39.5800000000,46.1000000000,39.5000000000,41.9800000000,17078720,727755339.5600,1,53.371000,6.386214
7,2010-11-19,sz.300122,42.6000000000,46.1100000000,40.6300000000,43.0600000000,15129358,660024802.4200,1,47.279244,2.572654
8,2010-11-26,sz.300122,42.9200000000,44.9300000000,42.0000000000,43.1000000000,11742067,509104647.6000,1,36.693959,0.092894
9,2010-12-03,sz.300122,42.9800000000,43.6600000000,39.6600000000,39.6600000000,7469422,309801177.7000,1,23.341944,-7.981439
10,2010-12-10,sz.300122,39.8300000000,41.8000000000,39.2000000000,40.3300000000,4022112,163586857.2600,1,12.569100,1.689360
11,2010-12-17,sz.300122,40.6900000000,41.5700000000,40.6300000000,41.3700000000,5259509,216757846.5800,1,16.435966,2.578726
12,2010-12-24,sz.300122,41.4100000000,41.8100000000,38.0300000000,38.3100000000,4780922,189792505.1000,1,14.940381,-7.396664
13,2010-12-31,sz.300122,38.8000000000,39.0000000000,34.2000000000,35.4800000000,8157849,289586216.2000,1,20.795922,-7.387105
14,2011-01-07,sz.300122,35.6800000000,37.6900000000,35.3500000000,35.9500000000,4530989,165222310.5300,1,11.327473,1.324690
15,2011-01-14,sz.300122,35.9500000000,35.9500000000,34.3000000000,34.4400000000,3810486,133582865.4200,1,9.526215,-4.200278
16,2011-01-21,sz.300122,34.4000000000,34.4000000000,31.3600000000,32.3800000000,3610413,116873956.8700,1,9.026032,-5.981417
17,2011-01-28,sz.300122,32.6500000000,34.0500000000,31.6500000000,33.1400000000,4053638,134239516.8500,1,10.134095,2.347128
18,2011-02-01,sz.300122,33.1400000000,33.8000000000,32.8000000000,33.3000000000,747718,24880452.6600,1,1.869295,0.482800
19,2011-02-11,sz.300122,33.1000000000,34.6300000000,32.6000000000,34.4800000000,2011422,68115133.9600,1,5.028555,3.543544
20,2011-02-18,sz.300122,34.8000000000,35.1400000000,34.1900000000,34.2600000000,3252716,112711112.3500,1,8.131790,-0.638051
21,2011-02-25,sz.300122,34.0700000000,35.6600000000,33.6200000000,35.1800000000,4478457,155429421.4800,1,11.196142,2.685347
22,2011-03-04,sz.300122,35.0500000000,36.2800000000,34.6000000000,35.1300000000,3759084,133105516.6100,1,9.397710,-0.142126
23,2011-03-11,sz.300122,35.3000000000,37.5000000000,34.9200000000,35.6000000000,10981546,399915753.7400,1,27.453865,1.337888
