,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2010-11-05,sz.300136,43.8000000000,52.3600000000,43.3100000000,51.8700000000,11664457,556599057.9400,1,87.465934,63.370079
1,2010-11-12,sz.300136,51.0000000000,61.6900000000,50.5000000000,59.0500000000,14914200,855390280.4200,1,111.834133,13.842298
2,2010-11-19,sz.300136,59.0000000000,64.0000000000,54.3400000000,60.7200000000,7426904,435948402.3200,1,55.690642,2.828112
3,2010-11-26,sz.300136,60.2500000000,67.3000000000,60.2500000000,64.6500000000,4515868,292845136.3600,1,33.862238,6.472332
4,2010-12-03,sz.300136,65.0000000000,66.5000000000,59.5500000000,60.2800000000,3434900,215918213.7900,1,25.756599,-6.759474
5,2010-12-10,sz.300136,60.4300000000,61.1900000000,57.1200000000,58.9300000000,2249807,132013166.6200,1,16.870178,-2.239549
6,2010-12-17,sz.300136,60.0000000000,69.5500000000,59.2300000000,69.5500000000,2764618,177783567.0200,1,20.730489,18.021381
7,2010-12-24,sz.300136,69.0300000000,73.8000000000,63.1000000000,63.6000000000,2255086,155159139.2800,1,16.909763,-8.554996
8,2010-12-31,sz.300136,65.6000000000,68.9500000000,56.8400000000,67.8000000000,2871063,177782843.9000,1,21.528667,6.603774
9,2011-01-07,sz.300136,68.8600000000,76.1300000000,68.0100000000,69.0000000000,2661188,189551423.3100,1,19.954919,1.769912
10,2011-01-14,sz.300136,69.0000000000,69.8800000000,61.9000000000,62.7500000000,2395284,156507434.9000,1,17.961038,-9.057971
11,2011-01-21,sz.300136,62.1500000000,65.4300000000,59.6000000000,61.5200000000,1911347,118652571.0400,1,14.332236,-1.960159
12,2011-01-28,sz.300136,61.0100000000,61.8500000000,50.6300000000,55.3900000000,3099896,168245109.0700,1,23.244571,-9.964239
13,2011-02-01,sz.300136,54.8900000000,56.8000000000,51.8000000000,53.9900000000,901313,48432702.6900,1,6.758496,-2.527532
14,2011-02-11,sz.300136,52.8800000000,59.1600000000,51.7000000000,58.8000000000,3293115,179277807.0400,1,19.754739,8.909057
15,2011-02-18,sz.300136,58.8000000000,63.5900000000,57.5000000000,62.1100000000,2729823,164535583.3600,1,16.375663,5.629252
16,2011-02-25,sz.300136,61.3600000000,64.5000000000,58.5900000000,59.5000000000,2729945,166402810.5800,1,16.376395,-4.202222
