,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2010-12-17,sz.300146,156.8000000000,158.6600000000,140.2000000000,153.0000000000,15809128,2365480240.5300,1,143.981129,39.090909
1,2010-12-24,sz.300146,154.7000000000,165.6500000000,147.0100000000,148.5100000000,8802550,1394860420.9700,1,80.168944,-2.934641
2,2010-12-31,sz.300146,149.2000000000,152.7900000000,141.0000000000,150.0000000000,3263342,476014214.4500,1,29.720783,1.003299
3,2011-01-07,sz.300146,150.8000000000,153.7500000000,141.5300000000,142.0000000000,3177678,464274313.9100,1,28.940601,-5.333333
4,2011-01-14,sz.300146,141.0000000000,141.9000000000,127.5000000000,127.7100000000,3271832,435207654.9100,1,29.798106,-10.063380
5,2011-01-21,sz.300146,128.9600000000,133.5000000000,118.8000000000,121.9900000000,2397079,298255646.7100,1,21.831321,-4.478898
6,2011-01-28,sz.300146,121.2000000000,123.4100000000,113.2000000000,119.0600000000,1311168,153597421.3100,1,11.941421,-2.401836
7,2011-02-01,sz.300146,118.4900000000,121.5000000000,117.6400000000,118.5200000000,397384,47341345.4200,1,3.619162,-0.453553
8,2011-02-11,sz.300146,117.0000000000,123.8000000000,116.0000000000,123.3000000000,725823,87679448.2700,1,6.610410,4.033075
9,2011-02-18,sz.300146,122.5000000000,127.5000000000,122.5000000000,125.0200000000,1179592,147899592.4200,1,10.743097,1.394972
10,2011-02-25,sz.300146,124.6900000000,125.4800000000,116.5000000000,122.2800000000,2578879,310861938.9100,1,23.487058,-2.191649
11,2011-03-04,sz.300146,122.2800000000,123.5000000000,118.0000000000,119.5200000000,1369040,165598439.6500,1,12.468488,-2.257115
12,2011-03-11,sz.300146,119.8700000000,122.2900000000,118.0000000000,120.2000000000,1163862,140458839.7800,1,10.599836,0.568942
13,2011-03-18,sz.300146,119.9900000000,130.1800000000,119.4300000000,126.7700000000,2838882,353133777.8300,1,21.677238,5.465890
14,2011-03-25,sz.300146,125.0800000000,126.8000000000,120.9000000000,121.6500000000,1602909,196231393.6100,1,11.717171,-4.038810
15,2011-04-01,sz.300146,121.1600000000,121.9900000000,114.0100000000,115.1400000000,1587736,186552773.1700,1,11.606257,-5.351418
16,2011-04-08,sz.300146,114.8000000000,115.8600000000,112.4400000000,114.6800000000,617333,70316081.2100,1,4.512668,-0.399514
17,2011-04-15,sz.300146,114.7200000000,116.4400000000,109.9000000000,111.2000000000,995294,112312122.3500,1,7.275541,-3.034531
18,2011-04-22,sz.300146,111.3100000000,113.8700000000,104.4400000000,110.0100000000,1755904,190755264.1400,1,12.835556,-1.070144
19,2011-04-29,sz.300146,110.0200000000,110.3800000000,100.5000000000,102.9900000000,1004206,105568037.8500,1,7.340687,-6.381238
20,2011-05-06,sz.300146,102.9900000000,105.5000000000,100.6000000000,105.0000000000,815731,83741876.4200,1,5.962946,1.951646
21,2011-05-13,sz.300146,105.1000000000,110.2300000000,104.3200000000,109.6000000000,1000457,108775358.6600,1,7.313282,4.380952
22,2011-05-20,sz.300146,109.5500000000,110.8800000000,104.6000000000,107.6800000000,744054,80019111.1500,1,5.438991,-1.751825
23,2011-05-27,sz.300146,107.6800000000,108.9542513200,90.8827066700,92.6393819600,2263058,118686960.8500,1,8.767635,-13.967864
24,2011-06-03,sz.300146,92.8412986600,98.6363079500,91.4682651000,97.7478744700,1841060,86096116.7500,1,6.729020,5.514385
25,2011-06-10,sz.300146,97.5257661000,102.7352169600,96.7180993000,99.9487665000,1271933,63180180.1500,1,4.648878,2.251601
26,2011-06-17,sz.300146,98.9795663400,100.3122165600,96.9402076700,97.6469161200,1162084,56971106.3400,1,4.247383,-2.303030
27,2011-06-24,sz.300146,97.5257661000,109.0350180000,95.1027657000,106.5110592500,2002254,100568398.6400,1,7.318180,9.077750
28,2011-07-01,sz.300146,106.5110592500,118.5452945700,105.2995590500,117.3539860400,2985634,165924284.6400,1,10.912405,10.180095
29,2011-07-08,sz.300146,117.3539860400,120.5038865600,114.3858105500,116.0011441500,2951511,170507197.3100,1,10.787686,-1.152787
30,2011-07-15,sz.300146,116.0213358200,129.1863046600,115.1732856800,125.8950624500,3535634,214496204.2400,1,12.922639,8.529156
31,2011-07-22,sz.300146,125.8950624500,126.6017709000,118.3433778700,122.8259286100,2120524,127933374.1000,1,7.750453,-2.437851
32,2011-07-29,sz.300146,122.8259286100,131.2458550000,116.5059359000,128.4190212000,2461437,153099700.3100,1,8.996480,4.553674
33,2011-08-05,sz.300146,125.5518040600,133.2650220000,124.0374288100,130.6401049000,3178407,203085814.8900,1,11.616985,1.729560
34,2011-08-12,sz.300146,129.6507130700,139.0600312900,119.9587114700,133.4265553600,3727366,241670169.7400,1,13.623414,2.132921
35,2011-08-19,sz.300146,134.0323054600,141.8868650900,132.3563968500,135.8899391000,3026449,207386108.9600,1,11.061583,1.846247
36,2011-08-26,sz.300146,135.6880224000,142.7147235600,135.2841890000,141.0388149500,2671419,184812509.8700,1,9.763958,3.789004
37,2011-09-02,sz.300146,139.7869314100,145.3800240000,137.3033560000,138.3331311700,2460096,172108627.9200,1,8.991579,-1.918397
38,2011-09-09,sz.300146,136.6572225600,138.3129395000,131.6698800700,133.4669387000,2376527,158192057.6900,1,8.686137,-3.517735
39,2011-09-16,sz.300146,131.2458550000,143.0579819500,128.8228546000,142.5935735400,1518346,100873074.2800,1,5.549510,6.838124
40,2011-09-23,sz.300146,142.3512735000,146.5915242000,135.8697474300,139.3225230000,1648360,116684007.7100,1,6.024708,-2.293968
41,2011-09-30,sz.300146,139.3225230000,139.3225230000,131.2458550000,137.2427809900,1988392,131802081.4200,1,7.267515,-1.492754
42,2011-10-14,sz.300146,137.1014393000,157.2729176300,132.6794635700,156.3844841500,3398514,249400243.3900,1,12.421469,13.947330
43,2011-10-21,sz.300146,157.2931093000,161.7352767000,150.5087081800,155.5162423400,4447451,345837291.8500,1,16.255303,-0.555197
44,2011-10-28,sz.300146,157.2931093000,161.4929766600,151.4577166700,152.5076835100,4048961,312429958.3800,1,14.798834,-1.934562
45,2011-11-04,sz.300146,152.0432751000,169.3475362900,151.4375250000,157.4344509900,4507735,361420344.7000,1,16.475640,3.230504
46,2011-11-11,sz.300146,156.7075508700,184.7537805000,155.7383507100,175.0617789000,4527851,387051617.5900,1,16.549163,11.196614
47,2011-11-18,sz.300146,177.4847793000,181.5231133000,168.4187194700,169.8119447000,3884827,337424471.5300,1,14.198929,-2.998847
48,2011-11-25,sz.300146,169.5090696500,179.6856713300,167.0053025700,176.2530874300,2830715,244197999.5400,1,10.346181,3.793103
49,2011-12-02,sz.300146,176.4348124600,179.4635629600,163.5727186700,167.1466442600,4037494,343583778.0300,1,14.756923,-5.166686
50,2011-12-09,sz.300146,165.8745690500,167.3485609600,151.0336916000,158.1007761000,4067774,319166155.5400,1,14.867595,-5.411935
51,2011-12-16,sz.300146,158.0805844300,161.2910599600,145.4002156700,160.0795597600,2817403,212671707.2200,1,9.621609,1.251596
52,2011-12-23,sz.300146,159.3122763000,163.3506103000,149.7010413800,159.2315096200,1695726,132621664.1700,1,5.348988,-0.529768
53,2011-12-30,sz.300146,159.0699762600,165.5716940000,145.3800240000,157.2931093000,2336641,178509449.4000,1,7.370687,-1.217347
54,2012-01-06,sz.300146,158.8074845500,164.3400021300,147.3588076600,158.9084429000,1994211,154594407.5000,1,6.128345,1.026958
55,2012-01-13,sz.300146,159.1103596000,168.9638945600,157.2931093000,161.0689515900,3640627,295013967.5600,1,11.187892,1.359593
56,2012-01-20,sz.300146,159.5141930000,163.3506103000,138.1110228000,143.3608570000,4485615,334103263.5500,1,13.784598,-10.994108
57,2012-02-03,sz.300146,145.3396406600,159.2718929600,142.5128068600,148.9337579200,4943342,365724682.0000,1,15.191223,3.887324
58,2012-02-10,sz.300146,148.9539495900,153.4566920000,146.9751659300,150.8317749000,3095188,229567511.3500,1,9.511722,1.274403
59,2012-02-17,sz.300146,149.4587413400,159.3930429800,149.4183580000,156.6469758600,2468378,191766240.4700,1,7.585492,3.855422
60,2012-02-24,sz.300146,157.4950260000,170.9830615600,156.6671675300,165.9755274000,4165718,338947109.2300,1,12.801532,5.955143
61,2012-03-02,sz.300146,166.0966774200,181.4423466200,164.7236438600,181.3211966000,6358600,544329890.2400,1,19.540407,9.245742
62,2012-03-09,sz.300146,179.7285661200,199.1675112400,174.5829630000,182.3013676800,14917470,667118991.6300,1,22.921196,0.540541
63,2012-03-16,sz.300146,182.3830439200,200.5151692000,182.3830439200,192.7559264000,23110689,1091168275.3300,1,35.510353,5.734767
64,2012-03-23,sz.300146,193.9810700000,214.0734250400,182.9547776000,214.0734250400,18282036,892473652.7700,1,28.090965,11.059322
65,2012-03-30,sz.300146,211.5414616000,240.9449080000,205.0073624000,230.2044824400,16444313,914509604.4700,1,25.267242,7.535292
66,2012-04-06,sz.300146,207.1717827600,221.6284772400,207.1717827600,216.5237122400,14058664,729931429.3000,1,21.601611,-5.942877
67,2012-04-13,sz.300146,211.5414616000,239.5155738000,194.4302893200,224.6096600000,18394180,972076519.0700,1,28.263278,3.734440
68,2012-04-20,sz.300146,220.5258480000,233.5532082800,214.8901874400,219.4232187600,13314996,731135554.7000,1,20.458940,-2.309091
69,2012-04-27,sz.300146,213.7875582000,213.8283963200,197.6565008000,210.5613467200,10965342,552172645.9700,1,16.848618,-4.038712
70,2012-05-04,sz.300146,212.3582240000,232.2463884400,211.8681665600,226.6515660000,7630761,418810228.1200,1,11.724922,7.641583
71,2012-05-11,sz.300146,226.2431848000,265.3661037600,224.7321743600,252.1753910000,14522518,884391509.0400,1,22.314339,11.261261
72,2012-05-18,sz.300146,253.1555058800,259.5262526000,235.4725999200,236.2893623200,11620797,704765858.2800,1,17.855747,-6.299595
73,2012-05-25,sz.300146,235.2684093200,258.0152421600,235.2684093200,242.5375946800,13597467,817797872.2000,1,20.892967,2.644314
74,2012-06-01,sz.300146,240.9449080000,249.0308557600,231.6746547600,245.6412918000,10886140,643469087.6300,1,16.726921,1.279677
75,2012-06-08,sz.300146,240.9449080000,252.2979053600,239.8014406400,249.5209132000,8954508,539523010.0000,1,13.758904,1.579385
76,2012-06-15,sz.300146,250.7052186800,284.2333152000,250.7052186800,273.5745658800,13666075,903185048.2400,1,20.998385,9.639935
77,2012-06-21,sz.300146,270.0216494400,279.5369314000,257.2801560000,264.0592839200,8466134,553363462.6300,1,13.008500,-3.478131
78,2012-06-29,sz.300146,264.4676651200,276.0656912000,255.2382500000,274.3096520400,9533283,621417749.8500,1,14.648211,3.881843
79,2012-07-06,sz.300146,275.5756337600,286.6836024000,265.4477800000,283.0081716000,11163312,755834155.9300,1,17.152805,3.171059
80,2012-07-13,sz.300146,282.5997904000,293.9527877600,277.3725110400,289.1338896000,8907328,623656781.6500,1,13.686410,2.164502
81,2012-07-20,sz.300146,288.7255084000,291.9925580000,261.4048061200,277.2908348000,11678301,787964131.1800,1,17.944103,-4.096045
82,2012-07-27,sz.300146,274.4321664000,285.4584588000,264.2226364000,277.6992160000,6787116,457743567.9500,1,10.428633,0.147275
83,2012-08-03,sz.300146,274.3913282800,279.1285502000,246.0496730000,265.2844275200,9084779,578739466.8300,1,13.959069,-4.470588
84,2012-08-10,sz.300146,262.9974928000,281.0479418400,261.4048061200,273.6154040000,5470182,364023312.0500,1,8.405119,3.140394
85,2012-08-17,sz.300146,273.0028322000,280.8845893600,253.4005346000,258.2602708800,6109288,402203069.1400,1,9.387127,-5.611940
86,2012-08-24,sz.300146,256.8717748000,269.1232108000,253.6047252000,254.0131064000,4776469,304244345.9600,1,7.339206,-1.644529
87,2012-08-31,sz.300146,253.1963440000,256.3817173600,237.0244484800,244.2527957200,6124335,369142466.4800,1,9.410247,-3.842444
88,2012-09-07,sz.300146,244.2527957200,262.0582160400,242.0475372400,258.4236233600,5035235,310342304.9200,1,7.736808,5.801705
89,2012-09-14,sz.300146,261.3231298800,267.0813048000,251.9712004000,252.8696390400,4215951,267686997.7700,1,6.477951,-2.149178
