,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2011-04-22,sz.300207,22.5000000000,24.3600000000,18.8600000000,18.8600000000,47085996,996167048.7400,1,125.228713,1.071811
1,2011-04-29,sz.300207,18.6500000000,18.7200000000,17.0800000000,17.6000000000,20251258,366110324.0200,1,53.859729,-6.680806
2,2011-05-06,sz.300207,17.7100000000,17.9000000000,17.1000000000,17.5900000000,7071108,123714173.4000,1,18.806138,-0.056818
3,2011-05-13,sz.300207,17.6400000000,17.9500000000,17.2100000000,17.6900000000,8542965,150355434.3400,1,22.720652,0.568505
4,2011-05-20,sz.300207,17.7000000000,18.0800000000,17.0100000000,17.0100000000,7823984,137233690.7000,1,20.808468,-3.843980
5,2011-05-27,sz.300207,16.8700000000,16.9000000000,15.4000000000,15.4500000000,6862877,111331466.7800,1,18.252332,-9.171076
6,2011-06-03,sz.300207,15.4000000000,16.2400000000,15.2100000000,15.9000000000,5303226,83526942.1400,1,14.104324,2.912621
7,2011-06-10,sz.300207,15.8700000000,16.1700000000,15.0800000000,15.3300000000,3162298,49530734.7800,1,8.410367,-3.584906
8,2011-06-17,sz.300207,15.2100000000,15.7800000000,15.0500000000,15.1300000000,3589455,55170247.6600,1,9.546423,-1.304631
9,2011-06-24,sz.300207,15.1500000000,15.9800000000,14.9000000000,15.8500000000,4326346,67002361.1400,1,11.506239,4.758757
10,2011-07-01,sz.300207,15.9000000000,16.6700000000,15.6500000000,16.1700000000,6909787,111094859.6100,1,18.377093,2.018927
11,2011-07-08,sz.300207,16.3100000000,18.1000000000,16.3000000000,17.5600000000,16583972,287147963.1400,1,44.106309,8.596166
12,2011-07-15,sz.300207,17.5200000000,18.6700000000,17.2700000000,18.2100000000,12936222,232765634.0400,1,34.404846,3.701595
13,2011-07-22,sz.300207,18.1800000000,19.3300000000,17.6000000000,19.1700000000,23427267,434869502.2400,1,56.164102,5.271829
14,2011-07-29,sz.300207,19.1500000000,19.4300000000,17.8000000000,18.2000000000,17201096,322138973.1500,1,36.598077,-5.059990
15,2011-08-05,sz.300207,18.2400000000,19.2800000000,17.6100000000,18.5600000000,16585521,306828625.1600,1,35.288343,1.978022
16,2011-08-12,sz.300207,18.2800000000,20.4300000000,17.0800000000,20.1800000000,21536196,418534766.9700,1,45.821694,8.728448
17,2011-08-19,sz.300207,20.3000000000,21.1900000000,19.3600000000,19.7200000000,15151210,307705019.2500,1,32.236617,-2.279485
18,2011-08-26,sz.300207,19.7500000000,20.9500000000,19.4100000000,20.6800000000,11082274,225199017.4300,1,23.579306,4.868154
