,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2011-07-22,sz.300244,39.5800000000,45.4800000000,36.3600000000,38.1500000000,19265968,771941671.4800,1,188.144219,62.340426
1,2011-07-29,sz.300244,38.1500000000,39.9700000000,34.6700000000,39.3600000000,12713161,483773232.7100,1,124.151963,3.171691
2,2011-08-05,sz.300244,39.3000000000,51.0000000000,38.8000000000,44.5000000000,17904325,831414000.4200,1,174.846924,13.058943
3,2011-08-12,sz.300244,44.0500000000,46.5500000000,40.3400000000,46.1700000000,13832976,607590170.0300,1,135.087656,3.752809
4,2011-08-19,sz.300244,46.0000000000,47.9800000000,41.6600000000,42.7200000000,11833504,541874021.1500,1,115.561563,-7.472385
5,2011-08-26,sz.300244,42.3300000000,54.5000000000,41.8000000000,52.7200000000,13333122,654680203.3100,1,130.206270,23.408240
6,2011-09-02,sz.300244,52.8800000000,57.0700000000,48.0000000000,57.0700000000,11208820,584737329.9800,1,109.461133,8.251138
7,2011-09-09,sz.300244,56.3500000000,59.8200000000,51.8200000000,53.5300000000,12159648,683178661.2800,1,118.746562,-6.202909
8,2011-09-16,sz.300244,51.9900000000,55.9000000000,49.3500000000,52.0300000000,6574959,347507819.3500,1,64.208584,-2.802167
9,2011-09-23,sz.300244,51.1200000000,51.5800000000,45.6100000000,46.3600000000,4769470,235481198.5400,1,46.576855,-10.897559
10,2011-09-30,sz.300244,46.3400000000,50.0000000000,42.7700000000,43.3000000000,3345994,154054268.7800,1,32.675723,-6.600518
11,2011-10-14,sz.300244,43.8800000000,48.6200000000,42.8800000000,46.6700000000,4249410,194883005.5500,1,41.498145,7.782910
12,2011-10-21,sz.300244,46.1000000000,48.6000000000,39.7800000000,40.0000000000,4115327,185343070.7100,1,35.957178,-14.291836
13,2011-10-28,sz.300244,40.3500000000,44.9800000000,37.9000000000,43.6000000000,4868808,208016196.2300,1,38.037562,9.000000
14,2011-11-04,sz.300244,43.6000000000,48.5000000000,43.3100000000,46.4300000000,4510820,210655393.2800,1,35.240781,6.490826
15,2011-11-11,sz.300244,46.2100000000,47.8000000000,43.7800000000,45.8200000000,3915130,179487273.8600,1,30.586953,-1.313806
16,2011-11-18,sz.300244,46.0000000000,53.4900000000,46.0000000000,49.9800000000,7580748,382803024.4200,1,59.224594,9.079005
17,2011-11-25,sz.300244,49.2800000000,51.3000000000,47.3000000000,49.6000000000,4139079,203572749.2600,1,32.336555,-0.760304
18,2011-12-02,sz.300244,49.6000000000,54.5100000000,48.4000000000,51.0000000000,6197504,318710722.6700,1,48.418000,2.822581
19,2011-12-09,sz.300244,50.4700000000,51.7500000000,45.0500000000,50.3000000000,4183367,203390697.4400,1,32.682555,-1.372549
20,2011-12-16,sz.300244,50.5000000000,52.6800000000,48.0000000000,50.6900000000,4364291,220462461.8100,1,34.096023,0.775348
21,2011-12-23,sz.300244,50.0200000000,52.3600000000,46.6600000000,48.3200000000,3770868,187855658.2800,1,29.459906,-4.675478
22,2011-12-30,sz.300244,48.0500000000,48.4900000000,42.5200000000,44.3800000000,2068910,92928412.7800,1,16.163359,-8.153974
23,2012-01-06,sz.300244,44.4000000000,44.8800000000,37.3400000000,38.9000000000,1674299,67105560.7300,1,13.080461,-12.347904
24,2012-01-13,sz.300244,38.9600000000,43.3500000000,37.3000000000,37.8000000000,2787391,112871619.4600,1,21.776492,-2.827763
25,2012-01-20,sz.300244,36.5000000000,37.9900000000,33.0100000000,34.4400000000,3549584,127330598.3200,1,27.731125,-8.888889
26,2012-02-03,sz.300244,34.6100000000,37.5200000000,33.8800000000,36.9200000000,3864223,136319655.1400,1,30.189242,7.200929
27,2012-02-10,sz.300244,37.1900000000,38.5000000000,35.2000000000,37.2000000000,3769840,138516675.4500,1,29.451875,0.758397
28,2012-02-17,sz.300244,36.8000000000,39.9800000000,36.5000000000,39.2800000000,3808609,146355330.0300,1,29.754758,5.591398
29,2012-02-24,sz.300244,39.2800000000,41.9700000000,38.8300000000,41.7500000000,4396642,177437024.7200,1,34.348766,6.288187
30,2012-03-02,sz.300244,41.4000000000,42.2000000000,39.1300000000,41.1000000000,3031886,123605681.9600,1,23.686609,-1.556886
31,2012-03-09,sz.300244,41.1500000000,41.6200000000,38.5300000000,41.4600000000,2381334,96367042.9900,1,18.604172,0.875912
32,2012-03-16,sz.300244,41.4600000000,46.3700000000,41.0100000000,44.6200000000,5986124,263850294.3200,1,46.766594,7.621804
33,2012-03-23,sz.300244,44.2900000000,46.1300000000,41.3300000000,41.5500000000,3470319,153259632.5000,1,27.111867,-6.880323
34,2012-03-30,sz.300244,41.1100000000,41.9900000000,36.0000000000,36.4000000000,2226349,87663319.9200,1,17.393352,-12.394705
35,2012-04-06,sz.300244,36.5800000000,37.8800000000,36.0800000000,37.6000000000,1320569,49012339.8100,1,10.316945,3.296703
36,2012-04-13,sz.300244,38.4500000000,39.8200000000,36.2000000000,39.2500000000,3073227,117823424.3900,1,24.009586,4.388298
37,2012-04-20,sz.300244,39.1200000000,41.8800000000,38.6400000000,41.2500000000,2490615,99273060.5700,1,19.457930,5.095541
38,2012-04-27,sz.300244,41.2000000000,41.4500000000,37.1500000000,38.8500000000,1790516,69832643.5500,1,13.988406,-5.818182
39,2012-05-04,sz.300244,39.1400000000,45.6000000000,39.1400000000,43.9000000000,2029346,85565992.8500,1,15.854266,12.998713
40,2012-05-11,sz.300244,44.3000000000,46.9900000000,42.3500000000,44.0500000000,3734426,166994949.7500,1,29.175203,0.341686
41,2012-05-18,sz.300244,44.5900000000,45.1800000000,41.9400000000,42.0000000000,2165837,94869871.2500,1,16.920602,-4.653802
42,2012-05-25,sz.300244,41.8000000000,47.5000000000,41.6800000000,45.8900000000,3230004,145212154.2100,1,25.234406,9.261905
43,2012-06-01,sz.300244,45.9000000000,46.8555529800,43.1230534000,44.3913785000,4194470,137347198.9100,1,23.849401,-3.265671
44,2012-06-08,sz.300244,43.4854320000,44.7175192400,40.9487818000,41.1662089600,3761577,88746483.0700,1,16.326289,-7.265306
45,2012-06-15,sz.300244,40.9669007300,44.5725678000,40.0609542300,43.1230534000,5076523,120637083.9900,1,22.033520,4.753521
46,2012-06-21,sz.300244,42.9418641000,46.8011961900,42.7606748000,42.9962208900,5517479,136149623.8200,1,23.947391,-0.294118
47,2012-06-29,sz.300244,43.0143398200,43.4854320000,38.5933209000,40.2783813900,4085458,92733064.7500,1,17.732023,-6.321113
48,2012-07-06,sz.300244,40.3689760400,43.3948373500,39.6442188400,41.6916579300,4556447,103732878.7700,1,19.776246,3.508772
49,2012-07-13,sz.300244,41.5104686300,47.5984291100,41.1662089600,46.3844608000,9112098,221990814.7000,1,39.549036,11.255976
50,2012-07-20,sz.300244,46.4388175900,52.0919237500,41.4017550500,51.4034044100,10808156,280237530.9700,1,32.509412,10.820312
51,2012-07-27,sz.300244,50.3706254000,51.4577612000,46.4569365200,47.1092180000,9174440,248445301.0200,1,19.742002,-8.353895
52,2012-08-03,sz.300244,46.9280287000,50.5880525600,45.8046550400,50.1894361000,6888622,183180714.8400,1,14.823269,6.538462
53,2012-08-10,sz.300244,49.6458682000,52.3455887700,49.1204192300,51.7476640800,5229854,145803722.8700,1,11.253852,3.104693
54,2012-08-17,sz.300244,51.1135015300,52.6354916500,48.7399217000,49.6096303400,3666427,103239265.4000,1,7.889594,-4.131653
55,2012-08-24,sz.300244,49.2472517400,56.9659159200,49.2110138800,53.9762924700,9040744,270321716.5900,1,19.454309,8.802045
56,2012-08-31,sz.300244,52.9435134600,58.8140467800,51.8563776600,54.4111467900,5338253,162529780.1500,1,11.487110,0.805639
57,2012-09-07,sz.300244,54.3205521400,56.4223480200,52.9978702500,55.9150179800,4836782,146125930.5000,1,10.408021,2.763903
58,2012-09-14,sz.300244,55.8787801200,56.1324451400,51.6389505000,51.6389505000,4480868,133769562.2800,1,9.642148,-7.647440
59,2012-09-21,sz.300244,51.2765719000,52.4905402100,48.0332834300,49.8270575000,3434010,95027668.3700,1,7.389468,-3.508772
60,2012-09-28,sz.300244,49.6096303400,50.7330040000,46.7468394000,48.2325916600,3410094,90755954.9600,1,7.338005,-3.200000
61,2012-10-12,sz.300244,48.2507105900,51.5845937100,48.0151645000,49.5009167600,2679750,73849224.1900,1,5.766415,2.629602
62,2012-10-19,sz.300244,49.4284410400,52.6898484400,48.4137809600,51.0953826000,2977712,84621054.1100,1,6.407584,3.221083
63,2012-10-26,sz.300244,50.5880525600,53.3602488500,48.7218027700,49.1928949500,2458839,70178701.7500,1,5.291048,-3.723404
64,2012-11-02,sz.300244,48.9573488600,52.8529188100,48.9573488600,52.5448970000,1741923,49420510.2200,1,3.748354,6.813996
65,2012-11-09,sz.300244,52.1462805400,52.3999455600,49.0117056500,49.7908196400,1115257,31469973.7700,1,2.399864,-5.241379
66,2012-11-16,sz.300244,49.5733924800,50.3162686100,46.9642665600,47.7252616200,822058,22049167.2500,1,1.768944,-4.148472
67,2012-11-23,sz.300244,48.1782348700,49.7908196400,47.8339752000,49.1023003000,900224,24151516.1100,1,1.937145,2.885345
68,2012-11-30,sz.300244,49.0660624400,49.3559653200,44.1920702700,44.9168274700,1592353,40168037.7000,1,3.426502,-8.523985
69,2012-12-07,sz.300244,44.7537571000,47.9245698500,42.6881990800,47.1092180000,1189732,30223755.3700,1,2.560123,4.881000
70,2012-12-14,sz.300244,47.0005044200,47.7796184100,44.4819731500,46.7830772600,1945849,49688429.8300,1,4.187172,-0.692308
71,2012-12-21,sz.300244,47.0005044200,47.4534776700,44.3732595700,46.3663418700,4218153,106823369.1800,1,9.076825,-0.890782
72,2012-12-28,sz.300244,46.4750554500,50.9141933000,46.0402011300,50.2619118200,5911027,159242445.1400,1,12.719633,8.401719
73,2013-01-04,sz.300244,51.0953826000,52.8529188100,49.8089385700,50.9141933000,1706261,48043839.0100,1,3.671615,1.297765
