,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-05-11,sz.300316,35.0000000000,36.0000000000,33.3300000000,34.8800000000,15893663,548033069.1100,1,59.415563,5.696970
1,2012-05-18,sz.300316,35.1500000000,36.7700000000,34.0000000000,34.3100000000,40415397,1421623803.9300,1,151.085596,-1.634174
2,2012-05-25,sz.300316,34.4700000000,35.1100000000,32.5000000000,33.2600000000,16626211,558632730.3900,1,62.154060,-3.060332
3,2012-06-01,sz.300316,33.5500000000,38.5400000000,33.5500000000,38.0400000000,20377398,740497751.3400,1,76.177189,14.371618
4,2012-06-08,sz.300316,37.5000000000,40.1800000000,37.2800000000,37.2800000000,17299851,665910367.2200,1,64.672340,-1.997897
5,2012-06-15,sz.300316,37.2100000000,40.4800000000,36.9000000000,40.0600000000,14892031,583617190.0400,1,55.671144,7.457082
6,2012-06-21,sz.300316,40.1000000000,40.3800000000,38.1300000000,38.7000000000,7399145,289822587.3400,1,27.660355,-3.394908
7,2012-06-29,sz.300316,38.4300000000,38.6900000000,34.8300000000,36.4500000000,10175259,369123781.4100,1,38.038351,-5.813953
8,2012-07-06,sz.300316,36.5900000000,38.3400000000,30.4500000000,31.2800000000,13688327,471165320.0300,1,51.171316,-14.183813
9,2012-07-13,sz.300316,31.0000000000,31.1500000000,29.1000000000,29.3900000000,11844329,355319712.2600,1,44.277865,-6.042199
10,2012-07-20,sz.300316,28.8000000000,28.8000000000,25.3100000000,26.4700000000,8429768,223518234.2400,1,31.513151,-9.935352
11,2012-07-27,sz.300316,25.9900000000,27.6600000000,25.5500000000,26.8300000000,5404103,144103336.2800,1,20.202254,1.360030
12,2012-08-03,sz.300316,26.9000000000,27.2500000000,23.8400000000,26.5100000000,7780642,197066561.6900,1,29.086512,-1.192695
13,2012-08-10,sz.300316,25.9900000000,29.1800000000,25.8800000000,28.2400000000,13315015,366805489.1800,1,49.775757,6.525839
