,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2015-01-23,sz.300418,24.3600000000,35.3700000000,24.3600000000,35.3700000000,111350,3435109.0000,1,0.159071,74.236453
1,2015-01-30,sz.300418,38.9100000000,56.9700000000,38.9100000000,56.9700000000,669094,33790772.0000,1,0.955849,61.068702
2,2015-02-06,sz.300418,62.6700000000,85.0000000000,62.6700000000,75.0700000000,19300872,1506280816.0000,1,27.572674,31.771108
3,2015-02-13,sz.300418,67.5600000000,69.4800000000,60.8000000000,67.4500000000,75525046,4864207046.0000,1,107.892923,-10.150526
4,2015-02-17,sz.300418,68.0100000000,73.8700000000,66.2300000000,70.1700000000,22944780,1617494520.0000,1,32.778257,4.032617
5,2015-02-27,sz.300418,69.2000000000,69.2600000000,63.4200000000,68.0400000000,25418305,1682134044.0000,1,36.311864,-3.035485
6,2015-03-06,sz.300418,68.0000000000,69.8600000000,62.9500000000,62.9900000000,35296302,2336101154.0000,1,50.423289,-7.422105
7,2015-03-13,sz.300418,62.2700000000,71.4800000000,61.5000000000,71.4800000000,40211490,2704752460.0000,1,57.444986,13.478330
8,2015-03-20,sz.300418,75.1100000000,84.6600000000,72.4100000000,80.7000000000,57033634,4394104190.0000,1,81.476620,12.898713
9,2015-03-27,sz.300418,80.5800000000,88.2900000000,75.6100000000,79.7100000000,47574843,3872907838.0000,1,67.964061,-1.226766
10,2015-04-03,sz.300418,78.9900000000,90.0000000000,75.5100000000,88.4900000000,32655397,2690397694.0000,1,46.650567,11.014929
11,2015-04-10,sz.300418,93.1000000000,123.7500000000,93.1000000000,123.7500000000,42695680,4561078020.0000,1,60.993829,39.846310
12,2015-04-17,sz.300418,129.0000000000,149.5000000000,123.6000000000,125.9800000000,39064594,5298726460.0000,1,55.806563,1.802020
13,2015-04-24,sz.300418,125.1800000000,144.7800000000,116.6500000000,130.1000000000,31672318,4173619780.0000,1,45.246169,3.270360
14,2015-04-30,sz.300418,130.5500000000,151.6800000000,118.5000000000,151.6800000000,18073778,2395762940.0000,1,25.819683,16.587241
15,2015-05-08,sz.300418,160.0000000000,160.0000000000,148.0000000000,155.9100000000,8043115,1245131390.0000,1,11.490164,2.788766
16,2015-05-15,sz.300418,155.9100000000,155.9100000000,155.9100000000,155.9100000000,0,0.0000,1,0.000000,0.000000
17,2015-05-22,sz.300418,155.9100000000,155.9100000000,155.9100000000,155.9100000000,0,0.0000,1,0.000000,0.000000
18,2015-05-29,sz.300418,155.9100000000,155.9100000000,155.9100000000,155.9100000000,0,0.0000,1,0.000000,0.000000
19,2015-06-05,sz.300418,155.9100000000,155.9100000000,155.9100000000,155.9100000000,0,0.0000,1,0.000000,0.000000
20,2015-06-12,sz.300418,155.9100000000,155.9100000000,155.9100000000,155.9100000000,0,0.0000,1,0.000000,0.000000
21,2015-06-19,sz.300418,155.9100000000,155.9100000000,155.9100000000,155.9100000000,0,0.0000,1,0.000000,0.000000
22,2015-06-26,sz.300418,155.9100000000,155.9100000000,155.9100000000,155.9100000000,0,0.0000,1,0.000000,0.000000
23,2015-07-03,sz.300418,155.9100000000,155.9100000000,155.9100000000,155.9100000000,0,0.0000,1,0.000000,0.000000
24,2015-07-10,sz.300418,155.9100000000,155.9100000000,155.9100000000,155.9100000000,0,0.0000,1,0.000000,0.000000
25,2015-07-17,sz.300418,155.9100000000,155.9100000000,155.9099899600,155.9099899600,0,0.0000,1,0.000000,0.000000
26,2015-07-24,sz.300418,155.9099899600,155.9099899600,155.9099899600,155.9099899600,0,0.0000,1,0.000000,0.000000
27,2015-07-31,sz.300418,155.9099899600,155.9099899600,155.9099899600,155.9099899600,0,0.0000,1,0.000000,0.000000
28,2015-08-07,sz.300418,155.9099899600,155.9099899600,126.2824844800,129.6779288200,32108965,4114651574.0000,1,45.869950,-16.825132
29,2015-08-14,sz.300418,125.1807178800,149.4396152000,117.7688334800,128.7063710000,81548035,10870433660.0000,1,116.497193,-0.749208
30,2015-08-21,sz.300418,126.2023560000,127.2039620000,95.9338226800,110.2768206000,66911626,7507520130.0000,1,95.588037,-14.319066
31,2015-08-28,sz.300418,101.8733462600,105.1185497000,78.1252680000,90.0443794000,54654069,4813827570.0000,1,78.077241,-18.346957
32,2015-09-02,sz.300418,87.1397220000,88.3817134400,65.9156908600,67.0074414000,24875695,1891841100.0000,1,35.536707,-25.583982
33,2015-09-11,sz.300418,70.0222754600,84.1148718800,69.0106534000,82.4321738000,41437488,3198092584.0000,1,59.196411,23.019432
34,2015-09-18,sz.300418,83.0431534600,88.1413280000,68.9705891600,85.7374736000,43344348,3437686660.0000,1,61.920497,4.009721
35,2015-09-25,sz.300418,83.6341010000,107.7527734800,83.1433140600,92.8288440800,50755092,4876510330.0000,1,72.507274,8.271028
36,2015-09-30,sz.300418,94.0007231000,106.0199951000,91.9474308000,100.0604394000,25766385,2571030210.0000,1,36.809121,7.790246
37,2015-10-09,sz.300418,103.6662210000,107.6726450000,101.7631696000,105.5492402800,12783063,1340099010.0000,1,18.261519,5.485485
38,2015-10-16,sz.300418,106.8312959600,124.9002682000,105.6594169400,122.1959320000,37164415,4315409660.0000,1,53.092021,15.771494
39,2015-10-23,sz.300418,122.1959320000,129.1070134000,114.6939030600,125.2007500000,41345594,4999249920.0000,1,59.065134,2.459016
40,2015-10-30,sz.300418,123.9988228000,145.8138014800,114.3633730800,141.8774899000,37627581,4874508170.0000,1,53.753687,13.320000
41,2015-11-06,sz.300418,137.2200220000,150.6114942200,131.7212050600,137.1699417000,51356975,7203522120.0000,1,73.367107,-3.318037
42,2015-11-13,sz.300418,135.4071151400,178.0741641000,129.0869812800,147.4910074400,260706772,13644115450.0000,1,125.874974,7.524292
43,2015-11-20,sz.300418,139.9828031700,207.9890512700,139.9828031700,207.9890512700,279552196,12545738750.0000,1,101.761443,41.018124
44,2015-11-27,sz.300418,218.3668833500,253.0775868600,187.2726970800,214.0427866500,337041943,18763254780.0000,1,122.688625,2.910603
45,2015-12-04,sz.300418,220.2537619100,242.0707952600,198.5153485000,202.4463455000,274211986,15222336670.0000,1,99.817522,-5.417815
46,2015-12-11,sz.300418,202.0532458000,210.2297195600,183.8920396600,184.7568590000,179272702,8973941750.0000,1,65.258113,-8.737864
47,2015-12-18,sz.300418,182.0051611000,203.9401243600,176.9341749700,189.7885351600,158257447,7782600320.0000,1,57.608226,2.723404
48,2015-12-25,sz.300418,185.9361581000,186.7223575000,172.1776686000,178.3493338900,99886016,4603794380.0000,1,36.360098,-6.027341
