,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2017-01-20,sz.300595,28.5700000000,45.6400000000,28.5700000000,45.6400000000,18016,693992.0000,1,0.105976,91.684166
1,2017-01-26,sz.300595,50.2000000000,66.8100000000,50.2000000000,66.8100000000,105900,6529316.0000,1,0.622941,46.384750
2,2017-02-03,sz.300595,73.4900000000,73.4900000000,73.4900000000,73.4900000000,55780,4099272.0000,1,0.328118,9.998503
3,2017-02-10,sz.300595,80.8400000000,111.0000000000,80.8400000000,105.0000000000,20794151,2093543634.0000,1,122.318535,42.876582
4,2017-02-17,sz.300595,107.1500000000,115.0000000000,95.9900000000,97.6500000000,18797240,1981910532.0000,1,110.572000,-7.000000
5,2017-02-24,sz.300595,97.2400000000,109.7700000000,90.8000000000,106.3200000000,13778054,1412425344.0000,1,81.047376,8.878648
6,2017-03-03,sz.300595,105.1900000000,121.4000000000,103.6600000000,121.2000000000,15024867,1688663808.0000,1,88.381571,13.995485
7,2017-03-10,sz.300595,121.5000000000,126.3000000000,115.0600000000,117.0000000000,14642163,1753776720.0000,1,86.130371,-3.465347
8,2017-03-17,sz.300595,115.1800000000,122.4800000000,115.1800000000,117.7800000000,11336521,1356864400.0000,1,66.685418,0.666667
9,2017-03-24,sz.300595,117.7600000000,127.9800000000,116.2200000000,119.7800000000,10799280,1314008960.0000,1,63.525176,1.698081
10,2017-03-31,sz.300595,119.5000000000,121.7000000000,99.2400000000,101.4100000000,8935085,991296088.0000,1,52.559324,-15.336450
11,2017-04-07,sz.300595,101.0000000000,107.1900000000,99.6500000000,101.7100000000,3075661,320369008.0000,1,18.092124,0.295829
12,2017-04-14,sz.300595,100.0500000000,103.8800000000,96.1600000000,101.9000000000,4148850,415077648.0000,1,24.405000,0.186806
13,2017-04-21,sz.300595,97.5500000000,100.6500000000,92.8100000000,92.8300000000,3070350,296497008.0000,1,18.060882,-8.900883
14,2017-04-28,sz.300595,92.3600000000,106.8700000000,90.0200000000,103.8500000000,4071387,406737653.0000,1,23.949335,11.871162
15,2017-05-05,sz.300595,103.5600000000,106.6600000000,101.1100000000,103.8000000000,2575129,266607782.0000,1,15.147818,-0.048146
16,2017-05-12,sz.300595,103.0000000000,106.3100000000,100.3500000000,104.3600000000,3322792,345260148.0000,1,19.545835,0.539499
17,2017-05-19,sz.300595,104.8000000000,114.7500000000,104.1000000000,107.6000000000,4337242,476330325.0000,1,25.513188,3.104638
18,2017-05-26,sz.300595,107.5800000000,108.9800000000,92.4412648200,100.4788503700,5379351,334194596.0000,1,19.849761,-6.618180
19,2017-06-02,sz.300595,103.6577606100,106.1141912500,95.7646709800,101.7070656900,3271681,181814186.0000,1,10.691768,1.222362
20,2017-06-09,sz.300595,102.9352810100,110.1600770100,102.2308634000,109.9613951200,6778934,401009883.0000,1,22.153379,8.115788
21,2017-06-16,sz.300595,108.3719400000,114.2962727200,106.8727948300,108.3719400000,5414147,331175787.0000,1,17.693291,-1.445466
22,2017-06-23,sz.300595,108.3719400000,109.4737213900,100.9304001200,104.7595420000,4227023,248476066.0000,1,13.813801,-3.333333
23,2017-06-30,sz.300595,104.7595420000,113.9350329200,103.6758226000,113.0680574000,4801433,289844063.0000,1,15.690958,7.931034
24,2017-07-07,sz.300595,112.8874375000,115.8134798800,109.6362793000,112.4539497400,5196638,324076027.0000,1,16.982477,-0.543131
25,2017-07-14,sz.300595,111.0631765100,111.2257344200,96.0536628200,96.0536628200,6104101,347936566.0000,1,19.948042,-14.584003
26,2017-07-21,sz.300595,88.5037510000,90.1293301000,79.4908179900,80.0146157000,9456833,445400130.0000,1,30.904683,-16.698007
27,2017-07-28,sz.300595,79.4727560000,85.6499565800,76.3660937200,83.5186417600,5032770,227233223.0000,1,16.446961,4.379233
28,2017-08-04,sz.300595,82.7239142000,83.7715096200,76.9802013800,77.7568669500,7431620,326135621.0000,1,24.286340,-6.898789
29,2017-08-11,sz.300595,78.1722927200,80.7009713200,76.5828376000,76.7815194900,3723930,161885510.0000,1,12.169706,-1.254355
30,2017-08-18,sz.300595,77.0343873500,86.4446841400,77.0343873500,84.8732910100,6797105,312701408.0000,1,22.212761,10.538697
31,2017-08-25,sz.300595,84.7107331000,88.3953790600,83.6811996700,86.5169321000,4278902,204775532.0000,1,13.983340,1.936582
32,2017-09-01,sz.300595,87.6006515000,93.3082403400,87.6006515000,92.0077770600,5247084,264270656.0000,1,17.147333,6.346555
33,2017-09-08,sz.300595,91.2130495000,95.5118031200,90.4363839300,91.2852974600,3812424,195262252.0000,1,12.458902,-0.785238
34,2017-09-15,sz.300595,90.7614997500,98.0766057000,90.6711898000,93.3804883000,4165923,218550888.7000,1,13.614127,2.295212
35,2017-09-22,sz.300595,93.0192485000,98.9255192300,93.0192485000,96.9387003300,2710878,143804931.4300,1,8.859078,3.810445
36,2017-09-29,sz.300595,96.2704067000,99.1061391300,93.0192485000,95.1866873000,2228747,117667606.9000,1,7.283487,-1.807341
37,2017-10-13,sz.300595,96.9748243100,107.7939563200,95.2950592400,107.4688405000,6788431,388757904.0900,1,22.184415,12.903226
38,2017-10-20,sz.300595,107.5591504500,107.5591504500,100.8581521600,106.4934930400,4146508,240169128.5400,1,13.550680,-0.907563
39,2017-10-27,sz.300595,106.4934930400,109.8891471600,104.9401619000,106.9811667700,2883500,170998690.3400,1,9.423203,0.457938
40,2017-11-03,sz.300595,107.6494604000,109.8710851700,102.5921032000,103.8745044900,3118210,183153793.5500,1,10.190229,-2.903934
41,2017-11-10,sz.300595,105.7710134400,109.7627132300,99.7924947500,104.2176823000,4294784,249002151.9200,1,14.035242,0.330377
42,2017-11-17,sz.300595,104.3802402100,111.7314701400,96.7580804300,98.0766057000,5316080,312274983.7700,1,17.372810,-5.892548
43,2017-11-24,sz.300595,98.4559074900,103.2242728500,94.6087036200,97.6250559500,2854923,156975006.8100,1,9.329814,-0.460405
44,2017-12-01,sz.300595,97.6250559500,99.7021848000,95.1866873000,96.9025763500,2107614,113152300.2000,1,6.887627,-0.740056
45,2017-12-08,sz.300595,96.0897868000,97.2276921700,86.7336759800,92.4773888000,4291575,216041535.8600,1,14.024755,-4.566636
46,2017-12-15,sz.300595,92.2967689000,94.3738977500,90.9782436300,92.4051408400,1398256,71902315.1800,1,4.569464,-0.078125
47,2017-12-22,sz.300595,92.5315747700,96.5413365500,89.5332844300,92.7483186500,1970358,101221708.3300,1,6.439078,0.371384
48,2017-12-29,sz.300595,91.3936694000,93.5611082000,89.5874704000,91.4839793500,1099882,55655903.9900,1,3.594386,-1.363194
49,2018-01-05,sz.300595,91.6645992500,93.6875421300,86.6975520000,87.0768537900,2152231,107496588.8500,1,7.033435,-4.817374
50,2018-01-12,sz.300595,86.7878619500,90.1473920900,83.5367037500,87.3658456300,2915653,139665105.9800,1,9.528278,0.331881
51,2018-01-19,sz.300595,87.2394117000,100.2440445000,86.2460022500,95.8188569500,4383509,226918481.3900,1,8.214218,9.675419
52,2018-01-26,sz.300595,96.4149026200,100.2440445000,88.5398749800,90.8518097000,4919602,255365738.5100,1,6.472974,-5.183789
53,2018-02-02,sz.300595,90.6531278100,91.2130495000,86.6975520000,87.5103415500,2725498,134066986.8100,1,3.586078,-3.677932
54,2018-02-09,sz.300595,86.8781719000,88.5037510000,81.5679468400,87.3477836400,2616966,123010084.0000,1,3.443277,-0.185759
55,2018-02-14,sz.300595,87.3477836400,89.7680903000,87.2394117000,87.6909614500,945562,46219967.7400,1,1.244125,0.392887
56,2018-02-23,sz.300595,89.4068505000,89.8764622400,86.9684818500,88.5037510000,693720,33984960.6000,1,0.912763,0.926880
57,2018-03-02,sz.300595,88.6843709000,99.3409450000,88.6843709000,96.3245926700,4234948,220702883.3200,1,5.572139,8.836735
58,2018-03-09,sz.300595,96.2162207300,102.9894669800,93.6152941700,102.6282271800,4312100,232265783.3700,1,5.673652,6.544159
59,2018-03-16,sz.300595,102.4114833000,106.2045012000,99.6118748500,102.8269090700,3719670,213127876.1400,1,4.894162,0.193594
60,2018-03-23,sz.300595,103.4590787200,108.0107002000,97.7153659000,101.6528797200,3689840,212435280.0900,1,4.854913,-1.141753
61,2018-03-30,sz.300595,100.7859042000,110.6838747200,97.8959858000,110.5213168100,5363346,318656607.1000,1,7.056831,8.724236
62,2018-04-04,sz.300595,111.9843380000,113.8989089400,107.6494604000,108.6609318400,3536451,215763617.4700,1,4.653091,-1.683282
63,2018-04-13,sz.300595,108.0107002000,125.5308305000,106.5657410000,121.0875809600,7274046,474594624.1600,1,9.570837,11.436170
64,2018-04-20,sz.300595,121.6475026500,127.5176494000,113.7905370000,115.6870459500,6815068,457889494.0500,1,8.966936,-4.460024
65,2018-04-27,sz.300595,115.1993722200,128.2040050200,114.1517768000,123.8149414500,5855592,396650046.1600,1,7.704504,7.025761
66,2018-05-04,sz.300595,124.6277310000,129.1793524800,119.8051796700,121.9545564800,3094171,211810953.2600,1,4.071160,-1.502553
67,2018-05-11,sz.300595,123.0563378700,130.4436917800,121.0333949900,122.7492840400,5743061,401218013.2800,1,7.556441,0.651659
68,2018-05-18,sz.300595,121.3585108100,130.2450098900,117.5474309200,123.7246315000,4992215,342859310.1600,1,6.568515,0.794585
69,2018-05-25,sz.300595,123.9052514000,139.6372446900,123.9052514000,134.2670193800,6399820,389254474.3500,1,6.953570,8.520849
70,2018-06-01,sz.300595,133.6801310000,139.0599411500,121.0620308300,126.0179771500,11122946,442364452.0700,1,8.130574,-6.143759
71,2018-06-08,sz.300595,125.9201624200,137.1362514600,121.5511044800,132.5715640600,9887544,392270259.6700,1,7.227529,5.200517
72,2018-06-15,sz.300595,132.7019837000,136.2233139800,122.6270665100,127.1591490000,7109894,283748993.4300,1,5.197141,-4.082636
73,2018-06-22,sz.300595,124.6159660200,134.1365997400,117.4754907300,132.1803051400,6500337,255567504.4400,1,4.751571,3.948718
74,2018-06-29,sz.300595,133.5171064500,146.3634409900,132.1803051400,146.1352066200,10270378,440333707.1100,1,7.507370,10.557474
75,2018-07-06,sz.300595,143.8854678300,150.3086351000,130.5826645500,133.6475260900,10757569,466317982.0100,1,7.863493,-8.545292
76,2018-07-13,sz.300595,133.4518966300,151.5802265900,133.4518966300,150.3738449200,11124466,490007165.8600,1,8.131685,12.515248
77,2018-07-20,sz.300595,149.9825860000,151.5802265900,126.5722606200,130.3544301800,18902625,785889136.1500,1,13.817310,-13.313096
78,2018-07-27,sz.300595,127.1591490000,133.0932426200,119.7252295200,128.6915797700,10707533,416381400.8100,1,7.826918,-1.275638
79,2018-08-03,sz.300595,127.8112472000,128.4307404900,109.1938435900,109.2590534100,9772294,352553034.9700,1,7.143284,-15.100076
80,2018-08-10,sz.300595,111.4109774700,118.8448969500,107.1397342600,115.9104550500,9397760,325447767.9400,1,6.869510,6.087735
81,2018-08-17,sz.300595,114.7692832000,118.6492674900,103.2271450600,103.6836138000,7426400,253905263.1300,1,5.428499,-10.548523
82,2018-08-24,sz.300595,105.7703280400,117.8667496500,98.2385938300,117.7363300100,12436317,420558901.5600,1,9.090613,13.553459
83,2018-08-31,sz.300595,116.7581827100,125.8223476900,116.1386894200,120.8011915500,10389810,387078263.2900,1,7.594672,2.603157
84,2018-09-07,sz.300595,120.6381670000,123.8660530900,112.9108033300,118.9753165900,9152360,333590845.4400,1,6.690129,-1.511471
85,2018-09-14,sz.300595,118.9753165900,120.5077473600,109.4872877800,111.7044216600,7775838,275727573.9500,1,5.683928,-6.111263
86,2018-09-21,sz.300595,111.4435823800,116.3343188800,107.9222521000,112.5195444100,8416620,288770677.9200,1,6.152323,0.729714
87,2018-09-28,sz.300595,110.2045958000,118.9101067700,103.2597499700,115.9104550500,13672873,468526111.8400,1,9.994502,3.013619
88,2018-10-12,sz.300595,113.4324818900,115.4865912200,96.7387679700,109.2264485000,13278848,429631680.1200,1,9.706481,-5.766526
89,2018-10-19,sz.300595,111.7044216600,114.1171850000,103.0315156000,114.0845800900,12819867,428778085.0200,1,9.370978,4.447761
90,2018-10-26,sz.300595,118.1927987500,129.3110730600,116.8886023500,124.4855463800,13732375,513433505.4600,1,10.037997,9.116891
91,2018-11-02,sz.300595,123.5073990800,131.8868609500,119.4969951500,130.0935909000,11651868,453162758.6300,1,8.517202,4.504976
92,2018-11-09,sz.300595,130.2566154500,136.2233139800,126.0831869700,128.2351110300,7969625,320980745.7500,1,5.825581,-1.428571
93,2018-11-16,sz.300595,129.3110730600,137.6579300200,129.3110730600,133.4192917200,8075404,333557803.2200,1,5.902903,4.042715
94,2018-11-23,sz.300595,133.4518966300,136.2885238000,127.8112472000,133.7127359100,7904696,320280510.5900,1,5.778120,0.219941
95,2018-11-30,sz.300595,130.3544301800,131.4303922100,123.1813499800,124.5507562000,9990557,389901220.6900,1,7.302828,-6.851987
96,2018-12-07,sz.300595,127.8112472000,136.7775974500,124.8768053000,131.3977873000,15089350,603471811.5500,1,10.995416,5.497382
97,2018-12-14,sz.300595,130.7456891000,135.5712157800,125.6593231400,129.8001467100,10429959,418699019.6500,1,7.567793,-1.215881
98,2018-12-21,sz.300595,128.7893945000,128.7893945000,114.2802095500,117.3776760000,9201127,340803412.6600,1,6.676174,-9.570460
99,2018-12-28,sz.300595,117.5080956400,127.0939391800,115.7800354100,126.3114213400,7957851,297917894.9800,1,5.774075,7.611111
100,2019-01-04,sz.300595,126.3114213400,132.6367738800,121.7141290300,130.0935909000,4325375,167518128.0400,1,3.138415,2.994321
101,2019-01-11,sz.300595,131.5282069400,135.3103765000,128.7893945000,131.0391332900,6814433,275510457.5400,1,4.944431,0.726817
102,2019-01-18,sz.300595,132.5389591500,132.5389591500,120.4099326300,122.3336223200,12155729,462024700.3800,1,8.819981,-6.643444
103,2019-01-25,sz.300595,122.4314370500,126.5070508000,119.9860688000,125.1702494900,8228383,310861482.7500,1,5.970368,2.318763
104,2019-02-01,sz.300595,125.0398298500,127.7460373800,117.7363300100,126.5070508000,10203417,384073859.4900,1,7.403418,1.067986
105,2019-02-15,sz.300595,127.8112472000,135.1473519500,125.5289035000,131.2347627500,10048611,405127491.5400,1,7.291093,3.737113
106,2019-02-22,sz.300595,130.4848498200,140.1685080900,129.3110730600,133.0606377100,15388540,631499896.3600,1,11.165651,1.391304
107,2019-03-01,sz.300595,132.8650082500,159.6010344500,131.5608118500,155.0363470500,21673938,981623580.8900,1,15.726224,16.515560
108,2019-03-08,sz.300595,157.5469251200,164.6547955000,149.5913270800,155.6558403400,17197909,830751259.8400,1,12.478497,0.399579
109,2019-03-15,sz.300595,158.7207018800,172.8060230000,156.2427287200,167.9478914100,16911097,864212112.5700,1,12.270391,7.896942
110,2019-03-22,sz.300595,167.6544472200,179.1965853600,165.7959673500,169.5129270900,14355845,753290317.4300,1,10.416346,0.931858
111,2019-03-29,sz.300595,167.8174717700,193.3471163000,167.5892374000,189.9888105700,14136383,774638764.8200,1,10.257108,12.079246
112,2019-04-04,sz.300595,189.9888105700,201.4983438000,177.8923889600,185.4893329900,15151554,875633678.0900,1,10.993698,-2.368286
113,2019-04-12,sz.300595,183.5982482100,186.8913441200,168.5021748800,173.1646770100,18385084,1007605385.4500,1,13.339890,-6.644401
114,2019-04-19,sz.300595,174.1428243100,180.5985964900,168.5021748800,175.9034894500,10822324,579406262.6000,1,7.852486,1.581623
115,2019-04-26,sz.300595,175.9034894500,195.5642501800,172.4473689900,188.5541945300,11776545,663780248.1600,1,8.544852,7.191844
116,2019-04-30,sz.300595,188.5541945300,196.9336564000,185.8153820900,188.4889847100,4266537,250402692.9700,1,3.095723,-0.034584
117,2019-05-10,sz.300595,179.3270050000,189.0106632700,166.8719293800,185.1632838900,14237463,778135693.5000,1,10.330450,-1.764401
118,2019-05-17,sz.300595,182.9135451000,196.1837434700,182.0006076200,188.0456407600,14911819,751614871.1900,1,9.311165,1.556674
119,2019-05-24,sz.300595,186.8100467500,192.9880168000,179.5729961200,183.6916428200,19045240,602876239.7200,1,7.676708,-2.315394
120,2019-05-31,sz.300595,183.3386159600,211.7572781900,183.0444269100,206.5207131000,21244269,724372357.5100,1,8.563088,12.427931
121,2019-06-06,sz.300595,207.4032802500,209.9921438900,197.3420147400,199.1659868500,16355527,565844924.7200,1,6.592546,-3.561254
122,2019-06-14,sz.300595,199.9308783800,228.1730271800,195.1061779600,219.8768959700,16699046,608628428.7500,1,6.731010,10.398818
123,2019-06-21,sz.300595,220.6417875000,232.6447007400,213.1693856300,225.1722988700,17824580,676396907.4700,1,7.184688,2.408349
124,2019-06-28,sz.300595,224.1720561000,234.5275106600,209.4626036000,209.4626036000,28460598,1066238691.0900,1,11.471828,-6.976744
125,2019-07-05,sz.300595,207.4032802500,227.3492978400,197.9303928400,211.2277379000,40803706,1469340463.3600,1,16.447057,0.842697
126,2019-07-12,sz.300595,214.9345199300,214.9345199300,195.0473401500,208.8153876900,27796534,956291134.1500,1,11.204159,-1.142061
127,2019-07-19,sz.300595,209.4626036000,212.9340343900,200.6957699100,206.0500106200,13919149,489108150.4500,1,5.610496,-1.324317
128,2019-07-26,sz.300595,206.0500106200,220.9948143600,200.5192564800,219.4650313000,13720092,489559768.5700,1,5.530200,6.510565
129,2019-08-02,sz.300595,214.7580065000,219.8180581600,210.1098195100,217.3468701400,11858667,434693470.8100,1,4.780000,-0.965147
130,2019-08-09,sz.300595,215.0521955500,229.2909455700,207.1090912000,222.7011108500,16007840,594011133.3700,1,6.452500,2.463454
131,2019-08-16,sz.300595,224.1132182900,241.8233991000,223.0541377100,241.1173453800,14602556,582421643.0900,1,5.886000,8.269485
132,2019-08-23,sz.300595,243.0589931100,246.2362348500,227.4669734600,237.1752121100,24880188,998112456.6700,1,10.028700,-1.634944
133,2019-08-30,sz.300595,235.4100778100,256.8270406500,233.7037813200,249.6488278300,20189038,845344260.0100,1,8.138200,5.259241
134,2019-09-06,sz.300595,250.1783681200,269.4183319900,249.7076656400,258.8863640000,16960244,751301125.1200,1,6.836700,3.700212
135,2019-09-12,sz.300595,261.0633629700,277.7144632000,258.0626346600,264.6524693800,14271450,647841316.4100,1,5.752900,2.227273
136,2019-09-20,sz.300595,265.2996852900,281.1858939900,257.5919321800,279.4207596900,19711367,894610834.3900,1,7.945700,5.580258
137,2019-09-27,sz.300595,279.4207596900,287.4815396600,274.0076811700,283.8924332500,13033707,621334268.7600,1,5.253800,1.600337
138,2019-09-30,sz.300595,283.0098661000,298.1311832700,281.3035696100,292.3650778900,4100252,203158849.1600,1,1.652800,2.984500
139,2019-10-11,sz.300595,292.7181047500,308.1336109700,289.0113227200,305.3093960900,10863387,549482808.6600,1,4.379000,4.427450
140,2019-10-18,sz.300595,306.4861522900,313.7232029200,297.1897783100,307.0156925800,16085706,833082264.3100,1,6.484200,0.558875
