,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2017-03-31,sz.300630,13.7900000000,22.0300000000,13.7900000000,22.0300000000,18802,359285.0000,1,0.061587,91.731941
1,2017-04-07,sz.300630,24.2300000000,29.3200000000,24.2300000000,29.3200000000,16676,448991.0000,1,0.054623,33.091239
2,2017-04-14,sz.300630,32.2500000000,45.6300000000,32.2500000000,42.2700000000,16486158,720654239.0000,1,54.000915,44.167804
3,2017-04-21,sz.300630,43.0800000000,43.9000000000,37.0500000000,39.7200000000,27043913,1080860432.0000,1,88.583164,-6.032647
4,2017-04-28,sz.300630,38.9000000000,42.8800000000,36.8800000000,40.9300000000,14966412,603221037.0000,1,49.022940,3.046324
5,2017-05-05,sz.300630,40.9400000000,41.3200000000,37.6000000000,37.6200000000,8251669,322288739.0000,1,27.028594,-8.086978
6,2017-05-12,sz.300630,37.0100000000,37.2500000000,32.8000000000,35.5000000000,9350724,328034319.0000,1,30.628583,-5.635300
7,2017-05-19,sz.300630,35.2700000000,38.0800000000,34.9000000000,35.0000000000,4561534,165004536.0000,1,14.941444,-1.408451
8,2017-05-26,sz.300630,35.0800000000,35.4700000000,33.0300000000,34.8700000000,4672483,159960276.0000,1,15.304861,-0.371429
9,2017-06-02,sz.300630,36.2000000000,37.0800000000,32.2100000000,33.7000000000,4817543,168238664.0000,1,15.780009,-3.355320
10,2017-06-09,sz.300630,34.0000000000,35.9000000000,33.3100000000,35.3100000000,3615701,125476261.0000,1,11.843339,4.777448
11,2017-06-16,sz.300630,35.0000000000,35.9000000000,33.5800000000,35.8800000000,4411471,153118157.0000,1,14.449908,1.614274
12,2017-06-23,sz.300630,35.5500000000,36.3300000000,33.1200000000,33.3000000000,3551504,123070428.0000,1,11.633060,-7.190635
13,2017-06-30,sz.300630,33.1800000000,36.2300000000,33.0800000000,36.1000000000,3803650,132758606.0000,1,12.458972,8.408408
14,2017-07-07,sz.300630,36.3800000000,38.0800000000,35.8100000000,37.7800000000,3193622,118817599.0000,1,10.460807,4.653740
15,2017-07-14,sz.300630,38.5000000000,38.5000000000,35.5900000000,36.3400000000,2951895,108054058.0000,1,9.669022,-3.811540
