,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2017-06-09,sz.300661,39.3600000000,57.1500000000,39.3600000000,57.1500000000,18900,945202.0000,1,0.126000,91.649899
1,2017-06-16,sz.300661,62.8700000000,78.8800000000,62.8700000000,70.9100000000,12963958,960840980.0000,1,86.426387,24.076990
2,2017-06-23,sz.300661,69.3500000000,71.5000000000,67.7100000000,70.3900000000,13400279,930189792.0000,1,89.335193,-0.733324
3,2017-06-30,sz.300661,69.8800000000,70.0000000000,65.0000000000,67.3800000000,9780199,657216626.0000,1,65.201327,-4.276176
4,2017-07-07,sz.300661,67.1100000000,70.2000000000,66.5000000000,69.1800000000,8808546,598700575.0000,1,58.723640,2.671416
5,2017-07-14,sz.300661,68.0000000000,68.0900000000,61.0100000000,61.4000000000,6430078,413624285.0000,1,42.867187,-11.246025
6,2017-07-21,sz.300661,60.2700000000,60.2700000000,54.0000000000,55.1400000000,5237408,294349146.0000,1,34.916053,-10.195440
7,2017-07-28,sz.300661,54.2600000000,58.2800000000,54.2600000000,56.6000000000,3994647,225153868.0000,1,26.630980,2.647806
8,2017-08-04,sz.300661,56.6000000000,58.9300000000,55.7700000000,55.8700000000,4273693,245215741.0000,1,28.491287,-1.289753
9,2017-08-11,sz.300661,55.6000000000,56.6500000000,52.5300000000,52.6000000000,3821406,207703067.0000,1,25.476040,-5.852873
10,2017-08-18,sz.300661,52.4000000000,56.1800000000,52.4000000000,55.3600000000,3647815,200227333.0000,1,24.318767,5.247148
11,2017-08-25,sz.300661,55.3800000000,59.7900000000,55.3000000000,59.1800000000,6872011,397365673.0000,1,45.813407,6.900289
12,2017-09-01,sz.300661,59.8400000000,65.0000000000,59.6900000000,63.1700000000,9361340,583320320.0000,1,62.408933,6.742143
13,2017-09-08,sz.300661,63.4800000000,73.3800000000,63.0300000000,66.2500000000,11065850,741617186.0000,1,73.772333,4.875732
14,2017-09-15,sz.300661,65.9500000000,68.5000000000,63.0100000000,63.8800000000,7873640,520793061.9600,1,52.490933,-3.577358
15,2017-09-22,sz.300661,63.3000000000,82.5300000000,63.3000000000,77.9900000000,17183824,1288850745.5700,1,114.558827,22.088291
16,2017-09-29,sz.300661,77.9900000000,78.8900000000,69.2400000000,73.9000000000,11766157,863809782.6400,1,78.441047,-5.244262
17,2017-10-13,sz.300661,75.2600000000,76.5700000000,70.0100000000,73.0000000000,7134157,525345417.8200,1,47.561047,-1.217862
18,2017-10-20,sz.300661,73.1000000000,78.7900000000,72.5100000000,78.6600000000,7361992,559153886.8800,1,49.079947,7.753425
19,2017-10-27,sz.300661,78.4000000000,82.5000000000,76.0100000000,79.5000000000,6716641,530258066.1500,1,44.777607,1.067887
20,2017-11-03,sz.300661,78.6200000000,92.1000000000,78.6200000000,89.3600000000,8439228,727710038.1600,1,56.261520,12.402516
21,2017-11-10,sz.300661,90.4800000000,97.3000000000,88.6300000000,92.8000000000,7974024,739623256.3300,1,53.491809,3.849597
22,2017-11-17,sz.300661,92.3400000000,101.9700000000,85.0000000000,85.5700000000,7790453,737862677.2600,1,52.260368,-7.790948
23,2017-11-24,sz.300661,86.8800000000,106.0000000000,86.0200000000,96.6800000000,11228357,1123814752.8500,1,75.322714,12.983522
24,2017-12-01,sz.300661,95.0400000000,105.6200000000,88.7800000000,102.0000000000,9764134,949365630.7800,1,65.500329,5.502689
25,2017-12-08,sz.300661,100.0000000000,100.4800000000,89.0000000000,92.5300000000,6954708,655465616.7500,1,46.653975,-9.284314
26,2017-12-15,sz.300661,92.6700000000,95.7800000000,89.0000000000,90.7000000000,5713154,526436091.0200,1,38.325310,-1.977737
27,2017-12-22,sz.300661,90.0100000000,93.4800000000,86.0900000000,91.0900000000,4084798,365565168.2500,1,27.401878,0.429989
28,2017-12-29,sz.300661,89.9900000000,95.8500000000,89.3400000000,94.2000000000,3612051,336464619.7700,1,24.230570,3.414206
29,2018-01-05,sz.300661,94.9900000000,95.4700000000,90.0000000000,91.0000000000,2749764,254513345.7800,1,18.446126,-3.397028
30,2018-01-12,sz.300661,90.1200000000,90.8200000000,79.8000000000,82.2700000000,3828152,323714235.3300,1,25.680231,-9.593407
31,2018-01-19,sz.300661,81.6000000000,85.3500000000,75.6200000000,83.2000000000,4102731,328276103.9600,1,27.522178,1.130424
32,2018-01-26,sz.300661,83.0500000000,85.7800000000,79.6900000000,82.2900000000,2437871,202093014.4700,1,16.353867,-1.093750
33,2018-02-02,sz.300661,82.2000000000,83.2800000000,75.5100000000,79.9500000000,1792046,142194003.3400,1,12.021507,-2.843602
34,2018-02-09,sz.300661,78.5300000000,81.5000000000,73.4400000000,79.1100000000,2007780,156216672.7000,1,13.468706,-1.050657
35,2018-02-14,sz.300661,81.9700000000,82.5800000000,78.1100000000,78.7100000000,769800,62050737.7400,1,5.164017,-0.505625
36,2018-02-23,sz.300661,80.4800000000,82.3400000000,78.8800000000,81.9600000000,564300,45803571.0000,1,3.785470,4.129081
37,2018-03-02,sz.300661,83.0000000000,90.8000000000,81.8100000000,85.8100000000,2631387,229635013.8700,1,17.652023,4.697413
38,2018-03-09,sz.300661,86.2800000000,96.1100000000,86.1000000000,94.9400000000,3276474,303166338.3100,1,21.979432,10.639786
39,2018-03-16,sz.300661,95.6300000000,103.4900000000,95.0000000000,95.5000000000,3147007,309661049.0600,1,21.110934,0.589846
40,2018-03-23,sz.300661,95.5000000000,111.0700000000,94.9900000000,102.0000000000,3441541,354810636.6800,1,23.086744,6.806283
41,2018-03-30,sz.300661,99.7900000000,119.5900000000,99.7900000000,118.5000000000,4675107,527978326.2700,1,31.361823,16.176471
42,2018-04-04,sz.300661,120.3000000000,135.9900000000,117.0000000000,125.9800000000,3857572,490344931.7800,1,25.877588,6.312236
43,2018-04-13,sz.300661,124.1700000000,128.0000000000,107.8000000000,112.5300000000,5144992,588580934.7200,1,34.513933,-10.676298
44,2018-04-20,sz.300661,112.5300000000,137.7700000000,108.5000000000,135.2700000000,7430341,924364614.0900,1,49.844643,20.207945
45,2018-04-27,sz.300661,132.5000000000,134.3000000000,118.0000000000,120.5600000000,5766586,731174997.9800,1,38.683746,-10.874547
46,2018-05-04,sz.300661,120.5500000000,125.4400000000,111.8000000000,121.8800000000,3181152,378649616.2000,1,21.339988,1.094891
47,2018-05-11,sz.300661,123.7800000000,126.2600000000,111.5600000000,112.6500000000,3796208,450324029.5000,1,25.465942,-7.573023
48,2018-05-18,sz.300661,110.3300000000,114.8000000000,107.8800000000,112.8200000000,3571927,396887730.3900,1,23.961407,0.150910
49,2018-05-25,sz.300661,111.8100000000,123.5800000000,111.5000000000,114.2000000000,3457975,406226620.9700,1,23.196988,1.223187
50,2018-06-01,sz.300661,113.4900000000,115.3400000000,101.2900000000,104.6400000000,2305806,250646928.7000,1,15.467941,-8.371278
51,2018-06-08,sz.300661,104.6400000000,108.6000000000,99.7000000000,107.5000000000,2167187,227874917.3900,1,12.528816,2.733180
52,2018-06-15,sz.300661,106.8700000000,116.8500000000,104.1100000000,114.8700000000,2303062,257906692.2800,1,7.112994,6.855814
53,2018-06-22,sz.300661,113.0500000000,117.9900000000,105.0000000000,106.3700000000,2661883,296461083.2400,1,8.221211,-7.399669
54,2018-06-29,sz.300661,106.3900000000,124.9500000000,102.0200000000,123.1500000000,2983958,340873843.1500,1,9.209325,15.775125
55,2018-07-06,sz.300661,125.0000000000,137.3000000000,118.3000000000,129.1700000000,5026895,638678744.8300,1,15.514397,4.888348
56,2018-07-13,sz.300661,129.9500000000,143.1005976800,125.2000000000,141.7956496800,3925662,421328142.1300,1,9.671200,9.774472
57,2018-07-20,sz.300661,143.5312305200,143.5442800000,129.1898520000,134.7619799600,3409847,357634319.4600,1,8.095182,-4.960427
58,2018-07-27,sz.300661,134.7619799600,155.1322182400,133.4570319600,152.1569368000,3424855,380631294.9500,1,8.130812,12.907911
59,2018-08-03,sz.300661,152.2091347200,155.8760386000,137.2805296000,141.1431756800,2855458,313935071.5800,1,6.779029,-7.238422
60,2018-08-10,sz.300661,139.6294360000,155.2888120000,138.3244880000,151.3870174800,3109634,350865871.0100,1,7.382458,7.257766
61,2018-08-17,sz.300661,149.5209418400,152.1047388800,134.4096440000,135.1665138400,1938476,213872830.5700,1,4.602059,-10.714594
62,2018-08-24,sz.300661,135.7015425200,139.2118526400,133.3134876800,137.1500348000,1869622,195082608.8000,1,4.438595,1.467465
63,2018-08-31,sz.300661,137.1500348000,141.9391939600,127.7022112800,129.6857322400,2741435,287160054.0700,1,6.508332,-5.442436
64,2018-09-07,sz.300661,129.0202087600,134.4096440000,122.9522005600,125.0140184000,1876306,185686069.4800,1,4.454463,-3.602334
65,2018-09-14,sz.300661,124.0222579200,126.5408075600,110.9205800000,114.0263562400,2303970,209472115.6400,1,5.469763,-8.789144
66,2018-09-21,sz.300661,114.1046531200,126.0579768000,109.1849991600,124.8835236000,2949570,265960287.8200,1,7.002457,9.521630
67,2018-09-28,sz.300661,123.7090704000,127.7935576400,117.4322705200,123.7090704000,1512284,142345350.6100,1,3.590253,-0.940439
68,2018-10-12,sz.300661,121.3601640000,121.3601640000,102.9995456400,111.8209941200,3091518,263615373.0400,1,7.339450,-9.609705
69,2018-10-19,sz.300661,112.0428352800,112.0428352800,84.8477189600,93.9562560000,5941851,427160532.3100,1,14.106312,-15.976193
70,2018-10-26,sz.300661,96.8532405600,101.6293502400,82.8902969600,86.1265680000,5732447,399054436.2400,1,13.609174,-8.333333
71,2018-11-02,sz.300661,87.4445654800,101.6032512800,83.2295834400,101.6032512800,4713091,332584930.3400,1,11.189162,17.969697
72,2018-11-09,sz.300661,101.6032512800,103.8347123600,96.5792014800,98.6540688000,2465531,189388975.4800,1,5.841673,-2.902646
73,2018-11-16,sz.300661,97.0359332800,113.9741583200,97.0359332800,113.5304760000,2749105,222869145.5100,1,6.484126,15.079365
74,2018-11-23,sz.300661,112.2646764400,112.7736061600,100.2200064000,100.8202824800,2453783,197235565.9800,1,5.787570,-11.195402
75,2018-11-30,sz.300661,98.6671182800,106.8752412000,98.1059906400,102.0860820400,1761336,138205860.5300,1,4.154343,1.255501
76,2018-12-07,sz.300661,104.4871863600,109.3546424000,101.9294882800,104.3958400000,2480176,201137488.6800,1,5.849821,2.262559
77,2018-12-14,sz.300661,103.2213868000,106.0792229200,95.2742534800,95.5613420400,2059722,158532928.7300,1,4.858125,-8.462500
78,2018-12-21,sz.300661,93.6561179600,95.1959566000,86.6224482400,88.8017114000,3174926,218056952.8400,1,7.488480,-7.073604
79,2018-12-28,sz.300661,88.8017114000,92.5077637200,87.1705264000,89.5194328000,1824261,126214657.8400,1,4.302759,0.808229
80,2019-01-04,sz.300661,88.7625629600,91.6856464800,85.5393414000,90.7069354800,1189098,80572648.6100,1,2.804644,1.326531
81,2019-01-11,sz.300661,91.3202610400,97.0750817200,91.3202610400,94.3477404000,1999602,144296284.5800,1,4.716324,4.013811
82,2019-01-18,sz.300661,93.3037820000,95.7831832000,87.1705264000,94.0867508000,3569296,249731450.7700,1,8.418654,-0.276625
83,2019-01-25,sz.300661,94.2172456000,102.9342982400,91.0853704000,99.4370376000,3933047,292699408.5000,1,9.256438,5.686546
84,2019-02-01,sz.300661,100.4809960000,103.9521576800,92.6252090400,102.9342982400,2530394,188425181.1200,1,5.948141,3.517060
85,2019-02-15,sz.300661,103.2213868000,108.3106840000,101.5249544000,103.4171290000,2802711,224753729.0500,1,6.588270,0.469067
86,2019-02-22,sz.300661,104.3958400000,108.8587621600,102.2687747600,106.7316969200,3336002,270439374.1200,1,7.841866,3.205047
87,2019-03-01,sz.300661,108.3106840000,126.1493231600,108.3106840000,115.4617990400,5385738,485157216.1800,1,12.660135,8.179484
88,2019-03-08,sz.300661,115.8793824000,144.9797228000,115.8793824000,138.3244880000,6611525,669562995.9600,1,15.541565,19.801085
89,2019-03-15,sz.300661,138.3244880000,144.8100795600,121.8299452800,123.8134662400,4753282,486984521.9400,1,11.173434,-10.490566
90,2019-03-22,sz.300661,124.1266537600,127.6630628400,120.2118097600,122.7956068000,4801816,455025913.4200,1,11.287522,-0.822091
91,2019-03-29,sz.300661,119.5332368000,123.7090704000,112.9562988800,121.7516484000,4595351,417918237.2800,1,10.802189,-0.850159
92,2019-04-04,sz.300661,122.4041224000,125.6403934400,112.8258040800,117.7585075200,4464691,407376491.2900,1,10.495050,-3.279743
93,2019-04-12,sz.300661,117.7585075200,121.3471145200,109.0675538400,110.8031346800,3438290,299934106.7500,1,8.082312,-5.906472
94,2019-04-19,sz.300661,111.8340436000,115.3574032000,107.5016162400,114.6396818000,2653396,227904413.5700,1,6.237279,3.462490
95,2019-04-26,sz.300661,115.7358381200,125.5881955200,113.8697624800,122.4041224000,3600002,334036048.3500,1,8.462445,6.772908
96,2019-04-30,sz.300661,122.5346172000,123.3045365200,114.2612468800,117.2495778000,979002,88438599.1500,1,2.301318,-4.211087
97,2019-05-10,sz.300661,112.7866556400,124.6225340000,105.5311447600,121.3993124400,2760682,242637778.3800,1,6.489474,3.539232
98,2019-05-17,sz.300661,122.0126380000,125.9274820000,117.3148252000,120.0552160000,2107425,195341039.7800,1,4.953877,-1.107170
99,2019-05-24,sz.300661,122.6129140800,132.1912324000,120.1987602800,125.2880574800,4878326,473220878.3100,1,11.467373,4.358696
100,2019-05-31,sz.300661,124.2310496000,136.1191258800,124.2310496000,129.1115551200,3591534,360056304.7100,1,8.442539,3.051765
101,2019-06-06,sz.300661,129.8423260000,132.4391725200,120.2379087200,120.8512342800,1948353,188452570.5100,1,4.579950,-6.397817
102,2019-06-14,sz.300661,120.8642837600,126.4233622400,117.5758148000,123.9700600000,2173428,204539637.8800,1,5.109029,2.580715
103,2019-06-21,sz.300661,123.9700600000,137.7242119200,120.7076900000,134.5401388000,2100003,208179978.9200,1,4.936430,8.526316
104,2019-06-28,sz.300661,134.3704955600,136.3670660000,130.6774927200,132.8045579600,1489123,151856158.1800,1,3.500448,-1.290010
105,2019-07-05,sz.300661,136.1191258800,140.3863058400,131.7997480000,134.1486544000,2375181,247575665.2900,1,5.583404,1.012086
106,2019-07-12,sz.300661,135.2056622800,164.5044940800,126.6191044400,152.9997312000,7056237,652920513.5000,1,13.361777,14.052377
107,2019-07-19,sz.300661,156.0801484800,173.3543116800,154.0208640000,160.8284160000,7334994,708744977.4600,1,13.263704,5.116796
108,2019-07-26,sz.300661,163.7556633600,196.7382528000,160.1476608000,183.7868851200,8633865,909621421.1000,1,15.612400,14.275132
109,2019-08-02,sz.300661,183.8039040000,198.7805184000,180.9277132800,190.6795315200,4906029,546600803.3100,1,8.871500,3.750347
110,2019-08-09,sz.300661,190.6454937600,209.3322240000,181.2510720000,204.7371264000,6241410,716509388.4800,1,11.286300,7.372367
111,2019-08-16,sz.300661,204.2265600000,230.5547673600,195.7171200000,205.6050892800,8720009,1081031039.9000,1,15.768200,0.423940
112,2019-08-23,sz.300661,207.6303360000,246.6035712000,207.6303360000,228.0529920000,8289521,1102364601.7400,1,14.989800,10.917970
113,2019-08-30,sz.300661,223.4578944000,263.7926400000,221.2794777600,245.0718720000,7026401,980840089.4300,1,12.705800,7.462687
114,2019-09-06,sz.300661,243.3699840000,270.0555878400,238.4345088000,255.0108979200,7472871,1131066958.4100,1,13.491000,4.055556
115,2019-09-12,sz.300661,256.5085593600,269.3918515200,241.6851148800,249.6329318400,5978103,891249995.3600,1,10.786100,-2.108916
116,2019-09-20,sz.300661,251.8794240000,320.9080012800,250.1775360000,312.2964480000,8471926,1394457803.5700,1,15.285700,25.102263
