,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2017-09-01,sz.300699,13.5100000000,16.2100000000,13.5100000000,16.2100000000,20000,319705.0000,1,0.021739,43.960924
1,2017-09-08,sz.300699,17.8300000000,26.1000000000,17.8300000000,26.1000000000,108040,2460464.0000,1,0.117435,61.011721
2,2017-09-15,sz.300699,28.7100000000,42.0300000000,28.7100000000,42.0300000000,868052,33011471.5700,1,0.943535,61.034483
3,2017-09-22,sz.300699,46.2300000000,67.6800000000,46.2300000000,67.6800000000,4721168,275631189.7200,1,5.131704,61.027837
4,2017-09-29,sz.300699,74.4500000000,80.0000000000,68.0200000000,71.5900000000,172749700,12886925810.4000,1,187.771413,5.777187
5,2017-10-13,sz.300699,73.0900000000,79.6000000000,67.0100000000,68.6500000000,110481722,8035228718.6100,1,120.088828,-4.106719
6,2017-10-20,sz.300699,69.0000000000,80.8000000000,67.3000000000,79.5000000000,96146621,7188580510.0600,1,104.507197,15.804807
7,2017-10-27,sz.300699,80.7500000000,81.5000000000,72.5800000000,74.9000000000,65906623,4996307867.2600,1,71.637634,-5.786164
8,2017-11-03,sz.300699,73.0000000000,87.5000000000,70.5700000000,87.5000000000,99142879,8019257251.7600,1,107.763999,16.822430
9,2017-11-10,sz.300699,88.3300000000,95.6100000000,86.0000000000,92.3300000000,85627001,7712919188.9700,1,93.072827,5.520000
10,2017-11-17,sz.300699,91.8000000000,99.7700000000,80.1500000000,80.1900000000,76887281,6953850544.4000,1,83.573132,-13.148489
11,2017-11-24,sz.300699,79.0000000000,82.7600000000,70.7000000000,70.8700000000,58835138,4590037156.6000,1,63.951237,-11.622397
12,2017-12-01,sz.300699,69.0600000000,74.6500000000,67.8700000000,73.3800000000,41296201,2936197845.9000,1,44.887175,3.541696
13,2017-12-08,sz.300699,72.9600000000,72.9900000000,61.5300000000,68.0200000000,48292876,3214891078.8800,1,52.492257,-7.304443
14,2017-12-15,sz.300699,67.1100000000,70.9400000000,65.1900000000,67.9400000000,35398746,2425473428.3700,1,38.476898,-0.117612
15,2017-12-22,sz.300699,67.5000000000,67.9200000000,61.7600000000,64.2100000000,26251885,1700207125.6100,1,28.534658,-5.490138
16,2017-12-29,sz.300699,63.7900000000,69.6900000000,62.5000000000,65.5400000000,37448817,2514190207.1800,1,40.705236,2.071328
