,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2019-04-19,sz.300769,50.1400000000,88.0900000000,50.1400000000,88.0900000000,71400,5808902.9700,1,0.667914,110.842508
1,2019-04-26,sz.300769,96.9000000000,123.8000000000,96.9000000000,107.1000000000,15672376,1810384984.3500,1,146.607820,21.580202
2,2019-04-30,sz.300769,103.9800000000,105.5000000000,94.3000000000,95.7400000000,5917034,587867727.2400,1,55.351113,-10.606909
3,2019-05-10,sz.300769,91.0000000000,96.5900000000,88.8700000000,94.1000000000,10625208,987430298.5600,1,99.393901,-1.712973
4,2019-05-17,sz.300769,96.0000000000,99.9800000000,90.2000000000,90.6700000000,9905241,937026450.4000,1,92.658943,-3.645058
5,2019-05-24,sz.300769,89.0500000000,89.0900000000,80.0300000000,81.2000000000,6132140,514660371.7600,1,57.363330,-10.444469
6,2019-05-31,sz.300769,81.6600000000,92.6200000000,80.6800000000,90.1100000000,6842789,584328650.4800,1,64.011123,10.972906
7,2019-06-06,sz.300769,89.0300000000,89.4700000000,78.3300000000,78.4000000000,4784097,404882166.4400,1,44.753012,-12.995228
8,2019-06-14,sz.300769,79.4000000000,86.0000000000,78.9600000000,82.0000000000,4301063,355256327.1000,1,40.234453,4.591837
9,2019-06-21,sz.300769,82.4500000000,87.3300000000,80.4900000000,85.7200000000,5837489,496397072.3600,1,54.607007,4.536585
10,2019-06-28,sz.300769,85.5000000000,89.1000000000,82.8000000000,87.3200000000,5824942,499800649.5600,1,54.489635,1.866542
11,2019-07-05,sz.300769,88.5300000000,96.0700000000,86.8500000000,96.0700000000,8015545,729144197.7400,1,74.981712,10.020614
12,2019-07-12,sz.300769,96.1000000000,104.8900000000,90.8000000000,95.2500000000,10905999,1065688788.0800,1,102.020571,-0.853544
13,2019-07-19,sz.300769,96.7100000000,105.6000000000,96.0000000000,98.1300000000,9387014,952072018.4000,1,87.811169,3.023622
14,2019-07-26,sz.300769,97.5800000000,99.4800000000,89.0000000000,94.7000000000,5900802,553041540.0800,1,55.199200,-3.495363
15,2019-08-02,sz.300769,93.1700000000,98.4800000000,90.5000000000,96.9500000000,6169597,579466747.7100,1,57.713800,2.375924
16,2019-08-09,sz.300769,96.0000000000,97.7900000000,90.1600000000,95.4300000000,6141711,582708550.4700,1,57.452900,-1.567818
17,2019-08-16,sz.300769,94.8000000000,101.3000000000,94.1100000000,96.9300000000,5841988,572865946.8800,1,54.649200,1.571833
18,2019-08-23,sz.300769,98.5000000000,106.5600000000,96.5000000000,96.5000000000,8009642,805995663.2500,1,74.926500,-0.443619
19,2019-08-30,sz.300769,94.5100000000,99.7000000000,93.0000000000,96.0800000000,5019997,482931383.0500,1,46.959800,-0.435233
20,2019-09-06,sz.300769,95.2000000000,99.6000000000,93.5200000000,96.4000000000,5970666,578292068.1200,1,55.852800,0.333056
21,2019-09-12,sz.300769,96.5800000000,103.0000000000,96.0100000000,102.8000000000,5764571,576882013.6200,1,53.924800,6.639004
22,2019-09-20,sz.300769,104.2500000000,105.3000000000,97.2500000000,98.0800000000,5053508,506013463.3900,1,47.273300,-4.591440
23,2019-09-27,sz.300769,97.5100000000,97.7200000000,90.2000000000,91.9500000000,4472534,419953068.6200,1,41.838400,-6.250000
