,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2020-08-28,sz.300869,55.0000000000,308.0000000000,50.0800000000,90.8000000000,108224040,11423352703.0200,1,280.822600,793.700787
1,2020-09-04,sz.300869,89.0000000000,97.0000000000,77.5200000000,81.7800000000,51424733,4471371963.8600,1,133.438400,-9.933921
2,2020-09-11,sz.300869,80.1000000000,83.7500000000,63.5000000000,73.8500000000,43308533,3183301475.8700,1,112.378100,-9.696747
3,2020-09-18,sz.300869,73.0000000000,105.8900000000,72.0500000000,94.4800000000,74685745,6957244393.3000,1,193.796600,27.935003
4,2020-09-25,sz.300869,93.8700000000,146.8000000000,88.5000000000,122.4000000000,80915126,9551081816.5300,1,209.960900,29.551228
5,2020-09-30,sz.300869,121.1900000000,125.0000000000,102.4400000000,107.2900000000,29943679,3289935168.0000,1,77.698600,-12.344771
6,2020-10-09,sz.300869,106.7000000000,128.7500000000,106.7000000000,128.7500000000,11245024,1342188128.0000,1,29.178900,20.001864
7,2020-10-16,sz.300869,139.7000000000,175.7600000000,128.0000000000,157.9100000000,81058492,11940952208.7300,1,210.332800,22.648544
8,2020-10-23,sz.300869,155.2000000000,178.0000000000,145.5200000000,166.2500000000,56477003,9167950326.3700,1,146.548100,5.281489
9,2020-10-30,sz.300869,174.1300000000,178.4600000000,139.0800000000,141.0800000000,46150171,7244563146.8800,1,119.751800,-15.139850
10,2020-11-06,sz.300869,140.1300000000,145.0000000000,128.5000000000,130.8800000000,28882128,4006872896.6400,1,74.944200,-7.229940
11,2020-11-13,sz.300869,131.0400000000,149.3800000000,120.1100000000,125.7200000000,32108722,4866977639.4400,1,83.316600,-3.942543
12,2020-11-20,sz.300869,125.7300000000,129.8800000000,113.0100000000,114.9100000000,21136267,2534005398.0000,1,54.845000,-8.598473
13,2020-11-27,sz.300869,116.0200000000,150.0100000000,116.0000000000,144.9200000000,50231256,6905349191.7300,1,130.341400,26.116091
14,2020-12-04,sz.300869,144.8800000000,154.4900000000,135.3800000000,146.9000000000,40326915,5833082286.9300,1,104.641300,1.366271
