,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-01-04,sh.000105,3013.2020,3023.0350,2897.7060,2899.0920,2983.9820,282951800,2370140000.0000,-2.844853,,,,
1,2012-01-05,sh.000105,2884.8250,2884.8250,2791.2740,2793.2280,2899.0920,290499500,2321520000.0000,-3.651626,,,,
2,2012-01-06,sh.000105,2782.0030,2814.4070,2729.8290,2812.7510,2793.2280,254604100,2000960000.0000,0.698939,,,,
3,2012-01-09,sh.000105,2812.4810,2960.0260,2779.8680,2958.1810,2812.7510,422085600,3443600000.0000,5.170381,,,,
4,2012-01-10,sh.000105,2952.6070,3105.7290,2941.0730,3104.6410,2958.1810,738871300,6067260000.0000,4.951023,,,,
5,2012-01-11,sh.000105,3099.4920,3128.1710,3070.1310,3104.1160,3104.6410,608655200,4934070000.0000,-0.016915,,,,
6,2012-01-12,sh.000105,3087.0120,3149.5710,3075.0870,3115.2290,3104.1160,507307900,4561050000.0000,0.358010,,,,
7,2012-01-13,sh.000105,3109.8440,3122.8660,2986.6420,3027.8620,3115.2290,509236000,4494790000.0000,-2.804511,,,,
8,2012-01-16,sh.000105,2987.4950,3009.2080,2923.2790,2924.4620,3027.8620,316608200,2745860000.0000,-3.414956,,,,
9,2012-01-17,sh.000105,2925.3350,3123.2680,2920.0660,3123.0400,2924.4620,562093600,4973640000.0000,6.790245,,,,
10,2012-01-18,sh.000105,3145.1260,3198.1620,3083.2070,3098.6690,3123.0400,706340000,6798190000.0000,-0.780365,,,,
11,2012-01-19,sh.000105,3091.1230,3158.7520,3069.4690,3142.9610,3098.6690,448931800,4121530000.0000,1.429388,,,,
12,2012-01-20,sh.000105,3151.8230,3185.2730,3131.7330,3175.5260,3142.9610,409287100,3801830000.0000,1.036123,,,,
13,2012-01-30,sh.000105,3182.4330,3187.1190,3129.1600,3130.3090,3175.5260,353710400,3186170000.0000,-1.423915,,,,
14,2012-01-31,sh.000105,3121.2700,3132.1040,3080.8870,3118.9760,3130.3090,328823000,2882160000.0000,-0.362041,,,,
15,2012-02-01,sh.000105,3110.0140,3137.5740,3056.8500,3070.4910,3118.9760,313665800,2777130000.0000,-1.554520,,,,
16,2012-02-02,sh.000105,3077.2510,3139.1600,3071.1660,3137.9060,3070.4910,361403900,3304120000.0000,2.195578,,,,
17,2012-02-03,sh.000105,3134.8030,3204.3570,3123.6350,3193.0950,3137.9060,554703300,4995270000.0000,1.758783,,,,
