,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-01-04,sh.000111,2221.5910,2229.9130,2123.3290,2124.6890,2210.0640,78536000,613950000.0000,-3.863010,,,,
1,2012-01-05,sh.000111,2116.9750,2116.9750,2016.0800,2034.0360,2124.6890,96611900,710480000.0000,-4.266646,,,,
2,2012-01-06,sh.000111,2020.4050,2060.0560,2000.1620,2059.1520,2034.0360,68339300,495380000.0000,1.234791,,,,
3,2012-01-09,sh.000111,2060.1900,2140.6050,2035.1300,2140.0930,2059.1520,109717000,791700000.0000,3.930789,,,,
4,2012-01-10,sh.000111,2134.4030,2224.0570,2124.9910,2223.2320,2140.0930,153530200,1141970000.0000,3.884827,,,,
5,2012-01-11,sh.000111,2219.3120,2302.9640,2200.5710,2261.5590,2223.2320,205663000,1708280000.0000,1.723938,,,,
6,2012-01-12,sh.000111,2243.4240,2271.1550,2227.4510,2233.6050,2261.5590,114163100,926900000.0000,-1.236055,,,,
7,2012-01-13,sh.000111,2235.5190,2238.1840,2129.3760,2141.3320,2233.6050,127899600,1001280000.0000,-4.131122,,,,
8,2012-01-16,sh.000111,2117.3530,2134.4580,2076.3200,2079.4650,2141.3320,59265900,469730000.0000,-2.889180,,,,
9,2012-01-17,sh.000111,2074.2100,2198.8630,2072.2370,2198.1260,2079.4650,109850400,831340000.0000,5.706318,,,,
10,2012-01-18,sh.000111,2200.3910,2224.6940,2154.0290,2164.9440,2198.1260,117312000,953740000.0000,-1.509553,,,,
11,2012-01-19,sh.000111,2156.9110,2191.7350,2143.2750,2175.2130,2164.9440,93046000,727960000.0000,0.474322,,,,
12,2012-01-20,sh.000111,2175.9500,2200.1140,2164.2950,2194.0100,2175.2130,98544100,790540000.0000,0.864151,,,,
13,2012-01-30,sh.000111,2198.1120,2212.4210,2172.1940,2175.9570,2194.0100,77922000,564880000.0000,-0.822830,,,,
14,2012-01-31,sh.000111,2173.2580,2188.0250,2159.6450,2187.4520,2175.9570,64249700,514090000.0000,0.528267,,,,
15,2012-02-01,sh.000111,2190.5850,2209.3910,2175.7880,2189.6020,2187.4520,96073700,734080000.0000,0.098295,,,,
16,2012-02-02,sh.000111,2189.7960,2234.8280,2186.4530,2234.4130,2189.6020,105936400,828640000.0000,2.046538,,,,
17,2012-02-03,sh.000111,2226.4070,2309.1070,2218.5270,2299.5010,2234.4130,203511200,1554630000.0000,2.912975,,,,
18,2012-02-06,sh.000111,2296.3070,2327.7850,2293.5920,2319.0160,2299.5010,162232800,1330430000.0000,0.848668,,,,
