,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-01-04,sh.000933,4708.3200,4716.7100,4541.0600,4541.2600,4679.7100,157142500,2244980000.0000,-2.958521,,,,
1,2012-01-05,sh.000933,4518.4800,4518.4800,4349.8200,4368.9800,4541.2600,213589800,3383590000.0000,-3.793656,,,,
2,2012-01-06,sh.000933,4360.6000,4369.1900,4269.5100,4350.4700,4368.9800,191913300,2727420000.0000,-0.423663,,,,
3,2012-01-09,sh.000933,4354.3000,4490.0000,4297.2400,4486.7200,4350.4700,230232000,3255420000.0000,3.131845,,,,
4,2012-01-10,sh.000933,4481.6600,4644.0600,4464.5300,4637.1000,4486.7200,301715800,4080120000.0000,3.351666,,,,
5,2012-01-11,sh.000933,4643.4100,4655.6200,4589.4900,4617.8700,4637.1000,248997200,3235860000.0000,-0.414698,,,,
6,2012-01-12,sh.000933,4604.6500,4662.7800,4583.1800,4594.7000,4617.8700,214189600,2791710000.0000,-0.501745,,,,
7,2012-01-13,sh.000933,4592.9700,4606.8300,4417.5700,4434.6600,4594.7000,215863800,2879560000.0000,-3.483144,,,,
8,2012-01-16,sh.000933,4398.7300,4398.7300,4259.0800,4259.1800,4434.6600,160478800,2302490000.0000,-3.957011,,,,
9,2012-01-17,sh.000933,4263.3300,4446.5300,4200.5600,4440.7000,4259.1800,253508800,3595350000.0000,4.261854,,,,
10,2012-01-18,sh.000933,4429.7100,4443.9200,4239.2200,4259.9200,4440.7000,259584300,3914330000.0000,-4.070986,,,,
11,2012-01-19,sh.000933,4243.6700,4316.2000,4201.4700,4301.7100,4259.9200,208974600,3188970000.0000,0.981005,,,,
12,2012-01-20,sh.000933,4298.0900,4458.1100,4298.0200,4446.1400,4301.7100,375616200,4606680000.0000,3.357506,,,,
13,2012-01-30,sh.000933,4452.7900,4452.7900,4375.1300,4401.3900,4446.1400,160551700,2284840000.0000,-1.006491,,,,
14,2012-01-31,sh.000933,4398.0400,4412.7500,4363.0100,4400.7700,4401.3900,165905100,1984650000.0000,-0.014089,,,,
15,2012-02-01,sh.000933,4399.1300,4444.6800,4383.4900,4397.2600,4400.7700,228306300,2622860000.0000,-0.079765,,,,
16,2012-02-02,sh.000933,4403.8700,4454.6100,4393.4600,4453.7100,4397.2600,197701700,2367800000.0000,1.283759,,,,
17,2012-02-03,sh.000933,4451.5200,4534.8500,4439.3000,4524.3900,4453.7100,296184200,3736130000.0000,1.586995,,,,
18,2012-02-06,sh.000933,4540.3200,4588.9400,4531.9200,4575.5500,4524.3900,295590800,3913630000.0000,1.130753,,,,
19,2012-02-07,sh.000933,4551.2800,4551.2800,4461.5200,4488.5600,4575.5500,181805200,2479140000.0000,-1.901187,,,,
20,2012-02-08,sh.000933,4481.5900,4576.9200,4460.6800,4576.0100,4488.5600,269953500,3335100000.0000,1.948280,,,,
21,2012-02-09,sh.000933,4573.7100,4652.9800,4564.6300,4631.5400,4576.0100,403622200,4466020000.0000,1.213509,,,,
22,2012-02-10,sh.000933,4621.2700,4663.0000,4609.6900,4643.1500,4631.5400,412717400,4470980000.0000,0.250670,,,,
23,2012-02-13,sh.000933,4602.4800,4737.2800,4586.6100,4707.1200,4643.1500,509718600,5580560000.0000,1.377733,,,,
24,2012-02-14,sh.000933,4707.6900,4733.3600,4673.5400,4714.8300,4707.1200,436066800,4739870000.0000,0.163794,,,,
25,2012-02-15,sh.000933,4705.0500,4759.8300,4680.8700,4752.7800,4714.8300,385888600,4529410000.0000,0.804901,,,,
26,2012-02-16,sh.000933,4743.3800,4789.8700,4702.9400,4734.1100,4752.7800,357592300,4306070000.0000,-0.392821,,,,
27,2012-02-17,sh.000933,4746.6200,4763.7000,4689.3700,4721.1400,4734.1100,373468800,4094010000.0000,-0.273963,,,,
28,2012-02-20,sh.000933,4777.1200,4782.2900,4688.7200,4691.9200,4721.1400,388136900,4834040000.0000,-0.618923,,,,
29,2012-02-21,sh.000933,4691.9100,4723.0900,4644.3400,4722.5000,4691.9200,330268000,3825580000.0000,0.651760,,,,
30,2012-02-22,sh.000933,4724.6200,4808.1600,4715.4800,4807.6500,4722.5000,504430200,6153650000.0000,1.803068,,,,
31,2012-02-23,sh.000933,4813.1100,4842.1000,4787.9100,4837.2700,4807.6500,448732200,5691710000.0000,0.616104,,,,
32,2012-02-24,sh.000933,4832.6400,4895.7700,4813.4100,4893.8300,4837.2700,444261800,5697810000.0000,1.169256,,,,
33,2012-02-27,sh.000933,4909.4100,4961.7800,4887.5900,4901.2500,4893.8300,530242400,7108530000.0000,0.151618,,,,
34,2012-02-28,sh.000933,4880.2600,4902.4500,4821.9100,4859.0700,4901.2500,419658500,5309580000.0000,-0.860600,,,,
35,2012-02-29,sh.000933,4848.1300,4868.9200,4818.1500,4823.2300,4859.0700,310614700,4386370000.0000,-0.737587,,,,
36,2012-03-01,sh.000933,4810.8100,4823.9600,4774.3300,4797.4300,4823.2300,293750400,4192710000.0000,-0.534907,,,,
37,2012-03-02,sh.000933,4800.1800,4861.9400,4798.4500,4861.8800,4797.4300,341683000,4881340000.0000,1.343421,,,,
38,2012-03-05,sh.000933,4879.1100,4884.9600,4811.8400,4818.4000,4861.8800,406648600,5837790000.0000,-0.894304,,,,
39,2012-03-06,sh.000933,4808.4500,4809.0300,4730.2400,4742.7300,4818.4000,345856000,4595130000.0000,-1.570437,,,,
40,2012-03-07,sh.000933,4707.1600,4772.7500,4699.0000,4730.3300,4742.7300,321528200,4203920000.0000,-0.261451,,,,
41,2012-03-08,sh.000933,4743.9500,4778.1800,4726.2700,4777.3000,4730.3300,302161900,4291340000.0000,0.992948,,,,
42,2012-03-09,sh.000933,4790.6300,4840.8500,4760.9600,4840.8500,4777.3000,334693700,4821230000.0000,1.330256,,,,
43,2012-03-12,sh.000933,4855.6000,4968.9900,4855.6000,4968.9100,4840.8500,542138600,8089810000.0000,2.645404,,,,
44,2012-03-13,sh.000933,4972.1700,4978.8600,4938.1900,4978.8600,4968.9100,362545100,5533060000.0000,0.200239,,,,
45,2012-03-14,sh.000933,4996.7600,5046.5200,4787.6800,4818.5800,4978.8600,656617500,9574360000.0000,-3.219207,,,,
46,2012-03-15,sh.000933,4807.3800,4899.4100,4765.4800,4869.4900,4818.5800,484001700,6860340000.0000,1.056539,,,,
47,2012-03-16,sh.000933,4876.3400,4994.2300,4875.7900,4994.2300,4869.4900,490211100,7425870000.0000,2.561659,,,,
48,2012-03-19,sh.000933,4998.9600,5052.2100,4983.9200,5039.8000,4994.2300,522127100,7326940000.0000,0.912449,,,,
49,2012-03-20,sh.000933,5018.2200,5018.2200,4907.3500,4910.0100,5039.8000,364790500,5166950000.0000,-2.575302,,,,
50,2012-03-21,sh.000933,4919.4600,4937.4400,4824.3700,4873.7500,4910.0100,303027200,4455760000.0000,-0.738487,,,,
51,2012-03-22,sh.000933,4871.6500,4890.5400,4833.8600,4849.0500,4873.7500,182569000,2843230000.0000,-0.506801,,,,
52,2012-03-23,sh.000933,4838.7400,4838.7400,4747.3100,4769.2900,4849.0500,236895600,3267690000.0000,-1.644853,,,,
53,2012-03-26,sh.000933,4762.4600,4800.6500,4739.7600,4792.7000,4769.2900,167986900,2674620000.0000,0.490852,,,,
54,2012-03-27,sh.000933,4802.5700,4815.6800,4735.3600,4739.3600,4792.7000,191496500,3006930000.0000,-1.112949,,,,
55,2012-03-28,sh.000933,4730.7200,4730.7200,4558.2000,4567.1700,4739.3600,356893600,4830340000.0000,-3.633190,,,,
56,2012-03-29,sh.000933,4549.3200,4567.9500,4471.5900,4504.5600,4567.1700,328028000,4361210000.0000,-1.370868,,,,
