,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-01-04,sh.000993,2234.9400,2241.7200,2146.7100,2146.7100,2219.0200,559182100,6630950000.0000,-3.258648,,,,
1,2012-01-05,sh.000993,2129.1400,2129.1400,2031.4700,2038.3400,2146.7100,641633900,7378430000.0000,-5.048190,,,,
2,2012-01-06,sh.000993,2025.7400,2059.9800,1995.2300,2059.6100,2038.3400,545572600,6111730000.0000,1.043503,,,,
3,2012-01-09,sh.000993,2059.0500,2145.6800,2035.9200,2145.5100,2059.6100,815974300,8750020000.0000,4.170688,,,,
4,2012-01-10,sh.000993,2140.3700,2229.2800,2135.1200,2227.7900,2145.5100,1129977200,12071430000.0000,3.834987,,,,
5,2012-01-11,sh.000993,2222.6900,2278.5100,2209.3900,2247.1600,2227.7900,1055997600,11922720000.0000,0.869466,,,,
6,2012-01-12,sh.000993,2235.5200,2270.8500,2230.3300,2237.5000,2247.1600,835607700,10194430000.0000,-0.429872,,,,
7,2012-01-13,sh.000993,2234.5100,2237.6000,2127.4700,2141.2900,2237.5000,838208100,9811110000.0000,-4.299887,,,,
8,2012-01-16,sh.000993,2113.9900,2121.7500,2058.4200,2058.4600,2141.2900,480747700,5771600000.0000,-3.868233,,,,
9,2012-01-17,sh.000993,2050.6300,2172.3800,2033.7200,2172.3200,2058.4600,820549000,9357430000.0000,5.531325,,,,
10,2012-01-18,sh.000993,2174.2700,2188.2100,2089.6400,2097.3800,2172.3200,845871100,9890480000.0000,-3.449776,,,,
11,2012-01-19,sh.000993,2085.1400,2128.9900,2066.9600,2112.1300,2097.3800,611645300,6934570000.0000,0.703258,,,,
12,2012-01-20,sh.000993,2116.3900,2145.0400,2114.3800,2138.2700,2112.1300,556182500,6180430000.0000,1.237620,,,,
13,2012-01-30,sh.000993,2145.2600,2174.0100,2127.0800,2140.0200,2138.2700,550210300,6055910000.0000,0.081842,,,,
14,2012-01-31,sh.000993,2136.1000,2148.2800,2116.2000,2142.3400,2140.0200,569704700,6208530000.0000,0.108413,,,,
15,2012-02-01,sh.000993,2138.3100,2165.9900,2124.9200,2131.6700,2142.3400,591349200,6501810000.0000,-0.498061,,,,
16,2012-02-02,sh.000993,2135.6200,2178.9400,2130.5900,2178.9400,2131.6700,631808900,6875130000.0000,2.217511,,,,
