,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-01-04,sz.399388,1638.2800,1642.6880,1569.1340,1569.3560,1625.6390,331269350,3654767553.6600,-3.462183,,,,
1,2012-01-05,sz.399388,1555.9430,1555.9430,1481.4860,1487.5400,1569.3560,377252346,4101141494.3600,-5.213343,,,,
2,2012-01-06,sz.399388,1476.3660,1507.5710,1458.8520,1507.1100,1487.5400,327894708,3404072794.8000,1.315558,,,,
3,2012-01-09,sz.399388,1507.1650,1574.3100,1491.5360,1574.1350,1507.1100,520085467,5330329733.8800,4.447280,,,,
4,2012-01-10,sz.399388,1568.9480,1637.1260,1564.3470,1636.8220,1574.1350,671361252,7137683990.9400,3.982299,,,,
5,2012-01-11,sz.399388,1632.9170,1674.3080,1621.6460,1650.6100,1636.8220,639909679,6932202087.9300,0.842377,,,,
6,2012-01-12,sz.399388,1641.4600,1672.2060,1639.2230,1647.6580,1650.6100,523742853,6069350694.1300,-0.178822,,,,
7,2012-01-13,sz.399388,1646.5940,1648.5830,1568.0360,1581.4980,1647.6580,521252947,5762873993.8400,-4.015405,,,,
8,2012-01-16,sz.399388,1559.9170,1568.3040,1522.3820,1522.8650,1581.4980,281173631,3239594812.1200,-3.707429,,,,
9,2012-01-17,sz.399388,1518.2590,1612.9900,1508.5530,1612.8570,1522.8650,497608261,5541294019.6600,5.909367,,,,
10,2012-01-18,sz.399388,1614.7470,1628.2030,1558.2530,1564.6740,1612.8570,526317200,5970971954.3300,-2.987423,,,,
11,2012-01-19,sz.399388,1555.9320,1589.9520,1544.9380,1575.3070,1564.6740,357480131,3947653010.1100,0.679554,,,,
12,2012-01-20,sz.399388,1579.4720,1599.2310,1575.1550,1594.0860,1575.3070,337513554,3591766659.5700,1.192073,,,,
13,2012-01-30,sz.399388,1599.9910,1621.3640,1583.9170,1593.8450,1594.0860,356599610,3713375446.0200,-0.015078,,,,
14,2012-01-31,sz.399388,1590.0130,1600.7300,1577.8140,1597.3830,1593.8450,356575067,4128127580.8200,0.221946,,,,
15,2012-02-01,sz.399388,1594.3140,1614.3220,1583.9830,1588.8370,1597.3830,402363302,4313148497.2400,-0.535009,,,,
16,2012-02-02,sz.399388,1592.0520,1624.6520,1585.8290,1624.6520,1588.8370,423059014,4311760919.1300,2.254177,,,,
17,2012-02-03,sz.399388,1620.7330,1675.2590,1615.5260,1668.7690,1624.6520,699104755,7034809761.8800,2.715471,,,,
18,2012-02-06,sz.399388,1671.4730,1686.7500,1662.0980,1682.2780,1668.7690,585109380,6351731389.0600,0.809521,,,,
19,2012-02-07,sz.399388,1672.8200,1672.8200,1636.5880,1651.8260,1682.2780,489453255,5144632894.7600,-1.810174,,,,
20,2012-02-08,sz.399388,1649.4490,1701.2190,1642.6330,1701.1410,1651.8260,579552394,6227065249.4400,2.985510,,,,
21,2012-02-09,sz.399388,1697.1460,1730.3280,1694.1330,1712.7830,1701.1410,695201017,7570483369.5300,0.684369,,,,
22,2012-02-10,sz.399388,1709.5730,1725.5230,1699.7060,1711.3920,1712.7830,563906980,6113509257.1100,-0.081234,,,,
23,2012-02-13,sz.399388,1694.3730,1765.6440,1687.7200,1756.9810,1711.3920,806073056,8544907277.6200,2.663854,,,,
24,2012-02-14,sz.399388,1755.8420,1764.0980,1735.7390,1746.1130,1756.9810,670041104,7254500640.5400,-0.618536,,,,
25,2012-02-15,sz.399388,1746.0350,1787.3350,1742.0830,1783.6860,1746.1130,852073237,9110708528.1100,2.151779,,,,
26,2012-02-16,sz.399388,1780.6270,1798.2820,1760.5450,1777.7140,1783.6860,821382102,8950578699.3400,-0.334822,,,,
27,2012-02-17,sz.399388,1780.7770,1787.3510,1750.1220,1771.9030,1777.7140,576238758,6189306483.9000,-0.326848,,,,
28,2012-02-20,sz.399388,1796.5960,1812.0780,1775.2980,1776.7670,1771.9030,691595127,7639062193.5500,0.274480,,,,
29,2012-02-21,sz.399388,1773.4240,1812.7050,1754.7860,1812.6010,1776.7670,666835238,7815143415.5400,2.016829,,,,
