,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2014-12-31,sz.399435,2884.8170,2889.7730,2833.5250,2884.5390,0.0000,430085872,4560932096.0000,0.000000,,,,
1,2015-01-05,sz.399435,2886.8860,2952.7310,2872.3100,2940.3460,2884.5390,542003152,5604091648.0000,1.934690,,,,
2,2015-01-06,sz.399435,2929.6220,2991.2390,2912.6010,2991.2390,2940.3460,575127776,6133880320.0000,1.730853,,,,
3,2015-01-07,sz.399435,2997.5090,3006.8770,2961.9320,2997.0130,2991.2390,545300688,5792124160.0000,0.193028,,,,
4,2015-01-08,sz.399435,3007.3670,3041.9260,3005.3500,3010.2880,2997.0130,584485712,6819438080.0000,0.442946,,,,
5,2015-01-09,sz.399435,2995.0360,3018.2470,2972.0960,2972.2420,3010.2880,477610912,5132487680.0000,-1.263870,,,,
6,2015-01-12,sz.399435,2964.9330,2983.8360,2937.5590,2947.5510,2972.2420,461815952,4700647424.0000,-0.830717,,,,
7,2015-01-13,sz.399435,2938.2650,2977.4070,2926.6450,2972.1210,2947.5510,353142480,3647424080.0000,0.833576,,,,
8,2015-01-14,sz.399435,2958.6560,2998.2100,2952.7910,2975.9010,2972.1210,350482656,3801379616.0000,0.127175,,,,
9,2015-01-15,sz.399435,2976.7030,3008.0640,2975.9020,2997.6920,2975.9010,316159712,3400536016.0000,0.732249,,,,
10,2015-01-16,sz.399435,3002.5120,3061.8880,3002.5120,3061.8880,2997.6920,522455312,5607114240.0000,2.141516,,,,
11,2015-01-19,sz.399435,2998.9750,3084.3150,2926.0530,2973.4740,3061.8880,673260656,7234671616.0000,-2.887559,,,,
12,2015-01-20,sz.399435,2991.5760,3072.5000,2991.4900,3071.8850,2973.4740,539248368,6029677568.0000,3.309627,,,,
13,2015-01-21,sz.399435,3082.1180,3132.7370,3082.1180,3131.0030,3071.8850,746270992,8398679552.0000,1.924484,,,,
14,2015-01-22,sz.399435,3135.3600,3190.9690,3125.5080,3190.8810,3131.0030,804087024,8734904832.0000,1.912428,,,,
15,2015-01-23,sz.399435,3189.2570,3189.2570,3118.3700,3133.3470,3190.8810,599025648,6632622848.0000,-1.803081,,,,
16,2015-01-26,sz.399435,3135.1640,3176.1780,3131.6470,3176.1780,3133.3470,474505056,5285988608.0000,1.366943,,,,
17,2015-01-27,sz.399435,3175.7970,3226.0460,3172.0510,3225.5060,3176.1780,742036352,8367620352.0000,1.553066,,,,
18,2015-01-28,sz.399435,3218.2680,3226.8180,3181.6080,3194.7490,3225.5060,529163568,6327479552.0000,-0.953558,,,,
19,2015-01-29,sz.399435,3170.4340,3198.2160,3155.0820,3184.0630,3194.7490,413110192,4762449152.0000,-0.334487,,,,
20,2015-01-30,sz.399435,3208.3940,3216.3310,3172.6880,3196.8470,3184.0630,480972896,5374417664.0000,0.401498,,,,
21,2015-02-02,sz.399435,3212.6260,3238.5640,3145.3150,3146.4710,3196.8470,731329664,8566633216.0000,-1.575802,,,,
22,2015-02-03,sz.399435,3137.1020,3143.3310,3084.3960,3128.9330,3146.4710,479854624,5343482368.0000,-0.557381,,,,
