,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2014-12-31,sz.399439,2321.6360,2386.6350,2306.6730,2379.3650,0.0000,1283514880,9597670656.0000,0.000000,,,,
1,2015-01-05,sz.399439,2396.4950,2588.3840,2378.0800,2575.2570,2379.3650,2350372096,18002525952.0000,8.232956,,,,
2,2015-01-06,sz.399439,2581.2580,2608.7040,2489.9560,2532.6100,2575.2570,2008909152,16134615296.0000,-1.656028,,,,
3,2015-01-07,sz.399439,2504.0070,2603.3950,2469.4450,2597.6440,2532.6100,1482659136,12038513152.0000,2.567862,,,,
4,2015-01-08,sz.399439,2571.4870,2680.4070,2535.6610,2544.2420,2597.6440,1636194816,14287741952.0000,-2.055790,,,,
5,2015-01-09,sz.399439,2522.1940,2598.7740,2494.4830,2503.7260,2544.2420,1237232256,10359369728.0000,-1.592453,,,,
6,2015-01-12,sz.399439,2475.0690,2492.7380,2431.9060,2445.2640,2503.7260,781424336,6438369792.0000,-2.335006,,,,
7,2015-01-13,sz.399439,2448.0620,2494.5900,2442.8770,2461.2380,2445.2640,637600640,5207251712.0000,0.653268,,,,
8,2015-01-14,sz.399439,2461.0990,2477.2020,2406.5800,2430.9140,2461.2380,588425088,4971505920.0000,-1.232062,,,,
9,2015-01-15,sz.399439,2443.1260,2551.3570,2424.9650,2544.7690,2430.9140,896613600,7478405376.0000,4.683628,,,,
10,2015-01-16,sz.399439,2525.9860,2610.2120,2522.8950,2576.4780,2544.7690,1119085584,9892060672.0000,1.246046,,,,
11,2015-01-19,sz.399439,2464.9860,2519.2050,2345.3500,2368.7890,2576.4780,1288998336,10522595072.0000,-8.060965,,,,
12,2015-01-20,sz.399439,2386.9810,2446.1990,2368.7870,2423.3220,2368.7890,880592912,7235649280.0000,2.302145,,,,
13,2015-01-21,sz.399439,2419.7150,2551.4540,2404.9140,2527.0820,2423.3220,1124485424,9766449408.0000,4.281726,,,,
14,2015-01-22,sz.399439,2518.8620,2545.6890,2499.0510,2530.1330,2527.0820,817043072,7314122496.0000,0.120733,,,,
15,2015-01-23,sz.399439,2533.0550,2614.4590,2526.5420,2547.3600,2530.1330,1055662912,9501291776.0000,0.680875,,,,
16,2015-01-26,sz.399439,2533.0080,2594.0860,2519.5510,2585.3640,2547.3600,768776672,7012637952.0000,1.491894,,,,
17,2015-01-27,sz.399439,2582.7380,2597.5380,2494.6940,2538.1780,2585.3640,1001280512,8609572352.0000,-1.825122,,,,
18,2015-01-28,sz.399439,2515.7610,2527.5780,2486.9560,2491.0800,2538.1780,712007056,6093427200.0000,-1.855579,,,,
19,2015-01-29,sz.399439,2450.0790,2461.2760,2408.1030,2443.8150,2491.0800,990119520,7594171136.0000,-1.897375,,,,
20,2015-01-30,sz.399439,2449.7500,2462.2460,2403.8880,2404.4290,2443.8150,858047232,6506999040.0000,-1.611660,,,,
21,2015-02-02,sz.399439,2384.7270,2397.7510,2361.4150,2364.3240,2404.4290,793728080,6039812864.0000,-1.667963,,,,
22,2015-02-03,sz.399439,2391.7760,2432.0110,2374.8130,2425.9410,2364.3240,949484704,7214821376.0000,2.606112,,,,
23,2015-02-04,sz.399439,2442.5140,2459.7520,2389.0290,2391.2620,2425.9410,929205456,6985654784.0000,-1.429505,,,,
24,2015-02-05,sz.399439,2426.0360,2426.9290,2341.2020,2342.0480,2391.2620,806963344,6164211456.0000,-2.058071,,,,
25,2015-02-06,sz.399439,2337.5170,2341.0990,2285.3040,2299.8120,2342.0480,791478848,5826096896.0000,-1.803383,,,,
26,2015-02-09,sz.399439,2287.2190,2324.1490,2269.2680,2306.4150,2299.8120,694776304,4903098880.0000,0.287112,,,,
27,2015-02-10,sz.399439,2296.2780,2332.0500,2292.1670,2332.0500,2306.4150,708701680,4872261376.0000,1.111466,,,,
28,2015-02-11,sz.399439,2338.1320,2341.2450,2317.7390,2322.2380,2332.0500,510574688,3621335248.0000,-0.420746,,,,
29,2015-02-12,sz.399439,2321.9130,2351.2270,2297.6240,2340.3550,2322.2380,654168624,4494682880.0000,0.780150,,,,
