,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-01-04,sz.399613,4477.6240,4491.2420,4317.3670,4318.5370,4423.7690,63356980,792500464.9100,-2.378785,,,,
1,2012-01-05,sz.399613,4280.2850,4310.0850,4192.8300,4195.2100,4318.5370,76321286,796009076.6200,-2.855740,,,,
2,2012-01-06,sz.399613,4183.1250,4217.7050,4096.0470,4217.7050,4195.2100,69790924,759995213.6600,0.536198,,,,
3,2012-01-09,sz.399613,4221.4140,4511.5910,4177.5570,4510.3930,4217.7050,148895450,1745298233.6800,6.939508,,,,
4,2012-01-10,sz.399613,4523.2700,4769.1600,4500.7060,4734.3050,4510.3930,226017743,2767533062.7700,4.964348,,,,
5,2012-01-11,sz.399613,4739.3570,4805.0850,4675.8870,4727.7290,4734.3050,179268775,2077463987.8800,-0.138884,,,,
6,2012-01-12,sz.399613,4690.8130,4765.5260,4662.2910,4697.7980,4727.7290,119515299,1385292745.7800,-0.633108,,,,
7,2012-01-13,sz.399613,4696.2190,4726.4660,4521.4360,4568.2260,4697.7980,151516425,1842465759.2300,-2.758149,,,,
8,2012-01-16,sz.399613,4518.5660,4650.3090,4483.0780,4483.0780,4568.2260,125852451,1426780099.8000,-1.863907,,,,
9,2012-01-17,sz.399613,4493.8600,4801.9700,4461.6410,4794.0290,4483.0780,191865540,2367796896.8900,6.936109,,,,
10,2012-01-18,sz.399613,4795.2380,4828.1890,4622.8650,4642.6960,4794.0290,151946284,1900631390.0500,-3.156708,,,,
11,2012-01-19,sz.399613,4639.9610,4748.6680,4606.9230,4718.5550,4642.6960,139656206,1821752356.2300,1.633951,,,,
12,2012-01-20,sz.399613,4735.4910,4782.6470,4694.8330,4763.8300,4718.5550,115645056,1525869251.7300,0.959497,,,,
13,2012-01-30,sz.399613,4788.5190,4788.5570,4694.8770,4695.4550,4763.8300,94891840,1167502062.8500,-1.435295,,,,
14,2012-01-31,sz.399613,4696.3920,4724.7220,4638.5200,4703.6380,4695.4550,74946704,917805162.6900,0.174288,,,,
15,2012-02-01,sz.399613,4691.5420,4748.5830,4614.0170,4627.1690,4703.6380,77798077,987929406.2200,-1.625747,,,,
16,2012-02-02,sz.399613,4643.7030,4752.3920,4623.3100,4751.7500,4627.1690,113421173,1377140331.9900,2.692382,,,,
17,2012-02-03,sz.399613,4735.3180,4785.9270,4693.4270,4772.4340,4751.7500,108286814,1294037312.3200,0.435284,,,,
18,2012-02-06,sz.399613,4797.7170,4857.4200,4778.2370,4815.0950,4772.4340,138001678,1688971744.5000,0.893907,,,,
19,2012-02-07,sz.399613,4778.7840,4778.7840,4679.8180,4729.3570,4815.0950,102754039,1285539541.0000,-1.780605,,,,
