,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-01-04,sz.399614,2389.8270,2397.7600,2308.2760,2310.0020,2370.3130,435127551,4172140970.4400,-2.544423,,,,
1,2012-01-05,sz.399614,2296.7330,2307.2460,2239.6410,2244.5990,2310.0020,417077486,3780494107.6600,-2.831289,,,,
2,2012-01-06,sz.399614,2239.1710,2280.1720,2215.2750,2280.1720,2244.5990,390768257,3396234908.3500,1.584826,,,,
3,2012-01-09,sz.399614,2280.3690,2390.2130,2257.7670,2390.2130,2280.1720,688999606,6540415143.1100,4.825985,,,,
4,2012-01-10,sz.399614,2387.3870,2505.5490,2380.0680,2503.9030,2390.2130,1038060495,9964375330.3200,4.756498,,,,
5,2012-01-11,sz.399614,2503.2530,2525.0170,2479.8230,2506.1060,2503.9030,898870280,8497793799.7300,0.087978,,,,
6,2012-01-12,sz.399614,2492.9720,2543.9720,2486.8520,2510.7130,2506.1060,769222128,7873257874.9900,0.183828,,,,
7,2012-01-13,sz.399614,2510.0030,2521.1120,2414.7780,2447.3760,2510.7130,733810459,7796358200.0200,-2.522676,,,,
8,2012-01-16,sz.399614,2416.5880,2443.4580,2357.4130,2357.4130,2447.3760,495206180,4903870070.8000,-3.675901,,,,
9,2012-01-17,sz.399614,2360.1530,2536.7030,2360.1530,2536.4730,2357.4130,901295515,8818731363.5700,7.595617,,,,
10,2012-01-18,sz.399614,2569.5850,2616.9640,2511.9690,2524.7770,2536.4730,1111809429,12595314592.7700,-0.461095,,,,
11,2012-01-19,sz.399614,2519.4670,2585.3800,2503.1300,2573.1320,2524.7770,755209488,8257206078.4700,1.915189,,,,
12,2012-01-20,sz.399614,2567.3920,2579.1810,2530.9930,2569.1790,2573.1320,676272618,7731681456.3700,-0.153612,,,,
13,2012-01-30,sz.399614,2579.9240,2586.3710,2539.0630,2541.4980,2569.1790,474042161,5658954043.8000,-1.077432,,,,
14,2012-01-31,sz.399614,2534.3120,2547.2530,2507.8410,2539.7740,2541.4980,441287018,4501760033.4100,-0.067839,,,,
15,2012-02-01,sz.399614,2532.5160,2554.3040,2485.7800,2492.2720,2539.7740,447415083,5056575367.5600,-1.870293,,,,
16,2012-02-02,sz.399614,2500.0280,2548.8070,2493.5870,2548.8070,2492.2720,501204364,5496376410.3800,2.268379,,,,
17,2012-02-03,sz.399614,2541.8820,2594.1340,2535.0740,2581.5740,2548.8070,712748898,7801747683.6600,1.285605,,,,
18,2012-02-06,sz.399614,2591.6930,2612.6280,2581.0570,2600.5360,2581.5740,681883248,7516827335.4700,0.734510,,,,
19,2012-02-07,sz.399614,2587.2510,2587.2510,2530.7750,2559.9680,2600.5360,586766958,6248598440.8200,-1.560000,,,,
20,2012-02-08,sz.399614,2559.2430,2676.2830,2549.0220,2676.2830,2559.9680,936434946,11469059388.7600,4.543610,,,,
21,2012-02-09,sz.399614,2670.4110,2700.5530,2652.4870,2674.8520,2676.2830,1009369882,11711317227.9200,-0.053448,,,,
22,2012-02-10,sz.399614,2671.6970,2711.9430,2662.3990,2682.8980,2674.8520,822550929,9348010317.6500,0.300789,,,,
23,2012-02-13,sz.399614,2652.0870,2712.4690,2639.2140,2692.6810,2682.8980,749323221,8333710659.1900,0.364632,,,,
24,2012-02-14,sz.399614,2690.7540,2700.0750,2667.2150,2689.4920,2692.6810,735709351,8206267240.7200,-0.118422,,,,
25,2012-02-15,sz.399614,2681.1970,2745.2580,2676.7760,2731.3540,2689.4920,928533099,10735402406.9600,1.556486,,,,
26,2012-02-16,sz.399614,2725.8230,2758.6680,2705.8660,2730.7450,2731.3540,1050008105,10293217724.6700,-0.022266,,,,
27,2012-02-17,sz.399614,2742.6210,2751.8570,2700.5720,2725.7520,2730.7450,698998131,7180475377.5100,-0.182868,,,,
28,2012-02-20,sz.399614,2769.0750,2769.4090,2722.0260,2722.3230,2725.7520,812761436,8928752706.4100,-0.125807,,,,
29,2012-02-21,sz.399614,2720.7780,2746.0850,2685.5800,2746.0850,2722.3230,696108819,7782209705.8000,0.872874,,,,
30,2012-02-22,sz.399614,2750.7930,2790.1330,2743.3400,2789.6580,2746.0850,1020793669,11385538071.7400,1.586740,,,,
31,2012-02-23,sz.399614,2792.0720,2828.3800,2787.5790,2813.0820,2789.6580,1226359088,12873534354.2000,0.839658,,,,
32,2012-02-24,sz.399614,2812.4370,2854.9440,2800.0540,2854.9440,2813.0820,1148467561,12767484603.5300,1.488130,,,,
33,2012-02-27,sz.399614,2866.3210,2920.5000,2865.2700,2865.2700,2854.9440,1462933953,16582105767.6300,0.361686,,,,
34,2012-02-28,sz.399614,2852.5650,2868.3610,2817.9130,2853.8940,2865.2700,1048013307,11428216004.5800,-0.397021,,,,
35,2012-02-29,sz.399614,2845.1450,2872.4160,2815.8330,2817.9500,2853.8940,880136340,10530927317.9100,-1.259475,,,,
36,2012-03-01,sz.399614,2798.2190,2841.0960,2796.3110,2816.8260,2817.9500,705308673,8424076139.0300,-0.039905,,,,
37,2012-03-02,sz.399614,2826.8520,2873.1960,2826.8520,2873.1960,2816.8260,836148912,9406358271.2800,2.001202,,,,
38,2012-03-05,sz.399614,2881.7460,2901.7410,2871.4190,2874.7050,2873.1960,942368633,10741669625.3400,0.052521,,,,
39,2012-03-06,sz.399614,2864.0650,2864.0650,2813.5430,2826.2110,2874.7050,950737107,10390874431.3300,-1.686934,,,,
40,2012-03-07,sz.399614,2788.4810,2829.7930,2781.9370,2787.0270,2826.2110,859688008,9332510943.1900,-1.386427,,,,
41,2012-03-08,sz.399614,2800.4470,2850.0680,2800.4470,2835.0000,2787.0270,790585997,8917854423.4100,1.721267,,,,
42,2012-03-09,sz.399614,2845.9230,2884.9870,2834.9970,2884.9870,2835.0000,924216582,10383965374.8900,1.763212,,,,
43,2012-03-12,sz.399614,2888.6790,2912.5010,2873.4150,2891.1940,2884.9870,929846188,11105220935.1100,0.215149,,,,
44,2012-03-13,sz.399614,2887.0100,2926.4150,2870.5970,2926.4150,2891.1940,1020817168,11157203943.7300,1.218240,,,,
45,2012-03-14,sz.399614,2947.3240,2961.2050,2791.0030,2812.9910,2926.4150,1704160028,19239127930.1800,-3.875862,,,,
46,2012-03-15,sz.399614,2801.9330,2821.5380,2728.5750,2752.8360,2812.9910,1080848168,11380525739.8100,-2.138498,,,,
47,2012-03-16,sz.399614,2761.9680,2815.5100,2742.0450,2815.5100,2752.8360,851211049,9653289613.5200,2.276727,,,,
48,2012-03-19,sz.399614,2812.2720,2867.5070,2798.4610,2867.5070,2815.5100,893120873,10915287427.6700,1.846808,,,,
49,2012-03-20,sz.399614,2859.6650,2859.6650,2812.2790,2812.2790,2867.5070,912806281,10611913883.5900,-1.926003,,,,
50,2012-03-21,sz.399614,2821.8720,2887.4850,2808.8410,2855.8970,2812.2790,967546369,12829233371.4900,1.550973,,,,
51,2012-03-22,sz.399614,2848.3400,2851.2710,2801.5060,2812.0010,2855.8970,626717987,7894378233.7400,-1.537013,,,,
52,2012-03-23,sz.399614,2794.9570,2801.1670,2734.7190,2745.3200,2812.0010,656809801,8012920346.9700,-2.371297,,,,
53,2012-03-26,sz.399614,2747.0700,2768.3450,2730.3810,2752.9120,2745.3200,549299343,6059623279.9400,0.276536,,,,
54,2012-03-27,sz.399614,2771.8380,2792.8980,2749.2600,2754.6940,2752.9120,554736014,6516238312.0500,0.064731,,,,
55,2012-03-28,sz.399614,2737.9900,2737.9900,2616.3560,2621.2940,2754.6940,695540740,7673042274.0300,-4.842630,,,,
56,2012-03-29,sz.399614,2594.2610,2596.9480,2525.2420,2549.9400,2621.2940,626695353,6395980745.7400,-2.722109,,,,
57,2012-03-30,sz.399614,2548.5630,2571.9780,2511.8830,2529.7780,2549.9400,454726892,4827068701.3900,-0.790680,,,,
58,2012-04-05,sz.399614,2532.9430,2621.0590,2523.5290,2615.7910,2529.7780,592115778,6184477930.8400,3.400029,,,,
59,2012-04-06,sz.399614,2613.5460,2646.8730,2603.6940,2626.9690,2615.7910,566994334,5973471508.7100,0.427327,,,,
60,2012-04-09,sz.399614,2614.4670,2648.4150,2588.8160,2610.3470,2626.9690,657442512,6335272615.1000,-0.632766,,,,
61,2012-04-10,sz.399614,2593.0080,2637.9580,2546.6680,2637.9580,2610.3470,666226394,6342799947.7600,1.057746,,,,
62,2012-04-11,sz.399614,2604.3950,2655.8610,2593.6870,2639.5890,2637.9580,631980184,6063914930.1900,0.061860,,,,
