,date,code,open,high,low,close,preclose,volume,amount,pctChg
0,2012-01-04,sz.399620,1501.8230,1507.4160,1444.3930,1445.5840,1491.5210,230004650,2794849099.3500,-3.079837
1,2012-01-05,sz.399620,1432.8230,1432.8230,1361.3690,1364.4600,1445.5840,242179946,2922205061.6000,-5.611875
2,2012-01-06,sz.399620,1355.9500,1378.1420,1331.5500,1377.8160,1364.4600,217644053,2529466503.5000,0.978855
3,2012-01-09,sz.399620,1376.6560,1431.8640,1358.5860,1430.5600,1377.8160,313736613,3554379707.3400,3.828106
4,2012-01-10,sz.399620,1429.4270,1488.0440,1425.4210,1485.7080,1430.5600,417465210,4952489518.8100,3.854947
5,2012-01-11,sz.399620,1483.9220,1516.5090,1473.7600,1496.4960,1485.7080,387715924,4697631907.9000,0.726149
6,2012-01-12,sz.399620,1491.5040,1515.1450,1488.4980,1497.3660,1496.4960,338004576,4342534452.9800,0.058152
7,2012-01-13,sz.399620,1494.7580,1497.8580,1423.6650,1432.6690,1497.3660,338174347,4175697897.9700,-4.320721
8,2012-01-16,sz.399620,1411.7940,1418.5060,1371.4680,1371.4680,1432.6690,209098339,2607769229.9800,-4.271863
9,2012-01-17,sz.399620,1368.6830,1446.6830,1351.6160,1446.6830,1371.4680,305286613,3919703575.7000,5.484277
10,2012-01-18,sz.399620,1449.2040,1459.9780,1392.0290,1397.0740,1446.6830,313734681,4019137533.4100,-3.429114
11,2012-01-19,sz.399620,1388.4210,1419.2850,1377.0450,1406.5710,1397.0740,228868275,2818337510.8700,0.679722
12,2012-01-20,sz.399620,1410.9960,1433.5160,1410.9960,1429.2990,1406.5710,223189350,2654442167.8800,1.615864
13,2012-01-30,sz.399620,1435.1510,1452.9820,1423.7400,1430.9960,1429.2990,226722576,2641343685.6600,0.118714
14,2012-01-31,sz.399620,1425.7400,1431.7340,1410.8090,1428.1120,1430.9960,211385016,2501114109.2700,-0.201498
15,2012-02-01,sz.399620,1422.5930,1443.4330,1415.0470,1417.7370,1428.1120,205239496,2406829072.5400,-0.726492
16,2012-02-02,sz.399620,1421.4250,1451.7970,1417.7100,1451.7970,1417.7370,258669163,2841137996.9400,2.402433
17,2012-02-03,sz.399620,1449.8160,1499.3670,1445.4150,1493.6020,1451.7970,410108965,4587617691.8400,2.879538
18,2012-02-06,sz.399620,1496.7030,1514.0330,1489.8830,1509.4330,1493.6020,368115981,4513658701.4000,1.059933
19,2012-02-07,sz.399620,1501.8230,1503.3040,1473.4180,1486.0490,1509.4330,329683972,3787307045.5400,-1.549201
20,2012-02-08,sz.399620,1481.6930,1526.3510,1476.3280,1526.3510,1486.0490,351269114,4137230257.7500,2.712015
21,2012-02-09,sz.399620,1524.0030,1555.3320,1522.0440,1536.9070,1526.3510,416060034,5080424288.2800,0.691586
22,2012-02-10,sz.399620,1536.5230,1552.7860,1532.0130,1543.8480,1536.9070,354052923,4385292729.5000,0.451624
23,2012-02-13,sz.399620,1529.9760,1595.1300,1522.3000,1582.2460,1543.8480,508960519,6276391286.7900,2.487166
24,2012-02-14,sz.399620,1583.0310,1591.6640,1565.8470,1575.6300,1582.2460,454274156,5423036552.8600,-0.418176
25,2012-02-15,sz.399620,1576.4300,1615.4470,1571.4760,1609.0400,1575.6300,558730036,6669898819.0700,2.120463
26,2012-02-16,sz.399620,1605.6390,1620.8010,1589.1480,1603.6250,1609.0400,535384221,6480823936.6300,-0.336538
